Date, Open, High, Low, Close, Volume
04/24/25, 16.70, 17.20, 16.70, 17.20, 502
04/23/25, 16.60, 16.90, 16.60, 16.70, 1198
04/22/25, 16.80, 17.30, 16.60, 16.80, 4354
04/21/25, 17.00, 17.30, 16.80, 16.80, 19044
04/17/25, 17.00, 17.20, 17.00, 17.00, 8077
04/16/25, 16.60, 17.20, 16.60, 17.20, 787
04/11/25, 16.50, 17.20, 16.50, 16.60, 62686
04/10/25, 16.80, 17.50, 16.80, 17.10, 21901
04/09/25, 15.90, 16.80, 15.80, 16.50, 3532
04/08/25, 15.70, 17.20, 15.70, 17.20, 4940
04/07/25, 16.50, 17.70, 15.60, 16.30, 30215
04/04/25, 17.40, 17.40, 17.00, 17.10, 81
04/03/25, 17.40, 17.40, 17.00, 17.10, 22058
04/02/25, 17.20, 18.00, 17.10, 17.90, 3094
04/01/25, 16.90, 18.90, 16.80, 17.40, 51526
03/28/25, 17.00, 17.00, 16.70, 16.90, 10208
03/27/25, 17.20, 17.20, 16.70, 16.90, 3600
03/26/25, 17.10, 17.40, 16.80, 16.90, 15760
03/25/25, 17.20, 17.30, 17.10, 17.30, 5009
03/24/25, 17.40, 17.40, 17.00, 17.10, 3061
03/21/25, 17.50, 17.50, 16.60, 16.80, 8619
03/20/25, 16.30, 17.70, 16.10, 16.50, 23366
03/19/25, 16.50, 16.50, 15.50, 16.00, 18719
03/18/25, 16.90, 16.90, 16.40, 16.50, 19802
03/17/25, 17.20, 17.20, 16.80, 16.90, 121
03/14/25, 17.20, 17.20, 16.80, 16.90, 3188
03/12/25, 16.80, 17.00, 16.80, 17.00, 7272
03/11/25, 16.90, 17.20, 16.80, 16.80, 13270
03/10/25, 17.20, 17.80, 16.30, 16.90, 12219
03/07/25, 17.70, 17.90, 17.20, 17.20, 10770
03/06/25, 17.70, 17.70, 17.20, 17.20, 1418
03/05/25, 17.10, 17.80, 17.00, 17.70, 21474
03/04/25, 17.60, 17.90, 17.10, 17.30, 42099
03/03/25, 18.50, 18.50, 18.00, 18.00, 11026
02/28/25, 18.00, 18.50, 17.90, 18.00, 2583
02/27/25, 18.10, 18.20, 17.70, 18.00, 8290
02/25/25, 18.20, 18.50, 17.50, 17.60, 24711
02/24/25, 18.80, 18.90, 17.90, 18.00, 29267
02/21/25, 19.00, 19.50, 17.50, 18.10, 55039
02/20/25, 18.00, 19.60, 17.50, 19.10, 409780
02/19/25, 18.50, 18.50, 18.00, 18.10, 4214
02/18/25, 18.40, 18.60, 18.00, 18.20, 69997
02/17/25, 19.10, 19.10, 18.40, 18.40, 34461
02/14/25, 18.50, 19.10, 18.20, 18.90, 71313
02/13/25, 18.00, 18.50, 18.00, 18.50, 37702
02/11/25, 18.80, 18.80, 18.00, 18.00, 40422
02/10/25, 19.00, 19.00, 18.50, 18.50, 7789
02/07/25, 18.80, 19.00, 18.00, 18.40, 83477
02/06/25, 18.40, 18.80, 18.00, 18.40, 99315
02/05/25, 18.80, 18.80, 18.20, 18.50, 48417
02/03/25, 19.00, 19.10, 18.60, 18.80, 35099
01/31/25, 19.10, 19.30, 18.80, 19.00, 180156
01/30/25, 18.80, 19.20, 18.80, 19.10, 26077
01/29/25, 19.20, 19.20, 18.70, 18.90, 142580
01/28/25, 19.70, 19.70, 19.00, 19.00, 189050
01/27/25, 19.20, 19.50, 18.90, 19.40, 115058
01/24/25, 19.80, 19.90, 19.00, 19.10, 174884
01/23/25, 19.90, 20.00, 19.50, 19.60, 268007
01/22/25, 20.50, 20.50, 19.60, 20.00, 239693
01/21/25, 20.10, 20.30, 19.80, 20.00, 334022
01/20/25, 19.90, 20.30, 19.70, 19.90, 181924
01/17/25, 19.50, 19.90, 19.50, 19.80, 26804
01/16/25, 19.80, 20.00, 19.70, 19.70, 29248
01/15/25, 19.20, 20.00, 19.00, 19.10, 132360
01/10/25, 19.80, 20.00, 19.00, 19.30, 90259
01/09/25, 20.50, 20.50, 19.80, 19.80, 54316
01/08/25, 19.50, 20.80, 19.20, 20.20, 278976
01/07/25, 19.20, 19.70, 18.50, 19.50, 127146
01/06/25, 19.50, 21.00, 19.00, 19.40, 762334
01/03/25, 21.40, 21.70, 18.90, 20.20, 937775
01/02/25, 18.60, 21.90, 18.10, 21.00, 3904645
12/31/24, 18.70, 18.90, 18.00, 18.20, 201714
12/30/24, 19.00, 19.00, 18.50, 18.50, 234498
12/27/24, 18.80, 19.00, 18.40, 19.00, 514999
12/26/24, 18.20, 19.40, 18.20, 18.70, 618219
