Date, Open, High, Low, Close, Volume
04/24/25, 47.80, 47.80, 46.20, 46.20, 4691
04/23/25, 46.50, 48.00, 46.20, 46.30, 1109
04/22/25, 45.70, 47.60, 44.00, 45.10, 8307
04/21/25, 47.00, 47.90, 45.60, 45.80, 13291
04/17/25, 45.00, 46.90, 45.00, 46.50, 36358
04/16/25, 44.70, 46.80, 44.70, 44.70, 722
04/11/25, 46.90, 46.90, 45.00, 46.70, 34092
04/10/25, 44.70, 47.90, 44.00, 47.00, 99405
04/09/25, 41.30, 42.50, 40.20, 40.80, 8192
04/08/25, 39.10, 42.80, 39.10, 42.00, 26775
04/07/25, 42.00, 42.00, 39.10, 41.40, 116528
04/04/25, 44.20, 44.20, 42.00, 44.00, 19710
04/03/25, 45.00, 46.50, 44.00, 44.20, 63249
04/02/25, 47.00, 47.50, 46.90, 47.10, 10879
04/01/25, 46.20, 47.80, 45.60, 47.80, 14509
03/28/25, 47.50, 47.50, 46.00, 46.10, 6754
03/27/25, 47.10, 48.90, 46.10, 46.30, 3458
03/26/25, 48.20, 48.20, 48.00, 48.00, 7001
03/25/25, 48.70, 49.90, 48.10, 48.40, 51058
03/24/25, 47.00, 50.00, 47.00, 49.10, 82151
03/21/25, 47.40, 47.80, 46.20, 47.40, 17963
03/20/25, 45.20, 47.00, 45.10, 47.00, 7000
03/19/25, 47.90, 47.90, 45.70, 45.80, 56010
03/18/25, 48.50, 48.50, 47.00, 47.50, 797
03/17/25, 48.20, 48.50, 47.20, 48.00, 4928
03/14/25, 49.50, 49.50, 48.20, 48.50, 1050
03/12/25, 48.80, 49.40, 47.00, 49.10, 332989
03/11/25, 47.90, 49.30, 46.00, 46.40, 3914388
03/10/25, 50.10, 50.10, 48.00, 49.90, 11539
03/07/25, 49.20, 49.90, 49.20, 49.90, 3068
03/06/25, 51.50, 52.00, 49.40, 50.10, 79119
03/05/25, 48.50, 51.50, 48.00, 50.00, 18257
03/04/25, 49.10, 49.10, 47.50, 48.40, 20753
03/03/25, 53.60, 53.60, 49.00, 49.40, 7820
02/28/25, 52.90, 53.00, 50.80, 51.20, 18346
02/27/25, 52.90, 52.90, 48.00, 52.10, 68724
02/25/25, 53.00, 53.00, 51.20, 51.40, 50344
02/24/25, 53.60, 53.90, 51.60, 52.00, 64280
