Date, Open, High, Low, Close, Volume
04/24/25, 41.00, 41.00, 39.80, 40.00, 31515
04/23/25, 40.80, 40.80, 40.00, 40.30, 2158
04/22/25, 40.50, 41.00, 39.90, 41.00, 24009
04/21/25, 42.00, 42.00, 40.50, 41.30, 8018
04/17/25, 41.10, 42.90, 41.00, 41.10, 11292
04/16/25, 42.00, 42.50, 40.80, 41.40, 3305
04/11/25, 41.00, 42.00, 40.80, 41.00, 2661
04/10/25, 42.40, 44.50, 41.50, 42.10, 105860
04/09/25, 39.90, 42.50, 38.70, 39.60, 5614
04/08/25, 38.40, 43.00, 38.40, 41.70, 71129
04/07/25, 40.90, 40.90, 38.30, 39.50, 55393
04/04/25, 42.00, 43.40, 41.00, 41.50, 55023
04/03/25, 43.20, 44.40, 41.60, 41.80, 66043
04/02/25, 44.70, 44.80, 43.00, 44.30, 12057
04/01/25, 44.50, 45.00, 44.00, 44.80, 10680
03/28/25, 51.00, 52.00, 43.50, 44.40, 107366
03/27/25, 42.20, 43.50, 42.10, 42.20, 24774
03/26/25, 43.00, 43.00, 42.00, 42.00, 65657
03/25/25, 45.00, 45.00, 43.00, 43.00, 30876
03/24/25, 43.90, 46.70, 43.60, 44.20, 210707
03/21/25, 42.40, 43.50, 42.40, 42.90, 24413
03/20/25, 42.00, 42.40, 41.70, 42.40, 22004
03/19/25, 41.20, 42.00, 41.20, 41.30, 28072
03/18/25, 42.00, 42.40, 41.10, 41.60, 38600
03/17/25, 43.50, 43.50, 41.80, 42.00, 9195
03/14/25, 42.90, 44.00, 42.00, 43.40, 17033
03/12/25, 41.60, 43.00, 41.60, 42.80, 5444
03/11/25, 42.80, 43.00, 41.60, 42.00, 22342
03/10/25, 43.50, 44.60, 42.80, 43.10, 5619
03/07/25, 44.00, 44.80, 43.00, 44.50, 6515
03/06/25, 45.80, 46.00, 43.30, 43.70, 35603
03/05/25, 42.00, 45.90, 42.00, 44.70, 55881
03/04/25, 43.10, 43.80, 42.00, 42.00, 51364
03/03/25, 46.00, 46.00, 42.70, 43.20, 172492
02/28/25, 47.20, 48.40, 46.50, 46.50, 20934
02/27/25, 46.90, 47.50, 46.00, 47.00, 23725
02/25/25, 45.20, 48.00, 45.20, 46.40, 28870
02/24/25, 48.50, 48.80, 46.00, 46.50, 94826
02/21/25, 48.90, 49.00, 48.40, 48.40, 38155
02/20/25, 49.10, 49.10, 48.00, 49.00, 64971
02/19/25, 50.50, 50.50, 49.30, 49.80, 101001
02/18/25, 50.50, 51.00, 49.70, 49.70, 92714
02/17/25, 50.50, 51.00, 49.00, 49.80, 143490
02/14/25, 50.00, 51.00, 50.00, 50.30, 110784
02/13/25, 49.40, 49.90, 49.20, 49.80, 79893
02/11/25, 50.00, 50.00, 47.10, 47.90, 177128
02/10/25, 51.00, 51.40, 49.90, 50.10, 34440
02/07/25, 50.50, 51.00, 50.00, 50.60, 110823
02/06/25, 49.40, 51.40, 48.00, 50.00, 262381
02/05/25, 51.00, 52.00, 49.00, 49.40, 239509
02/03/25, 52.00, 53.00, 51.00, 51.30, 187897
01/31/25, 53.10, 53.90, 52.40, 53.00, 99514
01/30/25, 54.50, 54.90, 52.90, 53.00, 303783
01/29/25, 50.80, 55.00, 50.80, 53.50, 2861733
01/28/25, 51.00, 51.00, 49.50, 50.40, 622139
01/27/25, 52.50, 52.70, 50.00, 51.00, 284884
01/24/25, 52.00, 53.00, 51.00, 51.60, 338337
