Date, Open, High, Low, Close, Volume
04/24/25, 73.50, 73.50, 73.00, 73.50, 8207
04/23/25, 73.50, 73.50, 73.00, 73.00, 12418
04/22/25, 73.00, 73.50, 72.90, 73.10, 1959
04/21/25, 73.40, 73.40, 72.80, 73.00, 13438
04/17/25, 73.00, 73.50, 73.00, 73.40, 1320
04/16/25, 73.00, 73.80, 73.00, 73.20, 4280
04/11/25, 73.50, 73.50, 73.00, 73.50, 28162
04/10/25, 73.00, 73.50, 72.00, 73.50, 12217
04/09/25, 73.50, 73.50, 69.90, 70.10, 21943
04/08/25, 70.00, 73.60, 69.90, 70.00, 150492
04/07/25, 72.60, 72.60, 69.30, 70.00, 33600
04/04/25, 74.50, 74.50, 72.50, 73.20, 20546
04/03/25, 76.80, 76.80, 74.70, 74.90, 57761
04/02/25, 77.50, 77.60, 76.80, 76.80, 17860
04/01/25, 76.00, 77.00, 75.00, 75.30, 58908
03/28/25, 77.80, 78.30, 77.00, 77.70, 81005
03/27/25, 78.00, 78.00, 77.80, 77.90, 56046
03/26/25, 78.00, 78.00, 77.80, 78.00, 58144
03/25/25, 78.50, 78.50, 78.00, 78.00, 2080
03/24/25, 78.00, 79.00, 78.00, 78.00, 92732
03/21/25, 81.00, 81.00, 78.00, 78.00, 121360
03/20/25, 79.00, 79.00, 78.00, 78.00, 3347
03/19/25, 80.00, 80.00, 77.50, 78.10, 89299
03/18/25, 81.00, 81.00, 78.50, 78.70, 10254
03/17/25, 80.00, 81.00, 78.70, 79.00, 52727
03/14/25, 82.90, 84.00, 80.00, 80.80, 2424
03/12/25, 81.10, 84.00, 81.10, 82.70, 37224
03/11/25, 84.00, 85.00, 81.00, 81.10, 33668
03/10/25, 85.00, 85.00, 84.00, 84.00, 2890
03/07/25, 85.00, 85.00, 81.00, 84.80, 11912
03/06/25, 84.70, 85.00, 81.00, 81.60, 6042
03/05/25, 84.90, 84.90, 82.00, 82.00, 21
03/04/25, 82.00, 84.90, 82.00, 82.00, 3774
03/03/25, 85.50, 85.50, 82.00, 82.00, 24907
02/28/25, 82.00, 84.00, 82.00, 84.00, 11552
02/27/25, 85.50, 85.50, 81.50, 82.10, 923
02/25/25, 85.20, 85.50, 81.00, 81.10, 15528
02/24/25, 86.00, 87.10, 84.00, 85.20, 8643
02/21/25, 87.00, 87.00, 85.00, 86.00, 8445
02/20/25, 86.00, 86.50, 85.00, 85.10, 3179
02/19/25, 86.50, 88.00, 85.10, 86.00, 23126
02/18/25, 86.00, 86.00, 85.00, 85.90, 15261
02/17/25, 86.00, 86.00, 84.50, 85.00, 9611
02/14/25, 85.50, 86.50, 85.00, 86.00, 43485
02/13/25, 85.00, 86.00, 85.00, 85.40, 1300
02/11/25, 86.90, 86.90, 85.00, 85.00, 10208
02/10/25, 86.70, 86.90, 85.70, 86.60, 13077
02/07/25, 83.40, 87.00, 83.40, 86.90, 9523
02/06/25, 78.00, 85.30, 78.00, 83.40, 14988
02/05/25, 85.80, 85.80, 79.20, 80.20, 27340
02/03/25, 86.00, 86.40, 85.70, 85.90, 63182
01/31/25, 85.90, 86.40, 85.80, 86.00, 61928
01/30/25, 86.00, 86.50, 85.80, 85.80, 12603
01/29/25, 86.00, 86.50, 85.70, 86.00, 27526
01/28/25, 85.90, 87.00, 85.90, 86.00, 305211
01/27/25, 86.40, 86.40, 85.00, 86.00, 29989
01/24/25, 86.00, 87.00, 86.00, 86.50, 19520
01/23/25, 88.80, 89.00, 87.00, 87.00, 295596
01/22/25, 91.50, 91.50, 87.10, 88.80, 10851
01/21/25, 84.60, 92.90, 84.60, 91.20, 175202
01/20/25, 82.00, 85.50, 82.00, 85.10, 132293
01/17/25, 80.70, 82.30, 80.70, 82.00, 9766
01/16/25, 80.00, 81.40, 79.20, 80.70, 10248
01/15/25, 79.00, 81.20, 79.00, 80.20, 16840
01/10/25, 80.00, 80.90, 79.50, 80.10, 18246
01/09/25, 79.50, 80.70, 79.00, 80.00, 35785
01/08/25, 79.00, 80.00, 78.80, 79.00, 17022
01/07/25, 80.00, 80.00, 77.00, 79.90, 29716
01/06/25, 81.00, 82.00, 80.30, 80.50, 66881
01/03/25, 84.50, 86.00, 84.00, 84.50, 222191
01/02/25, 80.00, 86.00, 79.10, 84.50, 130840
12/31/24, 77.30, 82.00, 77.00, 80.10, 207062
12/30/24, 77.00, 78.00, 75.70, 77.40, 34140
12/27/24, 75.00, 78.00, 75.00, 76.50, 62059
12/26/24, 74.40, 75.00, 74.40, 75.00, 15863
12/24/24, 72.80, 74.50, 72.80, 74.20, 44270
12/23/24, 73.30, 74.80, 72.80, 73.00, 29770
12/20/24, 70.70, 75.10, 70.70, 75.00, 85020
12/19/24, 70.00, 73.00, 70.00, 72.90, 19914
12/18/24, 70.40, 70.70, 70.00, 70.50, 46812
12/17/24, 70.60, 71.30, 70.00, 70.00, 11978
12/16/24, 70.60, 71.00, 70.10, 70.50, 32170
12/13/24, 70.20, 71.00, 70.20, 70.60, 50557
12/12/24, 70.40, 72.10, 70.00, 70.20, 21829
12/11/24, 69.90, 72.90, 69.60, 70.40, 326036
12/10/24, 69.40, 70.20, 69.30, 69.80, 17401
12/09/24, 70.50, 71.00, 69.40, 70.30, 6312
12/06/24, 68.30, 71.00, 68.00, 70.10, 94311
12/05/24, 68.20, 68.90, 67.80, 68.30, 33125
12/04/24, 68.70, 68.90, 66.10, 68.20, 31035
12/03/24, 66.00, 69.00, 66.00, 68.90, 47030
12/02/24, 66.20, 68.80, 65.10, 66.80, 19726
11/29/24, 64.00, 67.60, 64.00, 66.60, 171512
11/28/24, 63.10, 64.00, 62.00, 64.00, 25939
11/27/24, 62.90, 63.20, 62.80, 63.10, 27283
11/26/24, 62.80, 62.90, 62.50, 62.70, 2655
11/25/24, 63.40, 63.40, 61.10, 61.50, 4439
11/22/24, 63.40, 63.40, 63.00, 63.20, 1406
11/21/24, 62.30, 62.90, 61.00, 62.30, 14085
11/20/24, 62.50, 62.50, 61.00, 62.30, 38638
11/19/24, 62.00, 62.10, 61.10, 62.00, 60
11/18/24, 62.50, 62.60, 61.00, 62.00, 3652
11/14/24, 63.90, 63.90, 62.60, 62.70, 1262
11/13/24, 64.00, 64.00, 62.90, 63.00, 1654
11/12/24, 64.00, 64.00, 63.50, 63.90, 12259
11/11/24, 63.70, 64.00, 62.60, 64.00, 5218
11/08/24, 63.00, 63.90, 62.50, 62.70, 5591
11/07/24, 63.00, 63.70, 63.00, 63.00, 786
11/06/24, 63.90, 63.90, 62.30, 62.50, 12370
11/05/24, 64.00, 64.00, 63.00, 63.90, 4545
11/04/24, 64.00, 64.00, 63.00, 63.60, 7558
11/01/24, 63.10, 64.20, 62.10, 64.00, 23223
10/30/24, 63.50, 64.50, 63.00, 63.10, 38804
10/29/24, 61.20, 62.50, 61.20, 62.20, 39633
10/28/24, 62.00, 62.00, 61.00, 62.00, 21728
10/25/24, 63.00, 63.00, 61.30, 61.30, 3520
10/24/24, 62.00, 63.00, 61.60, 62.00, 37326
10/23/24, 61.90, 62.10, 61.50, 62.00, 203574
10/22/24, 61.90, 61.90, 61.20, 61.20, 10135
10/21/24, 61.50, 61.90, 61.50, 61.50, 6436
10/18/24, 60.90, 61.60, 60.90, 61.20, 22598
10/15/24, 61.00, 61.00, 58.00, 60.00, 20383
10/14/24, 62.00, 62.00, 60.60, 60.60, 8014
10/11/24, 61.50, 61.50, 61.50, 61.50, 6000
10/10/24, 61.50, 61.50, 60.60, 61.50, 1054
10/09/24, 61.00, 62.50, 60.50, 61.10, 1476
10/08/24, 60.90, 64.00, 60.50, 61.00, 62450
10/07/24, 60.50, 61.00, 60.00, 60.00, 31174
10/04/24, 60.90, 61.00, 60.50, 60.50, 12375
10/03/24, 61.20, 61.40, 61.00, 61.00, 1751
10/02/24, 61.00, 61.40, 61.00, 61.20, 26280
10/01/24, 60.10, 61.20, 60.00, 61.00, 9396
09/30/24, 60.10, 61.00, 60.00, 60.90, 7950
09/27/24, 59.60, 60.40, 59.60, 60.30, 2114
09/26/24, 60.50, 61.20, 59.90, 60.00, 15113
09/25/24, 60.50, 60.50, 59.40, 60.00, 21434
09/24/24, 59.50, 60.80, 59.50, 60.80, 4758
09/23/24, 60.60, 60.60, 60.00, 60.00, 102167
09/20/24, 60.40, 60.70, 60.00, 60.60, 905
09/19/24, 59.00, 59.80, 59.00, 59.10, 2993
09/18/24, 59.00, 59.00, 58.60, 59.00, 888
09/13/24, 59.80, 59.80, 59.80, 59.80, 391
09/12/24, 60.00, 60.00, 60.00, 60.00, 1525
09/11/24, 58.00, 60.00, 58.00, 60.00, 50565
09/10/24, 57.80, 59.90, 57.80, 59.90, 286
09/09/24, 59.00, 59.50, 59.00, 59.50, 120701
09/06/24, 58.00, 59.00, 58.00, 59.00, 71918
09/05/24, 58.20, 60.20, 57.40, 59.70, 230665
09/04/24, 58.30, 60.00, 56.50, 59.40, 23697
09/03/24, 57.10, 57.10, 56.20, 56.50, 13641
09/02/24, 57.10, 57.10, 57.10, 57.00, 2
08/30/24, 58.30, 58.30, 58.30, 57.00, 1
08/29/24, 59.00, 59.00, 57.00, 57.00, 1493
08/28/24, 58.10, 59.00, 58.00, 58.40, 2093
08/27/24, 58.20, 58.20, 58.10, 58.10, 3779
08/26/24, 59.60, 59.60, 58.20, 58.20, 136
08/23/24, 58.30, 59.90, 58.30, 58.80, 441
08/21/24, 57.80, 60.00, 57.80, 60.00, 9705
08/20/24, 58.00, 59.10, 58.00, 59.10, 5609
08/16/24, 58.20, 58.20, 58.00, 58.00, 1305
08/15/24, 59.00, 59.00, 58.00, 58.20, 4350
08/14/24, 57.60, 58.50, 57.60, 58.50, 5832
