Date, Open, High, Low, Close, Volume
04/24/25, 3.80, 3.80, 3.60, 3.60, 3385
04/23/25, 3.80, 3.80, 3.80, 3.80, 112
04/22/25, 3.80, 3.80, 3.70, 3.80, 20593
04/21/25, 3.60, 3.80, 3.50, 3.60, 48148
04/17/25, 3.80, 3.90, 3.50, 3.50, 28156
04/16/25, 3.80, 3.80, 3.60, 3.60, 4061
04/11/25, 3.80, 3.90, 3.60, 3.80, 26431
04/10/25, 3.50, 3.80, 3.50, 3.50, 1458
04/09/25, 3.50, 3.90, 3.40, 3.50, 9528
04/08/25, 3.50, 3.50, 3.40, 3.40, 3806
04/07/25, 3.40, 3.50, 3.30, 3.40, 11673
04/04/25, 3.60, 3.80, 3.30, 3.30, 22366
04/03/25, 3.80, 3.80, 3.70, 3.80, 320
04/02/25, 3.60, 3.80, 3.50, 3.70, 18080
04/01/25, 3.50, 3.60, 3.50, 3.50, 93
03/28/25, 3.50, 3.50, 3.50, 3.50, 669
03/27/25, 3.50, 3.80, 3.40, 3.50, 5923
03/26/25, 3.50, 3.60, 3.40, 3.50, 3649
03/25/25, 3.60, 3.60, 3.40, 3.50, 6971
03/24/25, 3.60, 3.60, 3.60, 3.60, 5329
03/21/25, 3.60, 3.60, 3.30, 3.50, 14772
03/20/25, 3.40, 3.60, 3.20, 3.30, 131439
03/19/25, 3.40, 3.40, 3.40, 3.40, 3948
03/18/25, 3.50, 3.50, 3.40, 3.40, 2281
03/17/25, 3.50, 3.50, 3.20, 3.30, 35451
03/14/25, 3.60, 3.70, 3.60, 3.60, 8480
03/12/25, 3.70, 3.70, 3.70, 3.70, 1551
03/11/25, 3.70, 3.70, 3.60, 3.70, 1900
03/10/25, 3.70, 4.00, 3.60, 3.70, 1517
03/07/25, 3.60, 3.60, 3.60, 3.60, 20200
03/06/25, 3.70, 3.70, 3.60, 3.70, 1570
03/05/25, 3.80, 3.80, 3.10, 3.50, 155626
03/04/25, 3.80, 3.80, 3.60, 3.60, 20545
03/03/25, 3.90, 3.90, 3.70, 3.80, 30265
02/28/25, 3.80, 4.00, 3.80, 3.90, 3660
02/27/25, 4.00, 4.00, 3.80, 3.80, 32082
02/25/25, 3.90, 4.00, 3.90, 3.90, 11330
02/24/25, 4.10, 4.10, 3.90, 4.00, 9221
02/21/25, 4.10, 4.10, 3.90, 3.90, 151213
02/20/25, 4.10, 4.10, 3.90, 3.90, 17078
02/19/25, 4.10, 4.10, 4.00, 4.00, 2397
02/18/25, 4.20, 4.20, 3.90, 4.00, 10210
02/17/25, 4.00, 4.40, 4.00, 4.20, 12625
02/14/25, 4.10, 4.30, 4.00, 4.10, 98349
02/13/25, 4.00, 4.10, 4.00, 4.00, 10547
02/11/25, 3.90, 4.20, 3.90, 3.90, 18736
02/10/25, 4.20, 4.20, 4.00, 4.00, 808
02/07/25, 4.20, 4.20, 3.90, 4.00, 18957
02/06/25, 4.20, 4.20, 3.90, 3.90, 25809
02/05/25, 4.30, 4.30, 4.00, 4.20, 16029
02/03/25, 4.30, 4.30, 4.10, 4.20, 50473
01/31/25, 4.20, 4.50, 4.20, 4.20, 454080
01/30/25, 4.00, 4.20, 4.00, 4.10, 20599
01/29/25, 4.20, 4.20, 3.90, 3.90, 29892
01/28/25, 4.00, 4.10, 3.90, 4.10, 128748
01/27/25, 4.10, 4.10, 4.10, 4.10, 114
01/24/25, 4.00, 4.10, 3.90, 4.10, 12534
01/23/25, 4.20, 4.30, 3.90, 4.00, 58157
01/22/25, 4.10, 4.10, 3.90, 4.10, 34955
01/21/25, 4.10, 4.20, 4.00, 4.00, 122907
01/20/25, 4.10, 4.20, 4.00, 4.10, 8336
01/17/25, 4.10, 4.10, 4.00, 4.10, 22
01/16/25, 4.10, 4.10, 3.90, 4.10, 11926
01/15/25, 4.10, 4.20, 4.00, 4.10, 36561
01/10/25, 4.10, 4.20, 4.00, 4.00, 8642
01/09/25, 4.20, 4.20, 4.00, 4.00, 1489
01/08/25, 4.20, 4.20, 4.10, 4.10, 3399
01/07/25, 4.10, 4.10, 4.00, 4.00, 66813
01/06/25, 4.40, 4.40, 4.10, 4.10, 37085
01/03/25, 4.10, 4.50, 4.10, 4.30, 1025521
01/02/25, 4.10, 4.20, 4.00, 4.10, 86618
12/31/24, 4.30, 4.30, 4.10, 4.10, 22749
12/30/24, 4.20, 4.30, 4.10, 4.10, 24823
12/27/24, 4.30, 4.40, 4.10, 4.20, 104554
12/26/24, 4.00, 4.50, 4.00, 4.10, 891303
12/24/24, 4.00, 4.00, 3.80, 3.90, 60261
12/23/24, 3.90, 4.00, 3.80, 3.90, 212870
12/20/24, 3.90, 4.00, 3.80, 3.90, 26780
12/19/24, 4.00, 4.00, 3.90, 3.90, 11777
12/18/24, 4.10, 4.10, 3.90, 4.00, 50462
12/17/24, 4.10, 4.10, 3.90, 4.00, 172799
12/16/24, 4.00, 4.10, 4.00, 4.00, 86878
12/13/24, 4.00, 4.00, 3.90, 3.90, 51457
12/12/24, 4.00, 4.00, 3.80, 3.90, 501772
12/11/24, 4.50, 4.50, 4.00, 4.00, 775343
12/10/24, 3.60, 4.50, 3.60, 4.50, 2148119
12/09/24, 3.40, 3.70, 3.40, 3.60, 672219
12/06/24, 3.40, 3.40, 3.20, 3.30, 33722
12/05/24, 3.40, 3.40, 3.20, 3.40, 21241
12/04/24, 3.30, 3.40, 3.30, 3.30, 53333
12/03/24, 3.40, 3.40, 3.20, 3.30, 32415
12/02/24, 3.40, 3.40, 3.20, 3.30, 2900
11/29/24, 3.30, 3.40, 3.20, 3.30, 155857
11/28/24, 3.20, 3.30, 3.20, 3.20, 44134
11/27/24, 3.30, 3.30, 3.30, 3.30, 505
11/26/24, 3.30, 3.40, 3.30, 3.30, 5040
11/25/24, 3.30, 3.30, 3.20, 3.20, 6114
11/22/24, 3.30, 3.30, 3.20, 3.30, 66105
11/21/24, 3.20, 3.40, 3.20, 3.30, 1028
11/20/24, 3.30, 3.30, 3.20, 3.30, 1261
