Date, Open, High, Low, Close, Volume
04/24/25, 45.80, 45.80, 45.80, 44.90, 1
04/23/25, 43.10, 43.10, 43.10, 44.90, 15
04/22/25, 44.80, 44.90, 44.80, 44.90, 104
04/21/25, 43.20, 45.00, 43.20, 44.90, 419
04/17/25, 43.30, 43.30, 43.00, 43.00, 328
04/16/25, 44.90, 44.90, 44.80, 44.80, 353
04/11/25, 45.70, 45.70, 43.20, 43.20, 442
04/10/25, 44.50, 45.00, 43.00, 43.50, 1044
04/09/25, 45.00, 45.00, 42.10, 42.10, 938
04/08/25, 46.90, 46.90, 45.00, 45.00, 686
04/07/25, 42.00, 42.00, 41.10, 41.50, 1698
04/04/25, 43.50, 43.50, 43.20, 43.40, 31
04/03/25, 44.00, 44.00, 43.00, 43.40, 190
04/02/25, 44.90, 44.90, 44.00, 43.70, 83
04/01/25, 43.60, 44.90, 43.60, 43.70, 2985
03/28/25, 45.00, 45.00, 44.90, 44.90, 381
03/27/25, 44.00, 44.00, 43.50, 43.80, 253
03/25/25, 44.40, 44.40, 43.30, 43.30, 459
03/24/25, 44.30, 44.30, 43.00, 44.00, 47
03/21/25, 44.40, 44.40, 42.50, 44.00, 5189
03/20/25, 45.60, 45.60, 43.50, 43.70, 863
03/19/25, 39.10, 46.40, 39.10, 40.20, 1318
03/18/25, 42.00, 42.00, 40.00, 40.20, 2557
03/17/25, 41.70, 43.00, 41.70, 42.10, 52
03/14/25, 41.00, 46.80, 41.00, 42.10, 103
03/12/25, 43.30, 43.90, 41.10, 43.00, 397
03/11/25, 43.40, 43.40, 41.00, 41.90, 620
03/10/25, 43.10, 43.10, 43.10, 43.50, 1
03/07/25, 43.50, 43.50, 43.50, 43.50, 395
03/06/25, 44.40, 44.40, 43.10, 43.50, 1330
03/05/25, 44.00, 44.50, 44.00, 44.00, 1356
03/04/25, 44.50, 44.50, 44.00, 44.00, 156
03/03/25, 44.00, 44.00, 44.00, 44.60, 45
02/28/25, 45.20, 45.20, 44.60, 44.60, 2939
02/27/25, 45.20, 45.20, 45.20, 45.20, 91
02/25/25, 47.00, 47.00, 42.60, 45.20, 1124
02/24/25, 47.00, 47.00, 47.00, 45.70, 2
02/21/25, 45.70, 47.30, 45.60, 45.70, 5138
02/20/25, 48.00, 48.00, 45.80, 45.90, 8189
02/19/25, 47.10, 49.00, 46.00, 46.10, 1510
02/18/25, 49.00, 49.00, 47.00, 47.20, 5789
02/17/25, 49.70, 49.70, 49.50, 49.50, 551
02/14/25, 48.10, 49.60, 48.00, 49.50, 13098
02/13/25, 45.50, 49.60, 45.50, 49.30, 5232
02/11/25, 49.90, 49.90, 45.30, 46.80, 30757
02/10/25, 50.90, 52.60, 48.00, 49.90, 1315
02/07/25, 52.70, 52.70, 46.70, 48.60, 1168
02/06/25, 46.70, 51.80, 46.70, 47.00, 6885
02/05/25, 52.70, 52.70, 47.20, 48.00, 32347
02/03/25, 53.00, 53.00, 51.00, 51.40, 12866
01/31/25, 57.00, 57.00, 52.00, 52.60, 11665
01/30/25, 53.50, 56.70, 50.30, 54.30, 45389
01/29/25, 51.90, 53.80, 51.90, 52.20, 46671
01/28/25, 50.90, 52.00, 49.70, 50.40, 9073
01/27/25, 51.90, 51.90, 49.30, 49.40, 12855
01/24/25, 52.00, 52.00, 50.60, 50.60, 1752
01/23/25, 52.80, 52.80, 50.10, 50.60, 527
01/22/25, 52.60, 53.00, 49.00, 52.80, 5771
01/21/25, 53.90, 54.40, 48.50, 52.60, 18029
01/20/25, 51.80, 54.50, 51.50, 53.20, 86827
01/17/25, 50.40, 51.90, 50.10, 51.90, 92442
01/16/25, 47.80, 54.00, 45.10, 49.50, 117024
01/15/25, 46.00, 46.50, 45.70, 45.70, 1115
01/10/25, 44.20, 46.00, 44.20, 46.00, 4050
01/09/25, 45.30, 45.30, 45.00, 45.00, 25470
01/08/25, 46.90, 47.80, 45.30, 45.30, 2174
01/07/25, 45.30, 46.90, 44.40, 46.10, 976
01/06/25, 46.00, 47.50, 44.00, 44.40, 24061
01/03/25, 47.00, 47.10, 46.10, 46.30, 12870
01/02/25, 46.50, 48.00, 46.10, 47.00, 52750
12/31/24, 48.50, 48.60, 46.10, 46.70, 3331
12/30/24, 47.50, 49.30, 45.70, 45.70, 7510
12/27/24, 48.00, 48.00, 47.20, 47.20, 3632
12/26/24, 48.10, 48.50, 47.80, 48.00, 4707
12/24/24, 49.50, 49.50, 47.50, 48.50, 3029
12/23/24, 49.50, 49.50, 49.10, 49.50, 2526
12/20/24, 47.20, 49.50, 47.20, 49.30, 20542
12/19/24, 48.50, 49.00, 47.70, 48.40, 5864
12/18/24, 47.50, 49.00, 46.60, 48.70, 18936
12/17/24, 48.20, 48.50, 46.00, 48.40, 26137
12/16/24, 48.50, 48.50, 46.80, 48.20, 7156
12/13/24, 48.00, 48.50, 48.00, 48.40, 1009
12/12/24, 48.50, 48.50, 48.50, 48.50, 1000
12/11/24, 48.50, 49.90, 47.50, 48.10, 8974
12/10/24, 50.00, 50.00, 47.00, 47.00, 975
12/09/24, 48.50, 51.50, 48.00, 49.60, 25079
12/06/24, 49.00, 49.00, 48.00, 48.00, 9056
12/05/24, 51.00, 51.00, 48.10, 49.70, 3455
12/04/24, 48.90, 51.90, 48.90, 51.20, 15514
12/03/24, 47.00, 49.90, 47.00, 49.80, 30847
12/02/24, 47.00, 47.00, 46.90, 46.90, 1250
11/29/24, 47.00, 47.40, 46.00, 47.00, 3233
11/28/24, 46.00, 47.40, 46.00, 46.10, 1632
11/27/24, 45.80, 47.90, 45.70, 47.70, 1968
11/26/24, 48.50, 48.50, 45.70, 45.80, 339
11/25/24, 48.50, 48.50, 45.60, 45.80, 2262
11/22/24, 47.80, 47.80, 45.80, 45.80, 3071
11/21/24, 47.30, 47.30, 45.60, 45.60, 7759
11/20/24, 46.10, 49.00, 46.10, 47.30, 43830
11/19/24, 46.90, 46.90, 45.60, 46.10, 3745
11/18/24, 47.00, 47.20, 47.00, 47.10, 5085
11/14/24, 48.10, 49.00, 46.70, 46.70, 11338
11/13/24, 48.00, 49.90, 47.80, 48.10, 22875
11/12/24, 47.00, 47.80, 46.10, 46.50, 243
11/11/24, 47.60, 48.00, 47.50, 47.80, 210
11/08/24, 47.30, 47.60, 46.10, 47.00, 5870
11/07/24, 47.90, 48.90, 47.50, 47.50, 18092
11/06/24, 47.20, 48.00, 46.80, 47.70, 10187
11/05/24, 46.50, 47.60, 45.60, 47.40, 1395
11/04/24, 46.90, 46.90, 45.50, 45.60, 5417
11/01/24, 46.00, 47.40, 46.00, 46.10, 16907
10/30/24, 48.70, 49.00, 47.10, 47.90, 494
10/29/24, 48.30, 48.70, 47.00, 47.70, 13939
10/28/24, 45.00, 48.80, 44.50, 46.40, 43561
10/25/24, 45.70, 46.80, 45.00, 45.00, 20691
10/24/24, 47.50, 47.50, 45.30, 45.70, 54558
10/23/24, 47.00, 49.30, 45.00, 45.70, 42894
10/22/24, 47.00, 50.00, 47.00, 48.00, 44410
10/21/24, 45.30, 47.90, 45.30, 46.90, 82747
10/18/24, 42.00, 46.50, 42.00, 45.10, 126980
10/16/24, 41.10, 42.40, 40.00, 42.10, 18007
10/15/24, 40.60, 42.50, 40.00, 40.50, 25892
10/14/24, 38.60, 44.30, 38.60, 42.00, 78031
10/11/24, 32.60, 40.20, 32.60, 38.60, 91950
10/10/24, 32.10, 32.50, 32.10, 32.20, 1000
10/09/24, 32.50, 32.50, 32.40, 32.50, 400
10/08/24, 31.80, 31.80, 31.80, 31.80, 1300
10/07/24, 32.10, 32.10, 32.00, 32.00, 4318
10/04/24, 32.00, 33.00, 31.90, 32.20, 2901
10/03/24, 31.10, 32.00, 31.10, 32.00, 3000
10/02/24, 31.00, 31.60, 31.00, 31.60, 6550
10/01/24, 30.90, 32.50, 30.90, 31.40, 2357
09/30/24, 31.40, 32.50, 31.40, 31.60, 239
09/27/24, 31.10, 32.50, 30.50, 31.30, 2115
09/26/24, 32.00, 32.00, 32.00, 32.00, 592
09/25/24, 33.80, 33.80, 32.00, 32.00, 677
09/19/24, 30.00, 31.00, 30.00, 30.50, 199
09/18/24, 29.10, 30.90, 29.10, 30.50, 123
09/13/24, 29.00, 29.80, 29.00, 29.80, 480
09/12/24, 30.40, 30.40, 30.40, 29.30, 1
09/10/24, 29.50, 29.60, 29.00, 29.30, 1043
09/09/24, 29.40, 29.60, 29.40, 29.80, 60
09/06/24, 29.80, 30.00, 29.80, 29.80, 1120
09/05/24, 30.00, 32.30, 29.40, 30.00, 2487
09/03/24, 30.40, 30.40, 28.00, 28.60, 1000
08/30/24, 30.50, 30.50, 30.50, 30.10, 1
08/29/24, 32.90, 32.90, 32.90, 30.10, 10
08/28/24, 30.50, 30.50, 30.10, 30.10, 1500
08/27/24, 30.50, 30.50, 30.50, 30.10, 99
08/26/24, 30.10, 30.10, 30.10, 30.10, 100
08/23/24, 30.10, 31.00, 30.10, 30.10, 1001
08/22/24, 30.30, 30.30, 30.00, 30.10, 2263
08/21/24, 30.80, 30.80, 30.10, 30.30, 3246
08/16/24, 31.30, 31.30, 31.30, 31.30, 291
08/15/24, 31.30, 32.20, 31.30, 32.00, 1351
08/14/24, 33.10, 33.70, 33.00, 33.00, 2493
08/13/24, 33.80, 33.90, 31.70, 33.00, 2908
08/12/24, 30.20, 30.20, 30.20, 30.20, 851
08/09/24, 31.70, 31.70, 31.50, 31.50, 498
08/08/24, 31.50, 31.50, 31.50, 29.70, 4
08/05/24, 31.90, 31.90, 29.60, 29.70, 675
08/02/24, 31.00, 31.60, 31.00, 31.60, 2129
08/01/24, 31.00, 32.00, 31.00, 32.00, 1080
07/31/24, 30.50, 30.50, 30.00, 30.10, 1001
07/30/24, 31.00, 31.00, 30.70, 31.00, 1186
07/26/24, 31.50, 31.60, 31.50, 31.50, 202
07/25/24, 32.40, 32.40, 30.20, 30.30, 1513
07/24/24, 30.50, 32.40, 30.50, 32.40, 222
07/23/24, 31.00, 31.00, 30.50, 31.00, 253
07/22/24, 32.60, 32.60, 30.50, 30.50, 500
07/19/24, 31.10, 33.00, 30.20, 30.40, 5650
07/18/24, 31.10, 31.10, 31.10, 31.10, 200
07/17/24, 31.10, 31.10, 31.10, 31.10, 1200
07/16/24, 31.10, 31.10, 31.10, 31.10, 700
07/15/24, 31.30, 33.60, 31.30, 32.00, 2368
07/12/24, 31.70, 31.70, 30.50, 30.50, 573
07/11/24, 30.50, 30.50, 30.50, 30.50, 600
07/10/24, 31.70, 31.70, 31.70, 31.70, 100
07/09/24, 31.10, 31.10, 30.60, 30.70, 1501
07/08/24, 31.50, 31.50, 31.00, 32.00, 41
07/05/24, 32.00, 32.00, 32.00, 32.00, 1300
07/02/24, 32.00, 32.00, 32.00, 32.60, 20
06/28/24, 32.00, 33.00, 31.50, 32.60, 8323
06/27/24, 31.00, 32.00, 31.00, 31.50, 6
06/26/24, 31.50, 32.10, 31.50, 31.50, 137
06/24/24, 32.40, 32.40, 32.40, 32.40, 105
06/20/24, 32.30, 32.30, 30.50, 30.60, 1684
06/19/24, 31.00, 31.00, 30.00, 30.10, 1802
06/18/24, 32.10, 32.80, 31.00, 31.10, 2619
