Date, Open, High, Low, Close, Volume
04/24/25, 3800.00, 3950.00, 3701.25, 4000.00, 77
04/23/25, 3800.00, 4000.00, 3600.00, 4000.00, 99
04/22/25, 4000.00, 4000.00, 4000.00, 4000.00, 2
04/04/25, 3701.25, 3701.25, 3700.00, 4000.00, 74
04/03/25, 3811.00, 3811.00, 3800.00, 4000.00, 30
04/02/25, 3900.00, 3900.00, 3896.00, 4000.00, 3
04/01/25, 3910.00, 3910.00, 3910.00, 4000.00, 1
03/28/25, 4000.00, 4000.00, 4000.00, 4000.00, 1
03/27/25, 3900.00, 3900.00, 3900.00, 4000.00, 14
03/25/25, 3811.00, 4000.00, 3811.00, 4000.00, 6
03/21/25, 3989.00, 3989.00, 3800.00, 4000.00, 92
02/27/25, 4197.00, 4198.00, 4197.00, 4000.00, 20
02/25/25, 4197.00, 4197.00, 4197.00, 4000.00, 1
02/14/25, 4000.00, 4000.00, 4000.00, 4000.00, 1
02/13/25, 4000.00, 4000.00, 4000.00, 4000.00, 4
02/11/25, 4000.00, 4000.00, 4000.00, 4000.00, 17
02/07/25, 3999.75, 3999.75, 3999.75, 4000.00, 1
02/05/25, 4000.00, 4000.00, 4000.00, 4000.00, 1
02/03/25, 4000.00, 4000.00, 4000.00, 4000.00, 2
01/30/25, 4075.00, 4075.00, 3910.00, 4000.00, 22
01/29/25, 4000.00, 4000.00, 4000.00, 4000.00, 5
01/28/25, 4000.00, 4000.00, 4000.00, 4000.00, 1
01/23/25, 4100.00, 4100.00, 3900.00, 4000.00, 2
01/21/25, 4000.00, 4000.00, 3910.00, 4000.00, 75
01/16/25, 4000.25, 4000.25, 4000.00, 4000.00, 101
01/09/25, 3955.00, 3955.00, 3955.00, 3955.25, 3
01/08/25, 3955.00, 3955.00, 3940.00, 3955.25, 11
01/07/25, 3955.00, 3955.00, 3955.00, 3955.25, 64
01/03/25, 3955.00, 3955.00, 3955.00, 3955.25, 37
01/02/25, 4099.50, 4099.50, 4099.25, 3955.25, 13
12/30/24, 4099.25, 4099.25, 4099.25, 3955.25, 9
12/27/24, 3999.00, 3999.00, 3901.00, 3955.25, 2
12/24/24, 3971.00, 3999.50, 3900.25, 3955.25, 36
12/23/24, 3970.00, 3999.00, 3970.00, 3955.25, 5
12/20/24, 3950.00, 3960.00, 3950.00, 3955.25, 1438
12/19/24, 3950.00, 3999.00, 3950.00, 4040.50, 6
12/18/24, 3999.00, 3999.00, 3998.00, 4040.50, 50
12/17/24, 3999.00, 3999.00, 3999.00, 4040.50, 18
12/16/24, 3999.00, 4000.00, 3999.00, 4040.50, 95
12/13/24, 4035.00, 4035.00, 4035.00, 4040.50, 5
12/12/24, 4040.00, 4040.00, 4040.00, 4040.50, 20
12/10/24, 3990.00, 3990.00, 3990.00, 4040.50, 10
12/09/24, 4000.00, 4000.00, 4000.00, 4040.50, 10
12/06/24, 4000.00, 4049.50, 4000.00, 4040.50, 35
12/05/24, 4000.00, 4000.00, 4000.00, 4040.50, 1
11/22/24, 3901.00, 3999.75, 3900.00, 4040.50, 7
11/21/24, 3925.25, 3925.25, 3905.00, 4040.50, 10
11/20/24, 4025.00, 4025.00, 4025.00, 4040.50, 20
11/08/24, 3900.00, 3900.00, 3900.00, 4040.50, 6
11/06/24, 4000.00, 4000.00, 3930.00, 4040.50, 14
11/05/24, 3931.00, 3931.00, 3931.00, 4040.50, 10
10/30/24, 4025.00, 4025.00, 4025.00, 4040.50, 267551
10/29/24, 4001.00, 4001.00, 3950.00, 4040.50, 50
10/28/24, 4480.00, 4480.00, 4001.00, 4040.50, 23
10/22/24, 4469.75, 4469.75, 4469.75, 4040.50, 1
10/21/24, 4075.00, 4075.00, 3990.00, 4040.50, 187
10/18/24, 4469.75, 4469.75, 3990.00, 4063.50, 103
10/16/24, 4150.00, 4150.00, 4150.00, 4013.50, 2
10/15/24, 4150.00, 4195.00, 3990.00, 4013.50, 78
10/14/24, 4000.00, 4010.00, 3990.00, 4013.50, 39
10/11/24, 4010.00, 4010.00, 3995.00, 4013.50, 79
10/10/24, 4050.00, 4100.00, 4000.00, 4013.50, 109
10/09/24, 4003.00, 4200.00, 4000.00, 4400.00, 31
10/07/24, 4000.50, 4000.50, 4000.50, 4400.00, 15
09/27/24, 3810.50, 3810.50, 3810.50, 4400.00, 6
09/23/24, 3755.00, 3755.00, 3755.00, 4400.00, 2
09/04/24, 5098.75, 5100.00, 5098.75, 4400.00, 5
09/03/24, 3800.00, 3800.00, 3800.00, 4400.00, 1
08/29/24, 5125.00, 5125.00, 5125.00, 4400.00, 1
08/21/24, 4450.00, 4450.00, 4450.00, 4400.00, 2
08/16/24, 4502.00, 4502.00, 4500.00, 4400.00, 10
08/15/24, 5000.00, 5070.00, 5000.00, 4400.00, 35
08/14/24, 5000.00, 5100.00, 5000.00, 4400.00, 22
08/13/24, 4500.00, 4500.00, 4500.00, 4400.00, 1
08/12/24, 4500.00, 4500.00, 4500.00, 4400.00, 1
08/01/24, 4500.00, 4500.00, 4500.00, 4400.00, 1
07/29/24, 4447.75, 4447.75, 4400.00, 4400.00, 2
07/19/24, 4006.00, 4006.00, 4006.00, 4400.00, 3
07/15/24, 4397.50, 4397.50, 4397.50, 4400.00, 1
07/01/24, 4550.50, 4550.50, 4550.50, 4400.00, 1
06/24/24, 4998.00, 4998.00, 4500.00, 4400.00, 7
06/20/24, 4500.00, 4500.00, 4500.00, 4400.00, 4
06/18/24, 4007.00, 4007.00, 4007.00, 4400.00, 57
06/14/24, 4106.00, 4106.00, 4002.00, 4400.00, 17
06/13/24, 4100.00, 4100.00, 4100.00, 4400.00, 3
06/04/24, 4305.00, 4305.00, 4300.00, 4400.00, 3
05/31/24, 4550.75, 4550.75, 4550.75, 4400.00, 1
05/30/24, 4948.00, 5020.00, 4948.00, 4400.00, 21
05/29/24, 4449.00, 4501.00, 4449.00, 4400.00, 8
05/28/24, 4400.00, 4500.00, 4400.00, 4400.00, 23
05/17/24, 4390.00, 4390.00, 4390.00, 4400.00, 10
05/16/24, 4390.00, 4390.00, 4300.00, 4400.00, 2
05/15/24, 4345.00, 4400.00, 4345.00, 4400.00, 111
05/14/24, 4150.00, 4150.00, 4150.00, 4000.00, 3
04/29/24, 4000.00, 4000.00, 4000.00, 4000.00, 2
04/24/24, 4000.00, 4000.00, 3975.00, 4000.00, 10
04/22/24, 3950.00, 3950.00, 3840.00, 4000.00, 25
04/19/24, 3801.00, 3801.00, 3801.00, 4000.00, 2
04/15/24, 3998.75, 3999.00, 3998.75, 4000.00, 23
04/10/24, 3998.75, 3998.75, 3998.75, 4000.00, 1
04/08/24, 3550.75, 3550.75, 3550.75, 4000.00, 25
04/01/24, 3600.00, 3600.00, 3600.00, 4000.00, 30
03/28/24, 3999.00, 4000.00, 3999.00, 4000.00, 110
03/26/24, 3761.00, 3761.00, 3600.00, 3757.25, 346
03/25/24, 3751.00, 3751.00, 3710.00, 4000.00, 10
03/14/24, 3700.00, 4000.00, 3700.00, 4000.00, 23
03/04/24, 4000.00, 4000.00, 4000.00, 4000.00, 45
02/29/24, 4000.00, 4000.00, 4000.00, 4000.00, 3
02/08/24, 4000.00, 4000.00, 4000.00, 4000.00, 1
01/17/24, 4000.00, 4000.00, 4000.00, 4000.00, 8
01/11/24, 4000.00, 4000.00, 4000.00, 4000.00, 5
01/10/24, 3999.75, 4000.00, 3999.75, 4000.00, 130
12/21/23, 3510.75, 3800.00, 3510.75, 4000.00, 3
12/14/23, 4000.00, 4000.00, 4000.00, 4000.00, 4
12/08/23, 4000.00, 4000.00, 4000.00, 4000.00, 1
12/06/23, 3815.25, 3815.25, 3815.00, 4000.00, 20
11/10/23, 3700.50, 3999.75, 3700.50, 4000.00, 2
11/08/23, 4000.00, 4000.00, 4000.00, 4000.00, 12
11/07/23, 4000.00, 4000.00, 4000.00, 4000.00, 1
11/03/23, 4360.00, 4360.00, 4300.00, 4000.00, 56
11/02/23, 4200.00, 4200.00, 4200.00, 4000.00, 1
10/16/23, 4148.75, 4148.75, 4148.75, 4000.00, 3
