Date, Open, High, Low, Close, Volume
04/24/25, 298.00, 299.00, 296.50, 297.75, 44164
04/23/25, 298.50, 299.50, 295.00, 297.50, 17698
04/22/25, 300.00, 300.00, 294.00, 295.75, 284633
04/21/25, 300.00, 300.00, 299.00, 299.00, 191929
04/17/25, 303.00, 303.00, 298.00, 299.00, 93907
04/16/25, 300.00, 302.75, 299.75, 302.00, 158554
04/11/25, 301.00, 302.00, 297.00, 300.00, 171895
04/10/25, 292.00, 312.00, 292.00, 301.50, 2134346
04/09/25, 279.50, 279.50, 273.00, 275.25, 900384
04/08/25, 272.00, 285.00, 272.00, 280.50, 735391
04/07/25, 290.00, 290.00, 267.00, 269.00, 2236608
04/04/25, 297.75, 297.75, 287.00, 292.25, 519342
04/03/25, 299.00, 305.00, 298.00, 298.25, 822762
04/02/25, 310.00, 310.00, 306.00, 306.25, 95422
04/01/25, 305.00, 310.00, 304.00, 309.50, 157411
03/28/25, 302.00, 306.00, 302.00, 305.00, 402386
03/27/25, 312.00, 317.00, 310.00, 314.75, 202412
03/26/25, 312.00, 317.00, 311.75, 312.00, 955607
03/25/25, 319.00, 319.00, 310.00, 315.00, 380697
03/24/25, 315.00, 319.50, 315.00, 317.25, 1062697
03/21/25, 311.00, 317.00, 309.50, 315.75, 258641
03/20/25, 304.00, 310.00, 303.75, 309.50, 380069
03/19/25, 299.00, 304.00, 299.00, 303.75, 284073
03/18/25, 311.75, 311.75, 299.00, 300.00, 398024
03/17/25, 312.00, 312.00, 304.00, 304.75, 86995
03/14/25, 309.50, 312.00, 305.25, 306.50, 308504
03/12/25, 303.50, 310.00, 303.50, 308.75, 459975
03/11/25, 311.00, 311.00, 301.00, 303.50, 1880724
03/10/25, 315.00, 315.00, 310.25, 311.00, 111943
03/07/25, 312.00, 316.00, 309.50, 314.25, 228403
03/06/25, 315.00, 320.00, 311.50, 312.00, 406574
03/05/25, 309.25, 314.50, 309.25, 313.75, 4587579
03/04/25, 316.00, 316.00, 305.00, 310.00, 1574804
03/03/25, 325.00, 325.00, 315.00, 315.75, 295489
02/28/25, 318.50, 326.00, 318.50, 324.75, 521041
02/27/25, 319.00, 319.25, 315.00, 318.50, 150643
02/25/25, 330.00, 330.00, 318.00, 318.50, 714369
02/24/25, 338.00, 338.00, 327.00, 327.50, 770858
02/21/25, 339.00, 339.00, 333.00, 333.50, 618817
02/20/25, 340.00, 340.00, 331.00, 332.75, 275148
02/19/25, 342.00, 345.00, 338.75, 339.50, 496178
02/18/25, 335.00, 345.00, 335.00, 341.25, 806310
02/17/25, 335.00, 335.00, 331.25, 333.75, 782728
02/14/25, 328.50, 335.00, 328.50, 331.50, 1659478
02/13/25, 329.00, 330.00, 328.00, 328.25, 500408
02/11/25, 335.00, 335.00, 329.00, 329.50, 478627
02/10/25, 337.00, 337.00, 333.00, 335.00, 538463
02/07/25, 334.50, 342.00, 334.50, 337.00, 176471
02/06/25, 334.00, 335.75, 329.25, 334.25, 1326272
02/05/25, 343.75, 344.75, 333.50, 334.00, 667642
02/03/25, 350.00, 350.00, 341.00, 344.50, 176421
01/31/25, 353.00, 353.50, 349.00, 349.75, 504150
01/30/25, 353.25, 354.75, 352.00, 352.25, 438858
01/29/25, 359.50, 359.50, 352.75, 353.25, 567619
01/28/25, 353.75, 359.50, 350.25, 355.50, 1357623
01/27/25, 350.00, 353.00, 346.75, 350.25, 741827
01/24/25, 359.75, 359.75, 341.50, 346.25, 2499455
01/23/25, 351.50, 362.00, 351.50, 360.50, 2314860
01/22/25, 336.00, 350.00, 336.00, 349.25, 3030448
01/21/25, 331.00, 336.00, 331.00, 334.75, 1953670
01/20/25, 328.00, 330.00, 328.00, 330.00, 719123
01/17/25, 329.00, 329.00, 327.25, 327.75, 677672
01/16/25, 328.00, 329.50, 326.50, 328.00, 1818355
01/15/25, 321.50, 330.00, 321.50, 329.50, 1470397
01/10/25, 309.75, 326.75, 308.75, 323.50, 984380
01/09/25, 313.00, 316.00, 308.00, 309.75, 718329
01/08/25, 314.50, 315.00, 310.00, 310.75, 563985
01/07/25, 315.25, 318.50, 312.50, 314.25, 288253
01/06/25, 320.00, 324.00, 310.00, 318.75, 1364736
01/03/25, 326.00, 326.00, 318.50, 320.25, 1508675
01/02/25, 321.00, 327.50, 320.25, 325.50, 1867081
12/31/24, 317.25, 324.00, 317.25, 319.75, 2148061
12/30/24, 303.00, 320.00, 303.00, 317.25, 3511830
12/27/24, 293.50, 305.00, 292.00, 301.50, 8920295
12/26/24, 286.00, 295.00, 283.00, 293.75, 899832
12/24/24, 284.50, 286.00, 278.00, 284.00, 658205
12/23/24, 280.00, 285.00, 279.75, 281.50, 2037500
12/20/24, 275.00, 275.00, 271.25, 272.00, 1378768
12/19/24, 278.00, 278.00, 271.75, 272.25, 728461
12/18/24, 271.00, 280.25, 270.00, 275.50, 2452615
12/17/24, 274.00, 275.00, 262.00, 272.00, 1279786
12/16/24, 260.25, 280.00, 260.25, 274.00, 1458878
12/13/24, 249.25, 259.00, 249.25, 254.75, 1643103
12/12/24, 243.00, 249.50, 243.00, 249.00, 849973
12/11/24, 240.00, 243.00, 240.00, 242.75, 170843
12/10/24, 243.00, 244.00, 242.00, 242.50, 302709
12/09/24, 240.00, 242.75, 239.50, 242.00, 295375
12/06/24, 240.00, 242.00, 239.50, 240.00, 509441
12/05/24, 238.00, 242.00, 238.00, 240.25, 1355610
12/04/24, 236.00, 239.00, 235.00, 238.00, 217681
12/03/24, 234.00, 236.00, 233.00, 235.25, 707183
12/02/24, 232.00, 234.00, 230.00, 233.50, 238096
11/29/24, 235.00, 236.00, 232.00, 232.50, 1629866
11/28/24, 231.00, 235.25, 231.00, 233.50, 1181796
11/27/24, 228.00, 230.00, 225.00, 230.00, 752831
11/26/24, 222.00, 229.00, 222.00, 226.25, 47957
11/25/24, 229.00, 229.50, 221.00, 222.50, 187003
11/22/24, 227.25, 231.00, 227.25, 229.00, 435202
11/21/24, 230.00, 231.00, 225.00, 229.00, 324087
11/20/24, 230.00, 232.50, 228.50, 230.00, 241539
11/19/24, 237.00, 237.00, 228.50, 230.00, 1136347
11/18/24, 240.00, 242.00, 235.00, 235.75, 1426135
11/14/24, 238.00, 238.25, 232.50, 233.75, 549253
11/13/24, 233.00, 236.00, 233.00, 235.50, 459145
11/12/24, 231.00, 235.00, 230.00, 230.75, 6829313
