Date, Open, High, Low, Close, Volume
04/24/25, 28.30, 28.30, 28.30, 28.30, 1025
04/23/25, 28.30, 28.30, 27.40, 28.30, 2173
04/22/25, 28.50, 28.50, 27.30, 28.30, 1190
04/21/25, 28.00, 28.00, 27.00, 28.00, 7130
04/17/25, 27.10, 28.00, 27.00, 28.00, 3357
04/16/25, 27.90, 27.90, 27.00, 27.00, 17801
04/11/25, 27.70, 28.00, 27.30, 27.80, 7699
04/10/25, 27.80, 28.00, 27.20, 27.70, 6450
04/09/25, 27.80, 27.80, 26.50, 27.00, 9521
04/08/25, 26.80, 28.00, 26.80, 28.00, 2562
04/07/25, 27.40, 27.40, 26.50, 26.50, 53146
04/04/25, 27.50, 27.60, 27.30, 27.40, 8923
04/03/25, 27.70, 27.70, 27.30, 27.50, 15539
04/02/25, 28.00, 29.00, 27.40, 28.00, 47690
04/01/25, 28.00, 28.00, 27.50, 27.50, 10193
03/28/25, 27.50, 28.00, 27.50, 27.70, 3988
03/27/25, 28.00, 28.00, 27.50, 27.50, 3615
03/26/25, 27.80, 28.00, 27.30, 27.60, 170
03/25/25, 27.50, 28.00, 27.50, 28.00, 5113
03/24/25, 28.00, 28.00, 27.50, 27.50, 23593
03/21/25, 28.00, 28.00, 27.50, 28.00, 1624
03/20/25, 27.00, 28.00, 27.00, 27.70, 1329
03/19/25, 27.10, 28.40, 27.00, 27.10, 13398
03/18/25, 27.50, 28.40, 27.20, 27.20, 4778
03/17/25, 27.50, 28.40, 27.00, 28.30, 11456
03/14/25, 28.00, 28.50, 27.50, 27.60, 21189
03/12/25, 28.00, 28.00, 27.90, 28.00, 321
03/11/25, 27.80, 27.80, 27.00, 27.20, 10500
03/10/25, 28.00, 28.00, 27.80, 27.90, 1341
03/07/25, 27.80, 28.70, 27.80, 28.00, 3464
03/06/25, 28.70, 28.70, 28.00, 28.00, 10361
03/05/25, 28.20, 28.70, 28.00, 28.00, 21779
03/04/25, 28.30, 28.30, 27.90, 27.90, 7689
03/03/25, 28.20, 28.50, 28.20, 28.30, 5194
02/28/25, 28.30, 28.90, 27.80, 28.30, 27041
02/27/25, 28.50, 29.00, 28.20, 28.30, 10118
02/25/25, 28.60, 28.80, 28.50, 28.60, 3343
02/24/25, 29.50, 29.50, 28.80, 28.80, 3979
02/21/25, 29.10, 29.10, 28.90, 29.00, 4599
02/20/25, 29.30, 29.50, 28.90, 29.10, 50768
02/19/25, 29.50, 29.90, 29.30, 29.40, 2599
02/18/25, 29.60, 30.00, 29.30, 29.50, 19614
02/17/25, 29.90, 30.30, 29.60, 29.90, 11496
02/14/25, 29.50, 30.50, 29.50, 29.70, 60569
02/13/25, 29.20, 29.90, 29.10, 29.60, 25641
02/11/25, 30.50, 30.50, 29.50, 29.50, 18111
02/10/25, 30.00, 30.60, 30.00, 30.50, 18593
02/07/25, 30.00, 30.00, 29.10, 29.80, 6206
02/06/25, 30.50, 30.50, 28.60, 29.60, 18858
02/05/25, 31.50, 31.50, 28.00, 29.10, 84395
02/03/25, 31.60, 31.60, 30.90, 31.30, 30413
01/31/25, 32.10, 32.20, 31.70, 32.00, 98765
01/30/25, 31.10, 32.30, 31.00, 31.90, 45853
01/29/25, 31.40, 31.90, 30.80, 31.30, 53658
01/28/25, 31.50, 31.50, 31.10, 31.10, 18444
01/27/25, 30.70, 31.50, 30.50, 30.80, 37792
01/24/25, 31.20, 32.00, 30.50, 31.30, 33410
01/23/25, 31.70, 31.70, 31.00, 31.10, 25710
01/22/25, 32.10, 32.50, 31.60, 31.90, 97865
01/21/25, 31.80, 32.50, 31.70, 32.00, 226674
01/20/25, 29.50, 32.70, 29.50, 31.70, 389667
01/17/25, 28.30, 29.50, 28.00, 29.20, 342897
01/16/25, 28.40, 28.40, 27.40, 28.00, 62278
01/15/25, 28.50, 28.90, 28.00, 28.10, 54372
01/10/25, 28.90, 28.90, 27.90, 28.10, 16321
01/09/25, 29.10, 29.80, 29.00, 29.10, 14667
01/08/25, 28.00, 29.70, 28.00, 29.10, 33305
01/07/25, 28.00, 29.00, 28.00, 28.40, 18513
01/06/25, 29.80, 29.80, 28.40, 28.80, 117504
01/03/25, 30.50, 30.90, 30.00, 30.20, 271843
01/02/25, 30.20, 30.60, 30.20, 30.20, 32615
12/31/24, 30.30, 30.30, 29.90, 30.00, 38986
12/30/24, 30.30, 30.30, 30.00, 30.20, 101639
12/27/24, 30.70, 30.70, 29.90, 30.20, 98490
12/26/24, 30.80, 30.90, 29.90, 30.10, 323602
12/24/24, 30.30, 30.30, 28.90, 29.10, 45635
12/23/24, 29.50, 30.40, 29.50, 29.90, 69116
12/20/24, 29.50, 30.00, 29.00, 29.20, 168463
12/19/24, 29.50, 30.00, 28.50, 28.70, 168395
12/18/24, 29.00, 30.00, 28.70, 29.00, 54898
12/17/24, 28.70, 29.50, 28.50, 29.50, 28740
12/16/24, 30.00, 30.00, 28.80, 29.00, 62363
12/13/24, 29.50, 30.00, 29.50, 29.50, 40644
12/12/24, 30.00, 30.00, 29.10, 30.00, 24959
12/11/24, 29.80, 30.00, 29.20, 29.90, 49345
12/10/24, 30.30, 31.00, 29.80, 29.80, 121713
12/09/24, 29.50, 30.50, 29.50, 30.10, 482806
12/06/24, 28.00, 29.50, 28.00, 29.30, 74841
12/05/24, 28.50, 28.50, 27.70, 28.00, 71817
12/04/24, 29.00, 29.00, 28.50, 28.50, 13509
12/03/24, 28.80, 29.00, 28.80, 29.00, 12000
12/02/24, 28.60, 29.00, 28.20, 28.80, 4601
11/29/24, 28.80, 28.80, 28.00, 28.00, 20659
11/28/24, 28.70, 28.80, 28.00, 28.00, 2312
11/27/24, 28.50, 28.50, 27.50, 28.30, 35909
11/26/24, 28.10, 28.50, 27.40, 27.60, 56684
11/25/24, 28.20, 28.90, 28.00, 28.00, 82150
11/22/24, 28.90, 28.90, 28.00, 28.50, 12598
11/21/24, 28.50, 28.50, 27.90, 28.00, 34789
11/20/24, 28.00, 29.50, 27.50, 28.50, 311532
11/19/24, 27.90, 27.90, 27.00, 27.50, 35137
11/18/24, 28.50, 28.90, 27.60, 27.90, 4435
11/14/24, 28.10, 28.80, 27.00, 28.50, 53454
11/13/24, 28.90, 29.20, 28.10, 28.30, 22738
11/12/24, 27.50, 29.30, 27.50, 29.10, 30371
11/11/24, 28.20, 28.20, 27.40, 27.80, 10328
11/08/24, 29.30, 29.30, 28.10, 28.10, 17532
11/07/24, 28.90, 30.00, 28.50, 28.80, 211194
11/06/24, 28.00, 28.90, 27.60, 28.50, 52427
11/05/24, 27.70, 28.00, 27.70, 28.00, 15937
11/04/24, 27.60, 28.00, 27.10, 28.00, 12245
11/01/24, 28.00, 28.00, 27.10, 27.60, 33509
10/30/24, 27.80, 28.40, 27.00, 27.30, 80933
10/29/24, 28.00, 28.40, 27.80, 27.90, 28222
10/28/24, 28.50, 28.50, 27.50, 27.60, 52588
10/25/24, 28.00, 28.90, 27.40, 28.00, 13035
10/24/24, 28.90, 29.00, 28.00, 28.00, 32888
10/23/24, 28.60, 29.00, 27.50, 27.80, 51282
10/22/24, 29.60, 29.60, 28.60, 28.80, 123458
10/21/24, 27.00, 30.00, 27.00, 29.80, 550064
10/18/24, 26.20, 27.00, 26.20, 26.90, 44069
10/16/24, 25.90, 27.50, 25.90, 26.30, 93774
10/15/24, 26.40, 27.00, 26.40, 26.40, 314
10/14/24, 26.50, 27.50, 26.40, 27.00, 170867
10/11/24, 25.00, 26.50, 25.00, 26.40, 22352
10/10/24, 25.70, 25.70, 25.00, 25.00, 514
10/09/24, 25.90, 25.90, 25.00, 25.60, 8950
10/08/24, 25.90, 25.90, 25.20, 25.20, 202
10/07/24, 25.90, 25.90, 25.20, 25.50, 11936
10/04/24, 26.00, 26.70, 24.80, 25.90, 19926
10/03/24, 25.00, 26.00, 24.30, 25.90, 7968
10/02/24, 25.10, 25.40, 25.00, 25.10, 1305
10/01/24, 25.90, 25.90, 25.20, 25.60, 2302
