Date, Open, High, Low, Close, Volume
04/24/25, 79.00, 80.00, 79.00, 79.50, 7890
04/23/25, 78.40, 79.00, 78.20, 78.80, 18400
04/22/25, 79.50, 79.50, 78.50, 78.50, 82374
04/21/25, 79.60, 79.60, 79.00, 79.60, 241742
04/17/25, 79.60, 79.60, 79.00, 79.60, 8205
04/16/25, 80.00, 80.00, 79.50, 79.50, 12344
04/11/25, 79.10, 81.50, 78.70, 78.80, 10004
04/10/25, 80.10, 81.50, 78.50, 79.00, 190423
04/09/25, 77.60, 78.00, 76.00, 77.10, 53747
04/08/25, 76.10, 78.00, 76.10, 77.70, 41847
04/07/25, 77.80, 78.00, 72.50, 76.50, 334124
04/04/25, 78.00, 79.90, 77.20, 77.70, 229797
04/03/25, 82.00, 82.00, 76.10, 79.50, 248467
04/02/25, 83.00, 83.50, 82.50, 82.90, 103305
04/01/25, 83.00, 83.00, 81.90, 83.00, 21223
03/28/25, 82.00, 82.50, 81.50, 82.10, 39493
03/27/25, 81.00, 82.50, 80.80, 81.30, 9460
03/26/25, 81.90, 82.50, 80.90, 81.00, 12678
03/25/25, 82.50, 82.90, 81.00, 81.50, 14650
03/24/25, 82.50, 82.50, 81.50, 81.80, 18656
03/21/25, 80.60, 82.50, 80.60, 82.10, 5896
03/20/25, 81.00, 82.00, 79.90, 80.50, 114076
03/19/25, 79.90, 81.50, 79.10, 79.20, 16068
03/18/25, 79.80, 80.00, 79.40, 79.80, 150157
03/17/25, 82.00, 82.00, 80.00, 80.20, 19440
03/14/25, 81.50, 82.00, 81.20, 81.30, 11799
03/12/25, 80.60, 82.00, 80.50, 81.50, 19060
03/11/25, 83.00, 83.00, 79.30, 80.00, 122158
03/10/25, 83.00, 83.00, 82.00, 82.20, 32861
03/07/25, 83.00, 83.50, 82.00, 83.00, 28194
03/06/25, 83.90, 85.00, 82.50, 83.50, 105956
03/05/25, 82.90, 83.70, 82.00, 83.40, 18206
03/04/25, 81.50, 83.00, 81.50, 82.20, 26510
03/03/25, 83.60, 83.70, 82.00, 82.00, 86567
02/28/25, 85.00, 86.00, 83.30, 83.50, 13527
