Date, Open, High, Low, Close, Volume
04/24/25, 41.50, 42.00, 41.20, 41.50, 224047
04/23/25, 41.50, 41.50, 40.60, 41.00, 226391
04/22/25, 41.20, 41.60, 41.20, 41.30, 81794
04/21/25, 42.00, 42.50, 41.10, 41.20, 242869
04/17/25, 42.20, 42.20, 41.10, 41.80, 58464
04/16/25, 42.50, 42.60, 41.10, 41.40, 116419
04/11/25, 43.00, 43.00, 41.00, 41.80, 1759909
04/10/25, 43.00, 46.20, 42.50, 42.80, 3277472
04/09/25, 39.00, 39.00, 36.80, 37.00, 613218
04/08/25, 38.80, 41.00, 38.10, 38.60, 536456
04/07/25, 40.90, 40.90, 38.50, 39.00, 520635
04/04/25, 41.00, 41.80, 40.60, 41.00, 843335
04/03/25, 45.00, 45.00, 40.00, 41.00, 2985377
04/02/25, 47.50, 48.00, 47.40, 48.00, 322820
04/01/25, 46.30, 48.00, 46.30, 47.20, 56090
03/28/25, 47.00, 47.00, 45.00, 45.00, 446843
03/27/25, 47.00, 48.00, 46.50, 46.50, 35675
03/26/25, 47.90, 47.90, 46.50, 47.00, 36478
03/25/25, 48.00, 48.80, 47.00, 47.00, 267539
03/24/25, 48.00, 48.50, 48.00, 48.00, 190804
03/21/25, 46.70, 48.00, 46.70, 48.00, 29776
03/20/25, 46.00, 48.10, 46.00, 47.00, 211298
03/19/25, 46.80, 46.80, 45.50, 45.90, 32013
03/18/25, 47.30, 48.40, 46.80, 47.00, 60162
03/17/25, 48.40, 48.40, 47.30, 47.30, 306087
03/14/25, 48.90, 48.90, 48.40, 48.40, 97606
03/12/25, 48.90, 49.00, 48.50, 48.60, 82635
03/11/25, 49.10, 49.40, 48.50, 48.60, 261334
03/10/25, 49.70, 50.00, 49.10, 49.60, 23082
03/07/25, 50.80, 50.80, 49.00, 49.70, 13561
03/06/25, 50.00, 51.40, 49.70, 49.90, 42395
03/05/25, 49.00, 50.00, 49.00, 49.60, 54482
03/04/25, 49.00, 49.00, 48.10, 48.50, 68564
03/03/25, 50.00, 50.00, 48.90, 49.10, 38639
02/28/25, 49.10, 50.80, 49.10, 50.00, 87831
02/27/25, 49.40, 49.40, 48.90, 49.10, 71763
02/25/25, 49.80, 49.90, 48.90, 49.10, 155068
02/24/25, 50.00, 50.00, 49.50, 49.80, 65924
02/21/25, 50.50, 51.00, 49.90, 50.00, 547467
02/20/25, 50.50, 50.50, 49.90, 50.00, 100668
02/19/25, 51.00, 51.90, 50.00, 50.10, 137876
02/18/25, 51.00, 52.50, 50.50, 50.90, 576655
02/17/25, 51.40, 51.40, 49.90, 50.10, 1448266
02/14/25, 52.00, 52.00, 50.90, 51.10, 373330
02/13/25, 52.00, 52.50, 52.00, 52.50, 37793
02/11/25, 51.50, 52.00, 50.50, 51.50, 184857
02/10/25, 53.00, 54.40, 51.80, 52.10, 179079
02/07/25, 52.00, 53.00, 52.00, 52.30, 20937
02/06/25, 52.10, 53.00, 52.00, 52.50, 200571
02/05/25, 54.80, 54.80, 52.00, 52.10, 390221
02/03/25, 53.60, 54.50, 53.00, 53.90, 2908680
01/31/25, 53.80, 54.30, 53.40, 53.60, 1470967
01/30/25, 53.50, 53.80, 52.60, 53.10, 145834
01/29/25, 52.00, 53.90, 51.90, 53.50, 825239
01/28/25, 52.30, 53.90, 51.90, 52.00, 608810
01/27/25, 53.00, 53.00, 51.90, 52.00, 833507
01/24/25, 54.00, 54.00, 52.60, 52.90, 342342
01/23/25, 54.80, 55.00, 53.10, 53.60, 409928
01/22/25, 56.00, 56.00, 54.50, 55.00, 465529
01/21/25, 56.90, 57.00, 55.50, 55.90, 70408
01/20/25, 56.40, 57.00, 55.10, 56.70, 568078
01/17/25, 54.20, 56.40, 54.20, 55.90, 352680
01/16/25, 53.50, 54.30, 53.10, 54.00, 98451
01/15/25, 54.50, 54.50, 53.80, 53.80, 81881
01/10/25, 54.00, 54.90, 52.50, 54.50, 107359
01/09/25, 55.00, 55.10, 53.80, 54.00, 119490
01/08/25, 53.00, 55.40, 52.90, 54.70, 1064324
01/07/25, 52.50, 53.90, 51.30, 52.70, 343072
01/06/25, 53.50, 55.00, 51.00, 52.60, 727562
01/03/25, 56.00, 57.50, 54.00, 55.20, 3197443
01/02/25, 55.10, 56.40, 55.00, 56.00, 947636
12/31/24, 56.90, 56.90, 54.70, 55.00, 837863
12/30/24, 56.30, 57.30, 55.70, 56.70, 2233117
12/27/24, 54.50, 56.40, 54.20, 55.40, 3783710
12/26/24, 53.70, 54.90, 53.00, 54.50, 2813580
12/24/24, 52.90, 54.00, 50.90, 53.70, 947495
12/23/24, 50.50, 53.00, 50.50, 52.50, 1818193
12/20/24, 51.40, 51.50, 50.00, 50.10, 681657
