Date, Open, High, Low, Close, Volume
04/24/25, 48.30, 48.30, 47.60, 48.00, 2927
04/23/25, 47.90, 48.50, 47.80, 48.00, 805
04/22/25, 47.90, 47.90, 47.90, 47.90, 430
04/21/25, 47.90, 48.00, 47.80, 47.80, 2233
04/17/25, 47.80, 48.00, 46.90, 47.00, 62
04/16/25, 48.00, 48.00, 47.00, 47.00, 1244
04/11/25, 48.80, 48.80, 46.60, 48.00, 1401
04/10/25, 48.20, 49.50, 46.10, 46.50, 12062
04/09/25, 46.00, 46.00, 46.00, 46.00, 508
04/08/25, 45.80, 47.00, 45.80, 46.00, 4248
04/07/25, 46.00, 47.50, 45.00, 46.00, 12993
04/04/25, 46.50, 47.40, 46.00, 46.10, 5345
04/03/25, 47.00, 47.60, 45.90, 46.50, 11198
04/02/25, 49.00, 49.00, 46.20, 48.50, 3161
04/01/25, 48.30, 48.30, 46.10, 47.20, 4303
03/28/25, 46.40, 48.00, 46.00, 46.10, 22047
03/27/25, 47.00, 48.30, 46.20, 46.40, 7100
03/26/25, 48.30, 48.30, 47.50, 48.10, 119
03/25/25, 48.90, 48.90, 47.40, 48.30, 2561
03/24/25, 48.60, 49.20, 47.20, 47.40, 3137
03/21/25, 48.50, 48.60, 47.30, 48.00, 2341
03/20/25, 48.80, 48.80, 47.50, 47.50, 6852
03/19/25, 48.20, 48.50, 46.50, 47.00, 4225
03/18/25, 47.00, 47.70, 46.20, 46.90, 19819
03/17/25, 47.50, 47.50, 45.80, 46.00, 27865
03/14/25, 50.80, 50.80, 45.00, 46.00, 227633
03/12/25, 50.90, 50.90, 50.00, 50.00, 389
03/11/25, 49.00, 49.90, 48.00, 49.00, 1951
03/10/25, 50.10, 51.50, 47.00, 48.90, 20656
03/07/25, 49.90, 49.90, 49.50, 49.50, 7063
03/06/25, 52.00, 52.00, 49.90, 49.90, 5203
03/05/25, 50.00, 52.00, 50.00, 50.70, 11918
03/04/25, 50.20, 50.50, 49.90, 49.90, 3452
03/03/25, 52.00, 52.00, 50.20, 50.50, 16193
02/28/25, 52.40, 52.40, 51.20, 51.30, 503
02/27/25, 52.00, 52.40, 51.40, 51.50, 645
02/25/25, 51.70, 53.00, 51.00, 51.10, 4326
02/24/25, 52.00, 52.70, 51.70, 51.80, 4149
02/21/25, 52.00, 52.90, 52.00, 52.00, 1716
02/20/25, 53.00, 53.00, 52.00, 52.00, 12045
02/19/25, 53.00, 53.00, 52.00, 52.00, 41258
02/18/25, 53.00, 53.00, 52.00, 52.90, 1211
02/17/25, 53.00, 53.00, 52.00, 52.20, 7724
02/14/25, 53.10, 53.10, 52.00, 52.00, 44990
02/13/25, 52.50, 53.90, 52.10, 53.50, 1927
02/11/25, 54.00, 54.00, 53.00, 53.00, 7802
02/10/25, 54.10, 55.30, 53.60, 53.60, 1001
02/07/25, 54.10, 55.80, 54.10, 55.30, 2156
02/06/25, 54.10, 55.00, 53.50, 53.50, 6484
02/05/25, 55.00, 56.00, 54.10, 54.10, 18120
02/03/25, 55.10, 56.80, 54.50, 55.30, 24628
01/31/25, 55.50, 55.50, 54.60, 55.00, 4161
01/30/25, 54.50, 55.90, 54.50, 55.50, 22916
01/29/25, 54.00, 55.90, 54.00, 54.10, 12279
01/28/25, 55.00, 55.00, 54.00, 54.20, 41185
01/27/25, 56.90, 56.90, 53.50, 53.70, 24753
01/24/25, 55.10, 56.90, 54.00, 54.30, 24179
01/23/25, 55.00, 57.00, 53.80, 55.60, 25673
01/22/25, 55.70, 56.00, 54.20, 55.70, 9796
01/21/25, 54.50, 55.90, 54.00, 55.70, 16313
01/20/25, 53.50, 54.50, 52.90, 54.00, 11899
01/17/25, 54.80, 54.80, 53.50, 53.50, 7276
01/16/25, 54.50, 54.90, 54.00, 54.50, 9408
01/15/25, 54.80, 54.80, 53.10, 54.50, 6080
01/10/25, 54.40, 55.50, 52.30, 54.90, 9511
01/09/25, 54.30, 55.20, 53.00, 53.70, 3689
01/08/25, 54.20, 55.40, 54.20, 54.30, 8298
01/07/25, 52.80, 54.60, 52.20, 52.30, 35175
01/06/25, 54.00, 55.20, 52.00, 52.80, 54858
01/03/25, 56.70, 56.70, 54.60, 55.30, 78111
01/02/25, 57.00, 57.50, 56.00, 56.40, 11733
12/31/24, 57.80, 58.20, 56.00, 56.00, 45168
12/30/24, 58.00, 58.70, 57.00, 57.40, 39200
12/27/24, 59.40, 60.00, 57.00, 57.00, 25616
12/26/24, 59.40, 59.70, 57.50, 58.00, 45034
12/24/24, 56.10, 60.00, 56.00, 59.00, 344364
12/23/24, 52.00, 57.50, 52.00, 56.70, 203862
12/20/24, 53.00, 53.00, 51.70, 52.30, 208354
12/19/24, 52.50, 53.00, 52.50, 52.90, 8304
12/18/24, 52.20, 53.00, 52.20, 52.80, 7050
12/17/24, 53.00, 53.00, 52.90, 52.90, 663
12/16/24, 53.90, 53.90, 52.50, 52.80, 69737
12/13/24, 53.00, 54.50, 53.00, 53.80, 9625
12/12/24, 54.30, 54.70, 53.10, 54.40, 15342
12/11/24, 54.50, 54.50, 53.00, 53.40, 18684
12/10/24, 53.00, 54.70, 52.50, 54.00, 149175
12/09/24, 51.30, 52.50, 51.30, 52.00, 54738
12/06/24, 51.50, 51.50, 51.30, 51.30, 2208
12/05/24, 51.00, 52.10, 51.00, 51.30, 11106
12/04/24, 51.00, 51.00, 50.50, 50.60, 13027
12/03/24, 50.50, 50.90, 50.40, 50.90, 7259
12/02/24, 51.30, 51.30, 50.50, 50.70, 2356
11/29/24, 50.40, 51.30, 50.40, 50.60, 641
11/28/24, 51.30, 51.30, 50.50, 50.50, 664
11/27/24, 50.60, 50.70, 50.40, 50.60, 3157
11/26/24, 50.60, 50.90, 50.40, 50.50, 160
