Date, Open, High, Low, Close, Volume
04/24/25, 133.00, 133.00, 131.00, 132.50, 36032
04/23/25, 133.00, 133.00, 130.00, 130.00, 371639
04/22/25, 133.00, 134.50, 129.75, 130.00, 137766
04/21/25, 134.50, 134.75, 132.50, 132.75, 61980
04/17/25, 135.00, 136.50, 134.50, 134.75, 106066
04/16/25, 135.75, 135.75, 134.00, 135.00, 33886
04/11/25, 136.00, 136.00, 132.75, 134.50, 198643
04/10/25, 135.00, 139.00, 134.50, 136.00, 797683
04/09/25, 135.00, 135.00, 128.75, 129.75, 332458
04/08/25, 130.50, 139.00, 130.50, 138.00, 382416
04/07/25, 135.00, 135.00, 127.00, 130.00, 725032
04/04/25, 137.00, 138.75, 134.00, 137.50, 1441521
04/03/25, 142.00, 143.00, 137.00, 140.00, 1271426
04/02/25, 143.75, 149.25, 143.00, 147.75, 1202052
04/01/25, 138.00, 144.00, 137.75, 143.50, 872797
03/28/25, 136.00, 138.00, 136.00, 137.00, 133397
03/27/25, 136.25, 137.00, 135.75, 136.00, 13252
03/26/25, 138.25, 138.25, 136.75, 137.00, 8375
03/25/25, 138.00, 138.25, 137.00, 138.00, 225540
03/24/25, 138.00, 138.50, 137.00, 137.00, 193624
03/21/25, 136.25, 137.75, 136.25, 137.75, 224592
03/20/25, 133.75, 136.50, 133.00, 135.75, 95737
03/19/25, 132.50, 134.00, 130.25, 133.50, 165351
03/18/25, 134.00, 135.25, 132.75, 133.00, 47296
03/17/25, 136.50, 137.00, 134.50, 135.00, 714727
03/14/25, 136.75, 138.50, 136.50, 137.50, 513332
03/12/25, 138.50, 138.50, 132.00, 136.50, 650407
03/11/25, 136.25, 136.25, 130.00, 133.00, 451646
03/10/25, 135.00, 140.00, 135.00, 138.00, 102719
03/07/25, 140.00, 140.25, 138.00, 140.00, 774888
03/06/25, 138.50, 142.00, 138.00, 140.50, 410792
03/05/25, 131.50, 138.00, 131.25, 137.25, 694674
03/04/25, 133.00, 133.50, 130.25, 132.75, 148447
03/03/25, 137.00, 137.50, 132.50, 133.00, 61668
02/28/25, 137.50, 138.00, 137.00, 137.50, 53303
02/27/25, 136.00, 138.50, 136.00, 137.00, 168527
02/25/25, 139.25, 139.50, 136.00, 136.25, 303384
02/24/25, 140.25, 141.00, 138.00, 139.50, 171098
02/21/25, 141.25, 144.00, 140.00, 140.50, 143910
02/20/25, 143.00, 143.00, 141.00, 141.50, 352110
02/19/25, 145.50, 146.50, 141.50, 143.00, 206037
02/18/25, 149.00, 149.25, 144.00, 145.50, 516615
02/17/25, 141.50, 148.00, 141.50, 147.00, 901088
02/14/25, 137.75, 142.75, 137.75, 141.75, 1303253
02/13/25, 133.00, 136.00, 133.00, 135.75, 525964
02/11/25, 135.75, 135.75, 132.00, 134.00, 365755
02/10/25, 138.50, 139.00, 135.00, 135.75, 231724
02/07/25, 138.50, 139.00, 135.00, 138.50, 209086
02/06/25, 135.00, 139.50, 134.75, 138.00, 615465
02/05/25, 140.00, 140.00, 135.00, 137.25, 895800
02/03/25, 142.00, 142.50, 139.50, 140.00, 382157
01/31/25, 141.00, 144.00, 140.00, 142.00, 228373
01/30/25, 143.25, 143.75, 141.75, 142.00, 162826
01/29/25, 140.00, 146.00, 140.00, 143.25, 488976
01/28/25, 142.00, 142.50, 139.75, 140.25, 266856
01/27/25, 138.50, 142.50, 136.50, 142.00, 474924
01/24/25, 140.00, 142.00, 136.00, 139.25, 194806
01/23/25, 134.75, 142.75, 134.00, 141.00, 1336768
01/22/25, 134.00, 136.50, 131.25, 135.00, 876640
01/21/25, 131.00, 135.00, 129.50, 132.00, 303319
01/20/25, 130.00, 131.00, 129.00, 129.50, 295195
01/17/25, 129.25, 130.00, 128.75, 129.00, 426840
01/16/25, 131.00, 131.00, 129.25, 130.25, 285126
01/15/25, 128.00, 131.00, 126.75, 130.00, 396281
01/10/25, 127.50, 130.00, 122.25, 128.00, 324730
01/09/25, 129.75, 132.00, 127.50, 128.25, 269261
01/08/25, 126.50, 132.50, 126.50, 129.50, 410677
01/07/25, 129.50, 130.00, 125.00, 129.25, 438142
01/06/25, 132.50, 132.50, 125.00, 129.75, 976637
01/03/25, 133.50, 137.00, 125.00, 128.50, 1126407
01/02/25, 130.75, 134.50, 130.00, 134.00, 485730
12/31/24, 128.25, 132.00, 128.00, 131.25, 1037017
12/30/24, 126.00, 128.75, 125.25, 128.00, 808753
12/27/24, 126.00, 126.75, 124.00, 125.25, 559343
12/26/24, 123.50, 128.50, 123.50, 126.00, 735246
12/24/24, 117.25, 125.00, 116.00, 123.75, 1312849
12/23/24, 118.50, 119.00, 117.25, 118.00, 551272
12/20/24, 118.50, 119.00, 118.00, 118.50, 272887
12/19/24, 118.50, 118.75, 117.00, 118.00, 130409
12/18/24, 117.00, 119.25, 117.00, 118.50, 425612
12/17/24, 118.00, 119.25, 116.00, 118.25, 696991
12/16/24, 118.00, 119.00, 116.50, 118.75, 858182
12/13/24, 118.00, 118.75, 117.00, 118.00, 576730
