Date, Open, High, Low, Close, Volume
04/24/25, 119.75, 119.75, 118.75, 119.50, 865340
04/23/25, 119.25, 119.50, 119.00, 119.00, 77286
04/22/25, 119.50, 119.50, 118.75, 119.00, 25567
04/21/25, 119.50, 120.00, 119.00, 119.25, 34433
04/17/25, 119.00, 119.00, 118.00, 119.00, 32410
04/16/25, 118.25, 119.75, 118.25, 118.75, 57690
04/11/25, 117.00, 117.50, 116.00, 116.75, 20573
04/10/25, 114.00, 120.00, 114.00, 116.75, 952795
04/09/25, 115.00, 115.00, 111.75, 111.75, 170222
04/08/25, 111.50, 119.00, 111.50, 115.25, 550124
04/07/25, 115.00, 115.00, 108.25, 112.00, 414834
04/04/25, 118.00, 118.00, 116.00, 117.25, 489089
04/03/25, 121.00, 121.00, 117.75, 119.00, 166365
04/02/25, 121.25, 122.50, 121.00, 122.25, 33756
04/01/25, 119.50, 122.00, 119.25, 121.75, 552751
03/28/25, 120.00, 120.00, 118.75, 120.00, 211449
03/27/25, 119.00, 119.75, 118.00, 118.75, 98006
03/26/25, 119.50, 120.00, 119.00, 119.25, 34608
03/25/25, 120.50, 120.50, 119.25, 119.25, 233560
03/24/25, 120.00, 120.75, 119.75, 119.75, 237224
03/21/25, 119.00, 119.75, 119.00, 119.25, 525870
03/20/25, 117.00, 119.00, 117.00, 118.50, 33119
03/19/25, 117.00, 118.00, 115.00, 115.00, 513867
03/18/25, 119.25, 120.50, 116.25, 117.50, 360281
03/17/25, 122.00, 122.00, 119.75, 120.00, 36505
03/14/25, 121.00, 122.50, 120.50, 121.50, 424158
03/12/25, 119.25, 120.25, 118.75, 119.50, 139555
03/11/25, 120.25, 122.00, 118.25, 119.25, 310639
03/10/25, 122.00, 123.00, 120.50, 120.50, 79145
03/07/25, 119.00, 122.50, 117.00, 120.75, 4598107
03/06/25, 117.00, 119.00, 116.50, 117.75, 584133
03/05/25, 114.00, 117.50, 113.00, 116.00, 3072783
03/04/25, 115.50, 115.50, 113.00, 113.00, 137358
03/03/25, 119.00, 119.50, 115.00, 115.75, 1414763
02/28/25, 117.50, 118.75, 117.50, 118.25, 650241
02/27/25, 118.50, 120.00, 117.00, 117.50, 63002
02/25/25, 121.50, 122.00, 117.00, 118.25, 277080
02/24/25, 122.50, 123.00, 121.00, 121.75, 425416
02/21/25, 121.00, 122.50, 120.50, 122.00, 540892
02/20/25, 122.00, 122.00, 120.50, 121.00, 144231
02/19/25, 123.00, 123.50, 121.00, 122.00, 1714904
02/18/25, 125.00, 128.00, 121.00, 123.00, 1470811
02/17/25, 116.50, 117.00, 116.00, 117.00, 831707
02/14/25, 113.75, 117.00, 113.75, 116.50, 1628546
02/13/25, 110.00, 113.00, 110.00, 112.75, 78302
