Date, Open, High, Low, Close, Volume
04/24/25, 3.30, 3.30, 3.20, 3.20, 253
04/23/25, 3.30, 3.30, 3.20, 3.20, 4739
04/22/25, 3.20, 3.30, 3.20, 3.30, 13850
04/21/25, 3.20, 3.30, 3.20, 3.20, 56468
04/17/25, 3.30, 3.30, 3.20, 3.20, 55201
04/16/25, 3.20, 3.30, 3.20, 3.20, 7367
04/11/25, 3.30, 3.30, 3.20, 3.20, 27393
04/10/25, 3.30, 3.30, 3.20, 3.20, 210216
04/09/25, 3.30, 3.30, 3.20, 3.30, 6204
04/08/25, 3.10, 3.40, 3.10, 3.30, 257020
04/07/25, 3.20, 3.30, 3.10, 3.30, 369250
04/04/25, 3.40, 3.40, 3.20, 3.30, 9630
04/03/25, 3.30, 3.40, 3.30, 3.40, 51320
04/02/25, 3.40, 3.40, 3.30, 3.40, 31722
04/01/25, 3.30, 3.40, 3.30, 3.30, 221549
03/28/25, 3.20, 3.30, 3.20, 3.30, 14252
03/27/25, 3.30, 3.30, 3.20, 3.30, 72287
03/26/25, 3.30, 3.30, 3.20, 3.20, 35529
03/25/25, 3.40, 3.40, 3.20, 3.20, 4702
03/24/25, 3.40, 3.40, 3.20, 3.20, 122212
03/21/25, 3.30, 3.40, 3.20, 3.20, 58586
03/20/25, 3.20, 3.30, 3.20, 3.30, 127876
03/19/25, 3.20, 3.30, 3.10, 3.20, 84292
03/18/25, 3.30, 3.30, 3.20, 3.20, 1339668
03/17/25, 3.20, 3.30, 3.20, 3.20, 56390
03/14/25, 3.40, 3.40, 3.20, 3.30, 102912
03/12/25, 3.30, 3.40, 3.30, 3.30, 71179
03/11/25, 3.20, 3.40, 3.20, 3.30, 348120
03/10/25, 3.40, 3.40, 3.30, 3.30, 41712
03/07/25, 3.40, 3.40, 3.30, 3.30, 224578
03/06/25, 3.30, 3.40, 3.30, 3.40, 26658
03/05/25, 3.40, 3.40, 3.30, 3.30, 17200
03/04/25, 3.30, 3.40, 3.20, 3.40, 213629
03/03/25, 3.40, 3.40, 3.30, 3.30, 247625
02/28/25, 3.40, 3.40, 3.30, 3.40, 179495
02/27/25, 3.30, 3.40, 3.20, 3.30, 46192
02/25/25, 3.30, 3.40, 3.30, 3.30, 891007
02/24/25, 3.40, 3.40, 3.30, 3.40, 975987
02/21/25, 3.40, 3.50, 3.30, 3.40, 44946
02/20/25, 3.40, 3.50, 3.30, 3.40, 127461
02/19/25, 3.50, 3.50, 3.40, 3.40, 331066
02/18/25, 3.50, 3.50, 3.40, 3.40, 517895
02/17/25, 3.50, 3.50, 3.40, 3.50, 220723
02/14/25, 3.50, 3.60, 3.50, 3.50, 701529
02/13/25, 3.50, 3.50, 3.40, 3.40, 113581
02/11/25, 3.50, 3.50, 3.30, 3.40, 484727
02/10/25, 3.50, 3.60, 3.40, 3.50, 368751
02/07/25, 3.50, 3.60, 3.40, 3.50, 123054
02/06/25, 3.40, 3.60, 3.40, 3.50, 513503
02/05/25, 3.50, 3.60, 3.40, 3.40, 267396
02/03/25, 3.60, 3.60, 3.50, 3.50, 295534
01/31/25, 3.50, 3.60, 3.50, 3.50, 159267
01/30/25, 3.60, 3.60, 3.40, 3.50, 173366
01/29/25, 3.60, 3.60, 3.50, 3.50, 370041
01/28/25, 3.60, 3.60, 3.50, 3.50, 707514
01/27/25, 3.50, 3.60, 3.50, 3.60, 46807
01/24/25, 3.60, 3.60, 3.50, 3.50, 421748
01/23/25, 3.60, 3.70, 3.50, 3.60, 1323964
01/22/25, 3.60, 3.60, 3.50, 3.60, 1099566
01/21/25, 3.50, 3.60, 3.40, 3.50, 619907
01/20/25, 3.60, 3.60, 3.50, 3.60, 1030260
01/17/25, 3.50, 3.50, 3.40, 3.50, 513886
01/16/25, 3.60, 3.60, 3.40, 3.50, 562711
