Date, Open, High, Low, Close, Volume
04/24/25, 45.90, 46.00, 45.00, 45.00, 818
04/23/25, 43.70, 45.90, 42.20, 44.80, 11910
04/22/25, 43.70, 43.70, 43.00, 43.20, 3183
04/21/25, 43.70, 44.00, 43.70, 43.90, 28655
04/17/25, 42.20, 43.90, 42.00, 43.90, 3235
04/16/25, 42.50, 43.80, 42.00, 42.10, 1148
04/11/25, 44.00, 44.00, 42.40, 42.50, 650
04/10/25, 44.50, 45.00, 41.60, 42.20, 1213
04/09/25, 42.00, 42.00, 41.30, 42.00, 8376
04/08/25, 45.00, 45.00, 42.00, 42.00, 20156
04/07/25, 43.60, 45.00, 41.10, 41.40, 1636
04/04/25, 43.10, 45.90, 43.10, 45.90, 200
04/03/25, 43.70, 45.90, 43.00, 45.90, 1499
04/02/25, 45.00, 48.00, 43.60, 44.50, 1429
04/01/25, 44.90, 44.90, 43.20, 44.20, 4225
03/28/25, 44.80, 44.80, 43.20, 44.60, 185
03/27/25, 43.10, 44.20, 43.10, 43.90, 15512
03/26/25, 43.10, 43.10, 43.10, 44.20, 50
03/25/25, 44.90, 45.00, 42.90, 44.20, 453
03/24/25, 43.00, 43.00, 43.00, 43.00, 180
03/21/25, 43.90, 44.80, 43.50, 43.90, 8068
03/20/25, 43.90, 43.90, 43.90, 41.80, 50
03/19/25, 43.00, 45.20, 41.50, 41.80, 19587
03/18/25, 42.90, 42.90, 42.60, 42.80, 11609
03/17/25, 44.00, 44.00, 42.90, 43.00, 1597
03/14/25, 44.00, 44.00, 43.00, 43.80, 10037
03/12/25, 44.90, 44.90, 44.00, 44.00, 7298
03/11/25, 45.20, 45.20, 42.40, 44.30, 5756
03/07/25, 46.90, 47.00, 46.90, 47.00, 100
03/06/25, 45.50, 45.50, 45.30, 45.60, 97
03/05/25, 45.00, 47.80, 45.00, 45.60, 1681
03/04/25, 45.00, 45.00, 44.00, 44.90, 5737
03/03/25, 48.40, 48.40, 45.00, 45.00, 5427
02/28/25, 48.00, 48.30, 45.10, 46.70, 1240
02/27/25, 46.90, 48.50, 46.90, 48.00, 3413
02/25/25, 45.40, 48.00, 44.50, 44.70, 1599
02/24/25, 47.00, 47.90, 45.40, 47.60, 3104
02/21/25, 48.00, 48.00, 47.30, 47.70, 100
02/20/25, 48.90, 49.00, 46.60, 47.90, 19727
02/19/25, 47.00, 47.00, 47.00, 47.00, 270
02/18/25, 48.70, 49.30, 46.70, 48.00, 1963
02/17/25, 49.90, 49.90, 49.00, 49.30, 9206
02/14/25, 46.10, 50.00, 46.10, 48.70, 9140
02/13/25, 46.90, 48.60, 46.80, 48.60, 15323
02/11/25, 49.50, 49.50, 47.40, 47.90, 388
02/10/25, 49.00, 49.90, 47.00, 47.50, 2126
02/07/25, 50.00, 50.00, 47.90, 50.00, 1386
02/06/25, 48.00, 49.90, 47.50, 48.00, 23407
02/05/25, 52.40, 52.40, 48.00, 48.40, 28378
02/03/25, 51.70, 52.90, 50.70, 51.70, 3927
01/31/25, 51.30, 52.50, 48.00, 51.70, 107324
01/30/25, 53.50, 53.60, 52.00, 53.50, 55369
01/29/25, 52.60, 53.60, 52.60, 53.50, 109158
01/28/25, 52.60, 52.70, 52.00, 52.60, 11561
01/27/25, 53.00, 53.00, 51.10, 51.10, 49489
01/24/25, 51.80, 53.40, 51.80, 52.50, 14403
01/23/25, 52.50, 53.60, 51.90, 52.00, 19871
01/22/25, 52.50, 53.60, 52.50, 52.60, 11837
01/21/25, 53.40, 54.90, 52.60, 53.50, 51581
01/20/25, 51.00, 53.90, 50.80, 53.20, 319233
01/17/25, 50.30, 51.50, 49.90, 51.50, 18353
01/16/25, 50.40, 51.80, 50.40, 51.40, 4705
01/15/25, 51.10, 51.90, 49.50, 51.00, 6500
01/10/25, 52.90, 52.90, 51.00, 52.50, 12410
01/09/25, 51.70, 54.00, 51.70, 52.30, 477935
01/08/25, 49.00, 52.80, 48.50, 51.70, 472933
01/07/25, 47.00, 49.00, 47.00, 48.80, 8276
01/06/25, 47.00, 49.20, 47.00, 47.20, 149411
01/03/25, 49.20, 51.00, 48.50, 48.60, 214171
01/02/25, 47.10, 50.00, 47.00, 48.30, 122187
12/31/24, 47.00, 48.10, 47.00, 47.30, 38556
12/30/24, 48.00, 48.00, 47.00, 47.20, 9211
12/27/24, 47.90, 48.00, 47.50, 47.80, 34764
12/26/24, 47.90, 48.00, 47.00, 47.80, 4719
12/24/24, 46.20, 47.90, 45.80, 47.30, 59081
12/23/24, 47.40, 48.00, 45.50, 45.60, 139147
12/20/24, 47.40, 49.00, 47.40, 48.00, 19858
12/19/24, 49.00, 49.50, 47.50, 48.80, 22495
12/18/24, 47.90, 49.50, 47.00, 49.50, 83867
12/17/24, 49.00, 49.30, 46.50, 47.90, 15541
12/16/24, 49.00, 49.80, 48.50, 49.00, 46134
12/13/24, 47.50, 49.80, 47.50, 49.70, 24738
12/12/24, 48.50, 49.00, 47.50, 47.70, 29262
12/11/24, 49.50, 49.50, 48.50, 48.50, 5256
12/10/24, 50.60, 50.60, 49.00, 49.50, 90564
12/09/24, 48.50, 51.80, 48.50, 50.60, 403028
12/06/24, 45.50, 50.00, 45.50, 48.10, 695744
12/05/24, 46.00, 46.20, 45.50, 45.80, 31438
12/04/24, 47.00, 47.50, 46.10, 46.10, 75995
12/03/24, 44.00, 47.00, 44.00, 46.70, 1566254
12/02/24, 40.00, 44.90, 40.00, 42.00, 1620932
11/29/24, 41.30, 41.50, 39.90, 39.90, 39053
11/28/24, 40.90, 41.30, 40.90, 40.90, 350
11/27/24, 40.10, 41.00, 39.80, 40.00, 6461
11/26/24, 40.90, 40.90, 40.00, 40.90, 25841
11/25/24, 41.00, 41.00, 39.80, 40.70, 44452
11/22/24, 40.20, 40.90, 39.80, 40.90, 7363
11/21/24, 40.90, 40.90, 39.10, 39.50, 75203
11/20/24, 40.00, 41.80, 40.00, 40.90, 71703
11/19/24, 40.70, 40.80, 39.80, 40.00, 19298
11/18/24, 40.00, 41.80, 39.80, 40.60, 178117
11/14/24, 38.40, 40.00, 38.40, 39.10, 47563
11/13/24, 39.90, 40.40, 38.40, 38.50, 66326
11/12/24, 38.60, 38.60, 38.40, 38.40, 400
11/11/24, 40.50, 40.50, 38.20, 38.40, 103558
11/08/24, 40.00, 40.50, 40.00, 40.40, 15567
11/07/24, 40.00, 40.00, 39.70, 39.90, 31036
11/06/24, 40.00, 40.00, 39.30, 39.30, 507
11/05/24, 39.60, 39.60, 39.20, 39.20, 2122
11/04/24, 40.20, 40.20, 39.60, 39.90, 1243
11/01/24, 40.40, 40.40, 39.80, 39.90, 35696
10/30/24, 40.20, 40.40, 39.70, 40.20, 176634
10/29/24, 40.00, 40.10, 38.50, 39.00, 20035
10/28/24, 38.00, 40.50, 38.00, 39.90, 43401
10/25/24, 39.50, 39.50, 38.00, 38.00, 13101
10/24/24, 39.40, 39.40, 37.70, 37.90, 19438
10/23/24, 39.60, 39.60, 38.30, 38.80, 2023
10/22/24, 38.80, 39.80, 37.60, 37.70, 88115
10/21/24, 39.20, 40.10, 38.60, 38.70, 30975
10/18/24, 38.90, 40.20, 38.80, 39.30, 36344
10/16/24, 40.20, 40.20, 38.70, 40.10, 21552
10/15/24, 40.20, 40.30, 39.10, 40.10, 40013
10/14/24, 38.20, 40.50, 38.10, 39.20, 14300
10/11/24, 40.00, 40.10, 37.40, 40.10, 19563
10/10/24, 39.90, 40.80, 37.00, 37.40, 33381
10/09/24, 39.50, 40.70, 39.50, 39.60, 2927
10/08/24, 41.80, 41.90, 41.40, 41.40, 5967
10/07/24, 41.90, 41.90, 41.50, 41.60, 2502
10/04/24, 42.00, 42.00, 41.80, 41.80, 13551
10/03/24, 42.00, 42.20, 41.60, 41.80, 28490
