Date, Open, High, Low, Close, Volume
04/24/25, 84.30, 84.50, 84.30, 85.90, 22
04/23/25, 84.10, 87.80, 84.00, 85.90, 55171
04/22/25, 84.30, 84.30, 84.10, 84.10, 732
04/21/25, 84.50, 84.50, 84.50, 84.50, 100
04/17/25, 87.80, 87.80, 83.40, 84.10, 1872
04/16/25, 85.00, 88.00, 85.00, 86.00, 18303
04/11/25, 84.20, 84.20, 79.50, 80.30, 983
04/10/25, 80.50, 85.00, 79.60, 84.20, 77563
04/09/25, 78.60, 81.20, 78.60, 80.50, 60986
04/08/25, 78.50, 80.80, 78.50, 80.10, 13546
04/07/25, 78.00, 79.20, 76.20, 76.60, 21131
04/04/25, 77.80, 80.00, 77.80, 78.00, 6857
04/03/25, 79.90, 80.00, 79.90, 80.00, 219
04/02/25, 80.20, 83.80, 77.00, 81.50, 46156
04/01/25, 79.90, 81.80, 76.40, 80.10, 2771
03/28/25, 79.80, 79.80, 76.20, 76.80, 1065
03/27/25, 77.10, 77.10, 77.10, 77.50, 2
03/26/25, 77.50, 77.50, 77.10, 77.50, 6286
03/25/25, 77.70, 78.00, 77.50, 77.60, 11792
03/24/25, 77.50, 79.90, 77.50, 79.70, 15248
03/21/25, 76.70, 76.80, 76.00, 76.80, 7934
03/20/25, 76.70, 76.70, 76.60, 76.70, 1553
03/19/25, 76.80, 77.40, 74.70, 74.70, 66345
03/18/25, 74.00, 79.90, 73.00, 73.60, 717342
03/17/25, 75.20, 77.70, 74.00, 74.10, 47210
03/14/25, 77.80, 77.80, 74.10, 77.20, 5604
03/12/25, 76.00, 78.00, 75.90, 77.60, 24400
03/11/25, 75.20, 77.50, 73.90, 74.20, 4347
03/10/25, 76.80, 79.50, 75.00, 78.30, 12380
03/07/25, 75.30, 77.00, 75.30, 76.90, 6001
03/06/25, 78.00, 78.00, 77.90, 78.00, 6505
03/05/25, 73.00, 78.90, 73.00, 78.00, 4636
03/04/25, 75.00, 78.60, 71.10, 74.60, 6436
03/03/25, 81.50, 81.50, 71.10, 73.80, 4980
02/28/25, 80.00, 81.40, 78.30, 79.90, 551
02/27/25, 77.90, 80.00, 76.90, 79.80, 14076
02/25/25, 78.50, 78.50, 77.00, 77.10, 15015
02/24/25, 81.90, 81.90, 78.10, 78.60, 2361
02/21/25, 81.00, 83.90, 78.20, 80.00, 20463
02/20/25, 80.30, 80.30, 77.10, 78.60, 105743
02/19/25, 83.60, 83.80, 80.00, 80.40, 13497
02/18/25, 86.90, 86.90, 83.50, 83.60, 13963
02/17/25, 85.00, 88.00, 81.10, 85.10, 225018
02/14/25, 82.50, 84.00, 82.50, 84.00, 15667
02/13/25, 80.10, 82.90, 80.00, 81.90, 36054
02/11/25, 81.70, 81.90, 80.00, 80.10, 36406
02/10/25, 81.50, 81.90, 79.00, 81.70, 2822
02/07/25, 81.00, 81.80, 77.50, 79.50, 11547
02/06/25, 77.10, 82.00, 77.10, 77.50, 99468
02/05/25, 85.00, 85.00, 78.00, 78.80, 128705
02/03/25, 80.60, 86.00, 79.50, 83.60, 44205
01/31/25, 80.00, 81.50, 80.00, 80.60, 39104
01/30/25, 81.40, 82.00, 80.00, 80.00, 66872
01/29/25, 84.80, 84.80, 82.00, 82.00, 10827
01/28/25, 82.40, 83.50, 80.90, 81.90, 26401
01/27/25, 83.20, 83.20, 82.40, 83.00, 10619
01/24/25, 82.80, 84.90, 82.40, 82.60, 46697
01/23/25, 86.20, 86.20, 82.40, 85.00, 12415
01/22/25, 86.10, 86.70, 83.70, 86.40, 38616
01/21/25, 80.90, 86.70, 80.90, 83.40, 211272
01/20/25, 82.00, 83.70, 79.00, 82.70, 105173
01/17/25, 82.40, 82.40, 77.70, 80.00, 16380
01/16/25, 82.50, 83.00, 80.60, 81.10, 10071
01/15/25, 74.50, 84.00, 74.50, 80.30, 69249
01/10/25, 75.10, 75.10, 74.50, 74.60, 22598
01/09/25, 77.40, 77.40, 75.00, 76.10, 15991
01/08/25, 72.50, 78.50, 72.50, 77.50, 14691
01/07/25, 75.00, 78.80, 71.00, 72.10, 112646
01/06/25, 79.00, 79.60, 72.10, 75.00, 183369
01/03/25, 83.00, 84.60, 78.10, 79.50, 120533
01/02/25, 80.20, 84.50, 80.20, 82.10, 41551
12/31/24, 79.00, 84.60, 77.00, 81.50, 75912
12/30/24, 84.70, 84.70, 77.00, 78.30, 39855
12/27/24, 77.00, 81.40, 75.00, 79.00, 52532
12/26/24, 78.00, 78.00, 76.20, 77.00, 21684
12/24/24, 72.40, 79.00, 72.40, 78.00, 132015
12/23/24, 72.90, 76.90, 72.10, 74.30, 38878
12/20/24, 72.00, 74.70, 72.00, 72.10, 12472
12/19/24, 72.50, 73.00, 71.10, 71.90, 34899
12/18/24, 73.00, 74.80, 72.00, 73.20, 10501
12/17/24, 70.50, 77.70, 70.50, 72.60, 43774
12/16/24, 74.00, 75.20, 70.50, 72.80, 35547
12/13/24, 75.20, 75.30, 73.10, 74.70, 19980
12/12/24, 70.00, 78.70, 70.00, 75.70, 121900
12/11/24, 70.50, 72.00, 69.00, 71.60, 99576
12/10/24, 69.10, 71.00, 68.50, 68.90, 48472
12/09/24, 69.00, 71.50, 69.00, 71.20, 9269
12/06/24, 68.70, 70.30, 68.50, 69.10, 18914
12/05/24, 70.90, 70.90, 68.10, 68.70, 100698
12/04/24, 70.50, 71.90, 69.10, 70.90, 75674
12/03/24, 68.50, 70.70, 68.00, 70.30, 44499
12/02/24, 71.00, 71.00, 67.50, 67.70, 21116
11/29/24, 65.00, 70.00, 65.00, 68.50, 242239
11/28/24, 60.00, 65.00, 60.00, 63.20, 121540
11/27/24, 59.60, 61.00, 58.70, 60.10, 37145
11/26/24, 58.00, 59.90, 57.80, 59.40, 12033
11/25/24, 59.60, 61.50, 57.80, 58.00, 41853
11/22/24, 59.90, 61.50, 58.60, 59.80, 18465
11/21/24, 62.50, 62.50, 58.50, 59.50, 61031
11/20/24, 61.90, 64.80, 61.10, 62.00, 148564
11/19/24, 58.50, 62.00, 57.00, 61.20, 211871
11/18/24, 55.10, 58.90, 55.10, 58.50, 274175
11/14/24, 51.00, 54.90, 50.00, 53.20, 69136
11/13/24, 49.00, 51.40, 49.00, 50.80, 15949
11/12/24, 49.00, 49.00, 49.00, 49.00, 210
11/11/24, 49.70, 49.70, 48.70, 49.00, 9300
11/08/24, 48.60, 49.90, 48.60, 49.80, 1642
11/07/24, 48.60, 49.00, 48.50, 48.50, 5301
11/06/24, 49.00, 49.10, 48.90, 49.00, 2239
11/05/24, 49.70, 49.70, 49.00, 49.10, 2150
11/04/24, 49.70, 49.80, 49.70, 49.70, 1540
11/01/24, 48.60, 50.20, 48.60, 50.00, 2546
10/30/24, 49.00, 49.00, 48.60, 48.80, 1233
10/29/24, 49.30, 50.00, 49.30, 49.00, 60
10/28/24, 48.20, 49.90, 48.20, 49.00, 3530
10/25/24, 48.10, 49.90, 48.00, 48.10, 10168
10/24/24, 49.60, 49.60, 48.00, 48.40, 10414
10/23/24, 49.70, 50.50, 49.70, 49.80, 5116
10/22/24, 50.00, 51.80, 49.50, 51.30, 10652
10/21/24, 52.40, 52.70, 48.20, 50.20, 53090
10/18/24, 52.00, 52.50, 50.00, 52.40, 7057
10/16/24, 50.00, 52.80, 49.30, 52.50, 45736
10/15/24, 48.50, 50.90, 48.50, 49.90, 60353
10/14/24, 47.70, 48.40, 47.70, 48.20, 9575
10/11/24, 47.80, 47.80, 47.80, 47.80, 197
10/10/24, 46.60, 47.80, 45.20, 45.50, 983
10/09/24, 48.00, 48.00, 46.20, 46.50, 23937
10/08/24, 48.00, 48.00, 47.30, 47.50, 5557
10/07/24, 48.00, 48.90, 47.30, 47.30, 3640
10/04/24, 48.90, 48.90, 47.00, 48.00, 2634
10/03/24, 47.20, 49.10, 47.00, 47.10, 3143
10/02/24, 48.50, 49.20, 47.40, 47.40, 34096
10/01/24, 49.90, 49.90, 48.20, 48.50, 8558
09/30/24, 49.40, 50.00, 48.10, 48.10, 4303
09/27/24, 47.20, 49.40, 47.00, 48.90, 22329
09/26/24, 49.00, 50.00, 46.50, 47.00, 5038
09/25/24, 47.00, 48.00, 46.50, 46.50, 12883
09/24/24, 46.00, 47.00, 44.00, 46.70, 50244
09/23/24, 43.50, 45.90, 43.40, 44.20, 2910
09/20/24, 45.00, 46.00, 44.50, 45.10, 8426
09/19/24, 43.40, 45.00, 43.40, 45.00, 516
09/18/24, 44.00, 44.00, 44.00, 43.90, 50
09/13/24, 42.80, 43.90, 42.80, 43.90, 407
09/12/24, 44.00, 44.00, 42.50, 42.50, 1506
09/11/24, 43.00, 44.00, 42.50, 42.50, 14705
09/10/24, 43.00, 43.10, 43.00, 43.10, 3910
09/09/24, 44.80, 44.90, 44.50, 44.60, 852
09/06/24, 42.90, 44.80, 42.50, 43.20, 4200
09/05/24, 43.30, 45.70, 43.00, 43.00, 9518
09/04/24, 44.90, 44.90, 43.50, 43.50, 13855
09/03/24, 43.90, 45.00, 43.00, 43.30, 2123
09/02/24, 44.00, 44.00, 43.90, 43.90, 151
08/30/24, 44.10, 44.10, 44.10, 45.00, 10
08/29/24, 46.40, 46.40, 45.00, 45.00, 760
08/28/24, 45.00, 46.50, 45.00, 45.50, 198
08/27/24, 46.70, 46.70, 45.00, 46.50, 10040
08/26/24, 48.00, 48.00, 46.80, 47.00, 2956
08/23/24, 47.10, 47.10, 47.00, 47.10, 5497
08/22/24, 48.90, 49.00, 47.00, 47.00, 6567
08/21/24, 47.00, 48.80, 46.50, 47.00, 12645
08/20/24, 46.20, 49.00, 46.00, 46.50, 6971
08/16/24, 44.00, 46.00, 44.00, 45.90, 177570
08/15/24, 43.20, 43.30, 43.00, 43.20, 8100
08/14/24, 43.20, 44.00, 42.80, 43.00, 4717
08/13/24, 43.30, 43.50, 43.00, 43.00, 12812
08/12/24, 45.50, 45.50, 43.00, 43.50, 15548
08/09/24, 43.70, 46.00, 43.70, 43.70, 9681
08/08/24, 43.60, 46.20, 43.60, 43.60, 1193
08/06/24, 43.50, 43.50, 43.50, 43.50, 300
08/05/24, 44.00, 44.00, 43.50, 43.50, 3885
08/02/24, 43.90, 45.60, 43.80, 43.90, 4650
08/01/24, 44.00, 46.00, 44.00, 44.10, 5610
07/31/24, 48.50, 48.50, 44.00, 44.20, 9053
07/30/24, 45.00, 45.00, 44.70, 44.70, 2977
07/29/24, 45.00, 45.00, 45.00, 45.00, 1850
07/26/24, 48.80, 48.80, 44.90, 44.90, 3419
07/25/24, 46.80, 47.00, 44.80, 44.90, 7162
07/24/24, 47.00, 47.00, 44.90, 45.30, 1690
07/23/24, 46.40, 46.50, 46.40, 46.40, 223
07/22/24, 46.50, 46.50, 46.50, 46.50, 1600
07/19/24, 46.90, 46.90, 45.00, 45.20, 2725
07/18/24, 46.50, 47.00, 46.00, 47.00, 4226
07/17/24, 45.20, 45.20, 45.20, 46.30, 1
07/16/24, 45.10, 47.00, 45.10, 46.30, 2
07/15/24, 46.30, 48.00, 46.30, 46.30, 5780
07/12/24, 47.30, 47.30, 47.00, 47.30, 213
07/11/24, 44.80, 46.50, 44.80, 46.30, 11743
07/10/24, 42.60, 42.60, 42.00, 42.20, 12824
07/09/24, 45.00, 45.00, 42.40, 42.60, 8873
07/08/24, 44.10, 45.00, 44.10, 45.40, 12
07/05/24, 45.90, 45.90, 45.00, 45.40, 4322
07/04/24, 46.40, 47.00, 45.90, 46.10, 1639
07/03/24, 47.00, 47.00, 46.50, 46.50, 1706
07/02/24, 47.00, 47.00, 47.00, 47.00, 791
07/01/24, 47.90, 47.90, 46.80, 47.80, 103
06/28/24, 48.00, 48.00, 48.00, 46.70, 33
06/27/24, 47.00, 47.00, 46.60, 46.70, 1116
06/26/24, 47.50, 47.50, 46.80, 46.80, 2067
06/25/24, 47.00, 48.40, 47.00, 47.00, 1530
06/24/24, 47.10, 47.10, 46.90, 47.00, 5219
06/20/24, 47.50, 48.40, 47.10, 48.40, 2447
06/19/24, 47.60, 47.60, 47.40, 47.40, 796
06/18/24, 48.40, 48.40, 47.50, 47.60, 302
06/14/24, 48.40, 48.40, 48.00, 48.00, 342
06/13/24, 46.90, 48.50, 46.60, 48.40, 307074
06/12/24, 47.40, 48.20, 46.80, 48.10, 16599
06/11/24, 47.20, 47.30, 46.50, 47.00, 4381
06/10/24, 47.30, 47.30, 47.20, 47.20, 228
06/07/24, 48.90, 48.90, 47.00, 47.20, 6481
06/06/24, 49.00, 49.00, 48.00, 48.00, 1651
06/05/24, 48.50, 48.50, 47.90, 47.90, 166
06/04/24, 48.20, 48.90, 47.90, 47.90, 5893
06/03/24, 48.20, 49.70, 48.00, 48.80, 3834
05/31/24, 49.00, 49.00, 48.10, 48.10, 649
05/30/24, 48.00, 48.50, 48.00, 48.10, 805
05/29/24, 48.20, 48.50, 48.00, 48.30, 1154
05/28/24, 48.20, 48.30, 48.20, 48.30, 1728
05/27/24, 49.40, 49.40, 49.00, 49.10, 1110
05/22/24, 49.10, 49.20, 47.90, 48.00, 2849
05/21/24, 48.50, 48.90, 47.70, 48.40, 3421
05/20/24, 47.80, 49.60, 47.60, 47.70, 5822
05/17/24, 48.20, 48.20, 47.50, 47.80, 5755
05/16/24, 48.20, 48.50, 48.10, 48.20, 6895
05/15/24, 49.70, 50.00, 48.00, 48.10, 10617
05/14/24, 49.90, 50.00, 47.50, 48.10, 26955
05/13/24, 50.00, 50.40, 49.70, 50.00, 9717
05/10/24, 49.50, 50.00, 49.00, 49.70, 12076
05/09/24, 49.50, 49.50, 49.50, 49.50, 1518
05/08/24, 49.90, 50.00, 48.90, 49.00, 95025
05/07/24, 50.00, 50.00, 49.00, 49.00, 44981
05/06/24, 50.50, 50.50, 48.50, 49.10, 16687
05/03/24, 49.40, 50.40, 49.00, 49.00, 139739
05/02/24, 51.70, 51.70, 48.90, 49.30, 28935
04/30/24, 51.30, 52.40, 49.00, 49.30, 225531
04/29/24, 52.50, 52.50, 52.30, 52.30, 1308
