Date, Open, High, Low, Close, Volume
04/24/25, 23.00, 23.00, 22.80, 23.00, 17258
04/23/25, 23.00, 23.00, 22.80, 22.80, 3005
04/22/25, 23.00, 23.40, 23.00, 23.00, 7166
04/21/25, 23.40, 23.40, 23.40, 23.50, 45
04/17/25, 23.50, 23.50, 23.50, 23.50, 1115
04/16/25, 23.00, 23.00, 22.90, 22.90, 3375
04/11/25, 23.00, 23.50, 23.00, 23.50, 1270
04/10/25, 22.90, 23.50, 22.90, 22.90, 51
04/09/25, 23.50, 23.50, 22.90, 22.90, 3705
04/08/25, 23.40, 23.50, 23.40, 23.50, 25025
04/07/25, 23.50, 23.50, 23.00, 23.00, 25856
04/04/25, 23.00, 23.10, 23.00, 23.00, 29375
04/03/25, 23.50, 23.50, 23.00, 23.00, 42910
04/02/25, 23.60, 23.90, 23.50, 23.50, 36924
04/01/25, 23.90, 23.90, 23.50, 23.60, 20527
03/28/25, 23.90, 23.90, 23.90, 23.90, 8986
03/27/25, 23.80, 23.90, 23.50, 23.80, 7011
03/26/25, 23.90, 23.90, 23.70, 23.80, 10054
03/25/25, 24.00, 24.00, 23.50, 23.50, 28495
03/24/25, 24.00, 24.00, 23.50, 23.50, 109050
03/21/25, 24.50, 24.50, 24.00, 24.00, 14332
03/20/25, 24.50, 24.50, 24.50, 24.50, 14789
03/19/25, 24.20, 24.50, 23.90, 24.00, 255482
03/18/25, 24.20, 24.90, 24.20, 24.50, 42
03/14/25, 24.50, 24.90, 24.50, 24.50, 309
03/12/25, 24.40, 24.40, 24.00, 24.00, 4725
03/11/25, 24.90, 24.90, 24.90, 24.90, 600
03/10/25, 24.90, 24.90, 24.90, 24.90, 515
03/07/25, 24.50, 24.50, 24.50, 24.50, 9150
03/06/25, 24.50, 24.60, 24.50, 24.50, 47222
03/05/25, 25.00, 25.00, 25.00, 25.00, 20000
03/04/25, 24.90, 24.90, 24.40, 24.80, 4638
03/03/25, 24.50, 25.00, 24.50, 25.00, 19249
02/28/25, 24.80, 24.80, 24.10, 24.10, 1843
02/27/25, 24.30, 24.80, 24.10, 24.60, 1792
02/25/25, 24.50, 24.50, 24.00, 24.00, 13661
02/24/25, 24.60, 25.00, 24.50, 24.50, 52005
02/21/25, 24.60, 25.00, 24.60, 25.00, 51819
02/20/25, 24.70, 25.00, 24.60, 25.00, 109408
02/19/25, 25.00, 25.00, 24.80, 25.00, 10021
02/18/25, 25.30, 25.30, 24.90, 25.20, 11636
02/17/25, 25.10, 25.30, 25.00, 25.30, 96843
02/14/25, 25.10, 25.10, 25.00, 25.00, 14101
02/13/25, 25.00, 25.00, 24.70, 25.00, 44895
02/11/25, 24.90, 25.20, 24.80, 25.00, 89927
02/10/25, 25.40, 25.40, 24.90, 25.00, 12060
02/07/25, 25.00, 25.50, 24.80, 25.00, 34497
02/06/25, 24.60, 25.00, 24.60, 25.00, 8969
02/05/25, 25.80, 25.80, 24.80, 25.00, 14706
02/03/25, 25.30, 25.70, 25.00, 25.10, 48657
01/31/25, 25.50, 26.00, 25.50, 25.60, 19255
01/30/25, 26.00, 26.00, 25.40, 25.50, 67697
01/29/25, 25.70, 26.00, 25.50, 25.60, 35011
01/28/25, 25.90, 25.90, 25.60, 25.70, 40862
01/27/25, 27.00, 27.00, 26.00, 26.30, 15980
01/24/25, 26.20, 27.00, 26.20, 26.30, 47761
01/23/25, 27.00, 27.10, 26.80, 27.00, 45776
01/22/25, 27.10, 27.10, 26.00, 26.70, 141088
01/21/25, 26.50, 27.80, 26.50, 27.10, 35265
01/20/25, 27.00, 27.50, 26.50, 27.00, 32418
01/17/25, 26.00, 28.40, 26.00, 27.50, 108904
01/16/25, 26.00, 27.50, 26.00, 27.00, 12946
01/15/25, 26.00, 26.10, 25.70, 25.70, 32274
01/10/25, 26.30, 26.30, 26.00, 26.10, 9785
01/09/25, 26.40, 26.40, 26.00, 26.00, 1223
01/08/25, 26.20, 26.40, 26.00, 26.00, 29772
01/07/25, 26.50, 27.00, 26.40, 26.40, 82992
01/06/25, 27.90, 27.90, 26.30, 26.50, 16959
