Date, Open, High, Low, Close, Volume
04/24/25, 26.30, 27.10, 26.30, 26.90, 62224
04/23/25, 27.00, 27.10, 26.30, 26.50, 41842
04/22/25, 26.50, 26.90, 26.20, 26.80, 48020
04/21/25, 26.90, 26.90, 26.20, 26.40, 17344
04/17/25, 26.40, 27.00, 26.40, 26.50, 39010
04/16/25, 26.40, 27.00, 26.40, 27.00, 210332
04/11/25, 27.00, 27.00, 26.40, 26.80, 40864
04/10/25, 26.30, 27.80, 26.00, 26.90, 486460
04/09/25, 25.50, 25.80, 25.00, 25.70, 108697
04/08/25, 24.00, 26.00, 24.00, 26.00, 123862
04/07/25, 26.60, 26.60, 24.00, 24.60, 444429
04/04/25, 27.00, 27.00, 26.10, 26.90, 90230
04/03/25, 27.00, 27.40, 26.50, 27.10, 272783
04/02/25, 27.20, 28.50, 27.20, 28.00, 215402
04/01/25, 26.80, 27.10, 26.60, 26.90, 75354
03/28/25, 26.90, 27.00, 26.50, 26.90, 25835
03/27/25, 26.90, 27.00, 26.00, 26.70, 352209
03/26/25, 27.00, 27.00, 26.00, 26.00, 140919
03/25/25, 26.60, 27.00, 26.40, 27.00, 88989
03/24/25, 27.00, 27.30, 26.60, 26.70, 43853
03/21/25, 26.50, 26.90, 26.50, 26.80, 66264
03/20/25, 26.00, 26.60, 25.90, 26.50, 43390
03/19/25, 25.70, 26.30, 25.70, 26.00, 26193
03/18/25, 26.30, 26.90, 25.50, 25.80, 133593
03/17/25, 27.20, 27.20, 26.30, 26.50, 140037
03/14/25, 27.10, 27.10, 26.60, 26.60, 100333
03/12/25, 26.70, 27.10, 26.50, 26.50, 611440
03/11/25, 26.90, 27.00, 26.70, 26.90, 66281
03/10/25, 27.00, 27.10, 26.90, 27.00, 54162
03/07/25, 27.50, 27.50, 27.00, 27.00, 82648
03/06/25, 27.50, 27.90, 26.90, 27.50, 93738
03/05/25, 26.30, 27.40, 26.30, 27.00, 299395
03/04/25, 26.50, 26.90, 26.30, 26.50, 205592
03/03/25, 27.60, 27.60, 26.50, 26.70, 122382
02/28/25, 27.20, 27.50, 27.00, 27.00, 383560
02/27/25, 27.50, 27.60, 27.00, 27.00, 1040535
02/25/25, 27.70, 27.90, 26.00, 27.00, 715926
02/24/25, 28.20, 28.20, 27.10, 27.60, 626639
02/21/25, 28.70, 29.00, 28.30, 28.40, 454949
02/20/25, 29.00, 29.00, 28.50, 28.70, 280064
02/19/25, 29.40, 29.70, 28.90, 29.10, 438438
02/18/25, 29.90, 30.00, 29.30, 29.50, 627397
