Date, Open, High, Low, Close, Volume
04/24/25, 75.40, 76.90, 75.40, 76.10, 128631
04/23/25, 75.80, 76.90, 75.50, 75.70, 160778
04/22/25, 77.00, 77.00, 75.60, 75.80, 140906
04/21/25, 76.00, 77.40, 76.00, 76.60, 106727
04/17/25, 76.20, 76.50, 75.90, 76.10, 53667
04/16/25, 75.50, 76.90, 75.50, 76.50, 300502
04/11/25, 74.90, 75.50, 74.00, 75.40, 98404
04/10/25, 75.00, 76.00, 74.50, 74.80, 577548
04/09/25, 73.00, 73.00, 71.00, 71.90, 41301
04/08/25, 69.80, 73.30, 69.80, 72.70, 413236
04/07/25, 74.00, 74.00, 66.10, 69.00, 709548
04/04/25, 76.10, 76.10, 73.50, 74.60, 193364
04/03/25, 76.90, 78.00, 74.70, 76.10, 427237
04/02/25, 76.40, 78.10, 76.20, 77.30, 540228
04/01/25, 73.10, 76.40, 73.10, 76.00, 596503
03/28/25, 72.70, 74.00, 72.50, 73.60, 60593
03/27/25, 73.90, 74.00, 72.80, 72.80, 58847
03/26/25, 73.00, 74.60, 72.60, 73.80, 264657
03/25/25, 72.00, 73.40, 71.50, 72.60, 187899
03/24/25, 70.50, 72.50, 70.30, 71.50, 53889
03/21/25, 69.90, 70.50, 69.70, 70.40, 29863
03/20/25, 70.20, 70.40, 69.40, 69.90, 44198
03/19/25, 69.50, 70.80, 68.40, 69.70, 85726
03/18/25, 69.50, 70.50, 69.20, 69.30, 26811
03/17/25, 70.10, 70.90, 68.00, 69.50, 108348
03/14/25, 71.00, 72.00, 69.50, 70.00, 88401
03/12/25, 68.90, 70.60, 68.60, 70.00, 120615
03/11/25, 70.00, 70.00, 68.70, 68.90, 133391
03/10/25, 72.00, 72.00, 68.90, 70.00, 78574
03/07/25, 67.90, 73.00, 67.90, 71.90, 286007
03/06/25, 65.30, 68.00, 65.30, 67.90, 134742
03/05/25, 66.00, 66.90, 65.00, 66.50, 165729
03/04/25, 67.00, 67.00, 64.50, 64.70, 151276
03/03/25, 68.40, 68.80, 65.70, 66.00, 130259
02/28/25, 67.00, 68.40, 67.00, 68.00, 62914
02/27/25, 66.50, 68.40, 66.00, 68.00, 144996
02/25/25, 67.70, 68.00, 66.00, 66.00, 93251
02/24/25, 69.80, 69.80, 66.60, 67.70, 52294
02/21/25, 68.90, 69.90, 68.20, 69.00, 109193
02/20/25, 68.70, 69.00, 67.10, 67.90, 173542
02/19/25, 70.00, 70.00, 68.30, 68.70, 30400
02/18/25, 69.30, 72.10, 69.30, 69.50, 457736
02/17/25, 66.50, 69.50, 65.60, 68.40, 1375540
02/14/25, 62.00, 62.90, 62.00, 62.60, 106928
02/13/25, 60.40, 62.00, 60.30, 62.00, 35436
02/11/25, 61.70, 62.10, 60.10, 60.80, 75939
