Date, Open, High, Low, Close, Volume
04/24/25, 23.50, 24.20, 23.50, 24.00, 4
04/23/25, 24.30, 24.30, 23.50, 24.00, 4699
04/22/25, 23.20, 24.20, 23.20, 23.80, 3762
04/21/25, 22.90, 24.50, 22.90, 24.20, 24525
04/17/25, 23.10, 23.50, 23.00, 23.20, 12163
04/16/25, 23.50, 23.80, 23.40, 23.60, 11605
04/11/25, 22.80, 23.30, 22.80, 22.80, 9670
04/10/25, 22.60, 23.20, 22.60, 23.00, 10500
04/09/25, 23.50, 23.50, 22.20, 22.60, 106
04/08/25, 22.00, 23.00, 22.00, 22.90, 5629
04/07/25, 23.40, 23.40, 22.00, 22.00, 17381
04/04/25, 22.90, 24.00, 22.90, 22.90, 17116
04/03/25, 24.00, 24.00, 22.90, 23.10, 41794
04/02/25, 24.50, 24.70, 23.50, 24.30, 15182
04/01/25, 22.80, 24.80, 22.80, 24.60, 10975
03/28/25, 22.10, 22.80, 22.10, 22.80, 10403
03/27/25, 22.90, 22.90, 22.90, 22.90, 101
03/26/25, 22.20, 22.20, 22.20, 22.20, 4805
03/25/25, 21.90, 22.90, 21.90, 22.20, 288
03/24/25, 22.60, 22.90, 21.80, 22.20, 18909
03/21/25, 22.60, 22.60, 22.50, 22.50, 8210
03/20/25, 22.50, 22.60, 22.30, 22.60, 11663
03/19/25, 21.50, 22.50, 21.30, 22.00, 28150
03/18/25, 22.10, 22.90, 21.70, 21.80, 20853
03/17/25, 22.10, 23.00, 21.70, 22.00, 28900
03/14/25, 22.00, 23.30, 22.00, 22.90, 2183
03/12/25, 22.00, 22.10, 21.80, 21.90, 29928
03/11/25, 22.60, 22.60, 21.80, 21.90, 58204
03/10/25, 22.80, 23.00, 22.70, 22.70, 1028
03/07/25, 23.00, 23.00, 22.70, 23.00, 1051
03/06/25, 23.60, 23.60, 23.00, 23.10, 41721
03/05/25, 22.00, 23.20, 21.70, 22.90, 13935
03/04/25, 24.50, 24.50, 22.00, 22.10, 65505
03/03/25, 24.90, 25.00, 24.50, 24.50, 18833
02/28/25, 24.60, 24.60, 24.20, 24.50, 998
02/27/25, 24.50, 24.70, 24.00, 24.40, 64950
02/25/25, 24.40, 24.80, 23.00, 24.50, 41970
02/24/25, 24.90, 24.90, 24.00, 24.40, 10385
02/21/25, 26.00, 26.00, 24.70, 24.80, 39743
02/20/25, 26.80, 26.80, 25.60, 25.70, 11028
02/19/25, 26.00, 26.90, 25.90, 26.50, 10419
02/18/25, 26.70, 27.00, 25.20, 26.90, 94420
02/17/25, 27.10, 27.10, 26.60, 26.60, 58946
02/14/25, 26.20, 28.00, 26.20, 27.90, 203706
02/13/25, 26.00, 26.50, 25.40, 25.50, 13341
02/11/25, 26.80, 26.80, 24.50, 26.50, 120695
02/10/25, 26.70, 26.90, 25.80, 26.00, 48512
02/07/25, 27.40, 27.40, 26.50, 26.70, 99186
02/06/25, 26.50, 28.00, 26.40, 27.40, 136845
02/05/25, 28.10, 28.20, 26.70, 27.10, 433497
02/03/25, 27.70, 28.50, 27.00, 28.10, 461700
01/31/25, 28.00, 28.50, 27.00, 27.70, 351719
01/30/25, 23.80, 28.20, 23.60, 27.60, 1249259
01/29/25, 24.50, 24.60, 23.50, 23.90, 347161
01/28/25, 21.20, 25.40, 21.20, 24.10, 2372811
01/27/25, 21.00, 21.30, 20.60, 20.70, 19806
01/24/25, 21.00, 21.00, 20.70, 20.70, 52837
01/23/25, 21.10, 21.30, 20.50, 21.10, 136196
01/22/25, 20.50, 21.50, 20.00, 21.10, 307663
01/21/25, 20.10, 20.50, 19.80, 20.50, 47701
01/20/25, 20.10, 21.00, 20.00, 20.30, 16209
01/17/25, 19.70, 20.50, 19.60, 20.10, 78413
01/16/25, 19.80, 19.90, 19.50, 19.80, 13058
01/15/25, 19.90, 19.90, 19.50, 19.80, 21837
01/10/25, 19.90, 19.90, 19.70, 19.70, 4585
01/09/25, 20.30, 20.30, 19.90, 20.00, 12048
01/08/25, 19.70, 20.30, 19.40, 20.20, 90615
01/07/25, 19.70, 19.70, 19.20, 19.60, 33003
01/06/25, 20.00, 20.00, 19.40, 19.50, 97943
01/03/25, 20.40, 20.40, 19.30, 19.40, 176969
01/02/25, 20.10, 20.50, 19.60, 20.20, 114595
12/31/24, 20.00, 20.50, 19.80, 19.80, 139191
12/30/24, 19.70, 20.00, 19.50, 19.70, 175605
12/27/24, 19.40, 19.80, 19.20, 19.50, 49586
12/26/24, 19.20, 19.90, 19.10, 19.40, 53180
12/24/24, 19.50, 19.80, 19.10, 19.20, 34315
12/23/24, 20.00, 20.00, 19.40, 19.50, 67721
12/20/24, 20.20, 20.20, 19.60, 19.80, 92856
12/19/24, 19.60, 20.20, 19.60, 20.00, 27368
12/18/24, 19.80, 20.10, 19.20, 19.60, 22631
12/17/24, 20.00, 20.00, 19.20, 19.70, 25480
12/16/24, 20.00, 20.00, 19.70, 20.00, 19161
12/13/24, 20.20, 20.20, 19.60, 19.70, 37857
12/12/24, 20.20, 21.40, 19.80, 20.10, 34125
12/11/24, 20.50, 20.90, 20.30, 20.30, 16265
12/10/24, 21.50, 21.70, 20.80, 20.90, 56781
12/09/24, 20.90, 21.40, 20.70, 21.30, 124350
12/06/24, 20.00, 21.80, 19.00, 21.30, 503405
12/05/24, 20.00, 20.40, 19.80, 20.00, 26751
12/04/24, 20.40, 20.40, 20.00, 20.20, 20709
12/03/24, 20.50, 20.90, 20.30, 20.40, 149120
12/02/24, 20.00, 20.60, 19.80, 20.30, 435331
11/29/24, 20.30, 20.30, 19.70, 20.00, 5162
