Date, Open, High, Low, Close, Volume
04/24/25, 177.00, 179.50, 177.00, 175.00, 45
04/23/25, 179.00, 179.00, 171.25, 175.00, 21
04/22/25, 175.00, 176.00, 175.00, 175.00, 113
04/21/25, 171.00, 179.00, 171.00, 173.75, 145
04/17/25, 176.75, 177.00, 176.75, 177.00, 2
04/16/25, 170.25, 177.00, 170.25, 177.00, 7
04/11/25, 176.75, 177.00, 171.75, 177.00, 14
04/10/25, 164.00, 176.00, 164.00, 177.00, 2
04/09/25, 161.00, 177.50, 161.00, 177.00, 43
04/08/25, 177.00, 178.00, 177.00, 177.00, 83
04/07/25, 176.50, 177.00, 176.50, 177.00, 60
04/03/25, 177.00, 177.00, 177.00, 177.00, 5
04/02/25, 177.00, 178.00, 175.00, 177.00, 1099
04/01/25, 170.00, 178.50, 170.00, 170.00, 140
03/28/25, 169.00, 170.00, 169.00, 169.00, 7
03/27/25, 169.00, 169.00, 169.00, 169.00, 229
03/26/25, 162.00, 170.00, 162.00, 169.00, 216
03/25/25, 170.00, 170.00, 161.00, 168.50, 6
03/24/25, 172.25, 172.25, 165.00, 168.50, 403
03/21/25, 165.00, 172.00, 165.00, 165.75, 169
03/20/25, 171.00, 172.25, 166.00, 167.00, 12
03/19/25, 171.75, 171.75, 171.75, 167.00, 1
03/18/25, 167.00, 167.00, 167.00, 167.00, 100
03/17/25, 171.00, 172.50, 165.75, 165.25, 8
03/14/25, 175.00, 175.00, 175.00, 165.25, 1
03/12/25, 175.00, 175.00, 175.00, 165.25, 2
03/11/25, 175.50, 175.50, 173.00, 165.25, 47
03/10/25, 175.25, 175.50, 175.25, 165.25, 55
03/07/25, 176.00, 176.00, 175.25, 165.25, 73
03/06/25, 162.00, 176.50, 162.00, 165.25, 686
03/05/25, 160.25, 176.50, 160.25, 162.00, 113
03/04/25, 175.25, 175.25, 166.75, 175.50, 33
03/03/25, 176.50, 176.50, 170.50, 175.50, 528
02/28/25, 176.50, 176.50, 176.50, 170.50, 4
02/27/25, 176.50, 176.50, 176.50, 170.50, 10
02/25/25, 176.75, 176.75, 166.50, 170.50, 87
02/24/25, 170.00, 170.00, 170.00, 170.50, 12
02/21/25, 178.50, 178.50, 170.00, 170.50, 145
02/20/25, 172.00, 172.00, 172.00, 172.00, 51
02/19/25, 178.75, 178.75, 172.00, 172.00, 1002
02/18/25, 178.75, 179.00, 170.25, 177.25, 163
02/17/25, 180.00, 180.00, 170.00, 170.00, 102
02/14/25, 180.00, 180.00, 168.00, 168.50, 304
02/13/25, 165.00, 179.00, 165.00, 178.00, 848
02/11/25, 178.00, 181.00, 170.00, 176.00, 545
02/10/25, 176.00, 178.75, 176.00, 170.50, 12
02/07/25, 179.00, 181.00, 165.00, 170.50, 2264
02/06/25, 179.00, 179.00, 179.00, 175.75, 1
02/05/25, 184.00, 184.00, 156.00, 175.75, 930
02/03/25, 179.00, 185.00, 179.00, 180.00, 6539
01/31/25, 184.75, 184.75, 184.75, 179.00, 1
01/30/25, 175.00, 185.00, 175.00, 179.00, 776
01/29/25, 171.25, 185.00, 165.00, 173.25, 2666
01/28/25, 183.00, 185.00, 179.00, 179.25, 3596
01/27/25, 181.50, 184.50, 173.25, 181.50, 584
01/24/25, 178.00, 184.50, 177.00, 178.00, 592
01/23/25, 175.00, 185.00, 175.00, 177.00, 2202
01/22/25, 185.00, 186.00, 185.00, 185.75, 392
01/21/25, 185.00, 189.00, 180.00, 180.25, 405
01/20/25, 171.00, 184.75, 171.00, 177.50, 273
