Date, Open, High, Low, Close, Volume
04/24/25, 500.00, 505.00, 500.00, 502.00, 31
04/23/25, 501.00, 502.00, 501.00, 502.00, 481
04/22/25, 515.00, 515.00, 513.75, 515.00, 695
04/21/25, 509.00, 510.00, 500.00, 500.50, 5656
04/17/25, 510.00, 510.00, 500.00, 500.25, 1044
04/16/25, 510.00, 510.00, 500.00, 500.25, 1290
04/11/25, 509.00, 509.00, 490.00, 492.75, 4070
04/10/25, 502.00, 519.00, 500.00, 510.00, 34789
04/09/25, 500.00, 500.00, 476.00, 486.00, 8764
04/08/25, 495.00, 515.00, 490.00, 500.00, 7162
04/07/25, 521.25, 521.25, 475.00, 484.75, 15927
04/04/25, 529.00, 529.00, 510.00, 510.25, 6769
04/03/25, 523.00, 535.00, 509.00, 522.50, 19234
04/02/25, 528.00, 559.75, 528.00, 544.50, 10126
04/01/25, 520.00, 528.00, 520.00, 520.50, 2309
03/28/25, 510.25, 520.00, 508.75, 519.50, 5460
03/27/25, 513.00, 513.00, 510.00, 510.00, 2869
03/26/25, 521.00, 521.00, 512.50, 512.75, 3442
03/25/25, 525.00, 530.00, 522.00, 523.75, 2064
03/24/25, 520.00, 525.50, 520.00, 525.00, 1047
03/21/25, 525.00, 535.00, 525.00, 527.00, 6034
03/20/25, 524.00, 538.00, 512.00, 534.00, 1691
03/19/25, 510.00, 520.00, 490.00, 512.50, 52488
03/18/25, 512.00, 525.00, 507.00, 507.25, 8708
03/17/25, 539.00, 539.00, 513.00, 515.00, 4119
03/14/25, 537.75, 550.00, 520.00, 524.00, 10725
03/12/25, 515.00, 538.00, 515.00, 526.75, 1736
03/11/25, 522.50, 522.50, 515.00, 515.25, 5196
03/10/25, 540.75, 540.75, 520.00, 522.50, 2815
03/07/25, 541.00, 541.00, 532.00, 532.50, 146
03/06/25, 543.00, 544.50, 541.00, 543.50, 377
03/05/25, 523.00, 543.00, 523.00, 542.75, 2255
03/04/25, 531.25, 531.50, 520.00, 523.00, 8278
03/03/25, 549.00, 549.00, 531.50, 536.00, 600
02/28/25, 550.00, 550.00, 547.00, 549.00, 9991
02/27/25, 542.00, 560.00, 531.50, 550.50, 8389
02/25/25, 556.00, 556.00, 540.00, 544.25, 7913
02/24/25, 553.75, 560.00, 550.00, 558.25, 3591
02/21/25, 565.00, 575.00, 555.00, 561.25, 4247
02/20/25, 569.25, 569.25, 555.25, 562.25, 4581
02/19/25, 580.00, 580.00, 566.50, 569.25, 47083
02/18/25, 590.00, 605.00, 580.00, 584.75, 16259
02/17/25, 588.25, 597.50, 585.25, 597.00, 3513
02/14/25, 542.00, 588.25, 542.00, 584.25, 31806
02/13/25, 550.00, 558.50, 540.75, 553.25, 6877
02/11/25, 568.00, 568.00, 540.00, 542.50, 14829
02/10/25, 580.50, 580.50, 565.00, 569.75, 4307
02/07/25, 580.00, 590.00, 575.00, 580.25, 12826
02/06/25, 579.00, 590.00, 552.00, 580.00, 59508
02/05/25, 590.00, 590.00, 575.25, 580.00, 70910
02/03/25, 583.00, 600.50, 577.00, 600.00, 22064
01/31/25, 599.00, 599.00, 580.00, 588.75, 8517
01/30/25, 600.00, 610.00, 590.00, 600.00, 26946
01/29/25, 548.25, 600.00, 548.25, 595.25, 133600
01/28/25, 520.00, 545.00, 520.00, 541.75, 76087
01/27/25, 521.00, 525.00, 515.00, 516.50, 27885
01/24/25, 515.25, 525.00, 510.00, 519.75, 78943
01/23/25, 505.00, 522.00, 500.25, 520.75, 68501
01/22/25, 490.00, 517.00, 490.00, 503.00, 130636
01/21/25, 479.75, 495.00, 479.75, 484.00, 28945
01/20/25, 475.00, 479.00, 468.50, 477.00, 93066
01/17/25, 475.00, 475.00, 463.25, 469.50, 18186
01/16/25, 464.75, 475.00, 461.50, 469.25, 24441
01/15/25, 458.00, 469.75, 458.00, 464.75, 1073
01/10/25, 463.00, 470.00, 458.00, 465.00, 3622
01/09/25, 470.00, 485.00, 462.00, 469.00, 31909
01/08/25, 460.00, 474.00, 455.00, 461.25, 8943
01/07/25, 439.00, 469.00, 439.00, 469.00, 66807
01/06/25, 450.25, 465.00, 435.00, 455.25, 43746
01/03/25, 466.75, 471.00, 435.00, 454.50, 39216
01/02/25, 466.75, 471.00, 466.50, 466.75, 36165
12/31/24, 474.00, 474.00, 466.50, 467.25, 19535
12/30/24, 490.00, 490.00, 471.00, 473.75, 24052
12/27/24, 498.00, 499.00, 475.00, 488.75, 20481
12/26/24, 475.00, 499.00, 473.00, 488.25, 66279
12/24/24, 475.00, 485.00, 475.00, 475.25, 38016
12/23/24, 480.00, 485.00, 466.00, 473.25, 31076
12/20/24, 476.00, 494.75, 476.00, 488.25, 52245
12/19/24, 478.00, 480.00, 465.50, 477.50, 22569
12/18/24, 453.00, 485.00, 444.00, 478.00, 100432
12/17/24, 440.00, 458.00, 435.00, 453.00, 102162
12/16/24, 420.00, 448.50, 420.00, 446.75, 85069
12/13/24, 415.00, 430.00, 415.00, 423.75, 34462
12/12/24, 417.00, 439.25, 411.75, 415.75, 133867
12/11/24, 400.00, 423.00, 400.00, 415.50, 77646
12/10/24, 380.25, 400.00, 380.25, 394.75, 100068
12/09/24, 375.25, 394.75, 375.25, 390.00, 15380
12/06/24, 375.25, 399.00, 375.25, 391.25, 76443
12/05/24, 382.00, 395.00, 380.50, 387.50, 54694
12/04/24, 376.75, 388.00, 373.25, 382.25, 51612
12/03/24, 365.00, 376.75, 360.00, 374.25, 95546
12/02/24, 355.00, 374.75, 355.00, 363.50, 32313
11/29/24, 344.00, 358.00, 344.00, 352.25, 78476
11/28/24, 342.00, 349.00, 340.00, 345.00, 38581
11/27/24, 340.25, 349.75, 339.00, 343.00, 39608
11/26/24, 343.00, 343.00, 333.00, 339.00, 5307
11/25/24, 339.75, 339.75, 334.00, 334.00, 7927
11/22/24, 345.00, 345.00, 340.00, 341.25, 4715
11/21/24, 346.25, 348.00, 337.00, 340.50, 25915
11/20/24, 340.00, 350.00, 340.00, 347.25, 13313
11/19/24, 359.50, 359.50, 346.50, 350.00, 8243
11/18/24, 357.00, 360.00, 352.00, 354.50, 38979
11/14/24, 352.00, 354.75, 352.00, 352.50, 16235
11/13/24, 357.75, 359.50, 352.00, 357.75, 15604
11/12/24, 358.00, 358.00, 351.00, 356.25, 2986
11/11/24, 350.25, 360.00, 350.00, 357.75, 57150
11/08/24, 352.75, 352.75, 345.00, 350.00, 7844
11/07/24, 354.00, 354.00, 345.00, 345.25, 16493
11/06/24, 350.00, 353.00, 335.00, 348.75, 6468
11/05/24, 352.75, 354.75, 347.25, 354.00, 7650
11/04/24, 357.75, 358.00, 346.50, 355.00, 17296
11/01/24, 335.00, 357.75, 335.00, 356.75, 114919
10/30/24, 339.00, 342.00, 331.50, 341.25, 115431
10/29/24, 333.00, 339.25, 331.00, 338.25, 28779
10/28/24, 332.75, 335.00, 329.00, 330.50, 3215
10/25/24, 333.75, 333.75, 328.25, 330.00, 5213
10/24/24, 333.75, 333.75, 326.50, 330.00, 8853
10/23/24, 328.00, 333.00, 325.50, 332.75, 9452
10/22/24, 326.00, 340.00, 326.00, 330.25, 47285
10/21/24, 315.00, 335.00, 315.00, 334.00, 195604
10/18/24, 311.00, 317.50, 308.75, 314.50, 54706
10/16/24, 312.50, 312.75, 307.00, 308.75, 8558
10/15/24, 310.00, 313.00, 308.75, 309.00, 1787
10/14/24, 311.00, 311.00, 308.25, 309.75, 1307
10/11/24, 308.00, 313.00, 308.00, 308.25, 1338
10/10/24, 313.50, 313.50, 308.00, 311.50, 6641
10/09/24, 309.75, 314.50, 309.75, 310.00, 10853
10/08/24, 307.00, 313.75, 307.00, 308.50, 25849
10/07/24, 308.50, 308.50, 303.00, 305.25, 3246
10/04/24, 303.50, 308.00, 303.25, 304.00, 793
10/03/24, 310.00, 310.00, 303.25, 303.50, 7334
10/02/24, 310.00, 310.00, 305.00, 305.00, 2033
10/01/24, 308.00, 309.00, 305.00, 308.50, 2902
09/30/24, 310.00, 310.00, 308.00, 308.00, 3173
09/27/24, 303.50, 309.75, 303.50, 307.75, 3407
09/26/24, 313.00, 314.00, 302.00, 305.00, 12074
09/25/24, 304.00, 315.00, 304.00, 311.25, 5517
09/24/24, 293.75, 304.00, 290.75, 304.00, 6960
09/23/24, 285.75, 293.00, 283.00, 292.50, 1367
