Date, Open, High, Low, Close, Volume
04/24/25, 80.50, 80.50, 80.00, 80.10, 4880
04/23/25, 81.50, 81.50, 80.00, 80.00, 8809
04/22/25, 80.50, 81.50, 79.80, 81.50, 1068
04/21/25, 81.50, 81.50, 80.00, 80.90, 6434
04/17/25, 81.50, 81.50, 81.10, 81.10, 4146
04/16/25, 82.00, 82.00, 81.00, 81.00, 830
04/11/25, 81.20, 81.20, 81.00, 81.00, 11916
04/10/25, 79.40, 81.50, 79.40, 81.00, 17177
04/09/25, 78.90, 79.40, 77.50, 78.00, 4441
04/08/25, 76.70, 78.50, 76.70, 78.40, 44375
04/07/25, 80.90, 80.90, 76.70, 76.90, 5121
04/04/25, 80.20, 82.00, 78.20, 80.90, 2929
04/03/25, 80.50, 82.00, 80.50, 80.50, 1326
04/02/25, 81.50, 82.40, 81.50, 82.10, 2260
04/01/25, 80.60, 81.50, 80.10, 81.10, 7939
03/28/25, 82.10, 82.10, 80.00, 80.90, 15280
03/27/25, 81.00, 82.10, 81.00, 82.10, 3283
03/26/25, 81.50, 81.50, 80.50, 80.50, 913
03/25/25, 82.50, 82.50, 80.50, 81.20, 598
03/24/25, 80.00, 84.90, 80.00, 81.30, 3111
03/21/25, 79.00, 80.00, 79.00, 79.50, 20868
03/20/25, 78.90, 79.50, 78.80, 78.90, 1358
03/19/25, 79.00, 79.00, 78.00, 78.20, 7585
03/18/25, 78.00, 79.40, 77.70, 78.10, 20489
03/17/25, 79.90, 79.90, 77.60, 78.10, 6293
03/14/25, 77.90, 81.00, 77.90, 79.80, 1390
03/12/25, 78.80, 78.80, 77.10, 78.00, 6102
03/11/25, 79.00, 79.00, 77.00, 77.40, 14492
03/10/25, 79.10, 79.40, 78.10, 78.40, 15985
03/07/25, 79.00, 79.90, 79.00, 79.40, 20065
03/06/25, 80.00, 80.00, 79.00, 79.00, 27850
03/05/25, 78.00, 79.90, 78.00, 79.00, 78040
03/04/25, 79.00, 79.80, 78.00, 78.70, 33389
03/03/25, 81.00, 81.20, 79.00, 79.70, 25555
02/28/25, 80.90, 81.40, 80.10, 80.20, 26513
02/27/25, 81.40, 81.40, 80.00, 80.20, 17295
02/25/25, 81.10, 82.10, 79.80, 80.10, 23844
02/24/25, 82.10, 82.50, 81.00, 81.90, 995
02/21/25, 82.10, 84.80, 82.00, 82.10, 22636
02/20/25, 83.80, 85.00, 82.10, 82.20, 31816
02/19/25, 82.00, 83.80, 81.00, 81.30, 19342
02/18/25, 83.00, 83.00, 82.10, 82.50, 5424
02/17/25, 83.90, 83.90, 82.10, 82.90, 4331
02/14/25, 83.50, 83.50, 81.90, 83.00, 5653
02/13/25, 80.00, 83.60, 80.00, 83.00, 11695
02/11/25, 81.00, 83.30, 80.00, 80.00, 73617
02/10/25, 83.10, 83.10, 81.00, 81.00, 30395
02/07/25, 84.00, 84.00, 83.10, 83.10, 3948
02/06/25, 82.90, 84.00, 81.00, 82.30, 20084
02/05/25, 86.00, 86.00, 82.50, 83.70, 25519
02/03/25, 86.00, 86.00, 84.60, 86.00, 34986
01/31/25, 86.00, 86.00, 84.70, 85.90, 68418
01/30/25, 85.90, 86.70, 85.90, 86.00, 22169
01/29/25, 86.50, 86.70, 85.80, 86.50, 25486
