Date, Open, High, Low, Close, Volume
04/24/25, 81.40, 81.40, 80.90, 81.00, 10836
04/23/25, 81.00, 81.80, 81.00, 81.20, 5515
04/22/25, 81.50, 82.00, 80.10, 81.90, 26803
04/21/25, 81.00, 82.50, 81.00, 81.90, 10194
04/17/25, 81.40, 82.00, 80.90, 81.30, 1803
04/16/25, 80.70, 82.00, 80.50, 81.80, 1647
04/11/25, 84.80, 84.80, 80.80, 82.00, 3010
04/10/25, 86.00, 86.00, 80.50, 82.00, 16054
04/09/25, 83.40, 83.40, 80.00, 80.80, 78113
04/08/25, 79.90, 83.50, 79.90, 80.80, 41131
04/07/25, 82.00, 82.80, 80.00, 82.70, 25173
04/04/25, 83.90, 83.90, 82.20, 82.20, 16257
04/03/25, 84.00, 84.00, 81.00, 82.30, 47784
04/02/25, 84.90, 84.90, 84.40, 84.70, 5206
04/01/25, 83.00, 84.90, 81.00, 84.50, 19216
03/28/25, 83.70, 83.70, 82.00, 82.20, 33796
03/27/25, 81.10, 81.10, 80.60, 81.10, 11176
03/26/25, 83.50, 83.90, 81.00, 81.00, 1368
03/25/25, 84.60, 84.60, 81.50, 81.50, 39546
03/24/25, 81.80, 84.80, 80.80, 81.00, 17032
03/21/25, 81.80, 81.90, 80.60, 81.50, 418
03/20/25, 80.00, 81.50, 80.00, 80.90, 96114
03/19/25, 80.10, 81.50, 79.20, 80.70, 37807
03/18/25, 80.10, 82.20, 80.10, 80.40, 9555
03/17/25, 82.60, 82.60, 80.10, 81.80, 6153
03/14/25, 82.50, 84.50, 82.50, 83.20, 2698
03/12/25, 81.80, 82.50, 81.60, 82.30, 1121
03/11/25, 83.00, 83.00, 81.40, 81.50, 35925
03/10/25, 81.20, 83.00, 81.20, 81.50, 2705
03/07/25, 84.00, 84.00, 81.10, 81.10, 34928
03/06/25, 85.00, 85.00, 83.10, 83.10, 6142
03/05/25, 83.00, 84.00, 83.00, 83.20, 1809
03/04/25, 84.00, 84.00, 80.80, 82.20, 24257
03/03/25, 86.60, 87.00, 84.00, 86.00, 51235
02/28/25, 83.90, 87.00, 82.00, 84.20, 1453
02/27/25, 81.50, 84.90, 80.90, 83.90, 17935
02/25/25, 85.00, 85.00, 81.00, 81.30, 3754
02/24/25, 84.20, 84.20, 83.00, 84.00, 9873
02/21/25, 86.00, 87.50, 84.10, 84.90, 3783
02/20/25, 86.10, 86.10, 84.90, 85.20, 10229
02/19/25, 87.00, 88.60, 86.40, 86.50, 1808
02/18/25, 88.00, 88.00, 86.50, 86.60, 68845
02/17/25, 86.10, 88.90, 86.10, 88.80, 3390
02/14/25, 85.00, 86.20, 85.00, 85.90, 14570
02/13/25, 84.10, 88.30, 84.00, 86.00, 15951
02/11/25, 85.70, 88.80, 84.20, 84.70, 6564
02/10/25, 89.80, 89.80, 85.00, 85.60, 8014
02/07/25, 87.50, 89.80, 86.70, 86.90, 25862
02/06/25, 87.00, 90.00, 87.00, 87.50, 42648
02/05/25, 90.90, 91.10, 86.90, 87.30, 37502
02/03/25, 92.60, 92.90, 90.00, 90.00, 48734
01/31/25, 95.00, 95.00, 91.00, 92.60, 64123
01/30/25, 95.00, 98.50, 95.00, 97.70, 76774
01/29/25, 98.50, 98.50, 95.00, 95.40, 18612
01/28/25, 95.00, 98.00, 93.60, 97.70, 114899
01/27/25, 95.50, 96.80, 94.00, 94.70, 43517
01/24/25, 98.00, 98.00, 94.10, 96.00, 26980
01/23/25, 94.00, 97.90, 93.80, 95.80, 121174
01/22/25, 97.00, 97.00, 93.40, 94.60, 31953
01/21/25, 95.80, 98.00, 95.00, 95.80, 239252
01/20/25, 96.00, 98.00, 93.60, 95.10, 34085
01/17/25, 91.60, 98.90, 91.60, 95.20, 107278
01/16/25, 93.00, 93.90, 90.70, 93.00, 29988
01/15/25, 93.00, 94.00, 90.00, 91.50, 10690
01/10/25, 91.70, 93.90, 89.60, 92.00, 26617
01/09/25, 93.00, 93.60, 89.60, 91.50, 22489
01/08/25, 93.00, 94.70, 93.00, 94.30, 76617
01/07/25, 93.00, 93.00, 88.10, 92.70, 69841
01/06/25, 92.00, 93.50, 88.00, 92.80, 341786
01/03/25, 94.00, 95.80, 90.00, 92.60, 86428
01/02/25, 97.00, 98.30, 95.00, 95.50, 121634
