Date, Open, High, Low, Close, Volume
04/24/25, 9.20, 9.30, 9.10, 9.30, 165408
04/23/25, 9.00, 9.20, 8.90, 9.00, 188643
04/22/25, 9.00, 9.00, 8.80, 9.00, 15653
04/21/25, 9.00, 9.00, 8.80, 8.90, 137757
04/17/25, 9.10, 9.10, 8.90, 9.00, 28411
04/16/25, 8.70, 9.00, 8.70, 8.90, 208355
04/11/25, 9.00, 9.10, 8.80, 8.90, 302653
04/10/25, 8.80, 9.20, 8.80, 9.00, 889187
04/09/25, 8.50, 8.50, 8.20, 8.50, 796618
04/08/25, 8.00, 8.60, 8.00, 8.40, 1672705
04/07/25, 8.80, 8.80, 7.90, 8.00, 1666371
04/04/25, 8.90, 8.90, 8.60, 8.80, 155234
04/03/25, 9.20, 9.20, 8.90, 9.00, 1152356
04/02/25, 9.30, 9.50, 9.00, 9.30, 179425
04/01/25, 9.00, 9.30, 9.00, 9.20, 55034
03/28/25, 9.20, 9.20, 9.00, 9.00, 80183
03/27/25, 9.10, 9.20, 8.80, 9.20, 272113
03/26/25, 9.00, 9.10, 9.00, 9.00, 127549
03/25/25, 9.10, 9.10, 8.80, 9.00, 14948
03/24/25, 9.20, 9.30, 9.00, 9.00, 78576
03/21/25, 8.80, 9.20, 8.70, 9.00, 305778
03/20/25, 8.50, 8.80, 8.50, 8.80, 24172
03/19/25, 8.60, 8.80, 8.50, 8.50, 264046
03/18/25, 8.80, 8.90, 8.60, 8.60, 132151
03/17/25, 9.30, 9.30, 8.80, 8.90, 21103
03/14/25, 9.00, 9.30, 8.90, 9.00, 54655
03/12/25, 8.70, 9.00, 8.70, 8.90, 119244
03/11/25, 8.80, 8.90, 8.70, 8.70, 109493
03/10/25, 9.00, 9.30, 8.80, 8.80, 196709
03/07/25, 9.00, 9.50, 8.90, 9.10, 562508
03/06/25, 9.20, 9.30, 8.80, 8.80, 42091
03/05/25, 8.80, 9.20, 8.70, 9.00, 680991
03/04/25, 8.90, 8.90, 8.40, 8.50, 248303
03/03/25, 9.00, 9.50, 8.70, 8.80, 388422
02/28/25, 9.20, 9.20, 8.80, 9.00, 264499
02/27/25, 9.00, 9.30, 9.00, 9.10, 147847
02/25/25, 9.20, 9.50, 9.00, 9.20, 221083
02/24/25, 9.60, 9.60, 9.10, 9.30, 90412
02/21/25, 9.60, 9.70, 9.40, 9.50, 426134
02/20/25, 9.80, 9.90, 9.60, 9.70, 110528
02/19/25, 10.10, 10.10, 9.90, 9.90, 244500
02/18/25, 9.80, 10.10, 9.60, 10.00, 4797134
02/17/25, 9.80, 9.80, 9.60, 9.70, 185230
02/14/25, 9.60, 9.90, 9.50, 9.60, 255127
02/13/25, 9.30, 9.60, 9.20, 9.50, 410776
02/11/25, 9.40, 9.50, 9.00, 9.10, 622483
02/10/25, 9.60, 9.70, 9.30, 9.40, 195824
02/07/25, 9.60, 9.90, 9.10, 9.50, 567898
02/06/25, 9.30, 9.90, 9.30, 9.60, 314848
02/05/25, 10.00, 10.10, 9.50, 9.60, 1307531
02/03/25, 10.10, 10.10, 9.90, 10.00, 884287
01/31/25, 10.20, 10.30, 10.00, 10.10, 2363198
01/30/25, 10.00, 10.20, 10.00, 10.10, 502915
01/29/25, 10.20, 10.20, 10.00, 10.10, 716121
01/28/25, 10.00, 10.20, 9.90, 10.10, 503695
01/27/25, 10.00, 10.10, 9.90, 9.90, 711004
01/24/25, 10.00, 10.20, 9.90, 10.00, 221536
01/23/25, 10.10, 10.30, 9.90, 10.00, 920915
01/22/25, 10.30, 10.40, 10.00, 10.00, 858525
01/21/25, 10.30, 10.40, 10.00, 10.20, 2661782
01/20/25, 10.10, 10.30, 10.10, 10.20, 2069581
01/17/25, 10.00, 10.20, 9.90, 10.10, 1118873
01/16/25, 10.00, 10.10, 9.90, 10.00, 747819
01/15/25, 10.20, 10.20, 9.90, 9.90, 634963
01/10/25, 10.00, 10.40, 9.90, 10.20, 2792903
01/09/25, 10.40, 10.40, 9.90, 10.00, 2301187
01/08/25, 10.20, 10.70, 10.10, 10.20, 5853969
01/07/25, 9.80, 10.30, 9.30, 10.10, 1082059
01/06/25, 9.80, 10.30, 9.40, 9.80, 2820869
01/03/25, 10.10, 10.60, 9.40, 9.70, 8143350
01/02/25, 9.00, 10.20, 8.90, 9.80, 10468080
12/31/24, 9.00, 9.10, 8.90, 8.90, 515409
12/30/24, 9.20, 9.30, 9.00, 9.00, 312349
12/27/24, 9.30, 9.40, 8.90, 9.20, 1758123
12/26/24, 9.30, 9.40, 9.10, 9.10, 710230
12/24/24, 9.20, 9.40, 9.10, 9.20, 1812564
12/23/24, 9.40, 9.40, 9.10, 9.20, 1247635
12/20/24, 9.60, 9.70, 9.30, 9.40, 2813589
12/19/24, 8.70, 9.70, 8.60, 9.60, 23306891
12/18/24, 8.60, 8.70, 8.30, 8.50, 827048
12/17/24, 8.40, 8.80, 8.10, 8.60, 3603526
12/16/24, 8.50, 8.60, 8.40, 8.40, 653037
12/13/24, 8.40, 8.90, 8.40, 8.50, 1123446
12/12/24, 8.90, 9.10, 8.40, 8.50, 11946870
12/11/24, 9.40, 9.40, 8.70, 8.80, 3416562
12/10/24, 9.50, 9.80, 9.00, 9.40, 7218262
12/09/24, 8.80, 9.60, 8.80, 9.40, 15222410
12/06/24, 7.10, 8.80, 7.00, 8.60, 25854080
12/05/24, 7.20, 7.30, 6.90, 7.10, 3357682
12/04/24, 6.70, 7.30, 6.70, 7.10, 9021983
12/03/24, 6.30, 6.70, 6.20, 6.60, 3858726
12/02/24, 6.20, 6.30, 6.10, 6.20, 747327
11/29/24, 6.30, 6.30, 6.10, 6.10, 137974
11/28/24, 6.30, 6.30, 6.20, 6.30, 132119
11/27/24, 6.30, 6.30, 6.20, 6.30, 162821
11/26/24, 6.30, 6.40, 6.20, 6.30, 96436
11/25/24, 6.30, 6.40, 6.20, 6.30, 149070
11/22/24, 6.30, 6.40, 6.20, 6.30, 491807
11/21/24, 6.50, 6.50, 6.30, 6.40, 168840
11/20/24, 6.30, 6.60, 6.30, 6.40, 159835
11/19/24, 6.50, 6.50, 6.30, 6.40, 144089
11/18/24, 6.40, 6.60, 6.40, 6.50, 2543981
11/14/24, 6.30, 6.40, 6.30, 6.40, 404620
11/13/24, 6.40, 6.50, 6.40, 6.40, 325258
11/12/24, 6.50, 6.50, 6.30, 6.40, 886916
11/11/24, 6.40, 6.50, 6.30, 6.30, 654320
11/08/24, 6.20, 6.40, 6.20, 6.40, 497454
11/07/24, 6.30, 6.50, 6.20, 6.30, 947862
11/06/24, 6.10, 6.30, 6.10, 6.20, 292667
11/05/24, 6.20, 6.20, 6.00, 6.20, 395903
11/04/24, 6.20, 6.20, 6.00, 6.10, 134931
11/01/24, 6.10, 6.20, 6.00, 6.10, 182374
10/30/24, 6.20, 6.20, 6.00, 6.00, 184731
10/29/24, 6.30, 6.30, 6.10, 6.10, 173881
10/28/24, 6.20, 6.30, 6.10, 6.10, 272303
10/25/24, 6.30, 6.30, 6.10, 6.10, 27451
10/24/24, 6.20, 6.30, 6.20, 6.20, 188688
10/23/24, 6.40, 6.40, 6.20, 6.20, 145101
10/22/24, 6.40, 6.50, 6.30, 6.30, 120276
10/21/24, 6.20, 6.50, 6.20, 6.40, 1008193
10/18/24, 6.30, 6.40, 6.20, 6.20, 950399
10/16/24, 6.30, 6.30, 6.20, 6.30, 518007
10/15/24, 6.30, 6.40, 6.20, 6.30, 237622
10/14/24, 6.10, 6.60, 6.10, 6.30, 2710660
