Date, Open, High, Low, Close, Volume
04/22/25, 370.50, 430.00, 370.50, 395.00, 10
04/21/25, 434.75, 434.75, 430.00, 395.00, 34
04/08/25, 430.00, 430.00, 430.00, 395.00, 1
04/02/25, 398.00, 400.00, 398.00, 395.00, 7
03/28/25, 440.00, 440.00, 439.75, 395.00, 25
03/19/25, 390.00, 391.00, 390.00, 395.00, 70
03/18/25, 400.25, 400.25, 390.00, 395.00, 117
03/10/25, 420.00, 420.00, 420.00, 405.00, 1
03/05/25, 400.00, 400.00, 400.00, 405.00, 5
03/04/25, 410.00, 410.00, 410.00, 405.00, 10
02/28/25, 435.00, 435.00, 420.00, 405.00, 28
02/25/25, 405.00, 405.00, 405.00, 405.00, 190
02/20/25, 404.50, 404.50, 404.50, 435.50, 40
02/19/25, 440.00, 440.00, 404.00, 435.50, 178
02/18/25, 425.00, 438.00, 425.00, 434.00, 109
02/17/25, 425.00, 425.00, 410.00, 402.00, 44
02/14/25, 405.00, 405.00, 405.00, 402.00, 1
02/10/25, 439.25, 439.25, 439.25, 402.00, 2
02/06/25, 402.00, 402.00, 402.00, 402.00, 500
02/05/25, 420.00, 420.00, 406.00, 430.00, 59
02/03/25, 420.00, 420.00, 420.00, 430.00, 1
01/30/25, 430.00, 430.00, 430.00, 430.00, 130
01/29/25, 430.00, 430.00, 430.00, 420.50, 39
01/28/25, 382.75, 429.75, 382.75, 420.50, 2
01/23/25, 420.00, 420.00, 420.00, 420.50, 3
01/21/25, 419.75, 419.75, 419.75, 420.50, 1
01/16/25, 420.00, 420.00, 420.00, 420.50, 20
01/15/25, 420.00, 420.00, 420.00, 420.50, 10
01/07/25, 420.25, 435.00, 420.00, 420.50, 32
01/06/25, 425.00, 425.00, 425.00, 420.50, 10
01/03/25, 425.75, 437.00, 420.25, 420.50, 246
01/02/25, 421.00, 437.00, 421.00, 439.00, 23
12/31/24, 438.00, 438.00, 438.00, 439.00, 5
12/30/24, 438.75, 438.75, 438.75, 439.00, 2
12/27/24, 405.25, 405.25, 405.25, 439.00, 16
12/26/24, 440.00, 444.00, 440.00, 439.00, 84
12/24/24, 401.25, 440.00, 401.25, 439.00, 409
12/23/24, 429.75, 434.00, 412.00, 392.25, 58
12/20/24, 400.00, 400.00, 365.00, 392.25, 325
12/19/24, 399.25, 399.25, 399.00, 399.00, 402
12/18/24, 400.00, 405.00, 393.00, 399.75, 67
12/17/24, 394.00, 394.00, 394.00, 399.75, 34
12/16/24, 397.00, 397.25, 397.00, 399.75, 76
12/13/24, 399.75, 399.75, 397.25, 399.75, 14
12/12/24, 400.00, 400.00, 397.25, 399.75, 265
12/09/24, 399.75, 399.75, 399.75, 409.00, 55
12/06/24, 390.00, 399.75, 388.50, 409.00, 41
12/05/24, 388.50, 388.50, 388.50, 409.00, 10
12/02/24, 400.00, 400.00, 400.00, 409.00, 8
11/29/24, 401.00, 401.00, 401.00, 409.00, 2
11/25/24, 410.00, 410.00, 410.00, 409.00, 35
11/22/24, 409.00, 409.00, 408.00, 409.00, 176
11/21/24, 409.00, 409.00, 409.00, 401.50, 20
11/20/24, 381.00, 409.25, 377.00, 401.50, 133
11/19/24, 376.25, 376.25, 376.25, 368.00, 1
11/14/24, 380.00, 380.00, 380.00, 368.00, 13
11/12/24, 390.00, 390.00, 390.00, 368.00, 2
11/11/24, 380.00, 380.00, 380.00, 368.00, 2
11/07/24, 372.25, 372.50, 372.25, 368.00, 35
11/06/24, 370.50, 370.50, 360.00, 368.00, 500
10/21/24, 400.00, 410.00, 400.00, 410.00, 26
10/18/24, 410.00, 410.00, 410.00, 410.00, 1
10/16/24, 410.00, 410.00, 410.00, 410.00, 25
10/14/24, 399.75, 410.00, 399.75, 410.00, 61
10/11/24, 390.00, 390.00, 390.00, 410.00, 1
10/10/24, 360.25, 360.25, 360.25, 410.00, 5
10/04/24, 400.00, 400.00, 400.00, 410.00, 3
10/02/24, 400.00, 400.00, 400.00, 410.00, 9
09/27/24, 410.00, 410.00, 410.00, 410.00, 110
09/26/24, 360.00, 409.75, 360.00, 350.00, 42
09/24/24, 414.75, 414.75, 414.75, 350.00, 10
09/23/24, 415.00, 415.00, 356.50, 350.00, 11
09/13/24, 420.00, 420.00, 420.00, 350.00, 10
09/11/24, 350.00, 350.00, 350.00, 350.00, 105
09/10/24, 360.50, 360.50, 360.50, 370.00, 1
09/04/24, 370.00, 373.00, 370.00, 370.00, 141
09/02/24, 385.00, 385.00, 385.00, 390.00, 4
08/26/24, 351.00, 351.00, 351.00, 390.00, 1
08/22/24, 410.00, 410.00, 410.00, 390.00, 1
08/16/24, 415.00, 415.00, 415.00, 390.00, 2
08/15/24, 420.00, 420.00, 420.00, 390.00, 1
08/13/24, 362.00, 362.00, 362.00, 390.00, 4
08/09/24, 431.00, 431.00, 400.00, 390.00, 32
08/08/24, 362.00, 362.00, 362.00, 390.00, 4
08/05/24, 390.00, 390.00, 390.00, 390.00, 5
08/02/24, 391.00, 392.00, 390.00, 390.00, 233
08/01/24, 396.00, 396.00, 390.00, 389.50, 67
07/30/24, 400.00, 400.00, 400.00, 389.50, 12
07/29/24, 400.00, 401.00, 400.00, 389.50, 10
07/26/24, 404.00, 417.75, 404.00, 389.50, 78
07/25/24, 403.00, 418.00, 403.00, 389.50, 7
07/24/24, 420.00, 420.00, 419.00, 389.50, 8
07/22/24, 424.50, 424.50, 391.25, 389.50, 2
07/19/24, 395.25, 424.00, 391.50, 389.50, 6
07/18/24, 429.00, 429.00, 427.00, 389.50, 5
07/16/24, 385.75, 385.75, 385.75, 389.50, 1
07/15/24, 385.75, 385.75, 385.75, 389.50, 3
07/12/24, 429.00, 429.00, 428.00, 389.50, 3
07/11/24, 382.50, 429.00, 382.50, 389.50, 2
07/08/24, 422.50, 429.50, 422.00, 389.50, 24
07/05/24, 422.00, 422.00, 422.00, 389.50, 16
07/01/24, 419.00, 419.00, 419.00, 389.50, 12
06/28/24, 400.00, 400.00, 400.00, 389.50, 4
06/27/24, 419.75, 419.75, 419.75, 389.50, 11
06/24/24, 390.00, 390.00, 388.00, 389.50, 121
06/20/24, 419.75, 419.75, 388.50, 390.50, 40
