Date, Open, High, Low, Close, Volume
04/24/25, 93.00, 93.80, 92.00, 92.90, 671996
04/23/25, 93.00, 94.00, 91.70, 92.90, 563361
04/22/25, 92.00, 92.40, 91.50, 92.30, 34922
04/21/25, 91.00, 93.20, 90.80, 91.90, 168529
04/17/25, 88.50, 92.00, 88.00, 91.20, 115489
04/16/25, 87.60, 90.00, 87.60, 90.00, 197933
04/11/25, 87.20, 89.00, 86.90, 87.50, 45857
04/10/25, 87.00, 89.00, 87.00, 87.20, 49695
04/09/25, 89.90, 89.90, 84.50, 84.70, 83787
04/08/25, 81.00, 85.80, 80.20, 85.40, 49792
04/07/25, 84.60, 84.60, 77.00, 81.00, 225476
04/04/25, 87.00, 87.00, 84.90, 85.50, 44887
04/03/25, 87.00, 88.00, 86.20, 86.60, 177804
04/02/25, 87.00, 90.90, 86.80, 88.70, 436864
04/01/25, 85.70, 87.00, 85.60, 86.60, 17812
03/28/25, 86.40, 87.80, 85.40, 85.80, 47781
03/27/25, 86.00, 87.90, 86.00, 86.40, 5490
03/26/25, 86.40, 87.00, 86.40, 86.50, 51079
03/25/25, 87.00, 87.00, 86.00, 86.50, 26052
03/24/25, 86.90, 87.00, 86.60, 86.80, 20825
03/21/25, 85.10, 86.90, 85.10, 86.60, 47353
03/20/25, 84.50, 86.80, 84.00, 86.80, 27060
03/19/25, 85.00, 85.00, 84.00, 84.00, 215418
03/18/25, 86.00, 86.00, 84.00, 84.90, 97149
03/17/25, 86.60, 88.00, 85.80, 85.80, 6148
03/14/25, 87.40, 87.40, 86.50, 86.60, 15574
03/12/25, 86.70, 87.40, 85.60, 87.00, 54414
03/11/25, 87.70, 87.70, 85.90, 86.00, 114561
03/10/25, 86.10, 88.90, 86.10, 87.20, 6425
03/07/25, 86.00, 89.00, 85.80, 87.70, 101910
03/06/25, 87.60, 87.90, 85.60, 85.70, 18977
03/05/25, 84.90, 87.80, 84.50, 86.10, 95376
03/04/25, 87.00, 87.00, 84.90, 84.90, 123425
03/03/25, 87.90, 88.20, 86.00, 86.30, 8295
02/28/25, 87.40, 89.50, 87.40, 89.30, 121060
02/27/25, 86.20, 87.50, 85.00, 87.00, 133780
