Date, Open, High, Low, Close, Volume
04/24/25, 5.70, 5.70, 5.50, 5.60, 135382
04/23/25, 5.60, 5.60, 5.50, 5.50, 592042
04/22/25, 5.60, 5.60, 5.50, 5.50, 1049430
04/21/25, 5.70, 5.70, 5.40, 5.50, 1287673
04/17/25, 5.70, 5.70, 5.60, 5.60, 256773
04/16/25, 5.70, 5.70, 5.60, 5.60, 213860
04/11/25, 5.70, 5.70, 5.60, 5.70, 202249
04/10/25, 5.80, 5.90, 5.70, 5.70, 809390
04/09/25, 5.70, 5.70, 5.40, 5.50, 562235
04/08/25, 5.50, 5.70, 5.40, 5.50, 1432830
04/07/25, 5.70, 5.70, 5.40, 5.50, 1919007
04/04/25, 5.70, 5.80, 5.60, 5.70, 357945
04/03/25, 5.80, 5.90, 5.70, 5.70, 1460765
04/02/25, 6.00, 6.00, 5.90, 5.90, 630071
04/01/25, 5.90, 6.00, 5.80, 5.90, 601573
03/28/25, 5.90, 5.90, 5.80, 5.80, 154554
03/27/25, 5.80, 5.90, 5.70, 5.80, 268800
03/26/25, 5.80, 6.00, 5.80, 5.80, 224583
03/25/25, 5.90, 6.00, 5.80, 5.90, 47819
03/24/25, 6.00, 6.00, 5.90, 5.90, 107532
03/21/25, 5.80, 6.10, 5.80, 6.00, 991248
03/20/25, 5.70, 5.90, 5.70, 5.80, 550613
03/19/25, 5.80, 5.90, 5.70, 5.70, 392758
03/18/25, 5.90, 5.90, 5.60, 5.70, 526188
03/17/25, 5.90, 5.90, 5.80, 5.90, 158512
03/14/25, 6.00, 6.00, 5.80, 5.90, 317833
03/12/25, 5.90, 6.00, 5.70, 5.90, 723641
03/11/25, 5.90, 5.90, 5.70, 5.70, 806120
03/10/25, 5.90, 6.00, 5.90, 5.90, 1181474
03/07/25, 6.00, 6.00, 5.80, 5.90, 963556
03/06/25, 6.10, 6.20, 5.90, 5.90, 653214
03/05/25, 6.00, 6.10, 5.90, 6.00, 866198
03/04/25, 6.00, 6.00, 5.80, 5.90, 726788
03/03/25, 6.20, 6.20, 5.90, 5.90, 1357613
02/28/25, 6.20, 6.20, 6.00, 6.00, 1795597
02/27/25, 6.10, 6.20, 6.00, 6.00, 2303232
02/25/25, 6.20, 6.20, 5.90, 6.00, 1761537
02/24/25, 6.20, 6.30, 5.90, 6.00, 3381166
02/21/25, 6.30, 6.40, 6.10, 6.10, 3350404
02/20/25, 6.40, 6.40, 6.10, 6.20, 2829058
02/19/25, 6.60, 6.60, 6.40, 6.40, 850356
02/18/25, 6.70, 6.70, 6.50, 6.50, 4493879
02/17/25, 6.60, 6.70, 6.50, 6.60, 1972784
02/14/25, 6.50, 6.70, 6.40, 6.60, 7867443
02/13/25, 6.40, 6.50, 6.30, 6.40, 1650229
02/11/25, 6.30, 6.50, 6.20, 6.30, 920861
02/10/25, 6.50, 6.50, 6.30, 6.30, 1410498
02/07/25, 6.50, 6.50, 6.30, 6.40, 751421
02/06/25, 6.50, 6.60, 6.30, 6.40, 2910591
02/05/25, 6.50, 6.70, 6.30, 6.40, 12222040
02/03/25, 6.40, 6.40, 6.30, 6.30, 1697726
01/31/25, 6.50, 6.50, 6.30, 6.40, 3871383
01/30/25, 6.50, 6.60, 6.30, 6.40, 4418867
01/29/25, 6.30, 6.60, 6.20, 6.40, 10567010
01/28/25, 6.30, 6.40, 6.20, 6.30, 2894527
01/27/25, 6.40, 6.40, 6.20, 6.30, 3031760
01/24/25, 6.40, 6.50, 6.20, 6.30, 3925930
01/23/25, 6.40, 6.50, 6.30, 6.30, 5369192
01/22/25, 6.50, 6.50, 6.30, 6.40, 3398083
01/21/25, 6.40, 6.60, 6.40, 6.40, 1337120
01/20/25, 6.70, 6.70, 6.30, 6.40, 1563466
01/17/25, 6.60, 6.80, 6.60, 6.70, 5734801
01/16/25, 6.40, 6.80, 6.40, 6.60, 4473304
01/15/25, 6.50, 6.60, 6.30, 6.30, 2952705
01/10/25, 6.50, 6.60, 6.40, 6.50, 3816172
01/09/25, 6.70, 6.70, 6.50, 6.50, 2910126
01/08/25, 6.80, 6.90, 6.60, 6.70, 2914956
01/07/25, 7.10, 7.10, 6.60, 6.70, 14478000
01/06/25, 6.40, 7.20, 6.40, 6.90, 16859980
01/03/25, 6.60, 6.70, 6.30, 6.40, 6188040
01/02/25, 6.60, 6.70, 6.50, 6.60, 2659975
12/31/24, 6.60, 6.70, 6.50, 6.60, 7659018
12/30/24, 6.70, 6.70, 6.50, 6.50, 1668259
12/27/24, 6.80, 6.80, 6.50, 6.60, 7063323
12/26/24, 6.40, 6.80, 6.40, 6.80, 12477980
12/24/24, 6.40, 6.40, 6.20, 6.30, 3769774
12/23/24, 6.40, 6.40, 6.20, 6.30, 4038013
12/20/24, 6.40, 6.50, 6.30, 6.40, 7948028
12/19/24, 6.40, 6.60, 6.20, 6.40, 93941266
12/18/24, 6.30, 6.50, 6.10, 6.30, 8985074
12/17/24, 6.30, 6.30, 6.00, 6.20, 3007192
12/16/24, 5.90, 6.30, 5.90, 6.20, 8330424
12/13/24, 5.90, 5.90, 5.80, 5.80, 1351307
12/12/24, 5.90, 6.00, 5.70, 5.90, 2032913
12/11/24, 6.00, 6.00, 5.70, 5.80, 1164378
12/10/24, 6.00, 6.10, 5.90, 6.00, 2058720
12/09/24, 5.80, 6.00, 5.70, 5.90, 3730293
12/06/24, 5.80, 5.90, 5.60, 5.70, 753049
12/05/24, 5.90, 5.90, 5.70, 5.80, 2677154
12/04/24, 5.70, 5.90, 5.60, 5.70, 1628449
12/03/24, 5.80, 5.80, 5.60, 5.60, 2303459
12/02/24, 5.70, 5.90, 5.60, 5.60, 589081
11/29/24, 5.90, 5.90, 5.70, 5.70, 596175
11/28/24, 5.80, 6.00, 5.60, 5.80, 1072378
11/27/24, 5.80, 5.80, 5.60, 5.60, 195891
11/26/24, 5.60, 5.80, 5.60, 5.70, 110271
11/25/24, 5.80, 5.80, 5.60, 5.70, 338251
11/22/24, 5.70, 5.80, 5.60, 5.80, 202869
11/21/24, 5.80, 5.80, 5.60, 5.70, 357597
11/20/24, 5.80, 5.90, 5.60, 5.70, 612742
11/19/24, 5.90, 5.90, 5.70, 5.70, 400166
11/18/24, 5.90, 6.00, 5.70, 5.80, 1137877
11/14/24, 6.00, 6.00, 5.80, 5.90, 856993
11/13/24, 5.70, 6.10, 5.70, 5.90, 7121561
11/12/24, 5.70, 5.80, 5.60, 5.70, 1050170
11/11/24, 5.70, 5.80, 5.50, 5.70, 1333379
11/08/24, 5.80, 5.80, 5.50, 5.60, 1891911
11/07/24, 5.70, 5.80, 5.70, 5.80, 1010346
11/06/24, 5.80, 5.90, 5.70, 5.70, 1944694
11/05/24, 5.90, 5.90, 5.80, 5.90, 212505
11/04/24, 6.00, 6.00, 5.80, 5.80, 480245
