Date, Open, High, Low, Close, Volume
04/24/25, 230.00, 230.00, 230.00, 230.00, 1
04/21/25, 230.00, 255.00, 230.00, 230.00, 19
04/09/25, 230.00, 230.00, 230.00, 230.00, 568
04/01/25, 235.50, 235.50, 235.50, 250.00, 10
03/28/25, 249.75, 250.00, 249.75, 250.00, 25
03/27/25, 230.25, 230.25, 230.25, 250.00, 1
03/26/25, 231.25, 231.25, 231.25, 250.00, 11
03/25/25, 249.75, 250.50, 220.25, 250.00, 161
03/24/25, 220.25, 220.25, 220.00, 250.50, 4
03/21/25, 249.00, 249.00, 249.00, 250.50, 1
03/17/25, 252.00, 252.00, 252.00, 250.50, 1
03/14/25, 251.50, 278.25, 200.00, 250.50, 28
03/07/25, 251.00, 251.00, 251.00, 250.50, 2
03/06/25, 251.00, 251.00, 251.00, 250.50, 1
03/05/25, 265.00, 265.00, 265.00, 250.50, 4
03/04/25, 252.00, 252.00, 250.75, 250.50, 20
02/28/25, 261.00, 261.00, 261.00, 250.50, 1
02/27/25, 271.00, 271.00, 271.00, 250.50, 1
02/25/25, 270.75, 270.75, 250.50, 250.50, 402
02/24/25, 261.00, 261.00, 260.00, 261.00, 3
02/20/25, 261.00, 261.00, 261.00, 261.00, 233
02/19/25, 265.00, 265.00, 261.00, 261.00, 728
02/18/25, 268.50, 268.50, 268.50, 261.00, 10
02/17/25, 278.50, 278.50, 270.00, 261.00, 11
02/14/25, 261.00, 261.00, 261.00, 261.00, 100
02/13/25, 266.00, 266.00, 266.00, 261.00, 69
02/11/25, 261.00, 261.00, 261.00, 261.00, 1000
02/10/25, 275.00, 275.00, 260.00, 260.25, 332
02/07/25, 260.00, 261.75, 258.00, 259.00, 2983
02/06/25, 286.00, 286.00, 279.75, 279.75, 2
02/05/25, 259.25, 288.50, 252.00, 279.75, 19
02/03/25, 275.00, 285.00, 259.00, 279.75, 317
01/31/25, 259.00, 259.00, 259.00, 261.00, 5
01/30/25, 269.00, 279.75, 258.00, 261.00, 115
01/29/25, 263.00, 268.00, 263.00, 282.00, 21
01/28/25, 278.00, 278.00, 278.00, 282.00, 59
01/27/25, 265.00, 279.75, 265.00, 282.00, 27
01/24/25, 269.25, 273.00, 269.25, 282.00, 47
01/23/25, 270.00, 270.00, 270.00, 282.00, 11
