Date, Open, High, Low, Close, Volume
04/24/25, 34.10, 36.30, 34.10, 35.70, 1601704
04/23/25, 33.40, 35.00, 33.40, 33.50, 215
04/22/25, 34.50, 35.00, 33.40, 34.70, 3024
04/21/25, 35.00, 35.00, 34.80, 35.00, 7894
04/17/25, 35.00, 35.00, 34.10, 34.60, 102790
04/16/25, 34.90, 35.00, 34.10, 34.10, 8267
04/11/25, 34.50, 34.90, 34.10, 34.10, 7110
04/10/25, 34.00, 35.50, 34.00, 34.70, 144697
04/09/25, 31.30, 34.00, 31.30, 32.70, 144248
04/08/25, 34.90, 34.90, 33.90, 34.00, 124655
04/07/25, 34.00, 34.00, 31.30, 32.80, 62774
04/04/25, 35.00, 35.00, 33.00, 34.00, 82864
04/03/25, 34.70, 36.00, 34.10, 35.80, 17167
04/02/25, 34.50, 36.90, 34.50, 36.00, 104942
04/01/25, 35.00, 35.90, 35.00, 35.10, 15842
03/28/25, 35.50, 35.50, 34.00, 34.10, 14280
03/27/25, 36.50, 36.50, 35.20, 35.20, 4240
03/26/25, 35.90, 36.20, 35.20, 35.40, 92556
03/25/25, 35.10, 36.50, 35.10, 36.00, 176065
03/24/25, 35.30, 36.40, 35.10, 35.10, 40095
03/21/25, 35.50, 35.50, 34.40, 35.30, 30555
03/20/25, 33.60, 36.40, 33.30, 34.30, 11173
03/19/25, 33.70, 34.50, 33.70, 33.80, 16789
03/18/25, 35.10, 35.10, 33.50, 33.60, 17349
03/17/25, 35.80, 35.80, 35.00, 35.00, 5953
03/14/25, 36.00, 36.00, 35.00, 35.10, 15928
03/12/25, 34.80, 35.90, 34.00, 35.50, 17955
03/11/25, 35.00, 35.00, 34.00, 34.20, 40845
03/10/25, 35.00, 35.70, 35.00, 35.00, 16241
03/07/25, 35.80, 35.80, 35.00, 35.00, 276953
03/06/25, 35.80, 36.30, 35.00, 35.00, 235650
03/05/25, 33.20, 36.00, 33.20, 35.00, 518349
03/04/25, 33.70, 34.00, 33.00, 33.20, 26018
03/03/25, 36.00, 36.00, 34.00, 34.00, 73539
02/28/25, 36.00, 37.00, 35.50, 36.00, 34234
02/27/25, 34.20, 36.00, 34.20, 35.90, 357359
02/25/25, 35.00, 36.00, 33.00, 34.00, 112585
02/24/25, 36.20, 37.00, 35.00, 35.70, 54999
02/21/25, 38.50, 38.50, 36.10, 36.60, 41932
02/20/25, 38.20, 39.40, 37.20, 37.40, 321868
02/19/25, 38.10, 38.30, 37.10, 37.30, 22803
02/18/25, 39.50, 39.50, 38.30, 38.30, 7257
02/17/25, 38.10, 39.50, 38.10, 38.50, 10574
02/14/25, 37.40, 39.90, 37.00, 38.70, 127187
02/13/25, 35.80, 37.50, 35.80, 37.10, 50279
02/11/25, 37.50, 37.50, 35.80, 36.10, 60731
02/10/25, 38.40, 38.50, 37.50, 37.60, 27556
02/07/25, 37.30, 38.40, 37.30, 38.10, 5761
02/06/25, 38.00, 38.90, 37.00, 37.30, 78928
02/05/25, 39.90, 40.00, 37.50, 38.30, 94639
02/03/25, 39.90, 40.50, 39.90, 40.00, 112656
01/31/25, 40.40, 40.60, 39.90, 40.30, 33239
01/30/25, 40.90, 40.90, 40.20, 40.60, 51096
01/29/25, 40.70, 41.50, 39.90, 40.20, 132730
01/28/25, 40.90, 41.90, 40.40, 40.40, 27316
01/27/25, 41.10, 42.00, 40.90, 41.30, 56987
01/24/25, 42.00, 42.00, 40.00, 40.10, 104464
01/23/25, 40.90, 42.00, 40.00, 40.60, 287734
01/22/25, 42.10, 42.90, 41.00, 41.40, 263337
01/21/25, 41.50, 43.00, 41.20, 42.10, 901195
01/20/25, 39.10, 41.30, 39.10, 41.00, 1184547
01/17/25, 36.90, 39.00, 36.50, 38.60, 1948509
01/16/25, 37.00, 37.20, 36.50, 36.90, 215461
01/15/25, 36.90, 37.50, 36.00, 36.70, 50476
01/10/25, 37.10, 37.70, 36.80, 37.40, 202506
01/09/25, 37.20, 38.00, 37.00, 37.00, 278812
01/08/25, 37.00, 38.20, 37.00, 37.40, 981222
01/07/25, 35.70, 37.50, 35.60, 37.00, 995234
01/06/25, 36.00, 37.00, 36.00, 36.10, 1884925
01/03/25, 36.70, 37.80, 35.60, 36.20, 3570775
01/02/25, 36.50, 38.10, 34.80, 36.70, 1320390
12/31/24, 35.70, 36.50, 35.50, 36.30, 1927153
12/30/24, 33.70, 35.80, 33.70, 35.40, 3998562
12/27/24, 33.10, 34.50, 33.10, 34.00, 2084428
12/26/24, 32.20, 33.60, 32.00, 33.40, 1622040
12/24/24, 32.50, 33.00, 31.20, 32.00, 556442
12/23/24, 33.50, 33.80, 32.20, 32.60, 252723
12/20/24, 33.70, 33.90, 33.10, 33.50, 256336
12/19/24, 31.80, 33.50, 31.70, 33.10, 2018979
12/18/24, 32.00, 32.60, 31.20, 32.10, 1146239
12/17/24, 31.40, 32.40, 31.20, 32.00, 2025512
12/16/24, 30.70, 31.40, 30.00, 31.20, 1502217
12/13/24, 30.20, 31.00, 30.20, 30.90, 304007
12/12/24, 30.90, 31.40, 30.00, 30.20, 219148
12/11/24, 30.00, 31.40, 30.00, 30.80, 1558732
12/10/24, 30.30, 30.50, 29.70, 30.20, 495231
12/09/24, 30.30, 30.90, 30.00, 30.20, 460764
12/06/24, 29.20, 31.00, 29.10, 30.40, 1663753
12/05/24, 29.10, 29.70, 28.70, 28.90, 460732
12/04/24, 28.50, 29.60, 28.50, 29.40, 1355864
12/03/24, 28.60, 28.60, 28.10, 28.30, 105515
12/02/24, 28.00, 28.80, 27.90, 28.50, 501094
11/29/24, 28.50, 28.50, 27.90, 28.00, 234890
11/28/24, 28.70, 28.90, 28.20, 28.40, 534824
11/27/24, 27.20, 28.50, 27.20, 28.40, 1119940
11/26/24, 26.40, 27.50, 26.40, 27.20, 172690
11/25/24, 27.50, 27.50, 26.50, 26.50, 128721
11/22/24, 26.70, 27.50, 26.50, 27.40, 448050
11/21/24, 27.00, 27.10, 26.20, 26.60, 389151
11/20/24, 27.50, 27.70, 27.00, 27.00, 37174
11/19/24, 27.70, 27.90, 27.50, 27.50, 99576
11/18/24, 27.90, 28.10, 27.70, 27.80, 184450
11/14/24, 28.00, 28.00, 27.80, 27.90, 70437
11/13/24, 27.80, 28.40, 27.80, 27.90, 1125910
11/12/24, 27.50, 27.90, 27.50, 27.70, 754879
11/11/24, 26.10, 27.70, 26.10, 27.50, 7362757
11/08/24, 25.50, 26.10, 25.50, 25.90, 642151
11/07/24, 25.50, 25.90, 25.40, 25.90, 3384
11/06/24, 25.90, 25.90, 25.50, 25.90, 50333
11/05/24, 26.30, 26.40, 25.80, 26.00, 171087
11/04/24, 26.20, 26.20, 25.90, 26.00, 116174
11/01/24, 25.40, 26.30, 25.30, 26.00, 473199
10/30/24, 26.00, 26.00, 25.50, 25.50, 91427
10/29/24, 25.90, 26.30, 25.80, 25.90, 212453
10/28/24, 25.40, 25.90, 25.20, 25.80, 100603
10/25/24, 25.00, 25.70, 25.00, 25.50, 188974
10/24/24, 24.60, 25.00, 24.60, 25.00, 139969
10/23/24, 24.80, 24.80, 24.00, 24.00, 15060
10/22/24, 25.00, 25.10, 23.50, 23.80, 503338
10/21/24, 24.00, 25.00, 24.00, 25.00, 344200
10/18/24, 24.00, 24.50, 23.90, 24.20, 33958
10/16/24, 24.50, 24.90, 23.80, 24.00, 3543
10/15/24, 24.10, 24.70, 24.00, 24.50, 9460
10/14/24, 24.80, 24.80, 24.00, 24.50, 27963
10/11/24, 24.50, 25.00, 24.10, 24.30, 40821
10/09/24, 24.40, 24.40, 24.00, 24.00, 22255
10/08/24, 23.00, 24.90, 23.00, 24.40, 33105
10/07/24, 22.90, 23.50, 22.80, 23.40, 3499
10/04/24, 23.00, 23.50, 22.80, 22.90, 20045
10/03/24, 23.30, 23.50, 23.00, 23.00, 1541
10/02/24, 23.60, 23.60, 23.50, 23.50, 4000
10/01/24, 24.00, 24.20, 23.00, 23.90, 23641
09/30/24, 24.60, 24.60, 23.50, 23.50, 8915
09/27/24, 24.00, 24.90, 24.00, 24.10, 176542
09/26/24, 25.50, 25.50, 23.90, 24.00, 28137
09/25/24, 23.30, 25.40, 23.10, 24.90, 99987
09/24/24, 22.20, 23.20, 22.20, 23.20, 15467
09/23/24, 22.80, 23.00, 22.40, 22.90, 183047
09/20/24, 22.30, 22.60, 22.30, 22.40, 162122
09/19/24, 22.50, 23.70, 22.00, 22.50, 1344249
09/18/24, 21.90, 22.50, 21.90, 22.20, 32926
09/13/24, 21.00, 21.50, 20.70, 21.10, 16746
09/12/24, 20.80, 21.50, 20.80, 21.10, 15010
09/11/24, 20.70, 21.10, 20.70, 21.00, 23831
09/10/24, 22.00, 22.00, 21.00, 21.00, 13146
09/09/24, 22.00, 22.00, 21.30, 21.90, 5469
09/06/24, 21.80, 21.80, 21.30, 21.50, 9478
09/05/24, 22.80, 22.80, 22.80, 22.20, 8
09/04/24, 21.50, 22.90, 21.50, 22.20, 54169
09/03/24, 22.00, 22.00, 21.30, 21.40, 15940
09/02/24, 22.20, 22.20, 21.50, 22.00, 64819
08/30/24, 21.90, 22.30, 21.90, 22.20, 2503
08/29/24, 21.90, 22.40, 21.90, 21.90, 1574
08/28/24, 22.10, 22.50, 21.90, 22.00, 34290
08/27/24, 22.70, 22.70, 22.10, 22.10, 50640
08/26/24, 22.20, 22.80, 22.10, 22.20, 16581
08/23/24, 23.20, 23.20, 22.50, 22.70, 9380
08/22/24, 23.20, 23.20, 23.00, 23.00, 46857
08/21/24, 23.60, 23.60, 23.40, 23.50, 1963
08/20/24, 23.40, 23.90, 23.40, 23.50, 1813
08/16/24, 23.00, 23.00, 23.00, 23.00, 10010
08/15/24, 23.30, 23.90, 23.00, 23.00, 88131
08/14/24, 22.50, 23.30, 22.50, 22.90, 6035
08/13/24, 22.30, 22.30, 22.30, 22.30, 15350
08/12/24, 22.20, 22.30, 22.20, 22.30, 13250
08/09/24, 22.20, 22.90, 22.20, 22.90, 5173
08/08/24, 22.90, 22.90, 22.20, 22.20, 748
08/07/24, 23.20, 23.20, 22.10, 22.20, 15031
08/06/24, 22.90, 22.90, 22.00, 22.20, 492
08/05/24, 23.50, 23.50, 22.60, 22.90, 35042
08/02/24, 23.50, 23.50, 23.50, 23.50, 123
08/01/24, 23.50, 23.50, 23.50, 23.50, 5005
07/31/24, 23.00, 23.70, 23.00, 23.00, 10702
07/30/24, 23.30, 23.50, 23.30, 23.50, 39150
07/29/24, 23.80, 23.80, 23.80, 23.80, 5120
07/25/24, 23.40, 23.80, 23.40, 23.80, 2021
07/24/24, 23.50, 23.60, 23.20, 23.20, 2722
07/23/24, 23.30, 23.50, 23.00, 23.30, 41569
07/22/24, 23.30, 23.30, 23.30, 23.30, 32663
07/19/24, 23.30, 23.30, 23.30, 23.30, 405
07/18/24, 23.50, 23.60, 23.50, 23.60, 8791
07/17/24, 23.80, 24.40, 23.50, 23.70, 4715
07/16/24, 23.60, 24.40, 23.40, 24.00, 339844
07/15/24, 23.30, 24.00, 23.30, 24.00, 2
07/12/24, 23.40, 24.00, 23.30, 24.00, 28943
07/11/24, 23.90, 23.90, 23.00, 23.00, 61442
07/10/24, 23.30, 23.50, 23.20, 23.20, 14735
07/09/24, 23.10, 23.30, 23.00, 23.00, 105315
07/08/24, 23.60, 23.80, 23.10, 23.10, 22660
07/05/24, 24.00, 24.90, 23.50, 24.60, 13975
07/04/24, 24.10, 24.60, 23.70, 24.40, 65147
07/03/24, 25.00, 25.00, 24.50, 24.50, 5740
07/02/24, 24.50, 25.00, 24.50, 25.00, 2302
07/01/24, 24.50, 24.70, 24.50, 24.60, 4834
06/28/24, 24.40, 24.80, 24.30, 24.70, 9226
06/27/24, 25.50, 25.50, 24.80, 24.80, 3300
06/26/24, 25.50, 26.10, 25.50, 25.90, 582711
06/25/24, 25.50, 25.50, 25.30, 25.30, 5580
06/24/24, 26.20, 26.20, 25.50, 25.50, 4150
06/20/24, 25.90, 26.20, 25.90, 26.10, 437058
06/19/24, 25.40, 25.40, 25.30, 25.40, 1510
06/18/24, 25.60, 26.20, 25.30, 25.40, 62333
06/14/24, 25.60, 26.40, 25.50, 25.80, 54701
06/13/24, 25.30, 26.30, 25.30, 26.00, 888691
06/12/24, 25.50, 25.50, 25.30, 25.40, 24893
06/11/24, 25.60, 26.00, 25.50, 25.90, 116054
06/10/24, 26.20, 26.20, 25.50, 25.80, 65175
06/07/24, 25.50, 26.10, 25.00, 25.90, 56586
06/06/24, 25.70, 26.00, 25.00, 25.00, 106676
06/05/24, 25.30, 25.70, 25.30, 25.50, 27750
06/04/24, 25.00, 25.70, 25.00, 25.30, 26456
06/03/24, 25.10, 25.70, 24.60, 25.10, 60543
05/31/24, 25.40, 25.80, 25.00, 25.10, 12418
05/30/24, 25.10, 25.50, 25.00, 25.20, 29600
05/29/24, 25.10, 25.50, 25.00, 25.40, 690913
05/28/24, 24.90, 25.90, 24.90, 25.10, 475137
05/27/24, 26.00, 26.00, 25.30, 25.30, 2869
05/22/24, 25.40, 26.00, 25.30, 26.00, 56522
05/21/24, 25.90, 25.90, 24.40, 24.90, 67440
05/20/24, 25.50, 25.70, 25.00, 25.40, 31928
05/17/24, 25.30, 26.30, 25.30, 26.00, 92494
05/16/24, 26.00, 26.00, 25.10, 25.20, 60238
05/15/24, 26.00, 26.30, 25.50, 25.50, 185957
05/14/24, 26.00, 26.20, 26.00, 26.00, 1468896
05/13/24, 26.50, 26.50, 26.00, 26.40, 97736
05/10/24, 26.10, 26.60, 26.10, 26.50, 784716
05/09/24, 26.70, 26.70, 26.00, 26.30, 273525
05/08/24, 26.30, 26.60, 26.00, 26.20, 201640
05/07/24, 26.50, 27.00, 26.40, 26.40, 92651
05/06/24, 26.90, 27.50, 26.50, 26.60, 465577
05/03/24, 26.50, 27.50, 26.50, 27.10, 880101
05/02/24, 25.50, 27.50, 25.50, 27.00, 2383759
04/30/24, 26.40, 26.40, 25.30, 26.00, 253303
04/29/24, 25.20, 26.40, 25.20, 26.20, 2737217
04/26/24, 25.50, 26.40, 25.10, 25.50, 357225
04/25/24, 25.60, 25.60, 24.60, 25.20, 294818
04/24/24, 25.00, 25.80, 24.70, 25.10, 64297
04/22/24, 24.80, 25.60, 24.80, 25.40, 640218
04/19/24, 24.60, 25.20, 24.00, 24.50, 134220
04/18/24, 24.50, 25.10, 24.50, 25.00, 289606
04/17/24, 25.20, 25.50, 24.30, 24.70, 71772
04/16/24, 25.50, 25.70, 25.20, 25.40, 292855
04/15/24, 26.00, 26.00, 25.20, 25.50, 208984
04/10/24, 26.00, 26.20, 25.90, 26.00, 916608
04/09/24, 25.40, 26.20, 25.40, 26.00, 1602042
04/08/24, 24.50, 25.90, 24.00, 25.70, 4893990
04/05/24, 25.00, 25.00, 24.20, 24.40, 118544
04/04/24, 24.50, 25.10, 24.20, 24.80, 1183489
04/03/24, 24.50, 24.60, 24.00, 24.50, 125255
04/02/24, 24.00, 24.80, 23.80, 24.60, 472782
04/01/24, 23.60, 24.10, 23.40, 23.90, 189067
03/28/24, 23.50, 23.70, 23.40, 23.50, 468289
03/27/24, 22.60, 24.00, 22.60, 23.20, 360880
03/26/24, 22.90, 23.20, 22.60, 23.00, 210856
03/25/24, 23.30, 23.50, 22.80, 22.90, 156742
03/22/24, 21.60, 23.50, 21.60, 23.00, 1320915
03/21/24, 22.30, 22.30, 21.80, 22.20, 169702
03/20/24, 22.60, 23.00, 22.00, 22.10, 143849
03/19/24, 22.00, 23.00, 21.70, 22.10, 1200869
03/18/24, 21.40, 22.20, 21.10, 22.10, 521227
03/15/24, 21.00, 22.20, 20.80, 22.00, 904951
03/14/24, 20.80, 21.40, 20.80, 20.80, 270837
03/13/24, 21.00, 21.50, 20.60, 21.00, 78320
03/12/24, 19.40, 21.40, 19.30, 20.80, 716112
03/11/24, 19.10, 19.90, 19.10, 19.40, 74008
03/07/24, 19.20, 19.90, 19.20, 19.50, 76671
03/06/24, 19.50, 19.90, 19.10, 19.10, 53410
03/05/24, 18.50, 19.90, 18.40, 19.40, 908077
03/04/24, 18.00, 18.90, 18.00, 18.80, 32889
03/01/24, 18.20, 18.80, 18.00, 18.10, 143133
02/29/24, 19.00, 19.00, 18.10, 18.50, 125108
02/28/24, 18.10, 19.00, 18.10, 18.80, 247614
02/27/24, 17.20, 18.50, 17.20, 18.20, 317574
02/26/24, 17.40, 17.70, 17.20, 17.40, 24061
02/22/24, 17.00, 17.50, 16.50, 17.40, 121155
02/21/24, 16.50, 17.10, 16.50, 17.00, 108891
02/20/24, 16.80, 16.90, 16.10, 16.90, 7144
02/19/24, 16.20, 16.60, 16.10, 16.10, 4969
02/16/24, 16.20, 16.20, 16.20, 16.20, 397
02/15/24, 16.80, 16.80, 16.40, 16.40, 20570
02/14/24, 16.50, 16.80, 16.50, 16.50, 11700
02/13/24, 16.50, 16.90, 16.50, 16.80, 7559
02/12/24, 16.10, 16.50, 16.10, 16.50, 21232
02/09/24, 17.00, 17.00, 16.00, 16.00, 37250
02/08/24, 16.60, 16.70, 15.70, 16.30, 26496
02/07/24, 16.60, 17.70, 16.60, 16.70, 12471
02/06/24, 16.30, 16.60, 16.00, 16.60, 35504
02/02/24, 16.40, 16.80, 16.10, 16.20, 6232
02/01/24, 16.20, 16.80, 16.10, 16.80, 1302
01/31/24, 16.90, 16.90, 16.00, 16.00, 7481
01/30/24, 16.90, 16.90, 16.90, 16.90, 101
01/29/24, 16.60, 17.00, 16.20, 16.40, 12066
01/26/24, 16.70, 17.00, 16.60, 16.90, 4165
01/24/24, 16.60, 16.90, 16.60, 16.60, 3001
01/23/24, 16.60, 16.90, 16.60, 16.60, 10952
01/22/24, 17.00, 17.00, 16.50, 16.60, 10341
01/19/24, 16.80, 17.00, 16.70, 16.80, 4851
01/18/24, 17.00, 17.00, 16.80, 16.80, 10081
01/17/24, 17.40, 17.40, 17.40, 17.00, 10
01/16/24, 17.40, 17.40, 17.00, 17.00, 21467
01/12/24, 17.00, 17.40, 16.90, 17.00, 42134
01/11/24, 17.10, 17.30, 16.90, 17.00, 71109
01/10/24, 17.00, 17.50, 17.00, 17.50, 2612
01/09/24, 17.00, 17.50, 17.00, 17.10, 18820
01/08/24, 17.30, 17.30, 16.90, 17.00, 23601
01/05/24, 17.50, 17.50, 17.00, 17.10, 54320
01/04/24, 17.40, 17.90, 17.40, 17.70, 142816
01/03/24, 16.70, 17.50, 16.40, 16.80, 79911
01/02/24, 16.80, 16.80, 16.10, 16.60, 13016
12/29/23, 16.20, 17.00, 16.10, 16.80, 13389
12/28/23, 16.50, 16.50, 16.20, 16.20, 18113
12/27/23, 16.10, 16.50, 16.10, 16.50, 268
12/22/23, 17.00, 17.00, 16.10, 16.20, 7100
12/21/23, 15.80, 17.00, 15.80, 17.00, 3163
12/20/23, 16.50, 16.50, 16.00, 16.00, 68840
12/19/23, 16.90, 16.90, 16.00, 16.10, 6112
12/18/23, 16.50, 17.30, 16.20, 16.30, 19885
12/15/23, 17.20, 17.20, 16.20, 16.50, 41946
12/14/23, 17.40, 17.40, 16.50, 16.50, 2506
12/13/23, 16.70, 17.50, 16.50, 16.60, 5050
12/12/23, 17.70, 18.00, 16.00, 17.20, 92180
12/11/23, 17.90, 17.90, 17.00, 17.10, 21440
12/08/23, 17.50, 17.70, 16.80, 17.40, 23097
12/07/23, 17.50, 17.70, 17.20, 17.20, 3430
12/06/23, 17.20, 17.80, 16.10, 17.60, 29998
12/05/23, 17.50, 17.80, 17.30, 17.80, 825
12/04/23, 17.90, 17.90, 17.10, 17.20, 14700
12/01/23, 17.10, 17.10, 17.10, 17.10, 2000
11/30/23, 17.50, 17.50, 17.50, 17.10, 50
11/29/23, 16.70, 17.80, 16.70, 17.10, 2699
11/28/23, 16.50, 16.60, 16.50, 16.60, 101
11/27/23, 16.50, 17.20, 16.50, 16.50, 25051
11/24/23, 17.00, 17.00, 15.80, 16.80, 133842
11/23/23, 17.90, 17.90, 15.50, 17.10, 24520
11/22/23, 17.80, 17.90, 17.10, 17.60, 1104
11/21/23, 17.80, 17.80, 16.90, 17.00, 61740
11/20/23, 17.20, 18.00, 17.20, 17.70, 21069
