Date, Open, High, Low, Close, Volume
04/24/25, 984.75, 986.75, 984.75, 986.75, 151
04/22/25, 952.00, 952.00, 952.00, 950.75, 9
04/21/25, 988.00, 988.00, 950.00, 950.75, 505
04/17/25, 985.75, 985.75, 985.75, 951.00, 2
04/16/25, 980.00, 980.00, 980.00, 951.00, 32
04/11/25, 988.75, 988.75, 988.75, 951.00, 10
04/10/25, 951.25, 989.75, 950.00, 951.00, 3472
04/09/25, 940.00, 940.00, 940.00, 950.00, 10
04/08/25, 960.00, 960.00, 950.00, 950.00, 2258
04/07/25, 1000.00, 1000.00, 940.00, 965.50, 97
04/04/25, 963.00, 995.00, 963.00, 965.50, 1082
04/03/25, 965.00, 999.25, 951.00, 963.75, 787
04/02/25, 1019.00, 1019.00, 945.00, 963.00, 311
04/01/25, 1013.25, 1020.00, 1012.00, 1017.25, 1390
03/28/25, 999.00, 1030.00, 999.00, 950.00, 82
03/27/25, 999.00, 999.00, 999.00, 950.00, 10
03/26/25, 999.00, 999.50, 941.25, 950.00, 353
03/25/25, 985.00, 999.50, 985.00, 999.50, 72
03/24/25, 980.00, 982.00, 980.00, 999.50, 42
03/21/25, 999.50, 999.75, 999.50, 999.50, 875
03/20/25, 960.00, 999.75, 959.00, 972.75, 149
03/18/25, 970.00, 990.00, 930.00, 931.75, 1176
03/17/25, 976.00, 980.00, 975.75, 976.00, 178
03/14/25, 999.00, 1000.00, 999.00, 999.00, 508
03/12/25, 999.75, 1000.00, 999.75, 1000.00, 673
03/11/25, 1000.00, 1000.00, 970.00, 999.25, 82
03/10/25, 1019.25, 1019.25, 995.25, 999.25, 65
03/07/25, 1000.00, 1019.50, 995.25, 999.25, 463
03/06/25, 1000.00, 1019.00, 985.00, 995.75, 171
03/05/25, 1014.75, 1020.00, 1000.00, 1000.00, 2991
03/04/25, 1019.50, 1019.50, 987.25, 987.50, 341
03/03/25, 1024.75, 1025.00, 1000.00, 1001.50, 442
02/28/25, 1029.75, 1040.00, 1000.00, 1003.00, 462
02/27/25, 1011.00, 1019.75, 994.50, 994.75, 1381
02/25/25, 1000.00, 1015.00, 986.25, 1003.75, 1471
02/24/25, 995.00, 995.00, 977.25, 989.00, 417
02/21/25, 1025.00, 1025.00, 992.00, 995.00, 391
02/20/25, 1025.00, 1025.00, 1000.25, 1003.25, 999
02/19/25, 1089.00, 1089.00, 1022.25, 1025.00, 905
02/18/25, 1000.00, 1199.00, 1000.00, 1048.75, 7910
02/17/25, 985.00, 998.00, 985.00, 995.25, 773
02/14/25, 985.00, 985.00, 945.25, 980.00, 746
02/13/25, 926.00, 979.75, 926.00, 926.75, 308
02/11/25, 932.00, 989.50, 930.00, 933.75, 441
02/10/25, 1000.00, 1000.00, 930.00, 936.00, 456
02/07/25, 1000.00, 1000.00, 990.00, 1000.00, 2009
02/06/25, 980.00, 1000.00, 980.00, 999.75, 1782
02/05/25, 1020.00, 1049.00, 930.00, 959.50, 1693
02/03/25, 1024.00, 1030.00, 1000.00, 1007.75, 3190
01/31/25, 1024.75, 1024.75, 1000.00, 1006.50, 152
01/30/25, 1029.50, 1029.50, 1000.00, 1001.00, 2660
01/29/25, 1030.00, 1030.00, 1003.00, 1029.25, 409
01/28/25, 1000.00, 1080.00, 993.25, 1000.00, 2564
01/27/25, 999.75, 999.75, 981.00, 992.75, 140
01/24/25, 980.00, 1000.00, 980.00, 999.75, 3903
01/23/25, 985.00, 998.75, 976.00, 990.00, 6822
01/22/25, 998.00, 998.00, 982.25, 985.00, 436
01/21/25, 980.00, 998.75, 980.00, 987.50, 1501
01/20/25, 998.75, 998.75, 975.00, 980.75, 558
01/17/25, 980.00, 999.00, 960.00, 993.75, 976
01/16/25, 999.00, 999.75, 975.00, 976.25, 1102
01/15/25, 992.50, 1000.00, 992.50, 995.25, 569
01/10/25, 955.00, 984.75, 955.00, 956.00, 107
01/09/25, 1000.00, 1000.00, 950.25, 969.50, 236
01/08/25, 980.00, 1010.00, 980.00, 991.50, 2710
01/07/25, 910.00, 999.00, 893.00, 967.00, 7274
01/06/25, 949.50, 949.50, 900.00, 915.50, 1117
01/03/25, 950.00, 950.00, 920.00, 941.00, 3120
01/02/25, 915.00, 959.00, 915.00, 949.75, 4446
12/31/24, 920.00, 920.00, 905.25, 909.75, 2722
12/30/24, 920.00, 925.00, 900.00, 907.25, 5278
12/27/24, 925.00, 925.00, 906.00, 912.50, 2263
12/26/24, 936.00, 940.00, 920.00, 924.00, 2940
12/24/24, 930.00, 965.00, 906.00, 923.75, 676
12/23/24, 930.00, 974.75, 905.00, 920.75, 4277
12/20/24, 889.75, 950.00, 889.75, 929.25, 19963
12/19/24, 885.00, 900.00, 850.00, 875.50, 11033
12/18/24, 799.75, 870.00, 791.00, 856.50, 21011
12/17/24, 800.00, 800.00, 789.00, 791.00, 1628
12/16/24, 796.00, 800.00, 791.25, 799.25, 5622
12/13/24, 800.75, 800.75, 789.75, 790.25, 3174
12/12/24, 800.00, 805.00, 790.00, 800.75, 4874
12/11/24, 809.75, 809.75, 789.00, 791.00, 4514
12/10/24, 803.50, 803.50, 795.00, 797.50, 4749
12/09/24, 809.00, 809.00, 790.00, 799.25, 8596
12/06/24, 785.00, 800.00, 780.75, 799.25, 3845
12/05/24, 820.00, 820.00, 780.00, 780.75, 1713
12/04/24, 935.00, 970.00, 750.00, 794.25, 210445
12/03/24, 810.00, 900.00, 810.00, 859.25, 145
12/02/24, 810.00, 812.00, 810.00, 806.25, 7
11/28/24, 770.00, 839.00, 770.00, 806.25, 73
11/26/24, 799.00, 835.00, 760.00, 806.25, 85
11/25/24, 755.00, 755.00, 755.00, 806.25, 5
11/22/24, 803.25, 808.00, 800.00, 806.25, 228
11/21/24, 755.00, 804.00, 755.00, 751.00, 69
11/20/24, 797.50, 797.50, 750.00, 751.00, 260
11/18/24, 805.00, 805.00, 805.00, 797.50, 2
11/14/24, 805.00, 805.00, 793.00, 797.50, 655
11/13/24, 790.00, 790.00, 790.00, 777.25, 5
11/04/24, 805.00, 805.00, 778.00, 777.25, 93
11/01/24, 738.00, 753.00, 738.00, 777.25, 7
10/29/24, 777.50, 777.50, 777.50, 777.25, 41
10/24/24, 780.00, 800.00, 775.00, 777.25, 31
10/23/24, 780.00, 780.00, 780.00, 777.25, 46
10/22/24, 777.00, 777.25, 777.00, 777.25, 146
10/16/24, 760.00, 779.75, 760.00, 713.75, 26
10/15/24, 711.50, 711.50, 711.50, 713.75, 5
10/10/24, 743.00, 769.75, 711.25, 713.75, 153
10/08/24, 740.00, 740.00, 740.00, 723.50, 3
10/07/24, 740.00, 740.00, 740.00, 723.50, 1
10/04/24, 726.00, 726.00, 726.00, 723.50, 6
10/03/24, 724.00, 781.75, 724.00, 723.50, 7
10/02/24, 750.00, 750.00, 750.00, 723.50, 5
09/25/24, 790.00, 790.00, 745.25, 723.50, 4
09/24/24, 730.00, 800.00, 730.00, 723.50, 19
09/23/24, 795.00, 795.00, 730.00, 723.50, 11
09/20/24, 800.00, 800.00, 790.00, 723.50, 62
09/19/24, 800.00, 800.00, 800.00, 723.50, 1
09/18/24, 750.00, 775.00, 750.00, 723.50, 14
09/13/24, 800.00, 800.00, 800.00, 723.50, 5
09/12/24, 800.00, 800.00, 800.00, 723.50, 1
09/11/24, 801.00, 801.00, 801.00, 723.50, 11
09/09/24, 804.00, 804.00, 803.00, 723.50, 16
09/06/24, 803.75, 804.00, 803.75, 723.50, 2
09/04/24, 725.00, 725.00, 725.00, 723.50, 1
08/30/24, 750.00, 775.00, 750.00, 723.50, 56
08/29/24, 710.25, 710.25, 710.25, 723.50, 1
08/27/24, 723.50, 723.50, 723.50, 723.50, 30
08/26/24, 750.00, 750.00, 705.00, 723.50, 107
08/23/24, 795.00, 795.00, 790.00, 705.00, 77
08/22/24, 730.00, 730.00, 730.00, 705.00, 30
08/21/24, 808.50, 809.00, 808.25, 705.00, 11
08/20/24, 749.00, 770.00, 749.00, 705.00, 7
08/16/24, 740.00, 750.00, 740.00, 705.00, 20
08/15/24, 740.00, 740.00, 740.00, 705.00, 5
08/14/24, 720.00, 720.00, 720.00, 705.00, 14
08/13/24, 711.00, 715.00, 711.00, 705.00, 2
08/12/24, 710.00, 710.00, 705.00, 705.00, 19
08/09/24, 715.00, 739.50, 710.00, 705.00, 41
08/07/24, 749.00, 750.00, 749.00, 705.00, 13
08/06/24, 705.00, 705.00, 705.00, 705.00, 130
08/05/24, 700.00, 710.00, 700.00, 703.00, 182
08/02/24, 700.00, 700.00, 700.00, 686.00, 2
08/01/24, 750.00, 750.00, 750.00, 686.00, 1
07/31/24, 799.00, 799.00, 770.00, 686.00, 3
07/30/24, 675.00, 785.00, 675.00, 686.00, 104
07/26/24, 800.00, 800.00, 800.00, 799.50, 2
07/25/24, 800.00, 800.00, 795.50, 799.50, 82
07/24/24, 799.75, 799.75, 795.50, 799.50, 37
07/23/24, 799.50, 800.00, 799.50, 799.50, 130
07/22/24, 795.25, 795.25, 795.25, 796.00, 90
07/19/24, 805.00, 806.00, 805.00, 796.00, 35
07/18/24, 796.00, 800.00, 775.00, 796.00, 159
07/17/24, 770.00, 796.00, 770.00, 765.75, 24
07/16/24, 796.00, 796.00, 796.00, 765.75, 45
07/15/24, 765.25, 770.00, 765.25, 765.75, 33
07/12/24, 770.00, 770.00, 765.00, 765.75, 8
07/11/24, 775.00, 775.00, 775.00, 765.75, 12
07/10/24, 760.00, 795.00, 760.00, 765.75, 8
07/08/24, 757.00, 799.75, 756.00, 765.75, 270
07/05/24, 755.00, 765.00, 755.00, 765.00, 53
07/04/24, 765.00, 765.00, 765.00, 765.00, 123
07/03/24, 805.00, 805.00, 770.00, 765.75, 10
07/02/24, 770.00, 770.00, 765.00, 765.75, 342
06/28/24, 773.00, 773.00, 773.00, 773.00, 7
06/27/24, 800.00, 800.00, 795.00, 773.00, 30
06/25/24, 798.00, 800.00, 798.00, 773.00, 57
06/24/24, 767.00, 778.00, 766.00, 773.00, 105
06/20/24, 767.00, 767.00, 766.00, 757.75, 20
06/19/24, 779.00, 779.00, 779.00, 757.75, 2
06/18/24, 770.00, 770.00, 770.00, 757.75, 58
06/14/24, 770.00, 789.00, 765.00, 757.75, 42
06/12/24, 762.00, 762.00, 755.25, 757.75, 100
06/11/24, 780.00, 780.00, 779.50, 760.00, 17
06/10/24, 779.00, 779.00, 760.00, 760.00, 328
06/07/24, 780.00, 780.00, 779.00, 755.25, 8
06/06/24, 770.00, 780.00, 770.00, 755.25, 13
06/05/24, 760.00, 760.00, 760.00, 755.25, 7
06/04/24, 757.50, 757.50, 757.50, 755.25, 18
06/03/24, 795.00, 795.00, 795.00, 755.25, 1
05/31/24, 760.00, 772.00, 760.00, 755.25, 39
05/30/24, 795.00, 799.00, 795.00, 755.25, 13
05/29/24, 830.00, 830.00, 755.00, 755.25, 152
05/28/24, 760.00, 850.00, 760.00, 830.00, 468
05/22/24, 779.75, 779.75, 779.75, 757.00, 9
05/21/24, 769.00, 769.50, 769.00, 757.00, 79
05/20/24, 755.00, 769.50, 755.00, 757.00, 119
05/17/24, 760.00, 760.00, 755.00, 770.00, 12
05/16/24, 779.00, 779.00, 760.00, 770.00, 24
05/15/24, 779.75, 779.75, 765.00, 770.00, 9
05/14/24, 770.00, 770.00, 770.00, 770.00, 109
05/13/24, 787.00, 792.50, 760.00, 740.00, 23
05/10/24, 779.50, 779.50, 760.00, 740.00, 73
05/09/24, 775.00, 775.00, 755.00, 740.00, 7
05/08/24, 777.00, 777.00, 770.00, 740.00, 25
05/07/24, 740.00, 740.00, 740.00, 740.00, 8
05/06/24, 750.00, 750.00, 740.00, 740.00, 9
05/03/24, 750.25, 776.00, 750.00, 740.00, 96
05/02/24, 750.00, 750.00, 750.00, 740.00, 17
04/30/24, 740.00, 777.00, 740.00, 740.00, 313
04/29/24, 738.75, 740.00, 738.75, 740.00, 144
04/26/24, 719.75, 719.75, 719.75, 737.00, 2
04/25/24, 740.00, 740.00, 703.25, 737.00, 104
04/22/24, 706.00, 710.00, 700.00, 705.00, 443
04/19/24, 705.00, 705.00, 705.00, 709.50, 1
04/18/24, 726.00, 727.00, 700.00, 709.50, 133
04/17/24, 748.50, 751.50, 748.50, 700.00, 25
04/16/24, 749.00, 749.00, 730.00, 700.00, 10
04/15/24, 764.00, 764.00, 749.00, 700.00, 50
04/10/24, 748.75, 749.00, 748.75, 700.00, 6
04/09/24, 741.00, 749.00, 741.00, 700.00, 90
04/05/24, 711.00, 720.00, 711.00, 700.00, 17
04/04/24, 711.25, 711.25, 711.25, 700.00, 5
04/03/24, 749.00, 749.00, 715.00, 700.00, 11
04/02/24, 702.25, 702.25, 702.00, 700.00, 2
04/01/24, 700.00, 701.00, 700.00, 700.00, 211
03/28/24, 691.00, 691.00, 690.00, 690.25, 130
03/27/24, 696.25, 700.00, 690.00, 694.50, 110
03/26/24, 702.00, 702.00, 695.00, 704.75, 60
03/22/24, 700.25, 700.25, 700.00, 704.75, 60
03/21/24, 721.00, 721.00, 701.00, 704.75, 41
03/20/24, 707.00, 740.00, 701.00, 704.75, 104
03/19/24, 760.00, 760.00, 760.00, 704.25, 1
03/18/24, 705.50, 705.50, 705.50, 704.25, 25
03/15/24, 717.25, 717.25, 700.00, 704.25, 332
03/14/24, 719.00, 723.00, 710.25, 719.50, 202
03/13/24, 815.00, 815.00, 815.00, 820.00, 1
03/07/24, 819.00, 820.00, 819.00, 820.00, 12
03/05/24, 810.00, 820.00, 810.00, 820.00, 50
03/04/24, 736.00, 820.00, 736.00, 820.00, 222
03/01/24, 735.00, 736.00, 690.00, 700.00, 55
02/29/24, 700.00, 700.00, 700.00, 700.00, 589
02/28/24, 702.00, 702.00, 702.00, 702.00, 134
02/27/24, 687.00, 702.00, 687.00, 702.00, 5
02/26/24, 687.00, 702.00, 687.00, 702.00, 114
02/22/24, 702.00, 702.00, 702.00, 704.75, 70
02/21/24, 703.00, 703.00, 702.00, 704.75, 15
02/19/24, 702.00, 702.00, 702.00, 704.75, 17
02/14/24, 735.00, 735.00, 700.00, 704.75, 125
02/13/24, 734.00, 734.00, 734.00, 695.00, 1
02/09/24, 694.75, 694.75, 694.75, 695.00, 1
02/08/24, 695.00, 695.00, 695.00, 695.00, 100
02/02/24, 706.00, 706.00, 705.00, 749.50, 50
01/31/24, 754.00, 754.00, 754.00, 749.50, 9
01/30/24, 753.25, 754.00, 753.25, 749.50, 36
01/16/24, 749.50, 749.50, 749.50, 749.50, 40
01/12/24, 751.00, 751.00, 751.00, 749.50, 1
01/08/24, 667.00, 697.00, 667.00, 749.50, 10
01/02/24, 748.00, 748.00, 748.00, 749.50, 2
12/29/23, 690.00, 749.00, 690.00, 749.50, 4
12/15/23, 750.00, 750.00, 749.75, 749.50, 12
12/12/23, 751.75, 751.75, 751.75, 749.50, 1
12/08/23, 677.25, 681.00, 677.25, 749.50, 4
12/07/23, 749.50, 749.50, 677.00, 749.50, 7
12/04/23, 676.25, 676.25, 676.25, 749.50, 3
12/01/23, 655.00, 676.25, 655.00, 749.50, 2
11/29/23, 650.00, 685.00, 650.00, 749.50, 2
11/28/23, 715.25, 715.25, 715.25, 749.50, 1
11/24/23, 717.00, 717.00, 717.00, 749.50, 45
11/14/23, 720.00, 720.00, 720.00, 749.50, 10
11/13/23, 731.00, 731.00, 730.00, 749.50, 5
11/08/23, 749.50, 749.50, 749.50, 749.50, 7
11/07/23, 749.50, 749.50, 749.50, 749.50, 1
10/26/23, 788.00, 788.00, 788.00, 749.50, 1
10/18/23, 729.75, 729.75, 729.75, 749.50, 1
10/16/23, 700.00, 700.00, 700.00, 749.50, 1
10/12/23, 799.00, 799.00, 620.25, 749.50, 3
10/11/23, 700.00, 700.00, 700.00, 749.50, 10
10/03/23, 740.00, 740.00, 740.00, 749.50, 1
10/02/23, 750.00, 750.00, 750.00, 749.50, 5
09/25/23, 749.00, 749.00, 749.00, 749.50, 1
09/22/23, 749.00, 749.00, 749.00, 749.50, 2
09/21/23, 745.00, 745.00, 745.00, 749.50, 3
09/19/23, 745.00, 745.00, 745.00, 749.50, 1
09/18/23, 792.00, 792.00, 792.00, 749.50, 3
09/14/23, 748.00, 750.00, 748.00, 749.50, 100
09/08/23, 734.75, 734.75, 734.00, 733.25, 22
09/06/23, 710.25, 710.25, 710.25, 733.25, 20
09/04/23, 750.00, 750.00, 700.25, 733.25, 28
08/29/23, 736.00, 736.00, 736.00, 733.25, 35
08/24/23, 721.00, 721.00, 721.00, 733.25, 1
08/21/23, 765.00, 765.00, 765.00, 733.25, 2
08/18/23, 730.00, 730.00, 728.00, 733.25, 70
08/15/23, 745.00, 745.00, 726.25, 733.25, 3
08/14/23, 730.25, 737.00, 730.25, 733.25, 117
08/11/23, 726.00, 760.00, 726.00, 748.75, 16
08/10/23, 725.50, 779.75, 725.50, 748.75, 2
08/09/23, 750.00, 750.00, 750.00, 748.75, 10
08/08/23, 751.00, 799.00, 751.00, 748.75, 8
08/07/23, 800.00, 804.00, 800.00, 748.75, 11
08/04/23, 760.00, 780.00, 760.00, 748.75, 29
08/03/23, 750.00, 750.00, 750.00, 748.75, 3
08/02/23, 750.00, 750.00, 740.00, 748.75, 158
07/28/23, 736.00, 750.00, 734.00, 734.25, 165
07/26/23, 770.50, 770.50, 770.00, 797.50, 5
07/25/23, 770.25, 770.25, 770.25, 797.50, 1
07/24/23, 790.00, 790.00, 785.00, 797.50, 10
07/21/23, 795.00, 797.50, 790.00, 797.50, 46
07/20/23, 733.00, 804.00, 733.00, 797.50, 603
07/19/23, 731.00, 780.00, 731.00, 733.25, 118
07/18/23, 701.25, 750.00, 701.25, 720.50, 226
07/17/23, 715.00, 715.00, 700.00, 713.50, 89
07/14/23, 701.00, 701.00, 701.00, 713.50, 3
07/13/23, 747.00, 747.00, 700.00, 713.50, 44
07/12/23, 711.00, 748.00, 700.00, 713.50, 72
07/11/23, 721.00, 721.00, 710.00, 713.50, 179
07/10/23, 787.25, 787.25, 700.00, 720.00, 23
07/06/23, 731.00, 731.00, 700.00, 720.00, 22
07/05/23, 800.00, 800.00, 800.00, 720.00, 3
06/28/23, 746.00, 750.00, 710.00, 720.00, 10
06/21/23, 720.00, 720.00, 651.25, 720.00, 50
06/20/23, 720.25, 720.25, 720.25, 720.00, 7
06/19/23, 720.25, 720.25, 720.25, 720.00, 60
06/16/23, 724.00, 724.00, 720.25, 720.00, 43
06/14/23, 680.00, 799.00, 680.00, 720.00, 172
06/08/23, 709.00, 709.00, 709.00, 656.00, 1
06/07/23, 670.00, 670.00, 670.00, 656.00, 1
06/06/23, 700.00, 700.00, 670.00, 656.00, 61
06/05/23, 680.00, 680.00, 670.00, 656.00, 17
06/02/23, 681.00, 681.00, 680.00, 656.00, 13
05/26/23, 661.00, 661.00, 661.00, 656.00, 1
05/25/23, 656.00, 656.00, 656.00, 656.00, 4
05/24/23, 651.00, 651.00, 651.00, 656.00, 8
05/23/23, 700.00, 700.00, 699.75, 656.00, 9
05/22/23, 576.00, 700.00, 576.00, 656.00, 2
05/18/23, 667.00, 667.00, 667.00, 656.00, 5
05/11/23, 668.00, 668.00, 668.00, 656.00, 4
05/09/23, 671.00, 671.50, 671.00, 656.00, 20
05/08/23, 788.00, 788.00, 788.00, 656.00, 1
05/03/23, 729.00, 729.00, 729.00, 656.00, 4
05/02/23, 680.00, 680.00, 680.00, 656.00, 94
04/28/23, 680.75, 680.75, 669.00, 656.00, 6
04/27/23, 666.00, 666.00, 660.00, 656.00, 31
04/25/23, 681.00, 681.00, 680.00, 656.00, 20
04/24/23, 685.00, 685.00, 685.00, 656.00, 2
04/20/23, 669.00, 689.75, 667.00, 656.00, 10
04/19/23, 666.25, 693.25, 666.25, 656.00, 47
04/18/23, 697.00, 697.00, 697.00, 656.00, 5
04/11/23, 704.75, 705.00, 655.50, 656.00, 270
04/04/23, 728.00, 728.00, 699.00, 701.00, 124
04/03/23, 755.00, 755.00, 750.00, 788.00, 60
03/31/23, 755.00, 755.00, 755.00, 788.00, 5
03/30/23, 755.00, 755.00, 750.00, 788.00, 8
03/29/23, 788.00, 788.00, 750.00, 788.00, 20
03/28/23, 727.25, 790.00, 727.25, 788.00, 106
03/27/23, 728.00, 797.00, 726.50, 713.25, 18
03/21/23, 755.00, 755.00, 755.00, 713.25, 1
03/20/23, 725.00, 745.00, 725.00, 713.25, 11
03/16/23, 725.00, 725.00, 725.00, 713.25, 5
03/15/23, 749.00, 749.00, 749.00, 713.25, 1
03/14/23, 715.25, 715.25, 715.25, 713.25, 20
03/10/23, 725.00, 725.00, 722.75, 713.25, 11
03/09/23, 720.00, 720.00, 700.00, 713.25, 369
03/08/23, 730.00, 730.00, 730.00, 710.00, 5
03/07/23, 729.00, 730.00, 729.00, 710.00, 7
03/03/23, 701.00, 730.00, 701.00, 710.00, 6
02/21/23, 700.00, 700.00, 660.00, 710.00, 61
02/20/23, 700.00, 700.00, 700.00, 710.00, 2
02/16/23, 710.00, 710.00, 710.00, 710.00, 150
02/15/23, 710.00, 710.00, 710.00, 710.00, 100
02/13/23, 719.00, 719.00, 710.00, 710.00, 36
02/10/23, 710.00, 710.00, 710.00, 710.00, 122
02/08/23, 710.00, 710.00, 710.00, 709.75, 3
02/03/23, 710.00, 710.00, 710.00, 709.75, 43
02/02/23, 710.00, 710.00, 700.00, 709.75, 63
02/01/23, 705.00, 710.00, 705.00, 709.75, 26
01/31/23, 701.00, 705.00, 700.00, 709.75, 44
01/30/23, 734.00, 734.00, 707.50, 709.75, 117
01/27/23, 708.00, 720.00, 707.75, 615.00, 19
01/26/23, 707.75, 707.75, 707.00, 615.00, 66
01/18/23, 700.00, 706.00, 700.00, 615.00, 16
01/04/23, 697.25, 697.50, 600.00, 615.00, 77
01/02/23, 615.25, 615.25, 615.00, 615.00, 11
12/29/22, 698.00, 698.00, 698.00, 615.00, 7
12/28/22, 698.25, 698.25, 690.00, 615.00, 9
12/22/22, 699.75, 699.75, 699.50, 615.00, 9
12/21/22, 700.00, 700.00, 651.25, 615.00, 63
12/20/22, 652.50, 652.50, 651.50, 615.00, 28
12/19/22, 705.00, 705.00, 705.00, 615.00, 10
12/16/22, 710.00, 710.00, 700.00, 615.00, 15
