Date, Open, High, Low, Close, Volume
04/24/25, 146.75, 146.75, 145.00, 145.00, 111
04/23/25, 142.00, 148.25, 142.00, 146.75, 242
04/22/25, 144.75, 144.75, 140.00, 140.00, 243
04/21/25, 142.00, 142.00, 140.00, 140.25, 231
04/17/25, 143.00, 143.00, 140.00, 140.25, 179
04/16/25, 140.00, 143.00, 140.00, 140.25, 1100
04/11/25, 142.00, 142.00, 142.00, 142.00, 100
04/10/25, 143.00, 143.00, 142.00, 142.00, 154
04/09/25, 140.00, 143.00, 138.00, 138.00, 385
04/08/25, 132.00, 144.75, 132.00, 136.25, 233
04/07/25, 139.50, 141.50, 131.00, 132.00, 2212
04/04/25, 144.00, 145.00, 141.00, 141.50, 251
04/03/25, 142.00, 149.75, 139.50, 143.75, 81
04/02/25, 149.00, 149.00, 147.75, 143.75, 73
04/01/25, 144.00, 149.00, 143.50, 143.75, 655
03/28/25, 143.00, 144.00, 141.25, 143.00, 203
03/27/25, 144.00, 144.00, 140.00, 142.75, 266
03/26/25, 140.00, 144.00, 139.25, 139.25, 1010
03/25/25, 144.00, 144.00, 140.00, 140.75, 1002
03/24/25, 144.50, 144.50, 144.50, 140.00, 2
03/21/25, 140.00, 144.00, 140.00, 140.00, 695
03/20/25, 143.00, 144.00, 140.00, 140.25, 726
03/19/25, 143.00, 146.00, 143.00, 143.00, 1078
03/18/25, 143.00, 143.00, 143.00, 143.00, 40
03/17/25, 143.00, 143.00, 143.00, 143.00, 1
03/14/25, 149.00, 149.00, 147.75, 143.00, 9
03/12/25, 143.00, 143.00, 142.50, 143.00, 129
03/10/25, 140.00, 143.00, 140.00, 140.00, 198
03/07/25, 142.75, 143.00, 142.75, 142.75, 15
03/06/25, 138.00, 145.00, 138.00, 142.75, 117
03/05/25, 140.00, 140.00, 138.00, 142.50, 26
03/04/25, 143.25, 144.00, 140.00, 142.50, 274
03/03/25, 147.50, 147.50, 143.50, 142.50, 42
02/28/25, 142.50, 147.50, 142.50, 142.50, 636
02/27/25, 146.00, 146.00, 146.00, 146.00, 350
02/25/25, 145.75, 148.00, 145.25, 147.75, 583
02/24/25, 145.50, 150.00, 145.50, 145.75, 23
02/21/25, 145.50, 150.00, 145.50, 145.75, 811
02/20/25, 149.00, 150.00, 149.00, 149.00, 102
02/19/25, 146.75, 150.00, 146.25, 146.25, 205
02/18/25, 152.00, 152.00, 150.00, 150.00, 2091
02/17/25, 152.00, 152.00, 147.00, 151.00, 405
02/14/25, 149.00, 153.25, 149.00, 146.25, 6
02/13/25, 150.00, 150.00, 150.00, 146.25, 4
02/11/25, 151.00, 155.00, 146.00, 146.25, 824
02/10/25, 156.50, 156.50, 156.50, 156.50, 1
02/07/25, 157.00, 157.00, 150.50, 156.50, 108
02/06/25, 155.00, 157.00, 146.00, 148.25, 1764
02/05/25, 157.50, 158.75, 155.00, 155.50, 390
02/03/25, 150.50, 157.75, 150.50, 157.25, 928
01/31/25, 155.00, 161.00, 146.00, 153.75, 625
01/30/25, 146.00, 164.00, 145.75, 156.75, 16802
01/29/25, 147.75, 148.00, 144.00, 145.75, 642
01/28/25, 143.25, 147.75, 143.25, 145.25, 1206
01/27/25, 147.75, 147.75, 145.75, 145.00, 66
01/24/25, 147.75, 147.75, 145.00, 145.00, 233
01/23/25, 141.50, 147.50, 141.50, 146.75, 7
01/22/25, 148.75, 149.00, 140.50, 146.75, 71
01/21/25, 144.25, 147.50, 144.25, 146.75, 343
01/20/25, 143.75, 144.00, 143.75, 143.75, 177
01/17/25, 144.00, 144.25, 144.00, 140.00, 22
01/16/25, 144.50, 144.50, 141.50, 140.00, 69
01/15/25, 144.00, 144.00, 139.75, 140.00, 840
01/10/25, 143.25, 144.50, 139.50, 142.25, 225
01/09/25, 144.75, 144.75, 139.00, 140.50, 673
01/08/25, 135.25, 145.00, 135.25, 135.50, 205
01/07/25, 141.00, 145.00, 139.00, 141.00, 679
01/06/25, 149.00, 149.00, 141.00, 142.25, 57
01/03/25, 147.00, 149.50, 142.25, 142.25, 211
01/02/25, 149.75, 150.00, 146.00, 147.00, 230
12/31/24, 143.25, 150.00, 142.25, 149.50, 723
12/30/24, 149.75, 150.00, 146.25, 146.50, 164
12/27/24, 149.50, 150.00, 148.00, 148.25, 1830
12/26/24, 137.75, 149.75, 137.75, 141.00, 1044
12/24/24, 145.00, 150.00, 145.00, 146.50, 804
12/23/24, 139.75, 149.50, 139.00, 148.25, 3959
12/20/24, 127.00, 145.00, 124.50, 128.00, 4387
12/19/24, 124.00, 124.00, 124.00, 123.50, 56
12/18/24, 123.00, 123.50, 123.00, 123.50, 115
12/17/24, 123.00, 123.00, 122.25, 123.00, 210
12/16/24, 126.75, 127.75, 120.75, 121.75, 109
12/13/24, 125.50, 126.75, 120.25, 126.75, 406
12/12/24, 117.25, 126.75, 117.25, 126.00, 403
12/11/24, 120.00, 125.75, 117.25, 124.50, 191
12/10/24, 122.75, 126.00, 120.00, 124.75, 518
12/09/24, 122.50, 125.75, 122.50, 124.25, 256
12/06/24, 119.75, 122.50, 119.75, 120.25, 269
12/05/24, 121.00, 121.00, 110.00, 110.75, 326
12/04/24, 119.25, 121.00, 119.00, 120.25, 200
12/03/24, 120.00, 120.00, 111.25, 119.25, 819
12/02/24, 115.00, 120.00, 115.00, 115.00, 521
11/29/24, 114.75, 115.00, 114.75, 115.00, 130
11/28/24, 114.75, 115.00, 114.75, 114.00, 52
11/27/24, 113.75, 115.00, 113.75, 114.00, 226
11/25/24, 103.75, 114.00, 103.75, 114.00, 1162
11/22/24, 113.75, 114.00, 113.75, 114.00, 37
11/21/24, 114.00, 114.00, 114.00, 114.00, 14
11/20/24, 114.25, 114.50, 114.00, 114.00, 58
11/19/24, 114.00, 114.00, 113.75, 114.00, 308
11/18/24, 114.00, 114.00, 110.00, 110.50, 149
11/14/24, 114.25, 114.25, 111.00, 112.75, 40
11/13/24, 114.25, 114.25, 114.25, 112.75, 1
11/12/24, 114.00, 114.25, 112.75, 112.75, 210
11/11/24, 112.75, 114.25, 112.75, 112.75, 510
11/08/24, 112.00, 114.25, 112.00, 112.75, 113
11/07/24, 115.00, 115.00, 110.00, 110.00, 936
11/06/24, 114.75, 114.75, 114.75, 107.50, 20
11/05/24, 114.75, 115.00, 114.75, 107.50, 5
11/04/24, 109.75, 109.75, 106.50, 107.50, 617
11/01/24, 108.50, 108.50, 108.50, 106.50, 50
10/30/24, 110.00, 110.00, 102.50, 106.50, 57
10/29/24, 109.75, 109.75, 104.00, 106.50, 200
10/28/24, 107.50, 107.50, 107.50, 107.50, 106
10/25/24, 112.00, 112.00, 111.50, 107.25, 68
10/24/24, 107.00, 111.50, 107.00, 107.25, 637
10/23/24, 107.00, 107.00, 107.00, 107.00, 50
10/21/24, 107.00, 107.00, 107.00, 107.00, 150
10/18/24, 106.75, 108.00, 106.75, 107.00, 3289
10/16/24, 107.00, 107.00, 106.75, 106.75, 101
10/15/24, 106.50, 106.50, 106.50, 106.50, 975
10/11/24, 107.00, 107.00, 104.75, 106.50, 145
10/10/24, 105.75, 107.00, 102.00, 106.25, 49
10/09/24, 106.00, 107.00, 106.00, 106.25, 394
10/08/24, 104.75, 106.50, 104.75, 105.75, 165
10/07/24, 104.75, 104.75, 104.75, 104.75, 250
10/02/24, 102.00, 102.00, 102.00, 102.00, 1000
10/01/24, 104.00, 105.00, 104.00, 104.00, 184
09/30/24, 105.00, 105.00, 105.00, 105.00, 5
09/27/24, 101.00, 105.00, 101.00, 105.00, 614
09/24/24, 106.50, 106.50, 106.50, 106.50, 115
09/20/24, 106.50, 106.50, 106.50, 100.00, 5
09/19/24, 106.50, 106.50, 106.50, 100.00, 1
09/13/24, 100.00, 100.00, 100.00, 100.00, 1
09/10/24, 105.50, 105.50, 100.00, 100.00, 101
09/09/24, 105.00, 105.50, 100.00, 100.25, 315
09/06/24, 100.50, 106.50, 100.50, 101.00, 51
09/04/24, 107.00, 107.00, 107.00, 101.00, 1
09/03/24, 101.00, 101.00, 101.00, 101.00, 465
09/02/24, 103.00, 103.00, 103.00, 100.25, 25
08/30/24, 103.00, 103.00, 100.00, 100.25, 130
08/29/24, 103.00, 103.00, 103.00, 100.00, 2
08/28/24, 106.50, 106.50, 100.25, 100.00, 7
08/27/24, 107.00, 107.00, 100.00, 100.00, 121
08/26/24, 101.25, 101.25, 101.25, 101.00, 1
08/23/24, 106.00, 106.00, 106.00, 101.00, 6
08/22/24, 106.00, 106.00, 106.00, 101.00, 2
