Date, Open, High, Low, Close, Volume
04/24/25, 45.00, 45.10, 44.50, 45.00, 300956
04/23/25, 45.00, 45.40, 44.70, 45.00, 732992
04/22/25, 45.50, 45.50, 44.70, 44.80, 46891
04/21/25, 46.00, 46.50, 44.80, 44.90, 374320
04/17/25, 43.50, 46.20, 43.50, 45.60, 1305813
04/16/25, 42.60, 43.50, 42.40, 43.20, 281749
04/11/25, 43.00, 43.00, 42.50, 42.70, 42848
04/10/25, 42.50, 44.50, 42.50, 43.00, 997426
04/09/25, 42.10, 42.10, 40.50, 41.00, 595318
04/08/25, 40.60, 42.50, 40.60, 42.00, 697664
04/07/25, 42.30, 42.30, 38.00, 39.90, 1107622
04/04/25, 43.50, 43.50, 41.90, 42.50, 633064
04/03/25, 43.20, 43.90, 43.00, 43.50, 71840
04/02/25, 44.40, 45.00, 43.50, 43.90, 154080
04/01/25, 43.90, 44.30, 43.10, 44.20, 289208
03/28/25, 43.00, 43.50, 42.20, 43.40, 219588
03/27/25, 42.40, 43.00, 42.00, 42.70, 63368
03/26/25, 43.20, 43.40, 42.00, 42.20, 151186
03/25/25, 43.00, 43.50, 42.60, 43.10, 118679
03/24/25, 43.90, 44.20, 42.80, 42.90, 92826
03/21/25, 43.90, 44.30, 43.80, 43.90, 99924
03/20/25, 42.00, 43.50, 42.00, 43.20, 80850
03/19/25, 41.60, 43.10, 41.00, 41.60, 331474
03/18/25, 41.50, 42.00, 41.50, 41.50, 236576
03/17/25, 42.40, 42.40, 41.50, 41.50, 232719
03/14/25, 43.60, 43.90, 42.50, 42.70, 50113
03/12/25, 42.00, 43.50, 42.00, 43.40, 296871
03/11/25, 43.30, 43.30, 42.00, 42.10, 387799
03/10/25, 45.50, 45.50, 43.40, 43.90, 121133
03/07/25, 44.00, 45.00, 44.00, 44.10, 66180
03/06/25, 43.70, 46.80, 43.70, 44.50, 311758
03/05/25, 42.60, 44.40, 42.60, 43.90, 53081
03/04/25, 44.00, 44.00, 42.10, 43.00, 970084
03/03/25, 45.70, 45.70, 43.70, 43.90, 152339
02/28/25, 44.60, 45.90, 44.60, 45.10, 196829
02/27/25, 44.00, 44.80, 44.00, 44.50, 227633
02/25/25, 45.00, 45.00, 43.50, 43.80, 458041
02/24/25, 45.50, 45.90, 44.20, 45.10, 145032
02/21/25, 45.50, 46.40, 45.50, 45.60, 215853
02/20/25, 46.90, 46.90, 45.10, 45.80, 391969
02/19/25, 47.90, 47.90, 46.40, 46.50, 96930
02/18/25, 49.00, 49.30, 46.70, 47.20, 493360
02/17/25, 47.60, 49.40, 47.20, 48.50, 1230172
02/14/25, 45.70, 47.50, 45.00, 47.10, 701055
02/13/25, 44.30, 46.00, 44.00, 45.00, 525677
02/11/25, 46.10, 46.10, 44.00, 44.60, 343286
02/10/25, 46.90, 47.00, 45.90, 46.00, 336707
02/07/25, 46.50, 47.00, 46.10, 46.70, 70741
02/06/25, 45.10, 47.00, 45.00, 46.40, 579140
02/05/25, 46.80, 47.00, 44.20, 44.70, 1259242
02/03/25, 47.50, 47.60, 46.60, 46.90, 634391
01/31/25, 48.50, 48.50, 47.60, 47.90, 1139898
01/30/25, 47.90, 48.50, 47.50, 48.40, 811452
01/29/25, 48.40, 48.50, 47.00, 47.40, 595162
01/28/25, 48.30, 49.00, 47.80, 48.40, 515782
01/27/25, 49.20, 49.20, 48.10, 48.70, 360338
01/24/25, 49.20, 49.80, 48.00, 49.00, 1273222
01/23/25, 49.80, 50.20, 48.80, 49.30, 562953
01/22/25, 49.00, 50.40, 48.00, 49.90, 3504862
01/21/25, 48.20, 49.20, 48.00, 48.20, 904187
01/20/25, 47.00, 48.40, 47.00, 48.00, 1691108
01/17/25, 46.90, 47.50, 46.30, 47.00, 645248
01/16/25, 47.60, 48.00, 46.50, 47.00, 747634
