Date, Open, High, Low, Close, Volume
04/24/25, 52.00, 52.20, 52.00, 52.00, 24452
04/23/25, 51.70, 52.00, 51.10, 51.80, 5496
04/22/25, 51.90, 51.90, 51.10, 51.60, 1379
04/21/25, 52.00, 52.00, 50.20, 51.90, 9898
04/17/25, 51.00, 52.20, 51.00, 52.00, 43792
04/16/25, 52.30, 52.40, 50.60, 51.00, 18429
04/11/25, 51.70, 52.20, 50.60, 51.00, 26534
04/10/25, 52.80, 53.10, 51.30, 51.80, 21516
04/09/25, 50.40, 50.40, 49.10, 49.30, 21620
04/08/25, 49.00, 52.80, 49.00, 50.90, 19763
04/07/25, 50.50, 50.50, 48.80, 49.00, 46008
04/04/25, 51.80, 51.80, 50.00, 50.50, 94841
04/03/25, 51.60, 53.00, 51.00, 52.80, 20786
04/02/25, 52.90, 53.40, 52.50, 53.00, 59445
04/01/25, 51.30, 52.90, 51.00, 52.10, 11588
03/28/25, 51.00, 52.70, 50.70, 50.70, 141065
03/27/25, 52.90, 52.90, 51.00, 51.00, 22516
03/26/25, 53.10, 53.30, 52.00, 52.10, 30459
03/25/25, 52.50, 53.50, 52.50, 53.00, 238432
03/24/25, 53.80, 53.80, 51.80, 51.80, 3483
03/21/25, 51.10, 53.90, 51.10, 53.20, 10169
03/20/25, 50.90, 52.00, 50.50, 51.50, 36344
03/19/25, 50.10, 50.90, 50.00, 50.00, 38260
03/18/25, 52.50, 52.90, 50.00, 50.20, 31281
03/17/25, 53.00, 54.40, 52.60, 52.90, 10473
03/14/25, 51.50, 54.90, 51.50, 53.20, 47035
03/12/25, 54.00, 54.70, 53.80, 54.60, 23843
03/11/25, 54.80, 55.00, 54.00, 54.00, 92589
03/10/25, 55.10, 55.10, 54.60, 55.00, 112278
03/07/25, 55.30, 55.70, 54.90, 55.00, 29794
03/06/25, 55.70, 55.70, 55.00, 55.30, 54026
03/05/25, 55.00, 55.70, 54.60, 55.30, 60447
03/04/25, 55.60, 55.60, 53.90, 55.00, 77996
03/03/25, 56.20, 56.30, 55.00, 55.30, 41915
02/28/25, 55.00, 56.00, 54.10, 55.40, 107415
02/27/25, 53.80, 55.50, 53.80, 54.10, 26486
02/25/25, 55.10, 56.30, 53.50, 53.80, 72649
02/24/25, 56.00, 56.00, 55.00, 55.00, 34898
02/21/25, 55.50, 56.50, 55.00, 55.20, 23138
02/20/25, 56.30, 56.50, 55.00, 55.30, 35718
02/19/25, 56.10, 56.60, 56.00, 56.00, 20229
02/18/25, 57.00, 57.50, 56.30, 56.90, 22666
02/17/25, 58.00, 58.00, 56.00, 56.80, 22136
02/14/25, 55.40, 56.70, 55.00, 56.50, 68749
02/13/25, 54.80, 55.60, 54.80, 55.00, 77122
02/11/25, 55.70, 55.70, 54.90, 55.00, 36137
02/10/25, 55.70, 56.30, 55.50, 55.70, 50034
02/07/25, 55.60, 55.80, 55.20, 55.60, 41611
02/06/25, 55.00, 56.20, 54.90, 55.70, 17411
02/05/25, 56.90, 57.00, 55.00, 55.60, 209269
02/03/25, 57.10, 57.30, 55.10, 57.10, 227328
01/31/25, 56.40, 57.30, 56.40, 57.00, 64282
01/30/25, 58.00, 58.00, 56.50, 56.70, 378046
01/29/25, 58.10, 59.30, 58.00, 58.90, 296782
01/28/25, 58.00, 58.50, 57.40, 58.30, 170688
01/27/25, 57.50, 58.30, 57.50, 58.00, 285329
01/24/25, 58.60, 58.60, 57.50, 57.70, 49524
01/23/25, 58.80, 58.80, 57.70, 58.00, 169945
01/22/25, 58.80, 58.80, 58.00, 58.10, 172074
01/21/25, 58.00, 58.90, 57.80, 58.80, 226938
01/20/25, 57.00, 58.00, 56.90, 58.00, 497428
01/17/25, 56.50, 56.70, 56.30, 56.60, 24867
01/16/25, 56.20, 56.30, 55.70, 56.10, 48247
