Date, Open, High, Low, Close, Volume
04/24/25, 40.00, 40.00, 40.00, 40.00, 260
04/23/25, 42.30, 42.30, 40.00, 40.00, 2296
04/22/25, 41.50, 41.50, 41.00, 41.30, 431
04/21/25, 41.00, 41.50, 41.00, 41.50, 6085
04/17/25, 42.90, 46.00, 40.00, 40.00, 1002
04/16/25, 40.00, 40.00, 40.00, 40.00, 1285
04/10/25, 38.50, 39.90, 37.00, 37.70, 1557
04/09/25, 36.50, 39.00, 36.50, 37.00, 531
04/08/25, 35.60, 40.00, 35.60, 39.00, 4605
04/07/25, 39.00, 39.00, 37.00, 37.30, 8078
04/04/25, 39.60, 39.60, 39.00, 39.30, 600
04/03/25, 39.30, 40.00, 39.30, 40.00, 132
04/02/25, 40.00, 40.00, 40.00, 40.00, 849
04/01/25, 40.00, 41.20, 40.00, 40.50, 2871
03/28/25, 40.00, 40.50, 39.10, 39.10, 15561
03/27/25, 40.70, 41.00, 39.00, 39.20, 3233
03/26/25, 41.00, 41.00, 41.00, 41.00, 1300
03/25/25, 42.00, 42.00, 42.00, 42.00, 1000
03/24/25, 41.10, 41.20, 40.60, 41.10, 3863
03/21/25, 41.00, 42.80, 40.00, 41.00, 2463
03/20/25, 39.20, 41.00, 39.00, 41.00, 2826
03/19/25, 40.00, 40.00, 39.20, 39.50, 1781
03/18/25, 40.00, 40.00, 40.00, 40.00, 984
03/17/25, 41.00, 41.00, 39.70, 40.00, 8288
03/14/25, 43.40, 43.40, 42.00, 43.40, 201
03/12/25, 41.00, 41.00, 41.00, 41.00, 1000
03/11/25, 42.10, 42.90, 42.10, 42.50, 551
03/10/25, 43.00, 43.00, 42.50, 42.50, 2479
03/07/25, 43.50, 43.50, 43.00, 43.00, 300
03/06/25, 42.50, 42.50, 42.50, 42.50, 483
03/05/25, 44.00, 44.00, 43.80, 43.80, 270
03/04/25, 43.00, 44.00, 43.00, 43.00, 2138
03/03/25, 44.00, 44.00, 43.00, 43.00, 286
02/28/25, 43.00, 43.00, 43.00, 43.00, 1327
02/27/25, 42.10, 42.20, 42.10, 42.10, 4132
02/25/25, 44.00, 44.00, 42.00, 42.10, 32425
02/24/25, 45.40, 45.40, 44.00, 44.00, 13255
02/21/25, 46.90, 47.50, 45.30, 46.00, 96702
02/20/25, 44.50, 47.50, 43.50, 45.40, 68295
02/19/25, 45.40, 45.50, 42.70, 42.80, 9930
02/18/25, 43.00, 45.40, 42.00, 45.00, 51721
02/17/25, 44.80, 45.50, 43.10, 44.50, 10370
02/14/25, 40.60, 44.80, 40.60, 44.20, 12975
02/13/25, 41.10, 41.50, 41.10, 41.50, 4150
02/11/25, 43.00, 43.50, 41.00, 41.40, 9399
02/10/25, 43.00, 43.00, 41.60, 42.10, 3127
02/07/25, 43.00, 43.00, 40.00, 40.60, 15383
02/06/25, 43.00, 43.30, 41.70, 42.30, 5392
02/05/25, 44.90, 45.00, 43.20, 43.30, 33430
02/03/25, 44.50, 44.90, 43.40, 44.50, 3510
01/31/25, 45.00, 45.00, 43.30, 44.00, 26713
