Date, Open, High, Low, Close, Volume
04/24/25, 50.90, 50.90, 49.80, 50.00, 37745
04/23/25, 50.50, 50.50, 49.70, 49.90, 7639
04/22/25, 50.50, 50.50, 49.60, 50.00, 6913
04/21/25, 50.00, 50.60, 49.60, 49.70, 12342
04/17/25, 50.90, 50.90, 49.50, 50.00, 16971
04/16/25, 51.90, 52.00, 49.90, 50.00, 10165
04/11/25, 51.00, 51.00, 49.00, 50.20, 47639
04/10/25, 50.00, 51.00, 49.20, 49.50, 56130
04/09/25, 50.50, 50.50, 48.00, 48.20, 34755
04/08/25, 48.00, 50.00, 48.00, 49.40, 42673
04/07/25, 50.20, 50.20, 47.00, 48.50, 45705
04/04/25, 50.70, 51.00, 49.50, 50.20, 53679
04/03/25, 51.80, 51.80, 50.80, 50.90, 22616
04/02/25, 51.40, 54.60, 51.40, 52.00, 51280
04/01/25, 51.30, 51.40, 50.50, 51.40, 17763
03/28/25, 51.40, 51.40, 50.20, 50.50, 45272
03/27/25, 51.50, 51.50, 50.00, 50.10, 44251
03/26/25, 51.00, 51.70, 50.40, 50.50, 44264
03/25/25, 51.50, 51.50, 51.00, 51.50, 23106
03/24/25, 52.00, 52.00, 50.00, 51.30, 32895
03/21/25, 51.40, 52.00, 51.00, 51.60, 17984
03/20/25, 50.50, 51.30, 50.40, 50.50, 27183
03/19/25, 50.00, 51.40, 50.00, 50.00, 19186
03/18/25, 51.50, 52.50, 49.50, 50.00, 48714
03/17/25, 53.00, 53.00, 51.20, 51.50, 32702
03/14/25, 53.10, 53.90, 53.10, 53.70, 78111
03/12/25, 53.00, 53.90, 53.00, 53.70, 8741
03/11/25, 53.90, 53.90, 53.00, 53.00, 1225
03/10/25, 53.90, 53.90, 52.90, 53.00, 11954
03/07/25, 54.40, 54.40, 53.50, 53.60, 15407
03/06/25, 54.00, 54.50, 53.50, 53.60, 45020
03/05/25, 53.40, 54.00, 52.60, 53.40, 28237
03/04/25, 53.00, 53.40, 52.00, 52.80, 53809
03/03/25, 53.10, 54.50, 52.70, 53.00, 74935
02/28/25, 53.50, 53.70, 53.00, 53.40, 31120
02/27/25, 52.50, 54.00, 52.50, 53.10, 63422
02/25/25, 54.00, 54.90, 52.60, 52.80, 74958
02/24/25, 55.00, 55.00, 53.80, 54.10, 44174
02/21/25, 55.00, 56.00, 54.30, 54.50, 33742
02/20/25, 55.10, 55.30, 54.10, 55.00, 280829
