Date, Open, High, Low, Close, Volume
04/24/25, 87.50, 90.00, 85.00, 88.60, 79615
04/23/25, 82.70, 82.70, 82.50, 82.70, 6943
04/21/25, 81.60, 82.10, 81.00, 81.00, 8282
04/17/25, 85.00, 85.10, 84.80, 85.00, 2029
04/11/25, 85.10, 85.10, 84.50, 85.10, 302
04/10/25, 84.40, 84.50, 84.30, 84.40, 445
04/09/25, 78.40, 80.00, 78.40, 80.50, 12
04/08/25, 79.00, 84.90, 75.20, 80.50, 979
04/07/25, 79.10, 79.10, 71.20, 74.40, 562
04/04/25, 84.90, 85.00, 77.50, 83.10, 1220
04/02/25, 86.70, 89.00, 86.50, 87.00, 10294
04/01/25, 84.90, 87.00, 84.90, 85.80, 172
03/28/25, 84.60, 87.00, 82.00, 86.90, 1046248
03/27/25, 84.60, 84.60, 82.00, 84.50, 1201156
03/26/25, 82.10, 83.00, 81.00, 82.20, 860
03/25/25, 84.50, 84.50, 82.00, 83.00, 201
03/24/25, 84.50, 84.90, 84.50, 84.50, 317
03/21/25, 83.50, 85.00, 80.00, 83.40, 323360
03/20/25, 82.80, 82.80, 79.00, 79.70, 1860
03/19/25, 80.50, 80.50, 77.30, 78.10, 562
03/18/25, 81.40, 81.40, 78.00, 78.20, 631
03/17/25, 81.20, 81.20, 81.20, 83.90, 1
03/14/25, 87.50, 90.00, 82.00, 83.90, 6411
03/12/25, 80.50, 85.00, 80.50, 83.00, 4377
03/11/25, 77.20, 77.20, 77.20, 77.20, 600
03/06/25, 80.70, 80.70, 80.10, 80.10, 10165
03/05/25, 80.60, 80.60, 80.60, 80.60, 1000
03/03/25, 81.20, 83.90, 81.20, 81.80, 20
02/28/25, 82.10, 82.10, 81.00, 81.80, 667
02/27/25, 81.90, 85.00, 80.60, 82.20, 520
02/25/25, 85.00, 85.00, 80.00, 80.00, 1805
02/24/25, 85.40, 85.40, 85.20, 85.20, 26673
02/21/25, 88.00, 88.00, 85.40, 85.40, 115
02/20/25, 85.30, 85.30, 85.30, 85.30, 995
02/19/25, 85.00, 89.80, 84.60, 85.20, 1253
02/18/25, 85.40, 89.30, 85.00, 85.50, 293
02/17/25, 90.00, 90.00, 85.00, 86.00, 7505
02/14/25, 85.30, 90.00, 84.00, 89.30, 42672
02/13/25, 84.00, 85.30, 84.00, 85.30, 7501
02/11/25, 84.10, 84.20, 83.50, 84.00, 3926
02/10/25, 87.40, 87.40, 84.00, 84.00, 2215
02/07/25, 84.00, 87.40, 84.00, 86.90, 7237
02/06/25, 88.70, 88.70, 88.40, 88.40, 170
02/05/25, 90.00, 90.00, 84.00, 84.30, 4048
02/03/25, 90.10, 93.80, 90.00, 90.50, 1284
01/31/25, 87.90, 95.50, 87.90, 91.20, 225776
01/30/25, 90.00, 90.00, 87.70, 87.80, 2703
01/29/25, 87.40, 90.00, 87.40, 89.80, 805
01/28/25, 90.00, 90.00, 88.00, 88.10, 5191
01/27/25, 88.00, 90.90, 87.90, 88.00, 3581
01/24/25, 91.00, 91.00, 90.80, 91.00, 229
01/23/25, 88.50, 91.70, 88.50, 89.60, 1769
01/22/25, 90.00, 90.00, 86.00, 86.40, 7257
01/21/25, 91.80, 92.50, 89.00, 89.00, 5413
01/20/25, 90.00, 93.50, 88.00, 89.10, 39781
01/17/25, 82.50, 90.10, 82.50, 89.20, 86156
01/16/25, 83.90, 83.90, 82.00, 82.10, 80985
01/15/25, 79.70, 84.50, 79.70, 79.70, 1157
01/10/25, 80.10, 85.00, 80.10, 82.20, 49470
01/09/25, 83.90, 83.90, 81.70, 82.00, 10582
01/08/25, 82.90, 84.50, 82.90, 83.00, 10960
01/07/25, 83.20, 83.20, 82.00, 82.00, 12592
01/06/25, 80.00, 83.00, 79.90, 82.70, 337448
01/03/25, 79.00, 80.00, 76.50, 78.60, 7539
01/02/25, 80.00, 80.20, 76.20, 79.80, 23596
12/31/24, 77.10, 80.00, 77.10, 80.00, 36558
12/30/24, 82.40, 82.40, 80.00, 80.00, 32540
12/27/24, 82.70, 82.70, 76.70, 80.70, 20406
12/26/24, 80.00, 84.00, 76.00, 81.30, 18763
12/24/24, 74.80, 84.90, 74.80, 77.70, 26711
12/23/24, 74.90, 75.50, 70.60, 75.00, 31618
12/20/24, 73.50, 74.60, 69.20, 72.70, 57815
12/19/24, 73.60, 73.70, 71.60, 72.10, 1543
12/18/24, 73.00, 74.00, 73.00, 73.60, 2474
12/17/24, 73.60, 74.90, 71.00, 71.70, 1890
12/16/24, 72.50, 75.90, 70.00, 70.20, 8729
12/13/24, 72.70, 76.20, 72.60, 72.90, 531
12/12/24, 76.40, 76.50, 72.30, 76.30, 2919
12/11/24, 74.00, 77.20, 74.00, 75.10, 24682
12/10/24, 74.00, 75.00, 70.00, 73.40, 9918
12/09/24, 74.50, 74.50, 71.00, 71.20, 30858
12/06/24, 70.80, 76.00, 70.00, 74.10, 17529
12/05/24, 73.30, 73.40, 71.00, 71.20, 77
12/04/24, 69.80, 73.40, 68.50, 71.20, 22307
12/03/24, 70.00, 70.00, 68.50, 68.60, 1397
12/02/24, 70.80, 70.80, 68.40, 70.00, 845
11/29/24, 69.10, 70.80, 68.70, 69.10, 11662
11/28/24, 71.20, 71.20, 69.10, 69.10, 2977
11/27/24, 70.00, 71.40, 69.20, 69.20, 323
11/26/24, 70.00, 70.00, 70.00, 70.00, 127
11/25/24, 70.50, 71.70, 70.00, 70.50, 43
11/22/24, 71.70, 71.70, 70.10, 70.50, 16
11/21/24, 71.90, 71.90, 70.50, 70.50, 25202
11/20/24, 70.50, 72.00, 70.00, 70.00, 26032
11/19/24, 72.50, 72.50, 72.00, 72.00, 406
11/18/24, 72.00, 72.80, 72.00, 72.50, 216
11/14/24, 71.10, 71.10, 70.50, 70.90, 2729
11/13/24, 73.00, 73.00, 71.30, 72.00, 19197
11/12/24, 72.10, 74.00, 72.00, 72.00, 26218
11/11/24, 75.50, 75.50, 74.50, 75.00, 134
11/08/24, 75.30, 75.40, 75.30, 73.00, 17
11/07/24, 75.40, 75.40, 72.00, 73.00, 66
11/06/24, 74.00, 75.90, 73.00, 73.00, 2316
11/05/24, 73.70, 73.70, 73.70, 73.90, 10
11/04/24, 73.80, 73.80, 72.30, 73.90, 18
11/01/24, 73.90, 75.80, 72.40, 73.90, 2260
10/30/24, 73.90, 74.00, 73.70, 71.60, 94
10/29/24, 73.00, 73.90, 71.50, 71.60, 30253
10/28/24, 71.20, 74.00, 71.20, 72.10, 443
10/25/24, 74.00, 74.50, 73.50, 72.20, 13
10/24/24, 71.40, 74.00, 71.10, 72.20, 32126
10/23/24, 73.00, 73.00, 73.00, 72.50, 20
10/22/24, 72.20, 73.00, 72.20, 72.50, 303
10/21/24, 71.30, 74.00, 71.00, 71.50, 2427
10/18/24, 72.00, 72.40, 71.30, 71.60, 5947
10/16/24, 71.90, 72.00, 71.50, 72.00, 6841
10/15/24, 72.00, 72.50, 70.70, 71.20, 370
10/14/24, 73.00, 73.00, 71.50, 71.60, 6432
10/11/24, 73.00, 73.00, 72.50, 73.00, 701
10/10/24, 73.00, 73.00, 71.60, 71.60, 1008
10/09/24, 73.00, 73.00, 72.50, 72.50, 5487
10/08/24, 73.00, 73.00, 70.10, 70.50, 4513
10/07/24, 73.00, 73.00, 70.00, 70.10, 965
10/04/24, 74.00, 74.00, 70.00, 70.00, 1043
10/03/24, 72.20, 74.00, 70.00, 70.20, 99468
10/02/24, 74.60, 74.60, 74.00, 74.00, 2326
10/01/24, 72.00, 77.00, 71.90, 75.00, 5378
09/30/24, 74.00, 74.00, 72.00, 72.00, 7843
09/27/24, 75.00, 75.00, 73.00, 73.00, 205
09/26/24, 73.90, 75.90, 71.00, 71.00, 2483
09/25/24, 72.00, 73.90, 72.00, 72.60, 14606
09/24/24, 71.00, 72.00, 71.00, 72.00, 510
09/23/24, 71.00, 71.00, 67.50, 70.00, 59
09/20/24, 70.00, 70.00, 70.00, 70.00, 589
09/19/24, 70.00, 70.00, 70.00, 70.00, 130
09/18/24, 70.10, 70.10, 67.00, 70.00, 227
09/13/24, 69.50, 70.00, 69.50, 69.50, 476
09/12/24, 70.00, 70.00, 66.60, 69.90, 313
09/11/24, 66.00, 70.30, 66.00, 66.10, 196
09/10/24, 66.00, 70.40, 66.00, 66.40, 779
09/09/24, 70.40, 70.40, 66.00, 67.60, 1355
09/06/24, 70.50, 70.50, 70.00, 70.10, 15014
09/05/24, 71.10, 71.10, 68.00, 67.40, 36
09/04/24, 67.30, 69.50, 67.30, 67.40, 1224
09/03/24, 69.70, 69.70, 67.00, 67.50, 1353
09/02/24, 68.80, 73.00, 68.60, 69.70, 448
08/30/24, 70.00, 71.00, 68.00, 68.50, 224
08/29/24, 73.50, 73.50, 70.00, 72.00, 403
08/28/24, 70.60, 72.70, 67.00, 67.10, 4170
08/27/24, 73.00, 73.80, 73.00, 73.00, 1035
08/26/24, 74.50, 74.50, 70.00, 70.50, 3449
08/23/24, 74.00, 74.00, 72.90, 73.00, 2618
08/22/24, 73.00, 74.80, 73.00, 73.00, 705
08/21/24, 74.80, 74.80, 74.80, 73.30, 5
08/20/24, 74.90, 74.90, 72.10, 73.30, 137
08/16/24, 74.90, 74.90, 71.40, 71.50, 135
08/15/24, 74.20, 74.20, 72.50, 74.80, 10
08/14/24, 72.10, 74.90, 72.10, 74.80, 3502
08/13/24, 76.00, 76.00, 73.70, 74.00, 3868
08/12/24, 75.50, 75.50, 74.00, 74.20, 2976
08/09/24, 77.00, 77.00, 75.70, 76.10, 10130
08/08/24, 77.20, 77.20, 77.00, 77.10, 147
08/07/24, 77.00, 77.80, 76.00, 77.60, 1372
08/06/24, 78.20, 78.40, 77.00, 77.80, 2855
08/05/24, 78.40, 78.40, 76.10, 75.30, 50
08/02/24, 75.30, 75.40, 75.30, 75.30, 1022
08/01/24, 75.20, 78.80, 75.10, 78.40, 142
07/31/24, 75.30, 78.90, 75.30, 76.90, 150
07/30/24, 79.70, 79.70, 75.10, 75.20, 2496
07/29/24, 80.00, 80.00, 76.50, 76.50, 1083
07/26/24, 78.00, 78.00, 76.50, 76.60, 151
07/25/24, 79.00, 79.00, 76.60, 77.40, 207
07/24/24, 79.00, 79.00, 78.70, 78.80, 155
07/23/24, 76.00, 79.70, 75.50, 75.60, 11497
07/22/24, 79.00, 80.00, 74.00, 76.30, 8877
07/19/24, 80.90, 80.90, 79.00, 80.80, 1481
07/18/24, 79.50, 82.00, 79.50, 81.50, 5656
07/17/24, 81.50, 81.50, 80.00, 81.40, 2720
07/16/24, 81.00, 81.80, 79.40, 81.80, 3505
07/15/24, 80.00, 81.70, 79.50, 80.00, 10961
07/12/24, 81.90, 82.00, 80.00, 80.00, 3820
07/11/24, 82.90, 82.90, 80.00, 80.00, 1596
07/10/24, 80.40, 81.50, 80.40, 81.50, 550
07/09/24, 79.00, 84.00, 79.00, 81.70, 28519
07/08/24, 77.00, 80.00, 76.00, 77.20, 25198
07/05/24, 77.50, 77.50, 75.00, 76.40, 7825
07/04/24, 76.90, 77.80, 75.00, 76.10, 21027
07/03/24, 75.00, 77.20, 75.00, 76.50, 8909
07/02/24, 76.00, 76.00, 75.50, 75.50, 181
07/01/24, 75.00, 76.00, 75.00, 75.10, 13782
06/28/24, 75.80, 76.80, 75.00, 75.00, 15266
06/27/24, 76.90, 76.90, 72.50, 74.00, 14535
06/26/24, 77.00, 77.00, 75.00, 75.20, 50737
06/25/24, 76.90, 77.00, 74.00, 75.00, 26558
06/24/24, 77.90, 78.00, 75.10, 77.50, 110
06/20/24, 75.30, 78.00, 75.00, 76.00, 43470
06/19/24, 72.00, 75.70, 70.00, 73.30, 63125
06/18/24, 72.00, 72.00, 71.50, 71.90, 23420
06/14/24, 71.70, 72.00, 70.00, 71.90, 92711
06/13/24, 71.60, 71.70, 71.50, 71.50, 121
06/12/24, 70.00, 71.60, 69.20, 70.00, 4989
06/11/24, 71.80, 71.80, 68.50, 69.40, 11009
06/10/24, 71.80, 71.80, 69.00, 69.10, 653
06/07/24, 71.00, 71.50, 70.80, 70.80, 6043
06/06/24, 69.70, 72.00, 69.50, 70.00, 34299
06/05/24, 68.80, 69.70, 68.80, 69.10, 188269
06/04/24, 68.90, 68.90, 68.00, 68.00, 10031
06/03/24, 66.60, 69.30, 64.00, 64.30, 1051
05/31/24, 69.00, 69.70, 67.00, 69.00, 25723
05/30/24, 67.30, 69.00, 66.00, 66.40, 1925
05/29/24, 68.90, 69.00, 67.20, 69.00, 21994
05/28/24, 69.70, 69.70, 67.40, 67.50, 5630
05/27/24, 69.90, 69.90, 67.20, 67.20, 2874
05/22/24, 67.90, 69.80, 67.90, 69.40, 2005
05/21/24, 67.00, 67.50, 67.00, 67.10, 1715
05/20/24, 69.50, 69.50, 65.00, 66.30, 83057
05/17/24, 69.90, 69.90, 69.70, 68.70, 54
05/16/24, 70.50, 70.50, 68.70, 68.70, 827
05/15/24, 70.70, 70.70, 69.50, 69.50, 21490
05/14/24, 69.20, 69.90, 67.60, 68.90, 10311
05/13/24, 70.00, 70.00, 68.80, 69.00, 18345
05/10/24, 70.90, 71.00, 69.50, 69.70, 650
05/09/24, 72.90, 72.90, 67.00, 70.60, 9878
05/08/24, 72.50, 73.00, 71.00, 71.10, 14526
05/07/24, 73.80, 73.90, 72.30, 73.00, 31447
05/06/24, 69.70, 73.80, 67.00, 70.40, 229855
05/03/24, 69.70, 69.70, 69.50, 69.70, 233
05/02/24, 66.50, 68.00, 66.50, 68.00, 37155
04/30/24, 67.50, 68.00, 67.00, 67.00, 11595
04/29/24, 68.00, 68.00, 65.20, 68.00, 1046
04/26/24, 68.70, 68.70, 65.60, 67.10, 623
04/25/24, 68.00, 69.00, 65.00, 67.00, 40392
04/24/24, 69.00, 69.90, 67.30, 67.80, 26719
04/22/24, 67.10, 69.80, 67.10, 69.00, 625
04/19/24, 71.00, 71.00, 66.10, 70.00, 4233
04/18/24, 70.50, 71.00, 68.60, 69.60, 1142
04/17/24, 70.70, 71.60, 68.00, 69.80, 1144
