Date, Open, High, Low, Close, Volume
04/24/25, 19.20, 20.50, 19.20, 20.00, 1407461
04/23/25, 18.90, 19.30, 18.90, 19.00, 812651
04/22/25, 18.70, 19.00, 18.30, 18.80, 660512
04/21/25, 17.70, 18.80, 17.70, 18.80, 1614705
04/17/25, 17.50, 17.70, 17.20, 17.70, 320736
04/16/25, 16.80, 17.60, 16.80, 17.30, 1389381
04/11/25, 16.90, 17.00, 16.80, 16.80, 36767
04/10/25, 17.40, 17.80, 16.60, 16.60, 3117949
04/09/25, 17.00, 17.00, 16.60, 16.70, 35036
04/08/25, 16.90, 17.50, 16.90, 17.10, 61984
04/07/25, 17.40, 17.40, 16.50, 16.70, 169713
04/04/25, 17.60, 17.90, 17.00, 17.40, 57334
04/03/25, 17.90, 18.00, 17.50, 17.80, 169736
04/02/25, 18.30, 18.50, 17.70, 18.00, 281800
04/01/25, 17.00, 18.70, 16.90, 18.10, 559430
03/28/25, 17.30, 17.80, 17.20, 17.70, 709872
03/27/25, 17.40, 17.60, 17.30, 17.40, 30629
03/26/25, 17.30, 17.70, 17.20, 17.50, 100601
03/25/25, 17.40, 17.60, 17.20, 17.40, 81075
03/24/25, 17.80, 17.80, 17.40, 17.40, 235062
03/21/25, 17.80, 17.80, 17.60, 17.70, 1084209
03/20/25, 16.60, 16.80, 16.60, 16.80, 135137
03/19/25, 16.50, 17.80, 16.40, 16.50, 541211
03/18/25, 17.00, 17.00, 16.40, 16.50, 363898
03/17/25, 19.00, 19.30, 16.50, 16.70, 3889772
03/14/25, 18.81, 18.81, 18.43, 18.52, 138535.934089449
03/12/25, 18.71, 18.81, 17.87, 18.62, 108924.786079342
03/11/25, 18.34, 18.71, 18.24, 18.43, 27170.581133354
03/10/25, 18.34, 18.81, 18.15, 18.24, 358593.182429457
03/07/25, 18.15, 19.65, 17.96, 18.62, 154733.003413994
03/06/25, 18.81, 18.81, 18.15, 18.34, 85067.8460736406
03/05/25, 18.34, 18.71, 18.34, 18.71, 144768.684618709
03/04/25, 18.81, 18.81, 18.05, 18.24, 29518.6297886356
03/03/25, 20.59, 20.59, 18.05, 18.34, 271007.139247254
02/28/25, 20.12, 20.59, 18.90, 19.28, 104664.694180312
02/27/25, 20.22, 20.22, 19.37, 19.75, 101297.881661008
02/25/25, 20.22, 21.16, 19.84, 20.03, 43470.8029577004
02/24/25, 20.31, 20.50, 20.22, 20.22, 53983.8505148173
02/21/25, 20.69, 21.44, 20.59, 20.69, 72481.1142421581
02/20/25, 22.00, 22.00, 19.75, 21.16, 811188.068157655
02/19/25, 22.00, 22.00, 20.88, 21.44, 115304.289649557
02/18/25, 21.72, 22.10, 21.44, 21.63, 373276.993947631
02/17/25, 21.63, 21.82, 21.25, 21.72, 603394.269587895
02/14/25, 21.16, 21.44, 20.69, 21.25, 330987.659312403
02/13/25, 19.75, 21.16, 19.75, 20.78, 54339.0354110419
02/11/25, 20.69, 20.69, 19.84, 20.03, 119607.98208974
02/10/25, 21.35, 21.44, 20.88, 20.88, 2932.93396343602
02/07/25, 21.44, 21.44, 20.59, 20.97, 51897.4051064556
02/06/25, 20.59, 21.53, 20.22, 20.41, 40498.522164443
02/05/25, 21.63, 21.63, 20.59, 20.69, 201517.447499347
02/03/25, 22.47, 22.47, 21.53, 21.53, 190487.574015388
01/31/25, 21.91, 22.57, 21.63, 22.38, 178093.32262168
01/30/25, 21.63, 22.57, 21.25, 21.91, 589156.034331751
01/29/25, 21.72, 21.91, 21.06, 21.25, 518308.345241093
01/28/25, 21.63, 22.10, 20.97, 21.91, 197721.010135508
01/27/25, 21.91, 22.10, 21.35, 21.53, 83040.9526239274
01/24/25, 21.72, 22.00, 21.53, 21.91, 49435.5696730421
01/23/25, 22.10, 22.47, 21.63, 21.72, 435107.878442214
01/22/25, 21.35, 22.10, 21.35, 21.72, 529111.708596621
