Date, Open, High, Low, Close, Volume
04/24/25, 28.80, 28.80, 27.80, 28.70, 1500
04/23/25, 28.00, 28.70, 28.00, 28.70, 190
04/22/25, 28.90, 28.90, 28.00, 28.80, 712
04/21/25, 28.90, 28.90, 27.70, 28.80, 2567
04/17/25, 26.50, 29.40, 26.50, 28.90, 324
04/16/25, 29.20, 29.20, 29.00, 29.20, 111
04/11/25, 29.30, 29.40, 27.90, 29.00, 431
04/10/25, 29.90, 30.00, 27.40, 27.60, 111327
04/09/25, 29.20, 29.80, 28.00, 28.90, 2370
04/08/25, 29.90, 30.00, 28.00, 28.80, 6628
04/07/25, 28.00, 29.00, 28.00, 29.00, 885
04/04/25, 28.70, 30.00, 28.70, 28.70, 5113
04/03/25, 29.30, 30.00, 29.00, 29.80, 841
04/02/25, 29.30, 29.80, 28.70, 29.40, 5561
04/01/25, 29.30, 29.50, 28.80, 29.30, 1012
03/28/25, 29.50, 29.50, 27.60, 28.70, 914
03/27/25, 29.50, 29.50, 27.60, 27.60, 503
03/26/25, 29.00, 29.00, 27.60, 28.80, 3410
03/25/25, 29.00, 29.00, 29.00, 29.00, 100
03/24/25, 28.70, 29.50, 27.00, 28.30, 8541
03/21/25, 28.10, 28.80, 28.10, 28.20, 2307
03/20/25, 28.00, 28.00, 26.60, 28.00, 3224
03/19/25, 26.50, 28.00, 26.50, 28.00, 14864
03/18/25, 27.50, 28.00, 25.10, 26.20, 16765
03/17/25, 28.00, 28.00, 28.00, 28.00, 1313
03/14/25, 27.60, 28.00, 27.60, 28.00, 5004
03/12/25, 28.50, 28.50, 28.50, 28.50, 2501
03/11/25, 28.50, 28.50, 28.00, 28.00, 7838
03/10/25, 28.70, 28.90, 28.50, 28.50, 2803
03/07/25, 28.60, 29.50, 28.00, 29.50, 18364
03/06/25, 28.90, 29.00, 28.60, 28.70, 21191
03/05/25, 29.90, 29.90, 28.50, 29.80, 536
03/04/25, 28.50, 29.80, 28.20, 29.10, 2980
03/03/25, 29.50, 29.90, 28.50, 29.80, 3634
02/28/25, 30.00, 30.00, 28.50, 28.70, 881
02/27/25, 31.00, 31.00, 27.70, 28.30, 6537
02/25/25, 30.00, 31.50, 30.00, 30.00, 4075
02/24/25, 30.00, 31.40, 29.50, 31.00, 1105
02/21/25, 30.60, 31.50, 30.00, 30.10, 22142
02/20/25, 31.80, 31.80, 30.50, 30.50, 504
02/19/25, 31.80, 31.80, 30.50, 31.50, 1385
02/18/25, 32.00, 32.00, 31.30, 31.70, 3705
02/17/25, 33.30, 33.30, 31.50, 31.90, 8818
02/14/25, 33.50, 33.50, 32.00, 32.50, 8181
02/13/25, 32.00, 32.90, 31.80, 32.90, 1196
02/11/25, 31.90, 32.90, 31.70, 32.30, 3974
02/10/25, 31.80, 33.50, 31.80, 32.90, 4558
02/07/25, 33.90, 33.90, 30.10, 33.60, 33603
02/06/25, 32.70, 33.90, 32.70, 33.80, 2000
02/05/25, 34.00, 34.00, 32.70, 33.60, 11153
02/03/25, 34.30, 34.30, 33.00, 34.00, 21571
01/31/25, 33.10, 34.40, 33.00, 33.80, 59528
01/30/25, 33.40, 33.70, 33.40, 33.40, 4948
01/29/25, 33.60, 33.70, 33.50, 33.60, 2073
01/28/25, 34.50, 34.90, 33.10, 33.60, 16150
01/27/25, 33.10, 34.40, 33.00, 34.00, 44483
01/24/25, 34.00, 34.00, 33.00, 33.50, 5513
01/23/25, 31.40, 34.80, 31.40, 33.00, 119211
01/22/25, 32.50, 33.00, 31.10, 31.90, 27122
01/21/25, 33.30, 33.30, 32.10, 32.50, 2444
01/20/25, 33.00, 33.50, 33.00, 33.10, 5451
01/17/25, 33.00, 33.80, 32.60, 33.00, 13156
01/16/25, 33.80, 33.80, 32.50, 32.60, 4660
01/15/25, 32.50, 33.80, 32.50, 33.00, 5003
01/10/25, 31.30, 32.90, 31.30, 32.80, 23128
01/09/25, 32.80, 33.00, 31.50, 32.80, 10876
01/08/25, 33.00, 33.00, 33.00, 33.00, 250
01/07/25, 32.30, 33.50, 31.00, 33.00, 9214
01/06/25, 32.50, 32.50, 31.00, 31.30, 84178
01/03/25, 34.00, 34.20, 32.50, 33.20, 17943
01/02/25, 33.00, 33.10, 32.60, 33.00, 14043
12/31/24, 33.50, 34.40, 32.00, 33.10, 12616
12/30/24, 33.20, 33.20, 32.60, 32.90, 4000
12/27/24, 33.80, 34.00, 32.80, 33.00, 11120
