Date, Open, High, Low, Close, Volume
04/24/25, 101.50, 101.50, 101.50, 101.50, 100
04/17/25, 105.25, 113.00, 105.25, 105.25, 101
04/16/25, 113.00, 113.00, 103.25, 110.00, 2
04/11/25, 110.00, 110.00, 110.00, 110.00, 1105
04/10/25, 110.00, 110.00, 110.00, 102.25, 40
04/09/25, 102.50, 102.50, 102.00, 102.25, 133
04/08/25, 100.50, 100.50, 100.50, 100.50, 400
04/04/25, 110.00, 110.00, 110.00, 110.00, 2500
04/03/25, 110.25, 115.00, 110.00, 113.25, 38704
04/02/25, 114.50, 119.75, 110.00, 114.50, 13044
04/01/25, 110.00, 114.75, 110.00, 110.00, 5014
03/28/25, 102.50, 105.00, 102.50, 105.00, 2600
03/27/25, 115.00, 115.00, 115.00, 102.00, 1
03/26/25, 102.00, 102.50, 102.00, 102.00, 101
03/24/25, 116.75, 117.00, 115.00, 115.00, 14904
03/21/25, 116.00, 116.00, 105.00, 115.00, 11
03/20/25, 108.00, 115.00, 108.00, 115.00, 16080
03/19/25, 108.25, 108.25, 108.00, 108.00, 150
03/18/25, 108.00, 108.50, 108.00, 108.00, 3639
03/14/25, 112.50, 121.00, 92.60, 119.00, 6454
03/12/25, 111.00, 111.00, 111.00, 105.25, 2
03/11/25, 105.25, 106.00, 105.00, 105.25, 2674
03/10/25, 112.00, 112.75, 112.00, 112.75, 1720
03/07/25, 113.00, 113.00, 112.00, 112.75, 10216
03/06/25, 107.50, 111.50, 107.50, 111.25, 1230
03/05/25, 101.00, 101.00, 101.00, 101.00, 349
03/04/25, 100.25, 101.75, 100.25, 101.00, 11045
03/03/25, 105.25, 107.00, 100.00, 105.00, 9146
02/28/25, 112.00, 112.00, 109.00, 109.00, 1268
02/27/25, 100.00, 112.00, 100.00, 112.00, 14757
02/25/25, 107.00, 107.00, 100.00, 106.00, 24384
02/24/25, 112.00, 112.00, 102.00, 105.25, 2468
02/21/25, 104.00, 112.00, 100.00, 109.50, 95713
02/20/25, 94.00, 104.00, 94.00, 99.20, 5622
02/19/25, 97.00, 98.00, 94.50, 98.00, 9120
02/18/25, 92.50, 108.25, 90.90, 97.00, 9572
02/17/25, 92.80, 94.00, 88.00, 90.00, 121146
02/14/25, 88.00, 93.40, 88.00, 93.00, 19233
02/13/25, 88.30, 88.30, 88.30, 85.50, 5
02/11/25, 85.60, 85.60, 85.50, 85.50, 7692
02/10/25, 85.60, 85.60, 85.50, 85.50, 3746
02/07/25, 88.30, 88.30, 88.30, 86.10, 5
02/06/25, 88.00, 88.00, 86.00, 86.10, 11
02/05/25, 88.50, 88.50, 86.00, 86.10, 16556
02/03/25, 90.60, 90.60, 88.20, 89.10, 178
01/31/25, 91.60, 91.60, 88.70, 90.60, 155
01/30/25, 91.90, 91.90, 88.00, 91.80, 2432
01/29/25, 92.30, 92.30, 87.00, 87.00, 20013
01/28/25, 92.50, 92.50, 85.10, 87.00, 16012
01/27/25, 92.40, 92.40, 87.00, 87.10, 20011
01/24/25, 90.00, 92.50, 86.90, 87.00, 41270
01/23/25, 88.30, 91.90, 88.30, 91.60, 592
01/22/25, 88.10, 92.50, 88.10, 92.30, 1514
01/21/25, 93.00, 93.00, 88.00, 88.00, 21014
01/20/25, 92.70, 92.70, 92.00, 92.00, 4515
01/17/25, 93.00, 93.00, 93.00, 90.10, 1
