Date, Open, High, Low, Close, Volume
04/24/25, 5.90, 5.90, 5.60, 5.60, 51044
04/23/25, 6.00, 6.00, 5.60, 5.60, 52603
04/22/25, 6.00, 6.10, 5.60, 6.00, 159376
04/21/25, 5.90, 6.10, 5.60, 6.10, 53605
04/17/25, 5.90, 6.00, 5.60, 5.90, 156699
04/16/25, 6.20, 6.20, 5.60, 5.90, 216159
04/11/25, 6.20, 6.20, 5.80, 5.80, 7213
04/10/25, 6.10, 6.20, 5.80, 5.80, 7342
04/09/25, 6.00, 6.00, 5.60, 5.70, 293110
04/08/25, 6.20, 6.20, 6.20, 6.20, 1360
04/07/25, 6.20, 6.20, 5.90, 6.00, 71178
04/04/25, 6.10, 6.20, 5.90, 6.00, 111828
04/03/25, 6.20, 6.20, 6.20, 6.20, 636
04/02/25, 6.20, 6.20, 6.00, 6.10, 8076
04/01/25, 6.20, 6.20, 6.00, 6.20, 44084
03/28/25, 6.20, 6.20, 6.20, 6.20, 1427
03/27/25, 6.10, 6.20, 6.00, 6.00, 27065
03/26/25, 6.10, 6.10, 6.00, 6.00, 47500
03/25/25, 6.20, 6.40, 6.00, 6.10, 71030
03/24/25, 6.40, 6.40, 6.00, 6.30, 52352
03/21/25, 6.00, 6.40, 6.00, 6.40, 102667
03/20/25, 6.20, 6.40, 6.00, 6.30, 73614
03/18/25, 6.50, 6.50, 6.00, 6.20, 103867
03/14/25, 6.50, 6.50, 6.10, 6.50, 163061
03/12/25, 6.40, 6.60, 6.40, 6.50, 32942
03/11/25, 6.40, 6.50, 6.10, 6.20, 135768
03/10/25, 6.40, 6.60, 6.10, 6.60, 122033
03/07/25, 6.80, 6.80, 6.40, 6.70, 3820
03/06/25, 6.70, 6.80, 6.60, 6.80, 5042
03/05/25, 6.40, 6.70, 6.10, 6.60, 376737
03/04/25, 6.40, 6.80, 6.40, 6.70, 14908
03/03/25, 6.80, 6.80, 6.20, 6.70, 152697
02/28/25, 6.80, 6.90, 6.20, 6.60, 254544
02/27/25, 6.80, 6.90, 6.80, 6.90, 2506
02/25/25, 6.80, 6.80, 6.70, 6.80, 11691
02/24/25, 6.80, 6.90, 6.10, 6.20, 300779
02/21/25, 6.90, 6.90, 6.80, 6.80, 2859
02/20/25, 6.90, 6.90, 6.90, 6.90, 1468
02/19/25, 7.00, 7.00, 7.00, 7.00, 92
02/18/25, 7.00, 7.00, 7.00, 7.00, 3613
02/17/25, 7.30, 7.30, 7.00, 7.20, 168
02/14/25, 7.10, 7.10, 7.00, 7.10, 3005
02/13/25, 7.30, 7.30, 7.10, 7.20, 15521
