Date, Open, High, Low, Close, Volume
04/24/25, 12.50, 12.60, 12.30, 12.50, 719
04/23/25, 12.70, 12.70, 12.30, 12.50, 306
04/22/25, 12.30, 12.40, 12.30, 12.40, 1320
04/21/25, 12.60, 12.60, 12.10, 12.30, 7332
04/17/25, 12.60, 12.60, 12.00, 12.00, 10681
04/16/25, 11.90, 12.60, 11.90, 12.50, 3201
04/11/25, 12.50, 12.50, 11.90, 12.10, 2394
04/10/25, 12.40, 12.70, 12.00, 12.10, 8530
04/09/25, 12.00, 12.00, 12.00, 12.00, 155
04/08/25, 12.30, 12.30, 11.80, 11.80, 12456
04/07/25, 11.70, 12.30, 11.00, 11.50, 31524
04/04/25, 11.90, 12.40, 11.70, 11.70, 18504
04/03/25, 12.40, 12.40, 12.00, 12.10, 5662
04/02/25, 12.70, 12.70, 12.20, 12.40, 78712
04/01/25, 12.70, 12.70, 12.20, 12.20, 36280
03/28/25, 12.00, 12.80, 12.00, 12.20, 2285
03/27/25, 12.00, 12.80, 11.90, 12.10, 8463
03/26/25, 12.10, 12.10, 12.10, 12.10, 400
03/25/25, 12.90, 12.90, 12.00, 12.10, 32165
03/24/25, 12.10, 12.90, 12.10, 12.30, 6169
03/21/25, 13.00, 13.00, 12.10, 12.50, 43034
03/20/25, 12.50, 12.60, 12.40, 12.50, 15893
03/19/25, 12.50, 12.50, 11.90, 12.00, 2191
03/18/25, 12.50, 12.50, 12.00, 12.00, 8346
03/17/25, 12.90, 12.90, 12.00, 12.00, 21278
03/14/25, 12.40, 13.50, 12.40, 12.60, 52309
03/12/25, 11.90, 12.40, 11.90, 12.20, 2588
03/11/25, 12.00, 12.50, 9.10, 11.50, 5969
03/10/25, 12.60, 12.80, 12.00, 12.00, 8143
03/07/25, 12.50, 12.70, 12.20, 12.50, 11972
03/06/25, 12.30, 12.30, 12.00, 12.00, 15575
03/05/25, 12.40, 12.40, 12.00, 12.30, 6435
03/04/25, 13.00, 13.00, 11.60, 12.20, 18855
03/03/25, 13.20, 13.20, 12.70, 12.80, 645
02/28/25, 13.40, 13.40, 13.00, 13.00, 9659
02/27/25, 13.30, 13.30, 12.90, 13.00, 4737
02/25/25, 13.50, 13.50, 12.90, 13.00, 20350
02/24/25, 13.20, 13.50, 13.20, 13.50, 2489
02/21/25, 13.50, 14.00, 13.40, 13.60, 23156
02/20/25, 14.00, 14.00, 13.50, 13.50, 69948
02/19/25, 13.90, 14.00, 13.70, 13.70, 7874
02/18/25, 13.80, 14.00, 13.80, 14.00, 7112
02/17/25, 14.50, 14.50, 13.80, 14.00, 104417
02/14/25, 14.50, 14.50, 13.90, 14.00, 93046
02/13/25, 14.30, 14.60, 14.00, 14.00, 24226
02/11/25, 15.20, 15.20, 14.20, 14.70, 11058
02/10/25, 15.30, 15.40, 14.60, 14.70, 13914
02/07/25, 15.40, 15.40, 14.30, 14.50, 19228
02/06/25, 14.90, 15.40, 14.30, 14.90, 52944
02/05/25, 15.70, 15.70, 14.40, 14.60, 101184
02/03/25, 16.00, 16.00, 14.50, 15.30, 159522
01/31/25, 15.90, 16.40, 15.60, 15.90, 58073
01/30/25, 16.20, 16.20, 15.20, 15.70, 122290
01/29/25, 14.90, 16.90, 14.90, 15.90, 1040932
01/28/25, 14.20, 14.70, 14.20, 14.50, 71468
01/27/25, 14.00, 14.50, 13.80, 14.30, 44338
01/24/25, 14.30, 14.50, 13.60, 13.90, 5088
01/23/25, 14.60, 14.60, 13.40, 13.80, 118876
01/22/25, 14.50, 14.70, 13.90, 14.10, 33532
01/21/25, 14.30, 14.50, 14.00, 14.40, 62930
01/20/25, 14.30, 14.40, 13.90, 14.10, 4376
01/17/25, 13.70, 14.30, 13.70, 14.20, 51243
01/16/25, 13.80, 13.80, 13.40, 13.50, 20975
01/15/25, 13.60, 13.90, 13.50, 13.50, 31224
01/10/25, 14.00, 14.00, 13.40, 13.80, 9510
01/09/25, 14.10, 14.10, 13.40, 13.50, 17177
01/08/25, 14.00, 14.10, 13.50, 13.60, 57960
01/07/25, 14.00, 14.10, 13.50, 13.60, 22091
01/06/25, 14.00, 14.10, 13.10, 13.80, 54681
01/03/25, 14.30, 14.30, 13.90, 13.90, 47528
01/02/25, 14.40, 14.50, 13.70, 14.30, 51661
12/31/24, 14.20, 14.30, 14.00, 14.00, 9722
12/30/24, 14.30, 14.30, 13.70, 13.80, 23695
12/27/24, 14.40, 14.40, 13.80, 14.00, 81966
12/26/24, 14.80, 14.80, 14.00, 14.10, 36945
12/24/24, 14.90, 14.90, 14.00, 14.20, 93647
12/23/24, 15.50, 15.80, 14.20, 14.40, 398789
