Date, Open, High, Low, Close, Volume
04/23/25, 36.00, 36.00, 35.00, 35.10, 6997
04/22/25, 36.00, 36.00, 36.00, 36.00, 771
04/21/25, 36.00, 36.10, 36.00, 36.10, 816
04/17/25, 36.00, 37.30, 36.00, 36.50, 1017
04/16/25, 36.00, 36.00, 35.00, 36.00, 3662
04/11/25, 35.50, 36.00, 35.00, 35.00, 5601
04/10/25, 36.00, 37.90, 36.00, 36.00, 4030
04/09/25, 33.40, 35.50, 33.40, 33.40, 11939
04/08/25, 35.50, 35.50, 35.50, 34.00, 3
04/07/25, 36.00, 36.00, 32.00, 34.00, 1583
04/04/25, 36.30, 36.30, 36.10, 36.10, 5862
04/03/25, 37.00, 37.00, 36.20, 36.30, 11575
04/02/25, 37.00, 37.30, 36.80, 37.00, 3129
04/01/25, 37.00, 38.50, 37.00, 37.10, 921
03/28/25, 37.20, 37.30, 37.00, 37.20, 31
03/27/25, 37.10, 37.20, 37.10, 37.20, 3626
03/26/25, 37.10, 37.10, 37.10, 37.10, 250
03/25/25, 36.60, 37.00, 35.50, 35.60, 10490
03/24/25, 35.60, 36.60, 35.60, 36.50, 7447
03/21/25, 36.70, 36.70, 35.50, 35.60, 2177
03/20/25, 37.10, 37.10, 35.10, 35.20, 2803
03/19/25, 37.00, 37.00, 37.00, 35.10, 1
03/18/25, 35.50, 35.50, 35.10, 35.10, 1304
03/17/25, 36.90, 36.90, 35.60, 35.60, 1221
03/14/25, 36.60, 37.90, 36.60, 37.00, 111
03/12/25, 36.60, 36.60, 36.60, 36.60, 2000
03/11/25, 36.60, 36.60, 36.00, 36.60, 26
03/10/25, 36.90, 36.90, 36.50, 36.60, 3586
03/07/25, 36.80, 36.80, 36.80, 36.90, 1
03/06/25, 38.70, 38.70, 36.80, 36.90, 2564
03/05/25, 37.10, 38.60, 37.00, 37.00, 3250
03/04/25, 38.70, 38.70, 37.00, 37.00, 419
03/03/25, 38.70, 38.70, 38.70, 38.50, 1
02/28/25, 38.00, 38.70, 36.90, 38.50, 4991
02/27/25, 37.90, 37.90, 36.40, 37.80, 3465
02/25/25, 37.70, 37.90, 36.30, 36.70, 1851
02/24/25, 39.20, 40.00, 37.00, 37.70, 16811
02/21/25, 40.00, 40.00, 40.00, 39.30, 13
02/20/25, 41.20, 41.20, 39.20, 39.30, 1573
02/19/25, 40.00, 40.00, 39.30, 39.50, 2340
02/18/25, 41.80, 42.00, 40.00, 40.20, 10631
02/17/25, 42.30, 43.70, 41.50, 42.20, 26472
02/14/25, 41.70, 41.70, 41.60, 41.70, 700
02/13/25, 39.50, 41.90, 39.50, 41.70, 364
02/11/25, 41.00, 41.00, 39.00, 39.20, 2375
02/10/25, 42.00, 42.50, 42.00, 42.00, 205
02/07/25, 42.10, 42.10, 42.10, 41.60, 8
02/06/25, 40.80, 43.00, 40.10, 41.60, 17759
02/05/25, 44.00, 44.90, 40.10, 40.90, 46759
02/03/25, 45.00, 45.00, 44.00, 44.20, 13877
01/31/25, 45.00, 45.00, 44.00, 44.10, 17088
01/30/25, 45.00, 45.00, 44.00, 45.00, 42902
01/29/25, 42.40, 45.10, 42.40, 43.70, 13254
01/28/25, 39.00, 45.50, 39.00, 41.50, 40492
01/27/25, 40.00, 42.00, 39.00, 39.10, 4185
01/24/25, 39.00, 39.80, 39.00, 39.50, 14779
01/23/25, 38.00, 39.00, 38.00, 38.10, 5506
01/22/25, 38.20, 39.50, 37.80, 38.00, 37324
01/21/25, 39.90, 39.90, 39.00, 38.40, 41
01/20/25, 39.90, 40.30, 37.30, 38.40, 31479
01/17/25, 37.10, 39.60, 37.00, 37.00, 582
01/16/25, 37.20, 41.90, 36.40, 39.90, 6757
01/15/25, 36.50, 37.80, 36.30, 37.10, 4059
01/10/25, 37.00, 37.40, 36.00, 36.50, 5208
01/09/25, 37.70, 37.70, 36.10, 37.60, 77
01/08/25, 36.90, 37.70, 36.90, 37.60, 466
01/07/25, 36.10, 36.90, 36.00, 36.90, 8693
01/06/25, 38.20, 38.20, 37.00, 37.10, 12599
01/03/25, 37.90, 40.90, 37.50, 38.00, 18244
01/02/25, 39.50, 39.50, 37.40, 38.60, 2717
12/31/24, 36.90, 40.00, 36.00, 39.70, 23893
12/30/24, 36.30, 36.60, 36.00, 36.40, 863
12/27/24, 36.80, 36.80, 35.60, 36.00, 11367
12/26/24, 37.40, 37.40, 35.80, 36.80, 1280
12/24/24, 37.00, 37.00, 35.80, 36.10, 4546
12/23/24, 37.80, 37.90, 36.80, 36.80, 5077
12/20/24, 36.00, 37.80, 36.00, 37.10, 2414
12/19/24, 36.60, 37.00, 35.60, 36.10, 8971
12/18/24, 37.00, 37.00, 34.60, 36.30, 29975
12/17/24, 37.00, 38.00, 35.50, 37.00, 6131
12/16/24, 36.50, 37.80, 36.10, 36.90, 49823
12/13/24, 35.90, 36.90, 35.50, 36.20, 18821
12/12/24, 35.00, 35.90, 34.70, 35.00, 30316
12/11/24, 35.50, 35.80, 34.40, 34.60, 17066
12/10/24, 34.50, 35.50, 34.50, 34.90, 11734
12/09/24, 32.50, 34.80, 32.50, 34.50, 16116
12/06/24, 33.00, 33.50, 32.70, 33.50, 19848
12/05/24, 32.30, 33.50, 32.10, 33.40, 2780
12/04/24, 33.30, 33.50, 32.00, 33.50, 26638
12/03/24, 31.30, 33.40, 31.10, 33.30, 15004
12/02/24, 31.40, 33.00, 31.40, 31.70, 7552
11/29/24, 30.80, 31.30, 30.80, 31.30, 12841
11/28/24, 31.10, 31.10, 30.00, 30.50, 828
11/27/24, 29.50, 30.50, 29.50, 30.50, 4182
11/26/24, 30.00, 31.20, 29.20, 31.20, 2469
11/25/24, 30.10, 30.10, 30.10, 30.10, 6484
11/22/24, 31.10, 31.10, 31.00, 31.00, 376
11/21/24, 30.20, 31.10, 30.10, 30.40, 150
11/20/24, 31.00, 31.00, 30.10, 30.10, 325
11/19/24, 30.50, 30.50, 30.10, 30.50, 9866
11/18/24, 31.00, 31.00, 30.30, 30.50, 30123
11/14/24, 30.40, 31.00, 30.40, 31.00, 1324
11/13/24, 31.20, 31.20, 31.20, 31.20, 3
11/12/24, 30.20, 31.20, 30.20, 31.20, 774
11/11/24, 31.00, 31.40, 30.00, 30.20, 15984
11/08/24, 30.70, 30.70, 30.60, 30.60, 5625
11/07/24, 30.80, 30.80, 30.70, 30.80, 8500
11/06/24, 31.40, 31.40, 30.90, 31.00, 7355
11/05/24, 31.00, 31.40, 30.90, 30.90, 1563
11/04/24, 31.40, 31.40, 30.90, 31.20, 10003
11/01/24, 31.50, 31.50, 31.00, 31.50, 12151
10/30/24, 33.20, 33.20, 31.90, 32.10, 24418
10/29/24, 29.70, 36.00, 29.70, 33.20, 48589
10/28/24, 29.00, 29.50, 29.00, 29.30, 6404
10/25/24, 29.00, 29.00, 29.00, 29.00, 400
10/24/24, 28.70, 28.70, 28.70, 28.70, 3969
10/23/24, 29.30, 29.30, 29.00, 29.30, 510
10/21/24, 29.50, 29.50, 28.70, 29.40, 104
10/18/24, 29.00, 29.00, 28.60, 28.70, 1890
10/16/24, 28.50, 29.50, 28.50, 28.70, 1902
10/15/24, 29.50, 29.50, 29.50, 28.50, 1
10/14/24, 29.00, 30.00, 28.50, 28.50, 4591
10/11/24, 29.40, 29.80, 29.40, 29.70, 601
10/09/24, 27.70, 29.20, 27.70, 27.80, 112
10/07/24, 27.60, 29.20, 27.50, 29.00, 66
10/04/24, 29.00, 29.00, 29.00, 29.00, 754
10/03/24, 29.40, 29.40, 28.00, 29.00, 1694
10/02/24, 29.10, 29.10, 28.50, 28.80, 1292
10/01/24, 30.00, 30.00, 29.70, 30.50, 99
09/30/24, 29.00, 31.00, 29.00, 30.50, 13331
09/27/24, 29.30, 30.00, 28.70, 28.90, 4725
09/26/24, 31.50, 31.50, 30.00, 30.30, 10492
09/25/24, 29.00, 31.60, 28.50, 30.90, 23078
09/24/24, 29.30, 29.30, 29.00, 29.00, 6932
09/23/24, 29.30, 29.30, 28.90, 28.90, 1665
09/20/24, 29.30, 29.30, 28.90, 28.90, 772
09/19/24, 29.40, 29.40, 29.00, 29.00, 284
09/18/24, 29.10, 29.40, 28.10, 29.00, 8689
09/13/24, 29.10, 29.50, 28.50, 28.50, 5719
09/12/24, 28.20, 28.20, 28.20, 28.20, 242
09/11/24, 29.20, 29.20, 27.50, 27.90, 1032
09/10/24, 29.20, 29.20, 29.10, 29.20, 120
09/09/24, 28.40, 28.50, 28.00, 28.00, 4860
09/06/24, 28.20, 28.40, 28.20, 28.20, 267
09/05/24, 28.20, 28.20, 28.00, 28.00, 40
09/04/24, 28.00, 28.00, 27.80, 28.00, 29
09/03/24, 27.90, 28.20, 27.50, 28.00, 3678
09/02/24, 28.00, 28.00, 27.90, 27.90, 222
08/30/24, 28.50, 28.50, 27.80, 28.20, 440
08/29/24, 27.90, 28.50, 27.90, 28.30, 200
08/28/24, 28.20, 28.90, 27.90, 28.00, 1222
08/27/24, 28.50, 28.50, 28.10, 28.20, 1442
08/26/24, 28.60, 28.60, 28.10, 28.10, 2777
08/23/24, 29.00, 29.00, 28.60, 28.60, 741
08/22/24, 28.80, 29.00, 28.60, 28.80, 2026
08/21/24, 29.00, 29.00, 28.70, 28.70, 80
08/20/24, 29.20, 29.30, 28.50, 28.70, 2200
08/16/24, 30.50, 30.50, 29.20, 29.30, 1342
08/15/24, 30.00, 30.00, 29.90, 30.00, 1746
08/14/24, 28.80, 30.00, 28.50, 29.10, 782
08/13/24, 27.90, 28.90, 27.90, 28.60, 6648
08/12/24, 27.90, 27.90, 27.00, 27.00, 2058
08/09/24, 26.60, 26.60, 26.60, 26.60, 4967
08/08/24, 27.90, 28.00, 27.90, 28.00, 5005
08/07/24, 26.60, 26.60, 26.60, 28.10, 1
08/06/24, 28.10, 28.10, 26.50, 28.10, 2708
08/05/24, 27.50, 27.50, 26.30, 27.50, 3709
08/02/24, 28.00, 28.00, 27.50, 27.50, 3
08/01/24, 28.20, 28.20, 28.20, 27.50, 1
07/31/24, 27.50, 28.20, 27.50, 27.50, 1681
07/30/24, 28.60, 28.60, 28.60, 28.80, 1
07/29/24, 28.80, 28.80, 28.80, 28.80, 2295
07/26/24, 27.40, 27.90, 27.40, 27.60, 1284
07/25/24, 28.00, 28.00, 28.00, 28.00, 15
07/24/24, 28.00, 28.00, 28.00, 28.00, 1001
07/23/24, 27.30, 28.00, 27.30, 28.00, 252
07/19/24, 28.80, 28.80, 28.80, 28.90, 2
07/18/24, 28.80, 28.90, 28.80, 28.90, 2
07/17/24, 28.90, 28.90, 28.90, 28.90, 1000
07/15/24, 27.90, 27.90, 27.00, 27.20, 11
07/12/24, 27.00, 27.20, 27.00, 27.20, 1796
07/11/24, 27.00, 27.20, 26.00, 26.20, 24
07/10/24, 27.60, 27.90, 26.00, 26.20, 5301
07/09/24, 27.60, 27.60, 27.00, 27.10, 2127
07/08/24, 28.70, 28.70, 28.70, 28.50, 35
07/05/24, 27.40, 28.50, 27.10, 28.50, 1171
07/02/24, 28.10, 29.00, 28.10, 28.10, 105
07/01/24, 28.10, 28.10, 28.10, 29.00, 10
06/28/24, 29.00, 29.00, 29.00, 29.00, 29
06/27/24, 28.40, 29.00, 28.40, 29.00, 15000
06/26/24, 28.60, 28.60, 28.60, 28.50, 10
06/25/24, 28.10, 28.10, 28.10, 28.50, 1
06/24/24, 29.70, 29.70, 28.50, 28.50, 324
06/20/24, 29.50, 29.50, 28.10, 28.10, 1783
06/19/24, 29.00, 29.00, 28.00, 29.00, 2038
06/18/24, 28.00, 28.00, 27.10, 27.20, 1400
06/13/24, 28.90, 28.90, 28.90, 28.10, 65
06/12/24, 28.10, 28.90, 28.10, 28.10, 4049
06/11/24, 28.10, 28.90, 28.10, 28.20, 5080
06/10/24, 29.00, 29.00, 27.90, 28.90, 1635
06/07/24, 27.80, 28.90, 27.80, 28.70, 158
06/06/24, 28.50, 28.50, 28.50, 28.20, 1
06/04/24, 28.00, 28.20, 28.00, 28.20, 720
06/03/24, 28.10, 28.10, 28.00, 28.10, 424
05/31/24, 28.00, 29.00, 28.00, 28.30, 135
05/30/24, 28.00, 28.00, 28.00, 29.00, 1
05/29/24, 29.00, 29.00, 29.00, 29.00, 1
05/28/24, 29.00, 29.00, 29.00, 29.00, 595
05/27/24, 29.00, 29.00, 29.00, 29.00, 170
05/22/24, 29.00, 29.00, 28.20, 28.00, 16
05/21/24, 28.00, 29.00, 28.00, 28.00, 33
05/20/24, 28.00, 29.20, 28.00, 28.00, 201
05/17/24, 28.10, 29.10, 28.10, 28.10, 20
05/16/24, 28.10, 28.10, 28.10, 28.10, 2432
