Date, Open, High, Low, Close, Volume
04/24/25, 20.00, 20.00, 19.90, 19.90, 230
04/23/25, 19.90, 20.00, 19.70, 19.90, 248
04/22/25, 20.50, 20.50, 19.70, 20.50, 20
04/21/25, 21.00, 21.00, 20.50, 20.50, 309
04/17/25, 19.70, 19.70, 19.70, 19.70, 150
04/16/25, 19.20, 21.00, 19.20, 19.40, 136
04/11/25, 20.90, 20.90, 20.80, 21.00, 59
04/10/25, 21.00, 21.00, 20.00, 21.00, 5076
04/09/25, 20.00, 20.00, 20.00, 20.00, 87
04/08/25, 20.00, 20.00, 19.90, 20.00, 132
04/07/25, 21.00, 21.00, 19.10, 19.10, 7910
04/04/25, 20.10, 21.00, 20.10, 21.00, 9140
04/03/25, 20.00, 20.60, 20.00, 20.50, 2907
04/02/25, 20.10, 20.90, 19.60, 20.80, 21406
04/01/25, 20.00, 20.00, 20.00, 20.00, 10
03/28/25, 20.90, 20.90, 20.00, 20.00, 101
03/27/25, 19.60, 19.60, 19.60, 20.00, 3
03/26/25, 19.90, 21.00, 19.60, 20.00, 181
03/25/25, 19.80, 19.80, 19.30, 19.30, 4705
03/24/25, 20.30, 20.30, 20.30, 19.10, 35
03/21/25, 19.20, 20.20, 19.00, 19.10, 5450
03/20/25, 19.30, 19.30, 19.20, 19.20, 2225
03/19/25, 19.00, 19.90, 19.00, 19.30, 4712
03/18/25, 20.70, 20.70, 19.50, 19.90, 343
03/17/25, 19.50, 19.50, 19.00, 19.00, 2076
03/14/25, 21.00, 21.00, 19.20, 19.80, 390
03/12/25, 20.90, 21.00, 20.90, 20.90, 6425
03/11/25, 19.10, 19.10, 19.00, 19.10, 1001
03/10/25, 19.50, 19.80, 19.20, 19.20, 13771
03/07/25, 19.10, 19.50, 19.10, 19.50, 410
03/06/25, 20.80, 20.80, 18.30, 20.80, 251
03/05/25, 21.00, 21.00, 21.00, 21.00, 970
03/04/25, 20.00, 20.00, 18.00, 19.60, 8370
03/03/25, 21.60, 21.60, 20.30, 20.30, 50504
02/27/25, 21.00, 21.00, 20.40, 20.40, 1501
02/24/25, 20.60, 20.60, 20.30, 20.60, 1256
02/21/25, 20.60, 20.60, 20.60, 20.60, 250
02/20/25, 22.00, 22.00, 21.90, 21.90, 613
02/19/25, 21.50, 21.50, 21.50, 21.50, 2062
02/18/25, 21.60, 22.00, 21.60, 21.60, 4137
02/17/25, 22.40, 22.40, 21.60, 21.60, 3501
02/14/25, 21.50, 22.00, 21.50, 21.50, 5190
02/13/25, 22.00, 22.00, 21.50, 21.50, 2168
02/11/25, 21.20, 21.20, 21.10, 21.20, 6068
02/10/25, 21.30, 21.40, 21.30, 21.40, 1283
02/07/25, 21.90, 21.90, 21.00, 21.00, 554
02/06/25, 22.00, 22.00, 21.20, 21.90, 1032
02/05/25, 22.00, 22.20, 22.00, 22.00, 7410
02/03/25, 22.50, 22.50, 22.20, 22.50, 23
01/31/25, 22.50, 22.50, 22.40, 22.50, 16825
01/30/25, 22.40, 22.80, 22.40, 22.80, 6303
01/29/25, 22.50, 22.70, 22.40, 22.40, 9756
01/28/25, 22.60, 22.60, 22.00, 22.00, 14160
01/27/25, 22.00, 22.50, 22.00, 22.50, 12335
01/24/25, 22.50, 22.50, 22.10, 22.10, 13372
01/22/25, 22.60, 22.60, 22.50, 22.60, 2273
01/21/25, 22.00, 22.70, 22.00, 22.00, 593
01/20/25, 22.50, 22.70, 22.50, 22.70, 18833
01/17/25, 22.00, 22.50, 22.00, 22.50, 1600
01/16/25, 22.50, 22.50, 22.00, 22.00, 4348
01/15/25, 22.30, 22.30, 22.00, 22.00, 3805
01/10/25, 22.00, 22.90, 22.00, 22.10, 5006
01/09/25, 22.80, 22.80, 22.10, 22.80, 2416
01/08/25, 23.00, 23.00, 21.90, 22.00, 492
01/07/25, 22.00, 22.90, 21.50, 22.40, 10389
01/06/25, 22.60, 23.40, 22.10, 22.20, 11068
01/03/25, 23.50, 24.50, 22.70, 23.40, 91546
01/02/25, 21.40, 23.00, 21.40, 22.80, 45707
12/31/24, 21.60, 21.70, 21.50, 21.70, 5706
12/30/24, 22.00, 22.30, 21.50, 21.50, 31712
12/27/24, 21.50, 22.50, 21.50, 21.60, 40390
12/26/24, 21.90, 22.70, 21.30, 22.40, 9098
12/24/24, 20.80, 22.00, 20.80, 21.90, 16472
12/23/24, 21.00, 21.80, 20.70, 21.30, 56890
12/20/24, 20.60, 21.00, 20.60, 20.90, 3228
12/19/24, 20.50, 21.50, 20.50, 20.50, 5424
12/18/24, 20.70, 21.60, 20.50, 20.60, 1167
12/17/24, 21.70, 21.70, 20.70, 20.80, 12624
12/16/24, 21.80, 21.80, 20.50, 21.20, 14450
12/13/24, 21.50, 21.50, 21.50, 21.50, 472
12/12/24, 20.20, 23.50, 20.20, 22.00, 49811
12/11/24, 21.10, 21.10, 20.50, 21.00, 3923
12/10/24, 21.50, 21.60, 20.00, 20.90, 34528
12/09/24, 22.10, 22.10, 20.50, 20.70, 17340
12/06/24, 20.40, 22.40, 20.00, 22.30, 63717
12/05/24, 18.00, 21.00, 18.00, 20.00, 492613
12/04/24, 18.20, 18.50, 18.20, 18.40, 79268
12/03/24, 18.00, 18.40, 17.60, 18.00, 28015
12/02/24, 17.90, 18.60, 17.90, 18.10, 122046
11/29/24, 17.50, 18.40, 17.40, 18.10, 188534
11/28/24, 16.10, 17.60, 16.10, 17.40, 54443
11/27/24, 16.50, 16.90, 16.00, 16.30, 3266
11/26/24, 17.00, 17.00, 16.50, 17.20, 61
11/25/24, 17.50, 17.50, 16.50, 17.20, 51681
11/22/24, 17.40, 17.60, 16.30, 17.10, 13331
11/21/24, 17.50, 17.70, 16.00, 17.30, 44771
11/20/24, 15.40, 17.50, 15.40, 17.20, 308933
11/19/24, 14.50, 15.40, 14.30, 15.20, 194033
11/18/24, 14.50, 14.50, 14.20, 14.20, 6060
