Date, Open, High, Low, Close, Volume
04/23/25, 55.50, 58.60, 55.00, 58.30, 2433
04/22/25, 58.00, 58.00, 58.00, 58.70, 1
04/21/25, 55.60, 58.80, 55.10, 58.70, 5501
04/17/25, 58.80, 58.80, 58.80, 58.80, 1
04/16/25, 58.70, 58.80, 58.70, 58.80, 250
04/11/25, 52.10, 52.10, 52.10, 52.10, 115
04/08/25, 58.80, 58.80, 58.80, 58.80, 6000
04/07/25, 58.70, 58.90, 58.70, 58.80, 1000
04/04/25, 57.90, 58.80, 55.60, 58.60, 328
04/02/25, 58.00, 58.00, 58.00, 58.00, 1012
04/01/25, 55.30, 58.00, 55.10, 58.00, 650
03/28/25, 58.40, 58.50, 58.40, 58.50, 1010
03/27/25, 58.50, 58.50, 58.50, 57.90, 22
03/26/25, 55.30, 58.80, 55.00, 57.90, 11194
03/25/25, 55.00, 59.00, 55.00, 58.90, 3000
03/21/25, 57.90, 57.90, 54.30, 57.80, 520
03/20/25, 55.00, 59.40, 55.00, 55.10, 12502
03/19/25, 58.90, 58.90, 55.00, 55.40, 2391
03/18/25, 57.50, 59.80, 55.60, 59.60, 1551
03/17/25, 55.40, 56.10, 55.40, 56.10, 150
03/14/25, 55.50, 60.00, 55.50, 59.90, 301
03/12/25, 59.30, 59.50, 59.30, 59.50, 2232
03/11/25, 56.20, 56.20, 56.20, 59.40, 60
03/10/25, 59.40, 59.40, 59.40, 59.40, 226
03/07/25, 56.40, 56.40, 56.40, 58.50, 1
03/06/25, 58.90, 58.90, 56.30, 58.50, 476
03/05/25, 57.70, 58.00, 57.00, 57.90, 670
03/04/25, 57.80, 57.80, 56.00, 57.70, 2193
03/03/25, 56.10, 57.80, 56.00, 56.10, 636
02/28/25, 57.00, 57.00, 56.00, 56.70, 5198
02/27/25, 56.00, 57.00, 56.00, 57.00, 550
02/25/25, 57.10, 57.10, 56.00, 56.10, 3756
02/24/25, 57.00, 57.10, 56.00, 56.70, 1004
02/21/25, 57.60, 57.60, 57.00, 57.10, 1572
02/20/25, 56.00, 62.20, 56.00, 59.80, 12224
02/19/25, 55.40, 61.80, 55.40, 60.90, 1041
02/18/25, 60.00, 60.00, 59.20, 60.00, 3024
02/17/25, 59.10, 60.00, 59.00, 60.00, 1095
02/14/25, 60.00, 62.70, 59.90, 60.00, 2113
02/13/25, 62.70, 62.70, 62.70, 62.70, 516
02/11/25, 59.50, 59.50, 59.00, 59.20, 927
02/07/25, 62.90, 62.90, 62.90, 63.00, 20
02/05/25, 60.30, 63.00, 60.00, 63.00, 1917
02/03/25, 63.30, 63.40, 60.70, 63.10, 3705
01/31/25, 60.00, 63.90, 60.00, 63.50, 1206
01/30/25, 62.50, 64.00, 60.20, 63.10, 19579
01/29/25, 62.00, 64.10, 60.30, 60.90, 25853
01/28/25, 59.50, 62.60, 59.50, 62.00, 8770
01/24/25, 59.50, 61.90, 59.50, 61.90, 255
01/23/25, 60.50, 61.00, 60.00, 60.50, 8914
01/22/25, 60.70, 62.00, 60.70, 60.80, 751
01/21/25, 62.50, 62.50, 60.30, 60.50, 834
01/20/25, 60.20, 63.00, 60.20, 62.40, 4376
01/17/25, 59.70, 63.00, 59.70, 62.10, 3799
01/16/25, 59.50, 62.00, 59.50, 61.50, 822
01/15/25, 62.00, 62.00, 62.00, 62.20, 17
01/10/25, 60.10, 60.10, 60.10, 62.20, 2
01/09/25, 60.40, 62.50, 59.00, 62.20, 10800
01/08/25, 59.30, 60.00, 59.20, 59.20, 3246
01/07/25, 59.30, 59.30, 59.30, 62.30, 1
01/06/25, 58.70, 62.40, 58.70, 62.30, 2910
01/03/25, 62.90, 62.90, 60.00, 62.20, 1837
01/02/25, 62.00, 63.00, 60.40, 62.90, 1191
12/31/24, 61.40, 62.50, 60.30, 61.90, 3430
12/30/24, 60.50, 63.00, 60.50, 61.50, 3729
12/27/24, 63.00, 63.80, 63.00, 63.70, 26
12/26/24, 61.00, 63.70, 61.00, 63.70, 4305
12/23/24, 62.00, 64.80, 61.50, 62.90, 13127
12/20/24, 60.80, 64.50, 60.80, 64.50, 1532
12/19/24, 60.60, 64.40, 60.60, 64.30, 2462
12/18/24, 64.90, 64.90, 64.90, 64.90, 500
12/17/24, 60.50, 65.00, 60.00, 63.90, 5657
