Date, Open, High, Low, Close, Volume
04/24/25, 7.10, 7.10, 7.00, 7.00, 560630
04/23/25, 7.10, 7.20, 7.00, 7.10, 837891
04/22/25, 7.10, 7.20, 7.00, 7.00, 358141
04/21/25, 7.10, 7.20, 7.00, 7.10, 1020022
04/17/25, 6.90, 7.10, 6.90, 7.10, 1131439
04/16/25, 6.90, 7.00, 6.90, 6.90, 147438
04/11/25, 6.70, 6.90, 6.50, 6.90, 413167
04/10/25, 6.70, 6.80, 6.50, 6.70, 546065
04/09/25, 6.60, 6.70, 6.40, 6.60, 117130
04/08/25, 6.30, 6.80, 6.30, 6.40, 417554
04/07/25, 6.70, 6.70, 6.40, 6.40, 190320
04/04/25, 6.70, 6.70, 6.50, 6.50, 779684
04/03/25, 6.70, 6.80, 6.60, 6.70, 873230
04/02/25, 6.80, 6.80, 6.60, 6.70, 356735
04/01/25, 6.80, 6.80, 6.70, 6.80, 4508
03/28/25, 6.90, 6.90, 6.70, 6.80, 5234
03/27/25, 6.90, 6.90, 6.60, 6.70, 915173
03/26/25, 6.90, 6.90, 6.70, 6.70, 536354
03/25/25, 6.80, 6.80, 6.70, 6.80, 12374
03/24/25, 6.90, 6.90, 6.70, 6.70, 482226
03/21/25, 6.80, 6.90, 6.70, 6.80, 84449
03/20/25, 6.60, 6.80, 6.50, 6.70, 1364762
03/19/25, 6.60, 6.70, 6.50, 6.50, 595909
03/18/25, 6.60, 6.60, 6.50, 6.60, 206892
03/17/25, 6.80, 6.80, 6.50, 6.60, 1044812
03/14/25, 6.70, 6.90, 6.60, 6.60, 2071259
03/12/25, 6.70, 6.80, 6.60, 6.70, 223736
03/11/25, 6.70, 6.90, 6.60, 6.70, 145770
03/10/25, 6.90, 6.90, 6.70, 6.80, 1372692
03/07/25, 6.70, 6.90, 6.70, 6.90, 138305
03/06/25, 7.00, 7.00, 6.60, 6.60, 2367589
03/05/25, 6.70, 6.90, 6.60, 6.90, 509138
03/04/25, 6.70, 6.80, 6.40, 6.60, 329558
03/03/25, 6.80, 6.90, 6.60, 6.60, 193598
02/28/25, 7.00, 7.00, 6.80, 6.80, 31160
02/27/25, 6.60, 7.00, 6.60, 6.90, 6035222
02/25/25, 6.70, 6.90, 6.60, 6.60, 622918
02/24/25, 6.80, 7.00, 6.70, 6.70, 2201928
02/21/25, 6.90, 7.00, 6.80, 7.00, 278753
02/20/25, 7.00, 7.00, 6.80, 6.80, 1785004
02/19/25, 7.00, 7.10, 6.80, 7.00, 386252
02/18/25, 7.10, 7.30, 6.80, 7.00, 2250453
02/17/25, 7.20, 7.30, 7.10, 7.20, 2884258
02/14/25, 7.00, 7.20, 7.00, 7.20, 534955
02/13/25, 7.00, 7.10, 6.90, 7.00, 1450227
02/11/25, 7.00, 7.00, 6.70, 6.90, 827427
02/10/25, 7.00, 7.00, 6.50, 6.90, 1264888
02/07/25, 7.00, 7.00, 6.90, 6.90, 654581
02/06/25, 6.70, 7.10, 6.70, 6.90, 1773525
02/05/25, 6.90, 7.00, 6.60, 6.70, 1124201
02/03/25, 6.80, 7.00, 6.70, 6.80, 792709
01/31/25, 7.00, 7.00, 6.70, 6.80, 757068
01/30/25, 7.00, 7.00, 6.70, 6.90, 384114
01/29/25, 6.90, 7.00, 6.70, 6.90, 1373290
01/28/25, 6.90, 7.00, 6.80, 6.90, 639272
01/27/25, 6.80, 7.00, 6.80, 6.80, 539796
01/24/25, 6.90, 7.10, 6.80, 6.80, 2387250
01/23/25, 6.90, 7.20, 6.90, 6.90, 2347877
01/22/25, 7.20, 7.20, 6.90, 7.00, 1008147
01/21/25, 7.10, 7.30, 7.00, 7.10, 1349826
01/20/25, 7.00, 7.30, 7.00, 7.10, 952174
01/17/25, 7.00, 7.00, 6.90, 6.90, 1622153
01/16/25, 6.90, 7.00, 6.80, 6.90, 4376035
01/15/25, 7.00, 7.00, 6.70, 6.80, 214030
01/10/25, 6.70, 6.90, 6.50, 6.70, 1355499
01/09/25, 7.00, 7.00, 6.70, 6.70, 276404
01/08/25, 6.90, 7.00, 6.80, 6.80, 878347
01/07/25, 6.90, 7.00, 6.70, 6.80, 1539022
01/06/25, 6.90, 7.30, 6.80, 6.90, 2412345
01/03/25, 7.40, 7.50, 6.90, 6.90, 4536911
01/02/25, 7.00, 7.40, 6.90, 7.30, 4065039
12/31/24, 7.00, 7.10, 6.80, 6.90, 2468628
12/30/24, 7.20, 7.30, 7.00, 7.00, 1154196
12/27/24, 7.20, 7.40, 6.80, 7.10, 1259543
12/26/24, 7.50, 7.60, 7.00, 7.10, 4317512
12/24/24, 6.50, 7.50, 6.50, 7.40, 12200700
12/23/24, 6.50, 6.70, 6.40, 6.50, 4964921
12/20/24, 6.60, 6.60, 6.30, 6.50, 345524
12/19/24, 6.40, 6.60, 6.40, 6.50, 4846822
12/18/24, 6.30, 6.50, 6.20, 6.30, 846178
12/17/24, 6.30, 6.50, 6.30, 6.40, 271596
12/16/24, 6.50, 6.60, 6.10, 6.40, 1706515
12/13/24, 6.50, 6.60, 6.10, 6.30, 628107
12/12/24, 6.40, 6.60, 6.20, 6.30, 707387
12/11/24, 6.20, 6.60, 6.10, 6.40, 3310650
12/10/24, 6.30, 6.40, 6.10, 6.20, 1306392
12/09/24, 6.00, 6.30, 5.90, 6.20, 3239905
12/06/24, 6.00, 6.10, 5.90, 6.00, 1765404
12/05/24, 6.10, 6.20, 5.90, 6.00, 352250
12/04/24, 6.20, 6.20, 6.00, 6.10, 1247782
12/03/24, 6.20, 6.30, 6.10, 6.10, 1188056
12/02/24, 6.30, 6.30, 6.00, 6.20, 3495436
11/29/24, 6.10, 6.20, 5.90, 6.10, 2900620
11/28/24, 5.80, 6.10, 5.80, 6.00, 12590420
11/27/24, 5.70, 5.80, 5.50, 5.80, 4563308
11/26/24, 5.30, 5.70, 5.30, 5.60, 3158041
11/25/24, 5.50, 5.60, 5.40, 5.40, 2010598
11/22/24, 5.30, 5.60, 5.30, 5.50, 6102886
11/21/24, 5.30, 5.40, 5.10, 5.30, 8986910
11/20/24, 5.50, 5.60, 5.30, 5.40, 8919590
11/19/24, 5.20, 5.40, 5.00, 5.40, 13696850
11/18/24, 4.80, 5.20, 4.80, 5.10, 5982726
11/14/24, 4.80, 4.90, 4.60, 4.80, 2600789
11/13/24, 4.40, 4.80, 4.40, 4.70, 3022230
11/12/24, 4.50, 4.60, 4.40, 4.50, 2401843
11/11/24, 4.50, 4.50, 4.30, 4.40, 701491
11/08/24, 4.30, 4.40, 4.30, 4.40, 399919
11/07/24, 4.30, 4.40, 4.30, 4.30, 120551
11/06/24, 4.40, 4.40, 4.30, 4.40, 228244
11/05/24, 4.40, 4.50, 4.40, 4.40, 347576
11/04/24, 4.40, 4.50, 4.30, 4.40, 290359
11/01/24, 4.30, 4.50, 4.30, 4.40, 1704231
10/30/24, 4.30, 4.40, 4.20, 4.30, 2303987
10/29/24, 4.30, 4.40, 4.30, 4.30, 761779
10/28/24, 4.30, 4.40, 4.20, 4.30, 1932225
10/25/24, 4.40, 4.40, 4.30, 4.30, 378207
10/24/24, 4.40, 4.40, 4.20, 4.30, 5597999
10/23/24, 4.40, 4.50, 4.30, 4.40, 751387
10/22/24, 4.40, 4.50, 4.40, 4.40, 491251
10/21/24, 4.40, 4.60, 4.40, 4.40, 504935
10/18/24, 4.60, 4.70, 4.50, 4.50, 344416
10/16/24, 4.60, 4.70, 4.50, 4.60, 871761
10/15/24, 4.50, 4.70, 4.40, 4.40, 3144761
10/14/24, 4.40, 4.50, 4.40, 4.40, 306972
10/11/24, 4.20, 4.50, 4.20, 4.50, 618238
10/10/24, 4.30, 4.40, 4.30, 4.30, 135986
10/09/24, 4.30, 4.40, 4.30, 4.30, 442609
10/08/24, 4.40, 4.50, 4.40, 4.40, 43271
10/07/24, 4.40, 4.50, 4.30, 4.40, 1815342
10/04/24, 4.40, 4.40, 4.30, 4.30, 639528
10/03/24, 4.50, 4.50, 4.30, 4.30, 1145588
10/02/24, 4.30, 4.50, 4.30, 4.40, 675427
10/01/24, 4.40, 4.60, 4.30, 4.50, 2597373
09/30/24, 4.50, 4.70, 4.40, 4.40, 7122049
09/27/24, 4.10, 4.50, 4.00, 4.50, 11046470
09/26/24, 4.20, 4.20, 3.90, 4.00, 1777283
09/25/24, 4.10, 4.20, 4.00, 4.10, 4751422
09/24/24, 3.80, 4.10, 3.70, 4.00, 5706826
09/23/24, 3.70, 3.80, 3.50, 3.70, 478214
09/20/24, 3.60, 3.70, 3.60, 3.70, 283745
09/19/24, 3.60, 3.70, 3.60, 3.60, 543335
09/18/24, 3.50, 3.60, 3.50, 3.60, 95303
09/13/24, 3.40, 3.50, 3.40, 3.50, 53143
09/12/24, 3.50, 3.50, 3.50, 3.50, 4895
09/11/24, 3.50, 3.50, 3.40, 3.50, 48135
09/10/24, 3.60, 3.60, 3.40, 3.50, 20679
09/09/24, 3.50, 3.70, 3.50, 3.60, 48680
09/06/24, 3.60, 3.60, 3.50, 3.50, 59709
09/05/24, 3.70, 3.70, 3.40, 3.40, 530432
09/04/24, 3.60, 3.60, 3.50, 3.60, 251968
09/03/24, 3.60, 3.60, 3.20, 3.40, 1334539
09/02/24, 3.60, 3.70, 3.30, 3.40, 963629
