Date, Open, High, Low, Close, Volume
04/24/25, 126.50, 127.50, 126.50, 127.50, 726
04/23/25, 128.50, 128.50, 126.00, 126.50, 4908
04/22/25, 128.00, 128.50, 126.00, 127.50, 53285
04/21/25, 128.25, 128.50, 126.25, 127.50, 13916
04/17/25, 129.00, 129.00, 126.00, 128.00, 21894
04/16/25, 129.00, 129.00, 128.50, 129.00, 11733
04/11/25, 129.00, 129.00, 126.50, 128.25, 1017
04/10/25, 125.00, 140.00, 125.00, 129.00, 419792
04/09/25, 123.25, 125.75, 123.00, 123.50, 34937
04/08/25, 120.25, 125.75, 120.25, 124.00, 61770
04/07/25, 125.25, 125.25, 117.50, 120.25, 193429
04/04/25, 128.00, 128.00, 125.25, 127.50, 60774
04/03/25, 132.00, 132.00, 127.00, 128.25, 29990
04/02/25, 134.00, 135.00, 132.50, 132.50, 412727
04/01/25, 129.50, 132.50, 129.00, 132.25, 48941
03/28/25, 129.75, 129.75, 125.00, 127.00, 12631
03/27/25, 129.75, 129.75, 127.00, 129.25, 5147
03/26/25, 129.75, 130.00, 126.00, 128.75, 4928
03/25/25, 128.00, 128.00, 127.00, 128.00, 650
03/24/25, 130.00, 130.00, 127.00, 127.00, 411417
03/21/25, 125.00, 130.00, 125.00, 128.25, 14172
03/20/25, 125.00, 127.00, 125.00, 127.00, 16504
03/19/25, 123.00, 126.00, 123.00, 124.75, 12191
03/18/25, 125.00, 125.00, 123.00, 123.00, 75666
03/17/25, 129.50, 129.50, 125.00, 125.00, 33177
03/14/25, 129.00, 130.00, 129.00, 129.25, 1048
03/12/25, 128.00, 129.00, 127.00, 128.50, 142510
03/11/25, 129.25, 129.25, 127.00, 128.00, 619082
03/10/25, 130.75, 130.75, 128.00, 129.25, 107279
03/07/25, 132.00, 132.00, 128.00, 130.50, 582212
03/06/25, 130.00, 131.50, 128.00, 128.00, 7691
03/05/25, 128.00, 131.25, 127.75, 130.00, 35578
03/04/25, 129.00, 129.00, 127.00, 128.00, 425350
03/03/25, 134.75, 134.75, 129.00, 129.00, 125597
02/28/25, 132.75, 134.00, 132.00, 133.00, 323717
02/27/25, 134.75, 135.00, 131.50, 133.25, 51646
02/25/25, 140.00, 140.00, 135.00, 135.00, 466483
02/24/25, 140.00, 140.00, 138.00, 138.50, 292902
02/21/25, 139.00, 140.00, 139.00, 139.50, 224247
02/20/25, 140.00, 141.00, 135.25, 137.50, 118959
02/19/25, 141.75, 142.00, 139.50, 140.00, 240888
02/18/25, 140.00, 143.00, 138.00, 140.25, 887530
02/17/25, 134.50, 140.00, 129.00, 135.75, 670698
02/14/25, 127.75, 134.25, 127.25, 131.75, 1367215
02/13/25, 126.25, 127.00, 126.25, 127.00, 102827
02/11/25, 130.00, 130.00, 125.25, 127.00, 408358
02/10/25, 130.25, 131.00, 129.00, 129.50, 876835
02/07/25, 126.00, 130.25, 125.00, 130.00, 1128214
02/06/25, 124.00, 126.75, 123.00, 125.00, 1154854
02/05/25, 127.50, 127.50, 124.00, 124.50, 430199
02/03/25, 130.50, 133.75, 126.25, 130.00, 73686
