Date, Open, High, Low, Close, Volume
04/24/25, 184.00, 184.00, 184.00, 180.00, 1
04/23/25, 172.25, 172.25, 172.25, 180.00, 33
04/21/25, 176.00, 185.00, 176.00, 180.00, 116
04/17/25, 172.00, 172.00, 172.00, 192.50, 35
04/10/25, 196.00, 206.00, 190.00, 192.50, 117
04/09/25, 203.00, 208.00, 190.00, 205.25, 819
04/08/25, 197.75, 210.00, 197.75, 206.75, 404
04/04/25, 184.00, 184.00, 184.00, 199.50, 48
04/03/25, 180.75, 200.00, 180.75, 199.50, 445
04/02/25, 200.00, 200.00, 184.75, 196.25, 318
04/01/25, 184.50, 200.00, 184.50, 187.50, 178
03/27/25, 180.00, 182.50, 170.00, 181.75, 108
03/25/25, 179.00, 179.00, 179.00, 170.00, 8
03/24/25, 178.50, 179.00, 165.00, 170.00, 16
03/20/25, 184.75, 184.75, 169.50, 170.00, 202
03/18/25, 159.00, 165.00, 159.00, 159.50, 36
03/17/25, 161.00, 161.00, 153.00, 159.50, 100
03/14/25, 167.00, 167.00, 167.00, 165.50, 2
03/12/25, 163.50, 175.00, 163.50, 165.50, 120
03/11/25, 178.75, 178.75, 176.00, 175.25, 7
03/10/25, 170.00, 180.00, 170.00, 175.25, 60
03/06/25, 184.50, 184.50, 184.50, 175.25, 1
03/05/25, 209.00, 209.00, 160.00, 175.25, 2093
02/25/25, 200.00, 200.00, 200.00, 209.75, 13
02/24/25, 200.00, 200.00, 200.00, 209.75, 1
02/21/25, 200.00, 200.00, 200.00, 209.75, 2
02/20/25, 209.75, 226.50, 205.50, 209.75, 28
02/19/25, 182.50, 227.00, 182.50, 209.75, 1240
02/18/25, 184.50, 184.50, 180.00, 182.50, 279
02/17/25, 198.00, 198.00, 180.00, 183.00, 416
02/14/25, 182.00, 190.00, 182.00, 184.50, 329
02/11/25, 190.00, 190.00, 190.00, 199.00, 10
02/10/25, 190.50, 191.00, 190.50, 199.00, 87
02/06/25, 199.50, 199.50, 199.00, 199.00, 138
02/05/25, 202.50, 202.50, 199.00, 199.00, 122
01/31/25, 199.00, 199.00, 190.00, 190.25, 9
01/30/25, 199.50, 199.50, 199.50, 190.25, 1
01/28/25, 192.00, 192.00, 191.50, 190.25, 11
01/27/25, 199.75, 199.75, 190.25, 190.25, 104
01/24/25, 191.00, 200.00, 190.25, 190.25, 5
01/23/25, 191.00, 191.00, 190.00, 190.25, 136
01/22/25, 193.50, 193.50, 193.50, 192.00, 10
01/21/25, 189.00, 207.00, 189.00, 192.00, 818
01/20/25, 204.00, 204.00, 204.00, 204.00, 103
01/17/25, 193.00, 206.50, 193.00, 200.25, 78
01/16/25, 209.00, 209.00, 207.00, 200.25, 15
01/15/25, 209.00, 209.00, 209.00, 200.25, 4
01/10/25, 207.00, 209.00, 207.00, 200.25, 26
01/09/25, 210.00, 210.25, 209.00, 200.25, 63
01/08/25, 200.25, 200.25, 200.25, 200.25, 101
01/07/25, 200.75, 207.50, 200.25, 200.75, 170
01/06/25, 200.00, 200.00, 200.00, 200.00, 446
01/03/25, 198.75, 199.00, 198.75, 199.00, 328
01/02/25, 212.00, 212.00, 201.00, 203.25, 44
12/31/24, 204.00, 212.50, 197.00, 203.25, 439
12/30/24, 192.50, 235.00, 192.50, 204.00, 593
12/27/24, 200.00, 206.50, 192.50, 201.00, 250
