Date, Open, High, Low, Close, Volume
04/24/25, 6.10, 6.10, 5.90, 5.90, 19780
04/23/25, 6.10, 6.20, 5.90, 6.00, 59058
04/22/25, 6.00, 6.10, 6.00, 6.10, 10642
04/21/25, 6.00, 6.20, 5.70, 6.10, 105048
04/17/25, 5.90, 6.10, 5.80, 5.90, 106155
04/16/25, 6.00, 6.10, 6.00, 6.00, 3361
04/11/25, 6.10, 6.10, 5.60, 5.90, 14855
04/10/25, 5.60, 6.20, 5.60, 5.90, 80556
04/09/25, 5.60, 5.60, 5.50, 5.50, 7472
04/08/25, 5.60, 5.60, 5.50, 5.60, 36470
04/07/25, 5.60, 5.60, 5.40, 5.50, 90743
04/04/25, 5.90, 5.90, 5.60, 5.60, 100693
04/03/25, 6.00, 6.00, 5.60, 5.80, 178795
04/02/25, 6.40, 6.40, 5.90, 6.20, 4389
04/01/25, 5.80, 6.40, 5.70, 6.10, 185217
03/28/25, 5.80, 5.90, 5.60, 5.80, 10577
03/27/25, 5.70, 5.80, 5.60, 5.60, 24862
03/26/25, 5.90, 5.90, 5.60, 5.70, 12791
03/25/25, 5.90, 6.00, 5.70, 5.90, 11861
03/24/25, 5.70, 5.90, 5.70, 5.70, 127672
03/21/25, 5.70, 5.90, 5.60, 5.70, 26291
03/20/25, 5.80, 5.90, 5.70, 5.80, 56944
03/19/25, 5.70, 5.90, 5.70, 5.70, 91653
03/18/25, 5.70, 5.90, 5.70, 5.70, 52206
03/17/25, 5.80, 5.90, 5.70, 5.70, 17675
03/14/25, 5.90, 5.90, 5.90, 5.90, 10104
03/12/25, 5.70, 5.90, 5.70, 5.90, 17402
03/11/25, 5.70, 6.00, 5.70, 5.70, 19199
03/10/25, 5.90, 6.00, 5.80, 5.80, 1402
03/07/25, 5.90, 6.00, 5.80, 6.00, 5567
03/06/25, 5.90, 5.90, 5.80, 5.90, 84095
03/05/25, 6.00, 6.00, 5.90, 5.90, 89604
03/04/25, 6.00, 6.10, 5.70, 5.80, 302110
03/03/25, 6.20, 6.20, 6.00, 6.00, 31881
02/28/25, 6.20, 6.30, 6.10, 6.20, 17517
02/27/25, 6.30, 6.30, 6.20, 6.20, 29634
02/25/25, 6.10, 6.40, 5.90, 6.30, 116067
02/24/25, 6.30, 6.40, 6.00, 6.30, 26154
02/21/25, 6.30, 6.60, 6.30, 6.60, 13287
02/20/25, 6.40, 6.50, 6.20, 6.30, 17657
02/19/25, 6.80, 6.80, 6.40, 6.40, 51578
02/18/25, 6.70, 6.90, 6.50, 6.60, 216729
02/17/25, 6.60, 6.60, 6.40, 6.60, 89900
02/14/25, 6.60, 6.70, 6.50, 6.50, 37460
02/13/25, 6.70, 6.70, 6.50, 6.60, 9577
02/11/25, 6.50, 6.50, 6.30, 6.40, 20407
02/10/25, 6.70, 6.70, 6.50, 6.50, 57989
02/07/25, 6.50, 6.80, 6.50, 6.60, 15915
02/06/25, 6.60, 6.80, 6.50, 6.60, 180515
02/05/25, 6.70, 6.80, 6.60, 6.70, 1612657
02/03/25, 6.80, 6.90, 6.70, 6.80, 91910
01/31/25, 6.80, 6.90, 6.70, 6.80, 70140
01/30/25, 6.90, 6.90, 6.80, 6.80, 182004
01/29/25, 7.20, 7.20, 6.90, 7.00, 407290
01/28/25, 7.10, 7.30, 7.00, 7.00, 387059
01/27/25, 7.20, 7.30, 7.00, 7.10, 236787
01/24/25, 7.50, 7.50, 7.10, 7.20, 317696
01/23/25, 7.20, 7.50, 7.10, 7.40, 2995806
