Date, Open, High, Low, Close, Volume
04/24/25, 3.80, 3.80, 3.70, 3.70, 7305
04/23/25, 3.90, 3.90, 3.80, 3.80, 14355
04/22/25, 3.80, 4.00, 3.80, 3.80, 11842
04/21/25, 3.90, 4.20, 3.80, 4.00, 169594
04/17/25, 3.70, 4.20, 3.70, 4.00, 253987
04/16/25, 3.90, 4.00, 3.70, 3.70, 176739
04/11/25, 3.70, 3.80, 3.50, 3.70, 949876
04/10/25, 3.30, 3.70, 3.30, 3.60, 143810
04/09/25, 3.60, 3.60, 3.40, 3.60, 75875
04/08/25, 3.40, 3.60, 3.20, 3.60, 71296
04/07/25, 3.20, 3.40, 3.20, 3.40, 188407
04/04/25, 3.20, 3.60, 3.20, 3.60, 165010
04/03/25, 3.20, 3.60, 3.10, 3.50, 435139
04/02/25, 3.50, 3.60, 3.30, 3.50, 400360
04/01/25, 3.50, 3.50, 3.40, 3.50, 35236
03/28/25, 3.30, 3.60, 3.20, 3.40, 375579
03/27/25, 3.20, 3.20, 3.00, 3.20, 20203
03/26/25, 3.20, 3.30, 3.10, 3.10, 155595
03/25/25, 3.20, 3.20, 3.10, 3.10, 22150
03/24/25, 3.20, 3.20, 3.00, 3.20, 8404
03/21/25, 3.10, 3.20, 3.10, 3.10, 8438
03/20/25, 3.00, 3.10, 3.00, 3.00, 5002
03/19/25, 2.90, 3.00, 2.90, 3.00, 702
03/18/25, 3.10, 3.10, 2.80, 2.90, 29413
03/17/25, 3.20, 3.20, 3.10, 3.10, 999
03/14/25, 3.00, 3.20, 3.00, 3.10, 628
03/12/25, 3.10, 3.10, 3.10, 3.00, 1
03/11/25, 3.00, 3.00, 3.00, 3.00, 55418
03/10/25, 3.00, 3.00, 2.90, 2.90, 126241
03/07/25, 3.10, 3.10, 2.90, 2.90, 31541
03/06/25, 3.20, 3.20, 3.00, 3.00, 10468
03/05/25, 3.20, 3.30, 2.90, 3.10, 149760
03/04/25, 3.30, 3.30, 3.00, 3.20, 73572
03/03/25, 3.30, 3.40, 3.20, 3.20, 1034
02/28/25, 3.20, 3.60, 3.20, 3.30, 80042
02/27/25, 3.20, 3.20, 3.10, 3.20, 5169
02/25/25, 3.20, 3.20, 3.00, 3.10, 22460
02/24/25, 3.20, 3.30, 3.10, 3.10, 57455
02/21/25, 3.40, 3.40, 3.20, 3.20, 25218
02/20/25, 3.40, 3.40, 3.30, 3.30, 5664
02/19/25, 3.40, 3.60, 3.30, 3.50, 93793
02/18/25, 3.30, 3.50, 3.30, 3.30, 33887
02/17/25, 3.30, 3.50, 3.30, 3.40, 15042
02/14/25, 3.40, 3.60, 3.40, 3.40, 228549
02/13/25, 3.40, 3.40, 3.40, 3.40, 41012
02/11/25, 3.30, 3.40, 3.20, 3.30, 100921
02/10/25, 3.60, 3.60, 3.30, 3.30, 57163
02/07/25, 3.20, 3.70, 3.20, 3.60, 256536
02/06/25, 3.40, 3.40, 3.30, 3.40, 25305
02/05/25, 3.50, 3.50, 3.20, 3.20, 120361
02/03/25, 3.30, 3.70, 3.20, 3.50, 457100
01/31/25, 3.30, 3.40, 3.30, 3.30, 16240
01/30/25, 3.20, 3.40, 3.20, 3.30, 10126
01/29/25, 3.30, 3.40, 3.20, 3.20, 199035
01/28/25, 3.30, 3.40, 3.20, 3.20, 20128
01/27/25, 3.20, 3.30, 3.10, 3.20, 1952
01/24/25, 3.20, 3.40, 3.20, 3.20, 32705
01/23/25, 3.30, 3.40, 3.10, 3.30, 36446
01/22/25, 3.30, 3.30, 3.20, 3.20, 11552
01/21/25, 3.30, 3.30, 3.20, 3.20, 18053
01/20/25, 3.20, 3.30, 3.20, 3.20, 4035
01/17/25, 3.40, 3.40, 3.20, 3.30, 6499
01/16/25, 3.20, 3.40, 3.20, 3.40, 6910
01/15/25, 3.20, 3.40, 3.20, 3.20, 7057
01/10/25, 3.40, 3.40, 3.20, 3.20, 6516
01/09/25, 3.50, 3.50, 3.10, 3.20, 81651
01/08/25, 3.50, 3.50, 3.40, 3.50, 33259
01/07/25, 3.50, 3.50, 3.30, 3.30, 60537
01/06/25, 3.50, 3.60, 3.30, 3.30, 179497
01/03/25, 3.60, 3.80, 3.50, 3.60, 1017525
01/02/25, 3.10, 3.70, 3.10, 3.50, 1613423
12/31/24, 3.20, 3.20, 3.10, 3.10, 22040
12/30/24, 3.30, 3.30, 3.10, 3.10, 40190
12/27/24, 3.20, 3.20, 3.10, 3.10, 35550
12/26/24, 3.20, 3.40, 3.20, 3.20, 333138
12/24/24, 3.20, 3.20, 3.00, 3.10, 26180
12/23/24, 3.20, 3.20, 3.00, 3.20, 100104
12/20/24, 3.00, 3.20, 3.00, 3.10, 85709
12/19/24, 3.10, 3.10, 3.00, 3.00, 8912
12/18/24, 3.00, 3.00, 3.00, 3.00, 43092
12/17/24, 3.00, 3.00, 2.90, 3.00, 52001
12/16/24, 3.00, 3.00, 2.90, 2.90, 37980
12/13/24, 2.90, 3.00, 2.90, 3.00, 64800
12/12/24, 3.00, 3.00, 3.00, 3.00, 14731
12/11/24, 3.10, 3.20, 3.00, 3.00, 54600
12/10/24, 2.90, 3.10, 2.80, 3.10, 244424
12/09/24, 3.00, 3.00, 3.00, 3.00, 655
12/06/24, 2.90, 3.00, 2.90, 2.90, 40270
12/05/24, 3.00, 3.00, 3.00, 3.00, 67402
12/04/24, 2.90, 3.00, 2.90, 2.90, 1055
12/03/24, 3.00, 3.00, 2.90, 2.90, 4919
12/02/24, 3.00, 3.00, 2.90, 2.80, 11
11/29/24, 2.80, 3.00, 2.80, 2.80, 10762
11/28/24, 3.00, 3.00, 2.90, 2.90, 3550
11/27/24, 2.90, 2.90, 2.90, 2.90, 301
11/26/24, 2.90, 2.90, 2.80, 2.80, 1015
11/25/24, 3.00, 3.00, 2.80, 2.80, 159910
11/22/24, 2.90, 3.10, 2.90, 3.10, 154769
11/21/24, 3.00, 3.10, 2.90, 2.90, 33635
11/20/24, 3.00, 3.20, 2.80, 3.00, 405632
11/19/24, 2.90, 2.90, 2.90, 2.90, 20001
11/18/24, 2.90, 2.90, 2.80, 2.90, 11310
11/14/24, 2.90, 2.90, 2.90, 2.90, 3660
11/13/24, 3.00, 3.00, 3.00, 3.00, 1101
11/12/24, 2.80, 2.80, 2.80, 2.80, 1101
11/11/24, 2.90, 2.90, 2.80, 2.80, 27390
11/08/24, 2.90, 2.90, 2.80, 2.80, 4051
11/07/24, 2.80, 2.80, 2.70, 2.80, 4467
11/06/24, 2.80, 2.80, 2.80, 2.80, 5260
11/05/24, 2.90, 2.90, 2.80, 2.80, 15490
11/04/24, 3.00, 3.00, 2.80, 2.90, 10120
11/01/24, 2.80, 3.00, 2.80, 2.90, 7360
10/30/24, 2.90, 2.90, 2.90, 2.80, 29
10/29/24, 3.00, 3.00, 2.80, 2.80, 51374
10/28/24, 2.90, 3.00, 2.80, 3.00, 12757
10/25/24, 2.90, 2.90, 2.90, 2.90, 9640
10/24/24, 2.90, 2.90, 2.80, 2.90, 20280
