Date, Open, High, Low, Close, Volume
04/24/25, 8.70, 8.70, 8.70, 8.70, 177
04/23/25, 8.30, 8.70, 8.00, 8.00, 20643
04/22/25, 8.70, 8.70, 8.30, 8.30, 726
04/21/25, 8.70, 8.70, 8.70, 8.90, 2
04/16/25, 8.70, 8.90, 8.60, 8.90, 5203
04/11/25, 8.80, 8.80, 8.40, 8.70, 6985
04/10/25, 8.00, 8.80, 8.00, 8.50, 10636
04/08/25, 8.50, 8.80, 7.80, 7.90, 44560
04/07/25, 8.00, 8.00, 7.80, 8.00, 8020
04/04/25, 8.80, 8.80, 8.10, 8.20, 12
04/03/25, 8.20, 8.80, 7.90, 8.20, 37712
04/02/25, 7.90, 8.80, 7.90, 8.30, 10287
04/01/25, 8.20, 8.20, 7.90, 7.90, 6248
03/28/25, 8.20, 8.20, 8.00, 8.00, 282
03/27/25, 8.20, 8.20, 7.80, 7.80, 55
03/26/25, 8.00, 8.00, 8.00, 7.80, 25
03/25/25, 8.00, 8.30, 7.60, 7.80, 106524
03/24/25, 8.00, 8.10, 7.90, 8.00, 37009
03/21/25, 8.50, 9.00, 8.50, 8.90, 1117
03/20/25, 7.70, 8.80, 7.50, 7.90, 28432
03/19/25, 8.20, 8.20, 7.80, 7.80, 6010
03/18/25, 8.30, 8.30, 8.30, 8.00, 6
03/17/25, 8.00, 8.40, 8.00, 8.00, 501
03/14/25, 8.50, 8.60, 8.00, 8.10, 27401
03/12/25, 8.50, 8.50, 8.50, 8.60, 50
03/11/25, 8.50, 8.60, 8.30, 8.60, 1135
03/10/25, 8.40, 8.80, 8.40, 8.60, 201
03/07/25, 8.30, 8.40, 8.30, 8.20, 31
03/05/25, 8.50, 9.00, 8.10, 8.20, 9253
03/04/25, 9.00, 9.00, 9.00, 8.60, 1
03/03/25, 8.50, 9.00, 8.50, 8.60, 869
02/28/25, 9.00, 9.00, 8.50, 8.50, 8000
02/27/25, 9.20, 9.20, 8.50, 8.50, 10757
02/25/25, 9.20, 9.20, 8.80, 8.80, 806
02/24/25, 9.30, 9.30, 8.70, 8.90, 228
02/21/25, 9.20, 9.40, 9.10, 9.40, 8075
02/20/25, 8.90, 9.40, 8.60, 8.60, 5400
02/19/25, 8.90, 9.50, 8.50, 8.90, 30080
02/18/25, 9.40, 9.40, 9.00, 9.00, 8873
02/17/25, 9.40, 9.50, 9.00, 9.00, 27446
02/14/25, 9.80, 10.20, 9.00, 9.10, 308946
02/13/25, 9.40, 9.60, 9.00, 9.10, 4154
02/11/25, 9.20, 9.80, 9.10, 9.40, 9767
02/10/25, 10.20, 10.20, 10.00, 10.10, 750
02/07/25, 10.50, 10.50, 9.10, 9.30, 12177
02/06/25, 10.50, 10.50, 10.00, 10.00, 1311
02/05/25, 11.00, 11.00, 10.00, 10.00, 3679
02/03/25, 9.10, 11.10, 9.10, 10.90, 258469
01/31/25, 9.10, 9.50, 9.10, 9.20, 50102
01/30/25, 9.20, 9.20, 9.20, 9.20, 10000
01/29/25, 9.20, 9.50, 9.10, 9.20, 15573
01/28/25, 9.30, 9.60, 9.20, 9.30, 2850
01/27/25, 9.30, 9.70, 9.30, 9.40, 1696
01/24/25, 9.70, 9.70, 9.40, 9.50, 4751
01/23/25, 9.30, 9.90, 9.10, 9.70, 210976
01/22/25, 9.40, 9.90, 9.10, 9.50, 206200
01/21/25, 9.40, 9.40, 9.00, 9.40, 12693
01/20/25, 9.40, 9.40, 9.20, 9.00, 6
01/17/25, 9.10, 9.10, 9.00, 9.00, 3345
01/16/25, 9.50, 9.50, 9.10, 9.40, 6670
01/15/25, 9.40, 9.80, 9.10, 9.30, 74338
01/10/25, 9.40, 9.60, 9.30, 9.40, 18559
01/09/25, 9.50, 9.50, 9.00, 9.10, 16137
01/08/25, 9.30, 9.50, 9.30, 9.50, 11668
01/07/25, 9.20, 9.40, 9.10, 9.20, 9938
01/06/25, 9.10, 9.50, 9.00, 9.20, 146146
01/03/25, 9.00, 9.40, 8.80, 9.00, 330677
01/02/25, 8.70, 8.90, 8.70, 8.80, 33170
12/31/24, 8.50, 8.80, 8.50, 8.50, 27559
12/30/24, 8.40, 8.50, 8.30, 8.30, 15115
12/27/24, 8.70, 8.70, 8.30, 8.40, 28077
12/26/24, 8.40, 8.90, 8.40, 8.70, 52588
12/24/24, 8.30, 8.30, 8.30, 8.30, 3600
12/23/24, 7.90, 8.40, 7.90, 8.30, 91495
12/20/24, 7.90, 8.00, 7.80, 8.00, 72385
12/19/24, 7.90, 7.90, 7.90, 7.90, 57
12/18/24, 7.90, 7.90, 7.80, 7.90, 45
12/17/24, 7.90, 7.90, 7.90, 7.90, 1510
12/16/24, 8.00, 8.00, 8.00, 8.00, 3
12/13/24, 7.90, 8.00, 7.90, 8.00, 3420
12/12/24, 7.80, 7.90, 7.70, 7.80, 16706
12/11/24, 7.80, 7.90, 7.80, 7.80, 5610
12/10/24, 7.90, 7.90, 7.70, 7.90, 6197
12/09/24, 7.90, 7.90, 7.90, 7.90, 1800
12/06/24, 7.60, 7.60, 7.60, 7.60, 6861
12/05/24, 7.70, 7.70, 7.70, 7.70, 112
12/04/24, 7.90, 7.90, 7.90, 7.60, 1
12/03/24, 8.00, 8.00, 7.60, 7.60, 5950
12/02/24, 7.90, 8.00, 7.90, 7.90, 850
11/29/24, 8.00, 8.00, 7.70, 7.80, 761
11/28/24, 8.00, 8.00, 8.00, 8.00, 1010
11/27/24, 7.90, 7.90, 7.60, 7.50, 47
11/26/24, 8.00, 8.00, 8.00, 7.50, 20
11/25/24, 8.00, 8.00, 7.50, 7.50, 30015
11/22/24, 8.00, 8.00, 8.00, 8.00, 1125
11/20/24, 8.00, 8.00, 8.00, 8.00, 1015
11/18/24, 7.80, 8.00, 7.80, 8.00, 2693
11/14/24, 7.80, 7.80, 7.80, 7.80, 16
11/13/24, 7.80, 7.80, 7.60, 7.80, 3931
11/12/24, 7.90, 7.90, 7.60, 7.60, 969
11/11/24, 7.50, 7.90, 7.50, 7.60, 130
11/08/24, 7.90, 7.90, 7.50, 7.50, 19417
11/05/24, 8.00, 8.00, 8.00, 7.60, 40
11/04/24, 7.70, 7.90, 7.50, 7.60, 112184
11/01/24, 8.20, 8.20, 7.70, 7.80, 165934
10/29/24, 8.20, 8.90, 8.20, 8.90, 11390
10/28/24, 8.20, 8.80, 8.10, 8.70, 2274
10/25/24, 8.60, 8.60, 8.60, 8.60, 130
10/24/24, 8.30, 8.70, 8.20, 8.20, 1321
10/23/24, 8.80, 8.80, 8.80, 8.70, 1
10/22/24, 8.30, 9.00, 8.30, 8.70, 75580
10/21/24, 8.20, 8.20, 8.20, 8.20, 1505
10/16/24, 8.30, 8.30, 8.30, 8.30, 892
10/15/24, 8.20, 8.30, 8.20, 8.30, 3442
10/14/24, 8.20, 8.20, 8.20, 8.20, 50
10/10/24, 7.80, 7.80, 7.80, 8.20, 5
10/09/24, 8.00, 8.20, 7.80, 8.20, 6577
10/08/24, 8.30, 8.30, 8.30, 8.30, 40
10/07/24, 7.90, 8.30, 7.90, 8.30, 1453
10/04/24, 8.20, 8.20, 8.00, 8.00, 7147
10/03/24, 8.30, 8.30, 8.20, 8.30, 4
10/02/24, 8.30, 8.30, 8.30, 8.30, 10
09/30/24, 8.40, 8.40, 8.40, 8.30, 11
09/27/24, 8.30, 8.40, 7.60, 8.30, 6969
09/26/24, 8.30, 8.40, 8.30, 8.30, 250
09/24/24, 8.20, 8.40, 8.20, 8.40, 600
09/23/24, 7.90, 8.10, 7.90, 7.90, 5890
09/19/24, 8.00, 8.00, 8.00, 7.60, 1
09/13/24, 8.00, 8.10, 7.50, 7.60, 3930
09/10/24, 7.70, 7.70, 7.70, 7.70, 570
09/09/24, 7.70, 7.70, 7.50, 7.50, 10771
09/06/24, 7.70, 7.70, 7.70, 7.70, 100
09/05/24, 8.40, 8.40, 7.50, 7.50, 6294
09/04/24, 8.00, 8.40, 8.00, 8.40, 1250
09/03/24, 7.90, 7.90, 7.70, 7.70, 450
09/02/24, 7.80, 7.80, 7.80, 7.80, 100
08/30/24, 7.80, 7.80, 7.80, 7.90, 1
08/29/24, 7.90, 7.90, 7.90, 7.90, 1394
08/28/24, 7.80, 7.90, 7.80, 7.90, 22033
08/27/24, 7.90, 7.90, 7.90, 7.90, 50
08/26/24, 7.90, 7.90, 7.90, 7.90, 130
08/23/24, 8.00, 8.00, 7.90, 7.90, 7177
08/21/24, 8.50, 8.50, 7.90, 8.00, 3455
08/16/24, 7.80, 8.50, 7.80, 8.50, 2192
08/13/24, 7.80, 7.80, 7.80, 8.80, 1
08/05/24, 8.20, 8.80, 8.10, 8.80, 5914
08/02/24, 8.50, 8.90, 8.50, 8.70, 1209
07/31/24, 8.30, 8.40, 8.20, 8.30, 30387
07/30/24, 8.60, 8.70, 8.60, 8.70, 2200
07/29/24, 8.40, 8.90, 8.30, 8.60, 27723
07/25/24, 8.20, 8.20, 8.20, 8.20, 100
07/24/24, 8.00, 8.00, 7.60, 7.70, 9620
07/22/24, 8.50, 8.50, 8.50, 8.50, 101
07/19/24, 8.10, 8.60, 7.90, 8.20, 9236
07/17/24, 8.50, 8.50, 8.50, 8.40, 1
07/16/24, 8.40, 8.50, 8.40, 8.40, 600
07/15/24, 8.00, 8.00, 8.00, 8.10, 1
07/12/24, 8.00, 8.00, 8.00, 8.10, 1
07/11/24, 8.40, 8.40, 8.40, 8.10, 15
07/10/24, 8.10, 8.40, 8.10, 8.10, 1400
07/08/24, 8.50, 8.50, 8.50, 8.50, 120
07/05/24, 8.50, 8.50, 8.00, 8.50, 4300
07/04/24, 8.60, 8.60, 8.50, 8.60, 111
07/03/24, 8.00, 8.00, 8.00, 8.00, 215
07/02/24, 8.00, 8.30, 7.80, 8.20, 104764
07/01/24, 8.30, 8.30, 8.00, 8.00, 6101
06/28/24, 8.20, 8.30, 8.10, 8.30, 11615
06/27/24, 8.40, 8.40, 8.20, 8.20, 5252
06/26/24, 8.30, 8.30, 8.30, 8.30, 300
06/25/24, 8.30, 8.30, 8.20, 8.20, 499
06/19/24, 8.20, 8.50, 8.20, 8.40, 22814
06/18/24, 8.60, 8.60, 8.30, 8.30, 10702
06/14/24, 8.30, 8.50, 8.30, 8.40, 2
06/13/24, 8.40, 8.40, 8.40, 8.40, 1230
06/12/24, 8.40, 8.40, 8.40, 8.40, 6385
06/11/24, 8.70, 8.70, 8.40, 8.40, 21892
06/10/24, 8.70, 8.80, 8.70, 8.80, 20000
06/07/24, 8.80, 8.80, 8.50, 8.50, 233
06/06/24, 8.30, 8.70, 8.30, 8.50, 10424
06/04/24, 8.20, 8.70, 8.20, 8.70, 124
06/03/24, 8.40, 8.40, 8.20, 8.40, 31600
05/31/24, 8.50, 8.70, 8.30, 8.70, 6757
05/29/24, 8.80, 8.80, 8.80, 8.80, 2388
05/28/24, 8.80, 9.00, 8.40, 8.50, 4942
05/27/24, 9.00, 9.00, 8.80, 8.90, 105
05/22/24, 8.80, 8.80, 8.80, 8.80, 500
05/21/24, 8.60, 8.90, 8.60, 9.00, 3
05/16/24, 8.80, 9.00, 8.80, 9.00, 3488
05/15/24, 9.20, 9.20, 8.90, 8.90, 10001
05/14/24, 8.90, 9.20, 8.70, 8.70, 6482
05/13/24, 9.10, 9.70, 8.80, 9.00, 9370
05/10/24, 9.60, 9.70, 8.80, 8.90, 26488
05/09/24, 9.40, 9.70, 9.00, 9.00, 52050
05/08/24, 9.60, 9.90, 9.00, 9.30, 207072
05/07/24, 8.80, 9.90, 8.80, 9.80, 171109
05/06/24, 8.70, 8.80, 8.50, 8.70, 1819
05/03/24, 8.30, 8.70, 8.30, 8.70, 2531
05/02/24, 8.60, 8.60, 8.50, 8.50, 196
04/30/24, 8.40, 8.50, 8.00, 8.20, 5137
04/26/24, 8.50, 8.70, 8.50, 8.60, 917
04/25/24, 8.80, 8.80, 8.20, 8.30, 6978
04/24/24, 8.40, 8.80, 8.30, 8.40, 85302
04/22/24, 8.10, 8.10, 8.00, 8.00, 1650
04/18/24, 8.00, 8.10, 8.00, 8.00, 1656
04/17/24, 8.00, 8.50, 8.00, 8.20, 21905
04/16/24, 8.40, 8.50, 8.40, 8.50, 2500
04/15/24, 8.50, 8.50, 8.50, 8.50, 100
04/10/24, 8.50, 8.50, 8.50, 8.30, 11
04/09/24, 7.80, 8.60, 7.80, 8.30, 167196
04/08/24, 8.20, 8.20, 7.80, 8.10, 1200
04/05/24, 7.80, 8.00, 7.70, 7.80, 21510
04/04/24, 8.00, 8.00, 7.80, 7.80, 3001
04/03/24, 8.00, 8.00, 8.00, 7.90, 10
04/02/24, 8.00, 8.00, 7.80, 7.90, 27834
04/01/24, 8.00, 8.00, 8.00, 8.00, 190
03/28/24, 8.20, 8.20, 7.80, 7.80, 1507
03/27/24, 7.70, 8.20, 7.70, 8.10, 20242
03/26/24, 7.80, 7.80, 7.70, 7.70, 2500
03/25/24, 8.00, 8.00, 7.80, 8.00, 5450
03/22/24, 8.00, 8.00, 7.80, 7.80, 2843
03/21/24, 8.00, 8.00, 8.00, 7.80, 10
03/20/24, 7.90, 8.00, 7.80, 7.80, 75180
03/19/24, 8.20, 8.20, 7.80, 7.80, 40502
03/18/24, 8.30, 8.30, 7.80, 7.80, 55468
03/15/24, 8.20, 8.20, 8.20, 8.20, 3200
03/14/24, 8.20, 8.60, 8.00, 8.00, 100846
03/13/24, 8.20, 8.50, 8.00, 8.00, 82712
03/12/24, 8.10, 8.80, 8.00, 8.70, 29500
03/07/24, 8.50, 8.50, 7.80, 8.40, 4930
03/06/24, 8.40, 8.60, 7.80, 7.80, 12665
03/05/24, 8.10, 8.40, 8.00, 8.00, 3390
03/04/24, 8.10, 8.10, 8.00, 8.00, 651
03/01/24, 8.10, 8.40, 8.00, 8.40, 9913
02/29/24, 8.20, 8.20, 8.20, 8.20, 157
02/28/24, 8.70, 8.70, 8.50, 8.10, 80
02/27/24, 8.20, 8.20, 8.10, 8.10, 300
02/26/24, 8.10, 8.10, 8.10, 8.60, 30
02/21/24, 8.30, 8.60, 8.30, 8.60, 344
02/20/24, 8.30, 8.40, 8.10, 8.10, 4520
02/19/24, 8.90, 8.90, 8.90, 8.90, 100
02/16/24, 8.30, 8.80, 8.20, 8.30, 6900
02/14/24, 9.00, 9.00, 8.90, 8.90, 1015
02/13/24, 8.80, 9.20, 8.80, 9.00, 351
02/12/24, 9.00, 9.00, 8.20, 8.20, 10231
02/07/24, 8.30, 8.60, 8.30, 8.50, 200
01/31/24, 8.40, 8.40, 8.30, 8.30, 732
01/30/24, 9.10, 9.10, 8.30, 8.40, 1300
01/26/24, 8.20, 9.20, 8.20, 9.20, 300
01/17/24, 9.00, 9.00, 9.00, 9.00, 213
01/16/24, 9.20, 9.20, 9.20, 8.50, 1
01/12/24, 9.10, 9.10, 9.10, 8.50, 1
01/11/24, 8.50, 8.50, 8.50, 8.50, 500
01/10/24, 8.40, 9.20, 8.40, 9.10, 353
01/05/24, 8.80, 9.00, 8.80, 8.90, 201
01/03/24, 8.40, 8.90, 8.20, 8.40, 600
01/02/24, 8.20, 8.40, 8.10, 8.40, 1135
12/28/23, 9.30, 9.30, 9.30, 9.30, 600
12/27/23, 8.10, 9.00, 8.10, 8.10, 1635
12/21/23, 8.70, 8.70, 8.70, 9.20, 10
12/20/23, 8.30, 8.30, 8.30, 9.20, 10
12/18/23, 8.20, 9.30, 7.90, 9.20, 5200
12/15/23, 8.90, 8.90, 8.90, 9.20, 1
12/13/23, 8.40, 8.40, 8.40, 9.20, 1
12/08/23, 9.20, 9.20, 9.20, 9.20, 101
12/07/23, 8.60, 9.00, 8.60, 8.90, 294
12/06/23, 8.50, 8.90, 8.50, 8.60, 339
12/04/23, 8.90, 9.00, 8.90, 8.90, 166
12/01/23, 8.30, 9.00, 8.30, 9.00, 3
11/30/23, 9.00, 9.00, 9.00, 9.00, 1
11/29/23, 8.90, 9.00, 8.90, 9.00, 314
11/28/23, 8.50, 9.00, 8.50, 8.90, 5878
11/27/23, 8.50, 8.50, 8.10, 8.20, 1712
11/24/23, 8.60, 8.60, 8.60, 8.90, 1
11/23/23, 8.90, 9.00, 8.90, 8.90, 300
11/22/23, 8.20, 8.90, 8.20, 8.90, 401
11/21/23, 8.20, 8.20, 8.20, 8.70, 10
11/20/23, 8.80, 8.80, 8.30, 8.70, 518
11/17/23, 8.80, 8.80, 8.80, 8.80, 101
11/16/23, 8.60, 8.80, 8.00, 8.20, 4683
11/15/23, 8.60, 9.00, 8.60, 8.60, 332
11/14/23, 8.70, 9.00, 8.70, 8.80, 131
11/13/23, 8.70, 8.70, 8.70, 8.70, 106
11/10/23, 8.70, 9.40, 8.60, 8.60, 12357
11/09/23, 8.70, 9.80, 8.50, 9.30, 14797
11/08/23, 9.40, 9.40, 9.30, 9.40, 420
11/07/23, 9.70, 9.70, 9.70, 10.40, 35
11/06/23, 9.50, 10.70, 9.50, 10.40, 2374
11/03/23, 9.20, 9.20, 9.20, 9.20, 114
11/02/23, 8.70, 8.70, 8.50, 8.60, 853
11/01/23, 8.90, 8.90, 8.70, 8.80, 30448
10/31/23, 9.50, 9.50, 9.50, 8.70, 13
10/27/23, 8.70, 8.70, 8.70, 8.70, 7007
10/26/23, 9.30, 9.30, 9.20, 9.30, 104
10/25/23, 9.20, 9.20, 9.20, 8.90, 1
10/23/23, 9.30, 9.30, 8.90, 8.90, 625
10/20/23, 9.00, 9.50, 9.00, 9.30, 549
10/19/23, 9.20, 9.20, 9.20, 9.20, 100
10/17/23, 8.90, 8.90, 8.40, 8.40, 16085
10/16/23, 9.00, 9.00, 8.90, 8.90, 45
10/13/23, 9.00, 9.00, 8.80, 8.90, 2842
10/12/23, 9.20, 9.20, 9.20, 9.30, 1
10/09/23, 9.00, 9.30, 8.90, 9.30, 4637
10/04/23, 9.30, 9.30, 8.90, 9.20, 9038
10/03/23, 9.00, 9.50, 8.90, 9.00, 573
10/02/23, 9.30, 9.30, 8.80, 8.90, 16541
09/26/23, 9.70, 9.70, 9.70, 9.70, 100
09/25/23, 9.30, 9.30, 9.20, 9.20, 1000
09/22/23, 9.30, 9.30, 9.30, 9.30, 3809
09/20/23, 9.40, 9.40, 9.40, 9.20, 1
09/19/23, 9.30, 9.30, 9.20, 9.20, 19471
09/18/23, 9.50, 9.50, 9.30, 9.40, 1501
09/14/23, 9.80, 9.80, 9.70, 9.80, 11002
09/13/23, 9.30, 9.30, 9.30, 9.70, 12
09/11/23, 9.80, 9.80, 9.80, 9.70, 1
09/07/23, 9.60, 9.70, 9.60, 9.70, 1100
09/06/23, 9.40, 9.80, 9.40, 9.80, 1396
09/05/23, 9.40, 9.40, 9.40, 9.40, 657
09/04/23, 9.00, 9.30, 9.00, 9.30, 4245
09/01/23, 9.30, 9.30, 9.30, 9.30, 110
08/31/23, 9.00, 9.00, 9.00, 9.00, 1120
08/29/23, 9.00, 9.00, 8.90, 8.90, 889
08/28/23, 9.00, 9.30, 8.90, 8.90, 1692
08/25/23, 9.20, 9.20, 9.10, 9.10, 986
08/24/23, 9.00, 9.50, 9.00, 9.20, 17736
08/23/23, 9.60, 9.60, 9.00, 9.00, 29338
08/22/23, 9.60, 9.60, 9.60, 9.70, 2
08/21/23, 9.70, 9.70, 9.20, 9.70, 555
08/18/23, 9.70, 9.70, 9.20, 9.20, 7255
08/17/23, 9.40, 9.70, 9.30, 9.30, 2631
08/16/23, 9.60, 9.60, 9.40, 9.40, 6662
08/15/23, 9.70, 9.70, 9.60, 9.60, 104
08/14/23, 9.80, 9.80, 9.30, 9.40, 3389
08/11/23, 9.80, 9.80, 9.20, 9.80, 13861
08/10/23, 9.90, 9.90, 9.00, 9.70, 14993
08/09/23, 9.40, 9.40, 9.00, 9.10, 24265
08/08/23, 9.30, 10.10, 9.30, 9.40, 2175
08/07/23, 9.90, 10.20, 9.50, 10.00, 3985
08/04/23, 9.50, 10.00, 9.00, 9.20, 25125
08/03/23, 10.20, 10.20, 9.50, 9.50, 17079
08/02/23, 9.60, 10.40, 9.60, 10.20, 40699
07/31/23, 9.90, 10.00, 9.90, 9.90, 1450
07/28/23, 9.90, 9.90, 9.50, 9.50, 27874
07/27/23, 10.00, 10.00, 9.70, 9.70, 8967
07/26/23, 9.70, 10.00, 9.70, 9.70, 1192
07/25/23, 10.10, 10.50, 10.10, 10.30, 1580
07/24/23, 10.00, 10.00, 10.00, 10.00, 3402
07/21/23, 9.90, 9.90, 9.80, 9.90, 290
07/20/23, 10.00, 10.00, 10.00, 10.00, 210
07/19/23, 10.00, 10.30, 9.70, 9.70, 5500
07/18/23, 10.40, 10.40, 9.90, 10.00, 505
07/17/23, 10.00, 10.50, 10.00, 10.10, 4500
07/14/23, 10.30, 10.30, 9.50, 10.20, 14315
07/13/23, 9.60, 10.50, 9.60, 10.40, 3101
07/12/23, 9.50, 10.00, 9.50, 10.00, 7834
07/11/23, 9.80, 9.80, 9.80, 9.80, 11600
07/10/23, 9.90, 9.90, 9.70, 9.80, 2351
07/07/23, 10.00, 10.00, 9.50, 10.00, 12371
07/06/23, 9.80, 10.00, 9.50, 10.00, 34616
07/05/23, 8.70, 10.30, 8.70, 9.90, 159820
07/04/23, 9.00, 9.20, 8.70, 8.90, 91277
06/28/23, 8.70, 9.00, 8.70, 9.00, 73
06/27/23, 9.00, 9.00, 8.90, 9.00, 28177
06/26/23, 8.90, 9.00, 8.90, 9.00, 1475
06/23/23, 9.00, 9.10, 8.50, 8.60, 2545
06/22/23, 9.00, 9.00, 8.60, 8.70, 8978
06/21/23, 9.10, 9.20, 8.40, 8.70, 2074
06/20/23, 9.20, 9.20, 8.80, 8.80, 1210
06/19/23, 9.20, 9.20, 9.20, 9.40, 1
06/15/23, 9.30, 9.50, 9.00, 9.40, 1370
06/14/23, 9.00, 9.50, 9.00, 9.40, 190
06/13/23, 9.00, 9.70, 8.50, 8.70, 5363
06/12/23, 8.80, 9.00, 8.50, 8.50, 5948
06/09/23, 9.00, 9.00, 9.00, 9.00, 100
06/08/23, 8.80, 9.00, 8.80, 8.90, 2723
06/07/23, 8.50, 8.90, 8.10, 8.90, 1955
06/06/23, 8.60, 8.60, 8.40, 8.60, 792
06/05/23, 8.90, 8.90, 8.10, 8.50, 5106
06/02/23, 9.00, 9.00, 8.80, 8.90, 992
06/01/23, 8.80, 8.80, 8.80, 8.80, 200
05/31/23, 9.00, 9.00, 8.90, 8.90, 602
05/29/23, 9.40, 9.40, 8.50, 8.50, 1904
05/26/23, 8.80, 9.50, 8.70, 8.80, 329
05/25/23, 8.70, 8.70, 8.70, 8.50, 5
05/24/23, 8.80, 8.80, 7.80, 8.50, 600
05/23/23, 8.30, 8.90, 8.30, 8.50, 963
05/22/23, 8.90, 8.90, 8.10, 8.10, 3015
05/19/23, 8.90, 8.90, 8.80, 8.80, 308
05/18/23, 8.60, 8.90, 8.20, 8.20, 21085
05/17/23, 9.00, 9.00, 9.00, 8.50, 5
05/16/23, 9.00, 9.00, 8.50, 8.50, 35656
05/15/23, 8.90, 8.90, 8.90, 8.90, 545
05/12/23, 9.00, 9.40, 8.90, 8.90, 223
05/11/23, 9.10, 9.10, 8.80, 8.80, 5522
05/10/23, 9.10, 9.10, 8.90, 9.00, 1050
05/09/23, 8.90, 8.90, 8.90, 8.90, 3200
05/08/23, 9.10, 9.10, 8.90, 8.90, 1202
05/04/23, 9.10, 9.10, 9.10, 9.10, 3
05/03/23, 9.20, 9.20, 8.90, 9.10, 183
05/02/23, 9.30, 9.30, 9.00, 9.20, 1005
04/28/23, 9.40, 9.40, 9.00, 9.00, 1320
04/27/23, 9.30, 9.40, 8.90, 8.90, 165
04/25/23, 9.50, 9.50, 9.50, 9.40, 25
04/24/23, 9.20, 9.90, 9.20, 9.40, 3597
04/21/23, 9.20, 9.20, 8.90, 9.20, 797
04/20/23, 9.20, 9.20, 9.00, 9.00, 88
04/19/23, 9.30, 9.30, 9.20, 9.00, 51
04/18/23, 9.30, 9.30, 9.30, 9.00, 4
04/17/23, 9.30, 9.30, 9.00, 9.00, 825
04/12/23, 9.10, 9.30, 9.00, 9.10, 4594
04/11/23, 9.00, 9.10, 8.70, 9.00, 3923
04/10/23, 9.10, 9.10, 8.50, 8.70, 8605
04/06/23, 9.20, 9.20, 8.80, 8.80, 3684
04/04/23, 9.00, 9.00, 8.70, 8.80, 1683
04/03/23, 9.00, 9.30, 9.00, 9.00, 560
03/31/23, 9.30, 9.30, 9.00, 9.30, 130
03/30/23, 9.30, 9.30, 9.30, 9.00, 5
03/29/23, 9.30, 9.30, 9.00, 9.00, 6205
03/28/23, 9.00, 9.30, 9.00, 9.30, 679
03/27/23, 9.40, 9.40, 9.00, 9.30, 18763
03/24/23, 9.30, 9.50, 9.30, 9.30, 284
03/23/23, 9.30, 9.30, 9.00, 9.00, 2590
03/22/23, 9.80, 9.80, 9.10, 9.20, 4088
03/21/23, 9.30, 9.60, 9.30, 9.30, 1003
03/20/23, 10.10, 10.10, 9.20, 9.30, 453
03/17/23, 9.20, 10.10, 9.20, 9.60, 11744
03/16/23, 9.20, 9.20, 8.80, 8.80, 1133
03/15/23, 9.10, 9.20, 8.80, 8.90, 1957
03/14/23, 9.20, 9.20, 9.10, 9.10, 450
03/13/23, 9.00, 9.30, 9.00, 9.20, 2518
03/10/23, 9.20, 9.30, 9.20, 8.80, 92
03/09/23, 9.30, 9.30, 8.80, 8.80, 30191
03/08/23, 9.30, 9.30, 9.20, 9.20, 135
03/07/23, 9.40, 9.40, 9.20, 9.40, 157
03/03/23, 9.10, 9.30, 9.10, 9.20, 1730
03/02/23, 9.10, 9.20, 8.90, 9.00, 9863
03/01/23, 9.20, 9.20, 9.20, 9.10, 5
02/28/23, 9.20, 9.20, 9.20, 9.10, 5
02/27/23, 9.10, 9.20, 9.10, 9.10, 250
02/24/23, 9.20, 9.30, 9.20, 9.30, 6187
02/23/23, 9.30, 9.30, 9.10, 9.20, 7037
02/22/23, 9.40, 9.40, 9.10, 9.10, 555
02/21/23, 9.30, 9.30, 9.10, 9.20, 542
02/20/23, 9.40, 9.40, 9.40, 9.20, 5
02/17/23, 9.40, 9.40, 9.30, 9.20, 25
02/16/23, 9.60, 9.60, 9.60, 9.20, 5
02/15/23, 9.70, 9.70, 9.20, 9.20, 120
02/14/23, 9.80, 9.80, 9.00, 9.50, 1465
02/13/23, 9.50, 9.50, 9.10, 9.10, 6
02/10/23, 9.60, 9.60, 9.10, 9.10, 269
02/09/23, 9.70, 9.70, 9.00, 9.40, 628
02/08/23, 9.10, 9.40, 9.10, 9.30, 23538
02/07/23, 9.10, 9.80, 9.00, 9.00, 6040
02/06/23, 9.80, 9.80, 9.00, 9.00, 4598
02/03/23, 9.20, 9.80, 9.20, 9.20, 750
02/02/23, 9.00, 9.10, 9.00, 9.10, 201
02/01/23, 9.10, 9.10, 9.10, 9.10, 2150
01/31/23, 9.20, 9.20, 9.20, 8.90, 10
01/30/23, 8.90, 8.90, 8.90, 8.90, 170
01/27/23, 9.40, 9.40, 9.20, 9.10, 30
01/26/23, 8.80, 9.10, 8.80, 9.10, 13259
01/25/23, 9.10, 9.10, 8.80, 8.90, 8317
01/24/23, 9.40, 9.40, 9.10, 9.20, 2710
01/23/23, 9.20, 9.20, 9.10, 9.20, 1926
01/20/23, 9.20, 9.20, 9.20, 9.00, 2
