Date, Open, High, Low, Close, Volume
04/24/25, 380.25, 388.50, 380.25, 388.75, 83
04/23/25, 389.00, 389.00, 380.25, 388.75, 151
04/22/25, 380.00, 388.25, 380.00, 380.25, 24
04/21/25, 380.25, 389.00, 380.00, 380.25, 1009
04/17/25, 389.25, 389.25, 389.25, 385.25, 2
04/16/25, 389.50, 389.50, 389.00, 385.25, 11
04/11/25, 376.00, 376.00, 376.00, 385.25, 20
04/10/25, 390.25, 396.50, 384.75, 385.25, 1936
04/09/25, 380.00, 385.00, 372.50, 373.75, 155
04/08/25, 365.50, 390.00, 365.50, 372.00, 1048
04/07/25, 377.25, 385.00, 365.00, 365.50, 8178
04/04/25, 382.00, 382.00, 377.25, 377.25, 2910
04/03/25, 385.00, 386.00, 380.50, 386.00, 62
04/02/25, 385.00, 395.50, 385.00, 386.00, 139
04/01/25, 395.25, 395.25, 380.00, 384.00, 404
03/28/25, 395.00, 395.25, 380.50, 380.75, 245
03/27/25, 395.50, 395.50, 380.00, 382.50, 212
03/26/25, 395.50, 395.50, 387.00, 389.75, 124
03/25/25, 390.00, 396.00, 380.00, 385.00, 55
03/24/25, 389.50, 398.00, 385.00, 385.00, 502
03/21/25, 379.75, 389.50, 379.00, 379.75, 942
03/20/25, 379.75, 379.75, 375.25, 377.00, 316
03/19/25, 379.00, 379.00, 375.50, 377.75, 502
03/18/25, 383.00, 383.00, 379.00, 380.25, 151
03/17/25, 389.50, 389.50, 380.25, 380.50, 695
03/14/25, 388.00, 390.00, 382.25, 382.50, 1042
03/12/25, 386.00, 390.00, 386.00, 386.00, 517
03/11/25, 386.00, 386.00, 371.25, 376.75, 3424
03/10/25, 388.00, 397.00, 385.25, 386.00, 484
03/07/25, 398.00, 398.00, 388.25, 395.00, 8
03/06/25, 392.00, 399.75, 392.00, 395.00, 1172
03/05/25, 382.50, 392.00, 380.00, 391.50, 3529
03/04/25, 401.75, 401.75, 390.00, 394.75, 6268
03/03/25, 401.75, 401.75, 397.00, 401.50, 815
02/28/25, 398.00, 401.75, 398.00, 400.00, 337
02/27/25, 400.00, 400.00, 397.00, 398.00, 2290
02/25/25, 404.50, 404.50, 400.00, 398.75, 65
02/24/25, 400.00, 405.00, 394.00, 398.75, 5082
02/21/25, 410.00, 410.00, 392.00, 401.00, 4429
02/20/25, 405.00, 405.00, 401.00, 401.25, 4739
02/19/25, 406.25, 406.25, 403.25, 406.00, 152
02/18/25, 411.00, 415.00, 405.00, 406.00, 7528
02/17/25, 416.50, 416.50, 410.00, 411.75, 1065
02/14/25, 409.50, 416.50, 405.00, 407.00, 1830
02/13/25, 410.00, 410.00, 408.50, 409.25, 507
02/11/25, 406.00, 410.00, 405.00, 410.00, 2395
02/10/25, 416.00, 416.00, 410.25, 411.00, 815
02/07/25, 410.00, 417.00, 410.00, 416.00, 12488
02/06/25, 408.00, 424.00, 406.00, 408.00, 19964
02/05/25, 440.00, 449.50, 402.00, 411.50, 10111
02/03/25, 456.25, 456.50, 435.00, 439.25, 3349
01/31/25, 456.25, 473.75, 456.25, 467.75, 108
01/30/25, 474.00, 484.50, 456.00, 464.75, 4455
01/29/25, 459.00, 484.75, 449.00, 470.25, 24896
01/28/25, 407.50, 450.00, 407.00, 445.00, 18025
01/27/25, 409.00, 416.00, 405.00, 410.00, 2948
01/24/25, 403.00, 418.00, 401.00, 402.25, 1655
01/23/25, 410.00, 419.50, 402.50, 402.75, 2708
01/22/25, 420.00, 424.50, 410.00, 410.50, 4316
01/21/25, 401.75, 425.00, 400.00, 418.75, 19307
01/20/25, 400.00, 408.00, 400.00, 404.25, 2149
01/17/25, 400.25, 404.00, 397.00, 401.00, 1314
01/16/25, 408.00, 408.00, 399.00, 402.00, 1235
01/15/25, 399.75, 408.00, 399.75, 404.75, 846
01/10/25, 394.75, 405.00, 394.00, 398.50, 1467
01/09/25, 393.00, 403.75, 393.00, 397.00, 1268
01/08/25, 390.00, 403.50, 390.00, 399.00, 3185
01/07/25, 388.00, 398.00, 388.00, 388.50, 1124
01/06/25, 408.75, 409.00, 380.00, 388.50, 24752
01/03/25, 409.00, 409.00, 396.50, 401.00, 23385
01/02/25, 396.00, 413.25, 396.00, 403.00, 11286
12/31/24, 414.50, 414.50, 398.50, 400.00, 4037
12/30/24, 400.00, 420.00, 399.00, 400.00, 10174
12/27/24, 400.00, 414.00, 398.00, 405.00, 11596
12/26/24, 400.00, 402.00, 391.00, 400.00, 2771
12/24/24, 390.00, 400.00, 385.00, 385.25, 17687
12/23/24, 395.00, 414.75, 388.50, 391.50, 7436
12/20/24, 400.00, 400.00, 387.00, 390.75, 4875
12/19/24, 392.00, 415.00, 387.75, 395.50, 36760
12/18/24, 392.25, 392.25, 388.75, 392.00, 677
12/17/24, 393.75, 400.00, 390.00, 391.25, 2705
12/16/24, 410.00, 410.00, 393.75, 396.25, 4399
12/13/24, 400.00, 404.00, 395.00, 396.25, 6391
12/12/24, 398.75, 400.00, 396.00, 398.25, 3319
12/11/24, 415.00, 415.00, 396.50, 398.75, 2869
12/10/24, 422.00, 422.00, 395.00, 404.50, 5849
12/09/24, 391.25, 438.25, 391.25, 421.50, 16253
12/06/24, 370.00, 395.00, 370.00, 391.25, 7817
12/05/24, 388.50, 388.75, 382.00, 383.75, 248
12/04/24, 376.50, 388.00, 376.00, 379.75, 767
12/03/24, 375.00, 377.00, 365.25, 376.50, 388
12/02/24, 360.25, 374.25, 360.25, 374.00, 1663
11/29/24, 372.50, 372.50, 360.50, 362.75, 259
11/28/24, 360.00, 379.00, 360.00, 365.00, 478
11/27/24, 358.75, 360.00, 358.00, 359.75, 248
11/26/24, 355.50, 364.00, 355.25, 355.50, 363
11/25/24, 361.50, 364.00, 360.00, 363.25, 431
11/22/24, 369.00, 369.00, 366.00, 360.00, 75
11/21/24, 365.00, 373.00, 365.00, 360.00, 26
11/20/24, 374.00, 374.00, 360.00, 360.00, 538
11/19/24, 374.75, 382.00, 366.00, 366.00, 505
11/18/24, 375.50, 395.00, 353.00, 362.50, 9201
11/14/24, 380.00, 383.00, 375.00, 381.50, 1063
11/13/24, 375.00, 382.00, 375.00, 380.00, 2140
11/12/24, 364.00, 382.00, 364.00, 375.25, 15324
11/11/24, 365.00, 368.00, 362.00, 362.00, 3236
11/08/24, 353.25, 365.00, 352.00, 362.00, 8422
11/07/24, 343.00, 354.00, 342.00, 345.00, 5893
11/06/24, 348.00, 348.00, 348.00, 343.00, 2
11/05/24, 350.00, 350.00, 342.50, 343.00, 2166
11/04/24, 346.00, 346.50, 342.00, 344.25, 1038
11/01/24, 340.00, 342.00, 340.00, 342.00, 2102
10/30/24, 344.00, 345.00, 336.00, 339.75, 1725
10/29/24, 349.50, 349.75, 345.00, 349.25, 301
10/28/24, 349.50, 357.50, 341.75, 342.00, 2446
10/25/24, 346.50, 346.50, 335.50, 336.00, 1906
10/24/24, 347.25, 347.25, 338.75, 337.25, 10
10/23/24, 337.25, 345.50, 337.00, 337.25, 656
10/22/24, 337.00, 346.25, 337.00, 336.75, 4
10/21/24, 340.25, 347.75, 335.75, 336.75, 3258
10/18/24, 336.00, 348.75, 335.50, 336.25, 11524
10/16/24, 346.75, 346.75, 334.00, 335.00, 1028
10/14/24, 345.50, 349.50, 331.50, 334.25, 3818
10/11/24, 338.00, 347.75, 331.25, 335.75, 7311
10/10/24, 347.00, 347.00, 335.25, 339.75, 1030
10/09/24, 352.00, 354.00, 342.50, 342.75, 1003
10/08/24, 335.25, 359.50, 335.00, 342.00, 1159
10/07/24, 350.00, 365.00, 350.00, 356.25, 174
10/04/24, 346.75, 355.00, 330.75, 351.50, 7773
10/03/24, 331.00, 343.00, 330.25, 334.25, 1777
10/02/24, 337.00, 339.75, 330.00, 331.00, 2624
10/01/24, 344.50, 344.50, 338.00, 338.25, 239
09/30/24, 342.00, 347.00, 335.75, 344.50, 1888
09/27/24, 336.25, 345.00, 336.25, 347.50, 3
09/26/24, 348.00, 349.25, 343.00, 347.50, 112
09/25/24, 349.50, 349.50, 335.75, 337.00, 553
09/24/24, 360.00, 360.00, 335.00, 335.75, 1951
