Date, Open, High, Low, Close, Volume
04/24/25, 105.00, 106.00, 104.00, 104.25, 30724
04/23/25, 104.75, 105.00, 103.00, 104.00, 20246
04/22/25, 105.00, 105.00, 102.00, 103.50, 35528
04/21/25, 105.00, 106.75, 104.00, 105.00, 44808
04/17/25, 106.00, 107.25, 105.00, 105.75, 25836
04/16/25, 104.75, 107.75, 104.75, 106.50, 55396
04/11/25, 106.00, 106.50, 103.00, 104.25, 140390
04/10/25, 104.00, 110.00, 104.00, 106.25, 464574
04/09/25, 100.25, 100.25, 98.50, 99.70, 241974
04/08/25, 95.00, 101.75, 94.00, 101.00, 487554
04/07/25, 101.50, 101.50, 94.60, 95.50, 442540
04/04/25, 106.00, 106.00, 102.50, 103.00, 473560
04/03/25, 108.00, 108.50, 105.00, 106.00, 256015
04/02/25, 109.75, 110.00, 108.75, 109.00, 325906
04/01/25, 107.00, 109.50, 106.75, 109.25, 238498
03/28/25, 107.50, 107.75, 106.75, 107.00, 123581
03/27/25, 107.00, 108.00, 107.00, 107.75, 205358
03/26/25, 107.00, 108.00, 106.75, 107.00, 419493
03/25/25, 108.00, 109.00, 106.75, 107.00, 282383
03/24/25, 109.50, 110.00, 106.00, 107.75, 324773
03/21/25, 106.00, 109.75, 106.00, 108.75, 265182
03/20/25, 101.50, 106.00, 101.50, 105.25, 182396
03/19/25, 100.00, 103.75, 100.00, 102.00, 105127
03/18/25, 102.50, 103.00, 99.50, 100.00, 447254
03/17/25, 107.00, 108.00, 102.25, 103.00, 226245
03/14/25, 110.00, 110.00, 106.75, 107.00, 84204
03/12/25, 112.00, 112.00, 106.25, 108.50, 336690
03/11/25, 113.43, 113.43, 111.48, 112.46, 441659.695843276
03/10/25, 113.92, 114.41, 112.21, 112.95, 103601.473024171
03/07/25, 115.63, 115.63, 112.95, 113.43, 85100.2604098852
03/06/25, 113.43, 116.86, 112.46, 112.70, 1842760.45397791
03/05/25, 112.46, 113.43, 111.48, 112.70, 2960056.98741628
03/04/25, 112.46, 113.43, 110.01, 110.26, 535327.453449849
03/03/25, 115.88, 116.37, 110.75, 110.99, 851856.49048692
02/28/25, 115.15, 116.37, 114.90, 114.90, 402493.410019312
02/27/25, 114.41, 117.10, 113.43, 114.90, 147769.385583513
02/25/25, 115.39, 115.39, 113.43, 114.17, 325865.543292235
02/24/25, 119.30, 119.30, 115.39, 115.63, 270199.309119194
02/21/25, 119.79, 121.26, 117.83, 119.06, 1746871.56914393
02/20/25, 121.01, 121.99, 117.10, 117.35, 417613.846107905
02/19/25, 122.48, 123.21, 120.03, 120.03, 66845.4988369459
02/18/25, 123.21, 125.17, 121.26, 122.48, 386830.986163442
02/17/25, 117.35, 122.24, 117.35, 121.75, 229164.699425769
02/14/25, 117.35, 118.32, 117.10, 117.35, 657681.703221797
02/13/25, 113.19, 117.83, 113.19, 117.10, 637762.118846732
02/11/25, 116.86, 118.32, 113.43, 114.41, 444417.697745814
02/10/25, 117.35, 120.03, 115.39, 116.61, 121491.15981802
02/07/25, 122.24, 122.24, 116.61, 117.35, 279851.804468865
02/06/25, 114.66, 119.55, 110.50, 117.35, 372593.069778924
02/05/25, 122.97, 123.95, 114.41, 116.61, 425918.530368386
02/03/25, 124.68, 124.68, 120.28, 122.97, 511582.253532553
01/31/25, 125.66, 126.64, 123.95, 124.68, 199999.621835705
01/30/25, 123.70, 125.66, 121.26, 125.41, 712286.459465718
01/29/25, 125.17, 126.15, 123.21, 123.46, 228782.240133389
01/28/25, 125.17, 126.15, 124.68, 125.17, 395560.057071885
01/27/25, 126.39, 127.37, 123.70, 124.68, 721024.73394002
01/24/25, 128.10, 128.84, 124.92, 126.15, 1060497.23804619
01/23/25, 129.57, 130.30, 125.66, 127.86, 942129.154909797
01/22/25, 124.19, 131.04, 124.19, 129.32, 6954865.77131467
01/21/25, 117.35, 123.21, 117.35, 122.48, 3376710.59481952
01/20/25, 114.41, 117.35, 111.97, 116.86, 1399072.90579028
01/17/25, 111.48, 115.15, 111.48, 113.19, 1622474.12775119
01/16/25, 112.46, 114.90, 112.46, 112.95, 720903.04234699
01/15/25, 106.34, 112.95, 106.34, 111.97, 1071271.54581228
01/10/25, 104.14, 107.57, 102.68, 106.10, 430712.565562714
01/09/25, 107.57, 108.30, 104.63, 105.61, 370479.317486544
01/08/25, 106.59, 110.26, 106.59, 107.08, 1078306.13798416
01/07/25, 106.10, 107.08, 101.94, 106.34, 822005.235931115
01/06/25, 105.61, 111.48, 101.94, 106.59, 1654674.33683801
01/03/25, 114.41, 115.39, 102.68, 109.03, 1854795.65026674
01/02/25, 110.50, 117.35, 110.50, 113.43, 1964977.6728804
12/31/24, 105.12, 111.48, 104.63, 110.75, 2488960.19748087
12/30/24, 95.34, 106.34, 95.34, 104.39, 2209552.20941012
12/27/24, 92.61, 95.05, 91.24, 93.88, 1240158.00195101
12/26/24, 92.12, 92.90, 92.12, 92.61, 383742.678508393
12/24/24, 90.65, 92.80, 88.99, 92.61, 533592.069976135
12/23/24, 89.97, 92.21, 89.09, 90.65, 2137555.78154718
12/20/24, 88.50, 88.99, 88.01, 88.69, 377368.697841532
12/19/24, 88.60, 89.48, 88.01, 88.11, 212927.564012899
12/18/24, 87.91, 88.50, 86.84, 88.01, 1394211.37777965
12/17/24, 85.37, 88.89, 85.37, 87.42, 1488025.36982154
12/16/24, 84.10, 86.54, 84.10, 85.27, 1792230.83217285
12/13/24, 84.10, 84.10, 83.41, 84.00, 420279.81235185
12/12/24, 82.63, 84.00, 82.14, 83.22, 1627905.25422668
12/11/24, 83.41, 83.41, 81.85, 82.53, 454982.368733996
12/10/24, 84.10, 84.10, 83.12, 83.12, 128357.019949145
12/09/24, 84.10, 84.20, 83.71, 84.00, 457423.358923599
12/06/24, 84.00, 84.00, 83.12, 83.80, 83817.8969001397
12/05/24, 84.10, 84.88, 83.12, 83.90, 805644.363688358
12/04/24, 82.24, 84.10, 81.26, 83.41, 1173816.65399948
12/03/24, 81.56, 82.24, 80.77, 81.65, 146356.126914878
12/02/24, 82.14, 83.02, 81.46, 81.65, 24789.2933331254
11/29/24, 82.63, 83.12, 81.85, 82.04, 271414.179812637
11/28/24, 81.95, 83.02, 81.46, 82.53, 373348.784797825
11/27/24, 80.19, 82.04, 80.19, 81.46, 216255.164380293
11/26/24, 78.82, 81.07, 78.43, 80.09, 186874.314301748
11/25/24, 81.07, 81.07, 78.72, 79.01, 58403.7837070028
11/22/24, 80.28, 81.65, 80.19, 81.07, 152794.532542755
11/21/24, 80.58, 81.26, 78.82, 80.19, 149396.371503773
11/20/24, 80.77, 82.14, 80.58, 80.87, 548684.89536715
11/19/24, 83.12, 83.12, 80.19, 80.58, 333491.208915976
11/18/24, 83.61, 85.08, 83.02, 83.12, 482513.302074799
11/14/24, 84.88, 84.88, 81.16, 83.12, 1001810.1890344
11/13/24, 84.59, 86.05, 84.59, 86.05, 2205494.45948454
11/12/24, 84.39, 84.59, 83.12, 84.29, 889827.335367588
11/11/24, 82.14, 84.59, 82.14, 83.90, 123661.156123985
11/08/24, 83.12, 83.51, 82.14, 82.53, 224649.83906251
11/07/24, 82.44, 84.10, 82.14, 82.53, 90283.9132255946
11/06/24, 84.10, 84.10, 80.87, 83.12, 117469.201537455
11/05/24, 85.08, 85.47, 83.61, 84.29, 228242.297602969
11/04/24, 85.56, 85.56, 84.78, 85.08, 294417.981369036
11/01/24, 86.05, 86.35, 83.61, 85.96, 891092.314364043
10/30/24, 83.12, 87.23, 83.02, 85.66, 7746406.18163268
10/29/24, 81.16, 83.41, 81.16, 82.92, 2118047.28978051
10/28/24, 79.31, 82.14, 79.31, 81.56, 1017268.08920451
10/25/24, 78.82, 79.40, 78.23, 79.21, 511245.81206947
10/24/24, 78.23, 79.11, 78.03, 78.23, 421404.692623556
10/23/24, 75.10, 78.23, 75.10, 77.74, 316868.54635544
10/22/24, 76.18, 76.67, 74.61, 75.79, 161727.104518534
10/21/24, 75.79, 77.06, 75.49, 76.27, 100411.926144669
10/18/24, 76.76, 76.76, 75.30, 75.98, 125990.680904846
10/16/24, 76.27, 77.55, 76.08, 76.76, 21685.6464016442
10/15/24, 77.74, 77.74, 76.08, 76.27, 156813.422968034
10/14/24, 78.82, 79.21, 76.96, 77.35, 44219.0434807835
10/11/24, 79.01, 79.99, 78.33, 78.82, 337757.57300103
10/10/24, 77.74, 79.21, 76.27, 78.62, 405219.710750557
10/09/24, 78.33, 79.50, 77.45, 78.23, 564384.133486458
10/08/24, 79.11, 79.50, 78.23, 78.62, 325438.088788986
10/07/24, 78.33, 80.09, 78.33, 79.11, 512688.726672541
10/04/24, 76.18, 79.11, 75.30, 78.33, 572482.248824316
10/03/24, 76.37, 76.67, 74.42, 76.18, 174662.20502473
10/02/24, 76.96, 78.03, 75.30, 76.27, 252057.035573425
10/01/24, 76.76, 78.03, 74.32, 77.94, 931796.618304958
09/30/24, 75.30, 77.15, 75.30, 76.57, 398987.874045303
09/27/24, 74.12, 75.49, 72.85, 74.22, 115896.414393923
09/26/24, 73.73, 77.06, 71.39, 74.12, 467931.785898196
09/25/24, 70.31, 73.34, 70.31, 73.24, 415823.241239034
09/24/24, 69.63, 70.41, 69.14, 70.11, 485931.915482358
09/23/24, 68.65, 70.41, 66.30, 69.43, 190510.745434646
09/20/24, 68.55, 69.33, 66.89, 68.45, 489165.4349543
09/19/24, 65.52, 67.96, 65.42, 66.40, 125452.783611285
09/18/24, 64.44, 66.01, 63.56, 64.74, 126896.720832784
09/13/24, 63.27, 64.44, 62.58, 63.56, 57984.5101511849
09/12/24, 62.49, 63.37, 62.00, 62.58, 10671.0233047796
09/11/24, 62.58, 62.58, 61.61, 61.70, 2138.29513467122
09/10/24, 61.80, 62.58, 60.63, 60.82, 93724.0016201589
09/09/24, 64.74, 64.74, 61.61, 61.70, 168020.298329517
09/06/24, 65.32, 65.32, 63.07, 63.07, 72486.2620903397
09/05/24, 64.05, 65.52, 63.56, 63.66, 163089.232265727
09/04/24, 63.07, 64.05, 63.07, 63.95, 103452.170733563
09/03/24, 64.05, 64.05, 61.31, 63.17, 54120.0351086586
09/02/24, 62.58, 62.78, 62.19, 62.29, 38270.4720803137
08/30/24, 64.54, 64.54, 63.07, 63.37, 68356.9288747479
08/29/24, 64.54, 64.93, 63.56, 63.56, 60080.8779302744
08/28/24, 65.32, 65.32, 64.05, 64.25, 32551.9898263292
08/27/24, 67.28, 67.28, 63.76, 63.95, 115758.360906032
08/26/24, 67.47, 67.47, 65.03, 65.42, 43731.2544902344
08/23/24, 67.87, 68.75, 67.28, 67.47, 1240569.0945594
08/22/24, 68.45, 68.55, 67.87, 68.16, 13901.474921435
08/21/24, 68.84, 68.84, 67.96, 68.26, 11051.4373603022
08/20/24, 68.45, 68.45, 67.47, 67.57, 36898.1181488317
08/16/24, 69.92, 69.92, 68.45, 68.45, 35665.8629420986
08/15/24, 68.26, 71.39, 68.26, 68.55, 476722.213912368
08/14/24, 67.96, 68.26, 67.18, 67.47, 80354.2882817124
08/13/24, 68.26, 68.26, 66.50, 67.38, 11900.2106562262
08/12/24, 68.06, 68.45, 66.69, 67.47, 8101.18319314464
08/09/24, 67.08, 68.06, 66.50, 66.59, 69127.9831700813
08/08/24, 67.57, 67.57, 66.01, 66.01, 44360.1648239613
08/07/24, 67.96, 67.96, 67.47, 67.47, 169816.016290532
08/06/24, 68.26, 68.26, 67.08, 67.57, 90493.5500035035
08/05/24, 68.75, 68.75, 66.01, 66.89, 48794.2383313426
08/02/24, 68.55, 69.43, 68.55, 68.55, 11205.8527430546
08/01/24, 68.55, 69.43, 67.96, 68.94, 15398.5883012335
07/31/24, 69.04, 69.14, 68.45, 68.55, 163474.759413394
07/30/24, 69.92, 69.92, 68.94, 69.14, 14556.9733343113
07/29/24, 69.63, 70.90, 69.63, 69.92, 126021.359457711
07/26/24, 71.39, 71.39, 69.63, 69.82, 16998.9861423433
07/25/24, 71.78, 72.36, 70.41, 70.41, 13611.051287649
07/24/24, 70.21, 71.58, 69.53, 71.39, 436063.92780075
07/23/24, 69.14, 70.21, 68.45, 69.43, 483735.331097244
07/22/24, 70.11, 71.29, 68.55, 69.04, 61399.0330850286
07/19/24, 71.39, 71.39, 70.02, 70.11, 47251.107122247
07/18/24, 71.68, 71.87, 70.41, 70.70, 277256.398896509
07/17/24, 72.46, 72.46, 71.58, 71.78, 99909.820496116
07/16/24, 72.85, 72.85, 72.46, 72.46, 47820.7055871021
07/15/24, 73.05, 73.05, 72.46, 72.66, 79769.350540425
07/12/24, 73.05, 73.05, 72.75, 72.85, 140077.249761898
07/11/24, 74.03, 74.03, 73.05, 73.15, 20544.4042350765
07/10/24, 73.83, 74.32, 73.83, 73.93, 333787.768260335
07/09/24, 75.30, 75.30, 73.34, 73.73, 51743.4698800714
07/08/24, 76.27, 76.27, 74.32, 74.61, 47287.9213856847
07/05/24, 76.27, 77.25, 75.79, 76.27, 32610.2790767722
07/04/24, 78.23, 79.21, 74.42, 76.37, 135087.894447666
07/03/24, 76.86, 78.13, 76.86, 77.64, 40114.2531074835
07/02/24, 78.13, 78.23, 77.35, 77.74, 74765.6785681886
07/01/24, 79.21, 79.21, 77.25, 77.25, 10449.1151057248
06/28/24, 77.35, 79.21, 77.06, 78.43, 285793.217540333
06/27/24, 78.82, 78.82, 77.25, 77.84, 212170.82637557
06/26/24, 79.21, 79.21, 78.23, 78.72, 303030.473776592
06/25/24, 78.23, 79.11, 78.23, 78.62, 93524.5910265382
06/24/24, 77.94, 80.19, 77.94, 78.23, 373425.481179987
06/20/24, 77.25, 77.94, 77.25, 77.84, 50824.1359125585
06/19/24, 77.45, 77.94, 76.96, 77.25, 47814.5698765291
06/18/24, 77.74, 77.94, 76.86, 77.64, 116773.821005854
06/14/24, 78.23, 78.23, 77.74, 78.13, 175635.73776897
06/13/24, 80.48, 80.68, 78.23, 78.23, 474081.813129144
06/12/24, 80.19, 80.68, 79.70, 79.89, 84413.0608257154
06/11/24, 81.07, 81.56, 79.89, 80.19, 355175.832699191
06/10/24, 79.70, 81.16, 79.70, 80.97, 301642.780568678
06/07/24, 80.19, 80.38, 79.21, 79.60, 169694.324697502
