Date, Open, High, Low, Close, Volume
04/24/25, 187.00, 188.00, 185.00, 185.25, 22447
04/23/25, 188.00, 188.00, 185.00, 185.25, 16307
04/22/25, 190.00, 190.00, 185.00, 188.75, 28206
04/21/25, 189.50, 191.75, 187.00, 188.00, 13420
04/17/25, 191.75, 191.75, 180.25, 189.25, 7439
04/16/25, 193.00, 193.50, 189.00, 189.75, 64651
04/11/25, 190.75, 191.00, 187.00, 189.75, 204562
04/10/25, 189.00, 195.00, 187.00, 191.00, 445085
04/09/25, 184.00, 184.00, 174.00, 176.75, 78023
04/08/25, 175.00, 188.00, 175.00, 184.00, 372991
04/07/25, 181.00, 181.00, 171.00, 175.25, 172507
04/04/25, 187.00, 187.00, 180.00, 181.00, 140369
04/03/25, 190.00, 191.25, 180.00, 189.00, 60112
04/02/25, 195.00, 195.00, 190.50, 192.00, 69207
04/01/25, 193.00, 195.00, 189.00, 190.50, 74427
03/28/25, 190.00, 191.00, 188.00, 190.00, 98730
03/27/25, 192.00, 192.00, 189.00, 190.00, 25251
03/26/25, 193.00, 193.00, 189.75, 190.00, 15493
03/25/25, 193.00, 194.75, 192.00, 192.25, 30204
03/24/25, 194.00, 196.75, 192.00, 193.25, 120370
03/21/25, 193.00, 194.00, 190.00, 193.25, 41232
03/20/25, 187.25, 192.00, 186.00, 192.00, 118958
03/19/25, 186.00, 188.25, 185.75, 188.00, 149787
03/18/25, 190.00, 190.00, 187.00, 187.75, 41589
03/17/25, 193.25, 194.25, 189.00, 190.00, 62706
03/14/25, 193.25, 196.25, 193.00, 193.25, 11544
03/12/25, 195.75, 195.75, 190.00, 193.00, 100995
03/11/25, 197.00, 197.00, 190.50, 191.00, 414634
03/10/25, 195.00, 200.00, 195.00, 197.00, 267690
03/07/25, 194.50, 198.75, 191.25, 198.00, 129448
03/06/25, 196.00, 196.00, 192.50, 193.25, 100877
03/05/25, 192.98, 195.70, 192.24, 195.20, 2133125.91732379
03/04/25, 193.23, 193.23, 187.56, 192.24, 163050.820039718
03/03/25, 197.17, 197.17, 193.23, 193.48, 77594.3664976539
02/28/25, 197.91, 197.91, 194.96, 196.93, 321121.270141615
02/27/25, 199.15, 201.12, 195.20, 197.91, 133340.022514518
02/25/25, 202.35, 203.83, 195.20, 199.15, 292053.559080891
02/24/25, 206.79, 206.79, 200.13, 204.08, 233179.703290454
02/21/25, 204.08, 208.76, 204.08, 205.06, 429777.524339048
02/20/25, 207.03, 207.03, 199.15, 202.35, 224971.729046696
02/19/25, 209.00, 210.98, 204.57, 206.29, 417304.28419131
02/18/25, 202.10, 209.00, 200.13, 206.54, 306561.549146199
02/17/25, 194.96, 204.08, 193.23, 202.10, 531140.731723254
02/14/25, 187.32, 195.20, 187.32, 194.22, 268788.841179898
02/13/25, 183.37, 186.82, 182.63, 186.82, 94827.8665472649
02/11/25, 184.60, 186.33, 184.36, 185.34, 486208.86876283
02/10/25, 187.32, 189.04, 184.36, 184.60, 22630.7604241831
02/07/25, 188.79, 189.29, 187.32, 189.04, 77928.0817134469
02/06/25, 184.36, 189.04, 180.41, 185.84, 448908.839491238
02/05/25, 189.29, 191.01, 183.37, 186.82, 431171.216456067
02/03/25, 190.27, 190.77, 187.32, 189.78, 325026.448198767
01/31/25, 189.29, 190.27, 189.04, 189.78, 77976.7696476659
01/30/25, 190.03, 190.27, 188.30, 190.03, 42853.4967684499
01/29/25, 186.33, 189.29, 185.84, 187.56, 481015.4891128
01/28/25, 185.59, 186.33, 185.10, 185.84, 194342.961095074
01/27/25, 185.34, 186.82, 182.39, 185.34, 155213.076962417
01/24/25, 190.27, 190.27, 186.33, 187.32, 108947.367470784
01/23/25, 188.79, 191.26, 187.56, 189.29, 480604.684667827
01/22/25, 186.82, 189.29, 186.82, 188.05, 1115089.61409882
01/21/25, 182.39, 186.33, 182.39, 185.59, 495088.330766025
01/20/25, 181.40, 183.37, 179.43, 182.14, 129483.532391586
01/17/25, 181.89, 182.39, 180.41, 180.91, 538473.337483033
01/16/25, 181.15, 182.39, 181.15, 181.89, 181098.828655535
01/15/25, 172.53, 181.40, 172.53, 179.67, 186499.132025996
01/10/25, 172.03, 175.48, 170.56, 172.53, 371055.818343045
01/09/25, 177.46, 177.46, 172.28, 173.27, 241201.04045304
01/08/25, 174.01, 177.70, 172.53, 176.22, 430947.049092267
01/07/25, 174.50, 175.48, 170.06, 174.01, 189663.847750233
01/06/25, 177.70, 181.40, 172.53, 175.48, 559653.603200274
01/03/25, 185.34, 185.34, 177.46, 178.20, 240371.31690739
01/02/25, 184.36, 186.33, 184.36, 185.34, 411307.553626666
12/31/24, 182.39, 186.08, 181.40, 183.86, 413719.635034434
12/30/24, 174.75, 187.07, 174.75, 182.63, 506158.749809077
12/27/24, 173.51, 174.50, 173.27, 174.25, 209407.819408013
12/26/24, 172.53, 174.50, 171.54, 174.01, 102163.515302932
12/24/24, 172.53, 172.53, 168.09, 171.54, 123576.063039677
12/23/24, 171.54, 174.50, 170.31, 170.80, 541066.984312159
12/20/24, 167.60, 171.54, 167.11, 170.06, 305945.849644721
12/19/24, 171.54, 171.54, 167.60, 168.09, 171743.644961741
12/18/24, 171.30, 171.54, 165.63, 170.56, 158274.330826439
12/17/24, 172.28, 172.53, 165.63, 171.30, 211682.96600079
12/16/24, 165.13, 172.03, 165.13, 171.54, 470403.548116977
12/13/24, 157.00, 165.13, 157.00, 164.39, 497671.834275523
12/12/24, 156.75, 159.46, 155.27, 157.74, 85768.8677866366
12/11/24, 154.78, 157.74, 154.78, 156.26, 159475.299870508
12/10/24, 159.22, 159.96, 153.80, 155.03, 347551.718098808
12/09/24, 157.74, 160.70, 157.74, 158.23, 46324.5407454816
12/06/24, 157.74, 158.73, 156.51, 157.49, 192323.426156948
12/05/24, 153.80, 161.68, 153.30, 156.01, 198274.511783261
12/04/24, 149.61, 154.54, 149.61, 153.30, 131678.546759294
12/03/24, 149.36, 150.59, 147.88, 149.61, 18151.4704760323
12/02/24, 149.85, 149.85, 147.39, 147.88, 103977.140852591
11/29/24, 150.84, 151.33, 149.36, 150.10, 39113.6548212507
11/28/24, 148.87, 151.82, 148.87, 150.35, 205739.995030179
11/27/24, 148.13, 148.87, 147.88, 147.88, 111766.195995673
11/26/24, 144.92, 148.87, 144.92, 147.39, 222210.717443692
11/25/24, 146.16, 147.63, 144.92, 145.42, 108356.011936415
11/22/24, 146.16, 150.35, 146.16, 147.14, 32036.660716122
11/21/24, 147.88, 147.88, 144.92, 146.16, 470941.144057312
11/20/24, 147.88, 151.33, 146.16, 147.88, 74037.104303776
11/19/24, 149.85, 149.85, 146.89, 147.88, 538144.693927054
11/18/24, 154.54, 155.77, 148.87, 149.61, 465920.200840974
11/14/24, 147.88, 153.80, 144.43, 148.13, 1002580.92710631
11/13/24, 141.47, 142.95, 140.98, 142.21, 1056315.16284075
11/12/24, 141.23, 141.47, 139.25, 140.24, 81596.9204232434
11/11/24, 141.97, 142.70, 139.50, 140.98, 47674.6165880968
11/08/24, 132.85, 141.97, 132.85, 138.51, 187057.014605589
11/07/24, 132.60, 136.05, 132.60, 134.57, 28516.9288048713
11/06/24, 136.79, 136.79, 132.85, 134.57, 103508.519485733
11/05/24, 136.05, 136.79, 135.31, 135.31, 366106.892696073
11/04/24, 136.05, 137.53, 135.80, 136.05, 172929.399026367
11/01/24, 137.04, 138.02, 136.05, 136.30, 107205.75949049
10/30/24, 139.25, 139.99, 136.79, 137.28, 148912.046808905
10/29/24, 137.28, 139.99, 137.28, 139.25, 419072.264802638
10/28/24, 137.04, 137.78, 136.05, 137.28, 68231.0681481566
10/25/24, 136.05, 137.78, 135.31, 136.79, 224143.01983301
10/24/24, 133.09, 136.54, 132.11, 135.80, 428125.177571489
10/23/24, 130.13, 131.86, 129.40, 130.63, 108099.385949802
10/22/24, 130.13, 130.87, 129.64, 130.13, 78632.028095697
10/21/24, 131.12, 131.12, 129.64, 130.13, 58240.9126455894
10/18/24, 131.61, 132.11, 128.66, 129.89, 90206.5701243086
10/16/24, 130.38, 131.12, 129.89, 130.13, 325177.583661238
10/15/24, 131.12, 131.12, 128.66, 129.89, 81115.1127408676
10/14/24, 130.87, 132.11, 129.15, 130.13, 220172.924530233
10/11/24, 131.86, 132.85, 130.13, 130.87, 144938.908510239
10/10/24, 130.13, 131.86, 128.16, 131.61, 355934.157440185
10/09/24, 131.61, 132.85, 129.89, 130.13, 63798.4374702991
10/08/24, 131.61, 134.08, 131.61, 132.60, 281564.352252579
10/07/24, 128.41, 135.56, 128.41, 133.34, 681690.924652237
10/04/24, 124.47, 128.16, 124.47, 128.16, 135371.7294362
10/03/24, 127.18, 127.42, 125.21, 126.19, 277968.545444111
10/02/24, 124.47, 128.16, 124.47, 126.93, 1279195.33937996
10/01/24, 123.23, 127.67, 121.26, 127.18, 505099.787239813
09/30/24, 123.23, 123.73, 122.00, 122.25, 403136.095333572
09/27/24, 121.26, 122.99, 119.29, 122.49, 206672.166104081
09/26/24, 122.00, 124.22, 119.29, 120.03, 409548.702003003
09/25/24, 118.30, 122.25, 118.30, 121.51, 622460.02401086
09/24/24, 117.81, 118.30, 116.33, 117.57, 328903.224960957
09/23/24, 118.30, 118.30, 109.43, 114.61, 107264.590744338
09/20/24, 112.88, 115.35, 112.39, 114.36, 440876.344677061
09/19/24, 117.81, 117.81, 111.90, 112.64, 487810.498932243
09/18/24, 108.45, 113.38, 108.45, 111.65, 257227.485466804
09/13/24, 107.21, 107.71, 106.47, 107.71, 7640.96267649909
09/12/24, 106.23, 106.23, 103.76, 104.50, 37447.1074062118
09/11/24, 102.78, 107.21, 102.78, 103.52, 1093379.86709695
09/10/24, 106.47, 106.47, 102.53, 104.01, 59701.5506721603
09/09/24, 112.39, 112.39, 106.47, 106.47, 273253.930480568
09/06/24, 112.39, 112.39, 109.19, 109.19, 18252.9036723219
09/05/24, 112.39, 112.88, 110.42, 110.42, 169310.262582752
09/04/24, 108.45, 113.13, 108.45, 110.42, 253075.824742669
09/03/24, 108.45, 108.45, 105.73, 107.46, 82457.0739277796
09/02/24, 108.45, 108.45, 106.97, 106.97, 60723.9972907599
08/30/24, 112.39, 112.39, 108.20, 108.45, 69991.9484357449
