Date, Open, High, Low, Close, Volume
04/24/25, 5.50, 5.50, 5.30, 5.40, 2270
04/23/25, 5.40, 5.60, 5.20, 5.50, 102086
04/22/25, 5.40, 5.60, 5.30, 5.40, 13611
04/21/25, 5.50, 5.50, 5.30, 5.40, 159431
04/17/25, 5.50, 5.50, 5.40, 5.50, 2416
04/16/25, 5.50, 5.50, 5.20, 5.40, 25422
04/11/25, 5.50, 5.50, 5.30, 5.50, 17397
04/10/25, 5.40, 5.50, 5.30, 5.50, 98086
04/09/25, 5.00, 5.40, 4.80, 5.30, 53754
04/08/25, 5.10, 5.20, 4.90, 5.10, 33402
04/07/25, 5.10, 5.10, 4.90, 4.90, 54662
04/04/25, 5.00, 5.40, 4.90, 5.00, 94123
04/03/25, 5.20, 5.50, 5.00, 5.40, 125414
04/02/25, 5.50, 5.50, 5.20, 5.40, 12443
04/01/25, 5.50, 5.50, 5.20, 5.30, 172186
03/28/25, 5.50, 5.50, 5.30, 5.30, 11178
03/27/25, 5.50, 5.50, 5.30, 5.40, 19148
03/26/25, 5.60, 5.60, 5.50, 5.50, 204
03/25/25, 5.60, 5.60, 5.40, 5.50, 29457
03/24/25, 5.60, 5.60, 5.40, 5.40, 16401
03/21/25, 5.60, 5.60, 5.40, 5.50, 4050
03/20/25, 5.50, 5.60, 5.40, 5.50, 13675
03/19/25, 5.40, 5.50, 5.30, 5.40, 25142
03/18/25, 5.40, 5.40, 5.30, 5.30, 20639
03/17/25, 5.50, 5.50, 5.20, 5.20, 4031
03/14/25, 5.60, 5.60, 5.20, 5.40, 32268
03/12/25, 5.30, 5.50, 5.30, 5.50, 28585
03/11/25, 5.60, 5.60, 5.30, 5.30, 15050
03/10/25, 5.50, 5.50, 5.30, 5.50, 5906
03/07/25, 5.60, 5.70, 5.50, 5.50, 7952
03/06/25, 5.70, 5.70, 5.30, 5.60, 2500
03/05/25, 5.50, 5.60, 5.20, 5.40, 66927
03/04/25, 5.20, 5.60, 5.20, 5.30, 11631
03/03/25, 5.60, 5.70, 5.20, 5.30, 181264
02/28/25, 5.70, 5.70, 5.60, 5.60, 3823
02/27/25, 5.60, 5.70, 5.30, 5.60, 126449
02/25/25, 5.70, 5.70, 5.50, 5.50, 105623
02/24/25, 5.80, 5.80, 5.40, 5.50, 211400
02/21/25, 6.00, 6.00, 5.80, 5.80, 145908
02/20/25, 5.90, 5.90, 5.70, 5.70, 43813
02/19/25, 6.00, 6.00, 5.60, 5.90, 68792
02/18/25, 5.90, 5.90, 5.70, 5.80, 79331
02/17/25, 6.00, 6.00, 5.70, 5.90, 70939
02/14/25, 5.90, 6.00, 5.80, 5.90, 113004
02/13/25, 5.60, 5.90, 5.60, 5.90, 30249
02/11/25, 5.90, 5.90, 5.60, 5.80, 109342
02/10/25, 6.00, 6.00, 5.80, 5.90, 46129
02/07/25, 5.90, 6.00, 5.80, 5.90, 94540
02/06/25, 5.70, 6.00, 5.60, 6.00, 239903
02/05/25, 5.80, 6.00, 5.70, 5.90, 398085
02/03/25, 5.90, 5.90, 5.60, 5.70, 431550
01/31/25, 5.90, 6.00, 5.70, 6.00, 119993
01/30/25, 5.90, 6.00, 5.70, 5.90, 311458
01/29/25, 5.90, 5.90, 5.70, 5.80, 107095
01/28/25, 5.70, 6.00, 5.70, 5.80, 21179
01/27/25, 6.00, 6.00, 5.70, 5.80, 35736
01/24/25, 6.10, 6.20, 5.80, 5.80, 155822
01/23/25, 5.70, 6.10, 5.60, 6.00, 555564
01/22/25, 5.80, 5.90, 5.70, 5.70, 163734
01/21/25, 5.80, 6.00, 5.70, 5.70, 107596
01/20/25, 5.80, 5.90, 5.60, 5.70, 72393
01/17/25, 5.60, 6.00, 5.60, 5.80, 26470
01/16/25, 6.00, 6.10, 5.80, 5.90, 49173
01/15/25, 5.80, 6.00, 5.80, 5.80, 343625
01/10/25, 5.60, 5.90, 5.60, 5.80, 189101
01/09/25, 5.80, 5.90, 5.40, 5.60, 167611
01/08/25, 5.90, 6.00, 5.70, 5.90, 80378
01/07/25, 5.80, 6.20, 5.60, 5.90, 127761
01/06/25, 6.30, 6.30, 5.50, 6.00, 982419
01/03/25, 5.60, 6.80, 5.60, 6.30, 4938499
01/02/25, 4.40, 5.50, 4.40, 5.50, 2307162
12/31/24, 4.30, 4.70, 4.30, 4.40, 453338
12/30/24, 4.50, 4.60, 4.30, 4.40, 306055
12/27/24, 4.40, 4.60, 4.40, 4.50, 205917
12/26/24, 4.40, 4.50, 4.40, 4.50, 250187
12/24/24, 4.40, 4.60, 4.30, 4.40, 372708
12/23/24, 4.10, 4.40, 4.10, 4.40, 272335
12/20/24, 4.20, 4.30, 4.10, 4.10, 43820
12/19/24, 4.30, 4.30, 4.10, 4.20, 77919
12/18/24, 4.20, 4.30, 4.10, 4.20, 153037
12/17/24, 4.20, 4.30, 4.20, 4.20, 234014
12/16/24, 4.20, 4.30, 4.10, 4.20, 397409
12/13/24, 4.20, 4.30, 4.10, 4.10, 247096
12/12/24, 4.00, 4.20, 4.00, 4.20, 528847
12/11/24, 4.10, 4.20, 4.00, 4.00, 41635
12/10/24, 4.20, 4.20, 4.00, 4.10, 22416
12/09/24, 4.10, 4.20, 4.10, 4.10, 66534
12/06/24, 4.00, 4.20, 4.00, 4.10, 55231
12/05/24, 4.10, 4.20, 4.00, 4.00, 126950
12/04/24, 4.20, 4.20, 3.90, 4.10, 148339
12/03/24, 4.10, 4.20, 4.00, 4.10, 30613
12/02/24, 4.10, 4.20, 4.00, 4.10, 96685
11/29/24, 4.10, 4.10, 3.90, 4.10, 25947
11/28/24, 3.90, 4.10, 3.90, 4.00, 19873
11/27/24, 3.90, 4.10, 3.90, 4.00, 63150
11/26/24, 4.10, 4.10, 4.00, 4.00, 17866
11/25/24, 4.00, 4.10, 4.00, 4.00, 16883
11/22/24, 3.90, 4.20, 3.90, 4.10, 109669
11/21/24, 4.00, 4.10, 3.90, 4.00, 161008
11/20/24, 4.00, 4.10, 3.90, 4.00, 15508
11/19/24, 4.00, 4.00, 3.90, 4.00, 151503
11/18/24, 4.00, 4.10, 4.00, 4.00, 160505
11/14/24, 4.10, 4.10, 4.00, 4.00, 23401
11/13/24, 4.00, 4.10, 3.90, 4.00, 12567
11/12/24, 4.10, 4.10, 3.90, 4.00, 9071
11/11/24, 4.00, 4.10, 3.90, 4.00, 31311
11/08/24, 4.10, 4.10, 3.90, 3.90, 85557
11/07/24, 4.00, 4.10, 4.00, 4.10, 5969
11/06/24, 3.90, 4.10, 3.90, 4.00, 21996
11/05/24, 4.00, 4.10, 3.90, 4.00, 13410
11/04/24, 4.10, 4.10, 4.00, 4.10, 33044
11/01/24, 4.00, 4.10, 3.90, 3.90, 41141
10/30/24, 4.20, 4.20, 4.00, 4.00, 146532
10/29/24, 4.20, 4.20, 4.00, 4.10, 66912
10/28/24, 4.00, 4.20, 4.00, 4.20, 123344
10/25/24, 4.30, 4.30, 4.00, 4.00, 24595
10/24/24, 4.20, 4.20, 4.00, 4.00, 134230
10/23/24, 4.30, 4.30, 4.10, 4.20, 18161
10/22/24, 4.20, 4.40, 4.00, 4.30, 181520
10/21/24, 4.20, 4.40, 4.20, 4.30, 21735
10/18/24, 4.20, 4.50, 4.20, 4.20, 600005
10/16/24, 4.00, 4.20, 3.90, 4.00, 241700
10/15/24, 4.00, 4.00, 3.80, 3.90, 113442
10/14/24, 3.80, 3.90, 3.80, 3.90, 33347
10/11/24, 3.80, 4.00, 3.80, 3.90, 14565
10/10/24, 4.00, 4.00, 3.80, 3.90, 48901
10/09/24, 3.80, 4.00, 3.80, 3.90, 12212
10/08/24, 3.80, 3.90, 3.80, 3.80, 82289
10/07/24, 3.90, 3.90, 3.80, 3.90, 17741
10/04/24, 3.90, 4.00, 3.80, 3.80, 24590
10/03/24, 3.90, 4.00, 3.90, 3.90, 19399
10/02/24, 3.90, 4.00, 3.80, 3.80, 21270
10/01/24, 3.90, 4.00, 3.80, 3.90, 22474
09/30/24, 3.80, 4.00, 3.70, 3.90, 135594
09/27/24, 3.70, 3.80, 3.60, 3.70, 16229
09/26/24, 3.80, 3.80, 3.70, 3.80, 107733
09/25/24, 3.80, 3.80, 3.70, 3.70, 104823
