Date, Open, High, Low, Close, Volume
04/24/25, 10.60, 11.00, 10.60, 10.80, 6700
04/23/25, 10.60, 10.60, 10.60, 10.70, 1
04/21/25, 10.70, 10.80, 10.70, 10.70, 12000
04/17/25, 10.60, 10.90, 10.60, 10.90, 5296
04/16/25, 10.80, 10.80, 10.60, 10.60, 470
04/11/25, 10.80, 10.90, 10.60, 10.80, 195
04/10/25, 10.70, 10.80, 10.70, 10.80, 1500
04/09/25, 10.90, 10.90, 10.70, 10.70, 208
04/08/25, 10.50, 10.80, 10.50, 10.50, 1571
04/07/25, 10.70, 11.00, 10.50, 10.60, 10975
04/04/25, 11.00, 11.00, 10.60, 10.70, 8600
04/03/25, 10.90, 10.90, 10.90, 10.90, 171
04/02/25, 10.80, 10.80, 10.70, 10.70, 3003
04/01/25, 10.70, 10.80, 10.70, 10.80, 373
03/28/25, 11.00, 11.00, 10.70, 10.70, 290
03/27/25, 10.70, 11.00, 10.70, 10.70, 1002
03/26/25, 11.00, 11.00, 11.00, 10.60, 53
03/25/25, 11.10, 11.10, 10.60, 10.60, 840
03/24/25, 11.00, 11.00, 11.00, 11.00, 200
03/21/25, 10.90, 11.20, 10.60, 10.70, 2211
03/20/25, 11.00, 11.20, 10.50, 10.80, 8207
03/19/25, 11.30, 11.30, 10.80, 11.20, 6
03/18/25, 11.20, 11.20, 11.00, 11.20, 128
03/17/25, 11.30, 11.30, 10.90, 11.10, 1201
03/14/25, 11.30, 11.30, 11.30, 11.30, 102
03/12/25, 11.00, 11.30, 11.00, 11.00, 101
03/11/25, 11.30, 11.30, 11.10, 11.10, 958
03/10/25, 11.10, 11.30, 11.00, 11.30, 1351
03/07/25, 11.10, 11.10, 11.10, 11.00, 1
03/06/25, 11.30, 11.30, 11.30, 11.00, 21
03/05/25, 11.00, 11.00, 11.00, 11.00, 154
03/04/25, 11.00, 11.20, 11.00, 11.00, 1080
03/03/25, 11.30, 11.30, 11.20, 11.30, 577
02/28/25, 11.30, 11.30, 11.20, 10.90, 27
02/27/25, 11.00, 11.00, 10.80, 10.90, 802
02/25/25, 10.90, 11.30, 10.90, 10.90, 601
02/21/25, 11.40, 11.40, 10.90, 10.90, 2136
02/20/25, 11.00, 11.20, 11.00, 11.30, 55
02/19/25, 11.30, 11.30, 11.00, 11.30, 380
02/18/25, 11.00, 11.40, 11.00, 11.00, 1127
02/17/25, 11.00, 11.40, 11.00, 11.10, 3683
02/14/25, 11.50, 11.50, 11.10, 11.10, 1741
02/13/25, 11.20, 11.60, 11.00, 11.10, 5637
02/11/25, 11.60, 11.60, 11.10, 11.60, 1877
02/10/25, 11.10, 11.60, 11.10, 11.20, 3154
02/07/25, 11.90, 11.90, 10.80, 11.50, 11049
02/06/25, 11.30, 12.00, 11.30, 12.00, 3902
02/05/25, 11.50, 11.60, 11.40, 11.50, 5455
02/03/25, 12.00, 12.00, 11.50, 11.90, 2211
01/31/25, 12.00, 12.20, 11.50, 11.70, 3600
01/30/25, 11.90, 12.20, 11.90, 11.90, 39206
01/29/25, 12.00, 12.30, 11.70, 11.80, 7645
01/28/25, 12.60, 12.60, 11.90, 12.20, 25969
01/27/25, 11.00, 13.20, 11.00, 12.60, 204596
01/24/25, 11.00, 11.00, 10.60, 10.60, 35915
01/23/25, 11.00, 11.00, 10.80, 10.90, 1468
01/22/25, 11.10, 11.10, 10.90, 10.90, 21501
01/21/25, 10.80, 11.00, 10.60, 10.60, 38264
01/20/25, 10.80, 10.80, 10.70, 10.80, 9348
01/17/25, 10.80, 10.80, 10.60, 10.70, 7852
01/16/25, 10.70, 10.90, 10.70, 10.90, 708
01/15/25, 10.80, 10.80, 10.50, 10.70, 648
01/10/25, 10.70, 10.80, 10.50, 10.80, 1416
01/09/25, 10.80, 10.80, 10.70, 10.70, 469
01/08/25, 10.70, 10.80, 10.70, 10.70, 10581
01/07/25, 10.80, 10.80, 10.70, 10.70, 10962
01/06/25, 10.80, 10.80, 10.80, 10.80, 168
01/03/25, 11.00, 11.10, 10.80, 10.80, 54312
01/02/25, 10.90, 11.00, 10.80, 11.00, 29331
12/31/24, 10.70, 10.90, 10.70, 10.90, 8084
12/30/24, 10.90, 10.90, 10.70, 10.70, 10343
12/27/24, 10.80, 10.90, 10.70, 10.90, 16509
12/26/24, 10.90, 10.90, 10.80, 10.90, 11664
12/24/24, 11.00, 11.00, 10.80, 10.80, 40895
12/23/24, 11.00, 11.20, 10.90, 10.90, 7885
12/20/24, 11.30, 11.30, 10.60, 10.70, 66709
12/19/24, 10.80, 11.50, 10.70, 11.40, 27857
12/18/24, 10.70, 10.80, 10.50, 10.80, 26063
12/17/24, 10.60, 10.90, 10.60, 10.70, 436
