Date, Open, High, Low, Close, Volume
04/24/25, 28.00, 28.10, 28.00, 28.10, 345
04/23/25, 29.70, 29.70, 27.90, 28.20, 344
04/22/25, 27.90, 29.80, 27.90, 29.20, 594
04/21/25, 28.80, 28.80, 27.90, 28.80, 97
04/17/25, 28.80, 28.80, 27.80, 28.80, 175
04/16/25, 27.90, 28.70, 27.90, 27.90, 1666
04/11/25, 28.00, 28.00, 27.90, 27.90, 119
04/10/25, 28.00, 28.80, 28.00, 28.00, 406
04/09/25, 26.40, 26.50, 26.40, 26.50, 650
04/08/25, 26.10, 26.30, 26.10, 26.20, 2614
04/07/25, 28.00, 28.00, 24.10, 25.80, 7087
04/04/25, 28.10, 29.10, 28.00, 28.00, 3420
04/03/25, 28.20, 28.20, 28.00, 28.20, 92
04/01/25, 28.20, 28.20, 28.00, 28.20, 122
03/28/25, 27.90, 28.20, 27.90, 28.00, 3511
03/27/25, 28.20, 28.20, 28.20, 27.90, 35
03/26/25, 28.20, 28.20, 27.90, 27.90, 120
03/25/25, 27.80, 27.90, 27.80, 27.80, 2930
03/24/25, 28.10, 28.30, 27.60, 28.20, 905
03/21/25, 28.00, 28.00, 27.60, 27.60, 300
03/20/25, 27.40, 27.40, 27.40, 27.40, 300
03/19/25, 29.40, 29.40, 29.40, 29.40, 100
03/18/25, 29.40, 29.40, 27.90, 28.00, 2211
03/17/25, 28.10, 28.10, 28.00, 28.00, 187
03/14/25, 29.10, 29.10, 29.10, 28.00, 20
03/12/25, 28.00, 28.00, 28.00, 28.00, 1271
03/11/25, 28.00, 30.00, 27.80, 29.40, 30292
03/10/25, 27.80, 28.00, 27.80, 27.80, 336
03/07/25, 28.00, 28.00, 27.90, 28.00, 745
03/06/25, 28.40, 28.40, 28.40, 28.00, 2
03/05/25, 27.10, 28.70, 26.00, 28.00, 2254
03/04/25, 29.80, 29.80, 27.00, 27.10, 3810
02/27/25, 28.00, 28.80, 27.00, 27.30, 1498
02/25/25, 27.90, 29.90, 27.90, 28.20, 135
02/24/25, 28.30, 28.30, 28.00, 28.00, 295
02/21/25, 28.70, 28.70, 28.60, 28.60, 272
02/20/25, 29.80, 29.90, 28.00, 29.40, 1575
02/19/25, 28.90, 28.90, 28.40, 28.50, 140
02/18/25, 29.60, 30.00, 28.30, 29.30, 12126
02/17/25, 30.00, 31.00, 29.50, 29.90, 5117
02/14/25, 30.00, 31.30, 29.80, 30.90, 2121
02/13/25, 32.00, 32.00, 29.50, 29.90, 20065
02/11/25, 32.00, 32.00, 30.10, 32.00, 23181
02/10/25, 32.80, 33.90, 32.50, 32.60, 22858
02/07/25, 32.50, 33.40, 32.50, 32.60, 22701
