Date, Open, High, Low, Close, Volume
04/24/25, 39.70, 41.80, 39.70, 41.20, 21342
04/23/25, 38.20, 39.80, 38.00, 39.00, 182183
04/22/25, 37.20, 38.90, 37.20, 38.10, 31783
04/21/25, 37.60, 37.70, 37.20, 37.70, 2862
04/17/25, 37.50, 37.80, 37.20, 37.60, 5929
04/16/25, 37.00, 37.50, 36.20, 37.50, 3912
04/11/25, 37.30, 37.30, 36.00, 37.00, 74359
04/10/25, 36.90, 37.20, 35.50, 35.50, 13490
04/09/25, 35.50, 36.90, 35.00, 36.90, 17799
04/08/25, 35.90, 37.30, 35.00, 35.50, 36335
04/07/25, 35.50, 35.90, 34.00, 34.20, 68137
04/04/25, 37.00, 37.00, 36.10, 36.60, 14145
04/03/25, 37.10, 37.50, 36.50, 37.00, 27346
04/02/25, 36.50, 37.80, 36.50, 37.70, 181539
04/01/25, 34.80, 37.00, 34.80, 36.20, 44106
03/28/25, 34.30, 35.00, 34.30, 34.30, 76
03/27/25, 34.00, 35.00, 34.00, 34.30, 3431
03/26/25, 34.30, 34.30, 34.00, 34.00, 10502
03/25/25, 34.20, 34.30, 34.20, 34.20, 1253
03/24/25, 34.80, 34.80, 34.00, 34.00, 20871
03/21/25, 34.40, 34.90, 34.40, 34.90, 19201
03/20/25, 34.60, 34.60, 34.40, 34.40, 952
03/19/25, 34.60, 34.90, 34.40, 34.40, 816
03/18/25, 34.80, 34.80, 34.10, 34.10, 2646
03/17/25, 34.10, 34.80, 34.10, 34.60, 14004
03/14/25, 34.10, 34.90, 34.10, 34.90, 29000
03/12/25, 34.10, 34.90, 34.00, 34.10, 4529
03/11/25, 34.00, 34.90, 34.00, 34.00, 22341
03/10/25, 34.00, 34.10, 34.00, 34.00, 124071
03/07/25, 34.50, 34.50, 34.00, 34.40, 30091
03/06/25, 34.40, 34.40, 34.40, 34.40, 1550
03/05/25, 34.10, 35.00, 34.00, 35.00, 6049
03/04/25, 35.00, 35.00, 34.00, 34.00, 25772
03/03/25, 35.00, 35.00, 35.00, 35.00, 55898
02/28/25, 35.10, 35.40, 35.00, 35.00, 39114
02/27/25, 35.10, 35.40, 35.00, 35.40, 1799
02/25/25, 35.10, 35.50, 35.00, 35.00, 37388
02/24/25, 35.00, 35.50, 34.60, 35.00, 126565
02/21/25, 35.50, 35.50, 35.00, 35.00, 12411
02/20/25, 35.10, 36.00, 35.00, 35.50, 17027
02/19/25, 36.00, 36.00, 35.10, 35.50, 202
02/18/25, 35.20, 35.70, 34.60, 35.40, 24053
02/17/25, 35.50, 35.70, 35.20, 35.50, 18751
02/14/25, 35.40, 36.50, 35.20, 35.70, 50966
02/13/25, 34.40, 35.00, 34.40, 34.90, 262445
02/11/25, 34.50, 34.80, 34.50, 34.50, 12415
02/10/25, 34.50, 34.80, 34.50, 34.50, 43773
02/07/25, 34.50, 34.90, 34.50, 34.50, 22870
02/06/25, 34.50, 35.00, 33.00, 34.70, 17770
02/05/25, 34.90, 35.50, 34.50, 34.50, 105511
02/03/25, 35.00, 35.50, 34.50, 35.00, 20496
01/31/25, 35.50, 35.60, 34.70, 35.50, 52574
01/30/25, 35.30, 36.50, 34.80, 35.50, 50935
01/29/25, 35.80, 35.80, 35.00, 35.30, 9370
01/28/25, 35.90, 35.90, 34.80, 35.80, 17056
01/27/25, 34.40, 35.90, 34.40, 35.90, 66273
01/24/25, 35.30, 35.50, 34.90, 35.00, 13171
01/23/25, 34.90, 35.60, 34.50, 35.20, 115712
01/22/25, 34.50, 35.60, 34.50, 34.80, 9075
01/21/25, 34.50, 35.60, 34.50, 35.60, 3065
01/20/25, 35.00, 35.60, 34.40, 35.00, 52468
01/17/25, 35.00, 35.70, 35.00, 35.00, 120789
01/16/25, 34.40, 35.60, 34.40, 35.00, 23401
01/15/25, 34.30, 35.90, 34.30, 35.50, 58866
01/10/25, 34.50, 35.20, 34.50, 35.00, 42321
01/09/25, 34.60, 34.70, 34.30, 34.60, 104451
01/08/25, 33.80, 34.70, 33.80, 34.60, 73658
01/07/25, 34.10, 34.50, 34.00, 34.20, 201974
01/06/25, 34.30, 34.50, 34.10, 34.30, 440799
01/03/25, 34.80, 34.80, 34.50, 34.50, 171294
01/02/25, 34.10, 34.90, 34.10, 34.80, 156871
12/31/24, 34.40, 34.80, 34.10, 34.50, 92622
12/30/24, 34.50, 35.10, 34.10, 34.40, 95997
12/27/24, 35.20, 35.20, 34.30, 34.40, 15649
12/26/24, 33.80, 35.20, 33.50, 34.90, 63113
12/24/24, 34.20, 34.20, 33.70, 33.90, 47337
12/23/24, 34.80, 34.80, 34.00, 34.10, 61888
12/20/24, 33.80, 34.50, 33.80, 34.30, 93284
12/19/24, 30.60, 34.40, 30.50, 34.00, 2151463
12/18/24, 30.50, 30.60, 30.10, 30.50, 55484
12/17/24, 30.00, 30.70, 30.00, 30.40, 134999
12/16/24, 30.00, 30.30, 29.80, 30.00, 40408
12/13/24, 30.30, 30.50, 29.90, 30.00, 538572
12/12/24, 30.50, 30.50, 30.20, 30.30, 8460
12/11/24, 29.50, 30.50, 29.50, 30.00, 39210
12/10/24, 29.50, 29.70, 29.50, 29.50, 58696
12/09/24, 30.20, 30.20, 29.60, 29.90, 42524
12/06/24, 29.90, 30.10, 29.90, 30.10, 36513
12/05/24, 30.00, 30.10, 29.50, 30.00, 73122
12/04/24, 29.50, 30.00, 29.30, 30.00, 25403
