Date, Open, High, Low, Close, Volume
04/24/25, 6.90, 7.00, 6.90, 6.90, 28666
04/23/25, 6.90, 7.00, 6.80, 6.90, 341185
04/22/25, 7.00, 7.10, 6.90, 7.00, 1071858
04/21/25, 6.80, 7.00, 6.80, 7.00, 384118
04/17/25, 7.00, 7.00, 6.60, 6.90, 267693
04/16/25, 7.00, 7.00, 6.70, 6.90, 40460
04/11/25, 6.90, 7.00, 6.70, 6.80, 104150
04/10/25, 6.90, 7.10, 6.90, 7.00, 784863
04/09/25, 6.80, 6.80, 6.60, 6.70, 30225
04/08/25, 6.60, 6.90, 6.40, 6.80, 582267
04/07/25, 6.80, 6.80, 6.60, 6.60, 434149
04/04/25, 7.00, 7.00, 6.70, 6.90, 360846
04/03/25, 7.00, 7.10, 6.90, 7.00, 834333
04/02/25, 7.10, 7.30, 7.00, 7.00, 81890
04/01/25, 7.00, 7.10, 6.80, 7.10, 175987
03/28/25, 7.00, 7.00, 6.80, 6.90, 308068
03/27/25, 6.90, 7.00, 6.80, 6.80, 57873
03/26/25, 7.00, 7.00, 6.80, 6.90, 65457
03/25/25, 6.80, 7.20, 6.80, 7.00, 9101
03/24/25, 7.40, 7.40, 6.90, 7.00, 151946
03/21/25, 7.00, 7.30, 6.80, 7.00, 648063
03/20/25, 6.70, 7.00, 6.70, 6.90, 164607
03/19/25, 6.80, 7.10, 6.30, 6.50, 3622221
03/18/25, 6.90, 7.00, 6.80, 6.80, 224332
03/17/25, 7.20, 7.20, 6.90, 6.90, 59296
03/14/25, 7.20, 7.30, 7.00, 7.10, 101932
03/12/25, 7.00, 7.10, 7.00, 7.00, 411329
03/11/25, 7.20, 7.20, 6.80, 6.90, 264605
03/10/25, 7.20, 7.30, 7.20, 7.20, 13158
03/07/25, 7.20, 7.50, 7.20, 7.30, 24950
03/06/25, 7.50, 7.50, 7.30, 7.30, 156449
03/05/25, 7.20, 7.50, 7.20, 7.50, 155590
03/04/25, 7.40, 7.40, 7.20, 7.30, 186981
03/03/25, 7.70, 7.70, 7.30, 7.30, 411392
02/28/25, 7.40, 7.80, 7.40, 7.60, 263028
02/27/25, 7.50, 7.70, 7.40, 7.70, 92919
02/25/25, 7.60, 7.60, 7.30, 7.40, 156576
02/24/25, 7.70, 7.70, 7.50, 7.70, 150790
02/21/25, 7.70, 7.90, 7.70, 7.70, 195101
02/20/25, 8.00, 8.00, 7.60, 7.70, 384285
02/19/25, 7.90, 7.90, 7.80, 7.80, 206751
02/18/25, 8.50, 8.50, 7.90, 7.90, 208142
02/17/25, 8.00, 8.20, 7.80, 8.00, 806270
02/14/25, 7.90, 8.30, 7.90, 8.10, 1444729
02/13/25, 7.60, 7.80, 7.60, 7.70, 591721
02/11/25, 7.90, 7.90, 7.50, 7.70, 1308887
02/10/25, 8.40, 8.40, 8.00, 8.10, 776323
02/07/25, 8.40, 8.50, 8.20, 8.20, 779697
02/06/25, 8.20, 8.50, 8.00, 8.40, 601276
02/05/25, 8.60, 8.60, 8.10, 8.30, 1687893
02/03/25, 8.50, 8.70, 8.40, 8.60, 234105
01/31/25, 8.70, 8.90, 8.50, 8.60, 1713032
01/30/25, 8.90, 9.00, 8.70, 8.70, 774333
01/29/25, 9.00, 9.30, 8.90, 8.90, 3017417
01/28/25, 8.50, 9.20, 8.40, 8.90, 4298829
01/27/25, 8.40, 8.60, 8.40, 8.50, 546787
01/24/25, 8.50, 8.70, 8.40, 8.40, 1059601
