Date, Open, High, Low, Close, Volume
04/23/25, 82.00, 82.00, 81.50, 81.80, 767
04/21/25, 76.00, 84.50, 72.50, 73.80, 683
04/17/25, 76.00, 85.00, 76.00, 84.90, 113
04/16/25, 75.10, 75.10, 71.00, 73.30, 100
04/04/25, 80.00, 81.00, 80.00, 81.10, 44
04/03/25, 80.00, 80.00, 80.00, 81.10, 50
04/02/25, 80.00, 80.10, 80.00, 81.10, 94
04/01/25, 78.10, 83.00, 78.10, 81.10, 295
03/27/25, 75.40, 83.40, 75.40, 82.20, 27
03/24/25, 82.90, 82.90, 82.90, 82.20, 6
03/20/25, 82.00, 82.00, 82.00, 82.20, 10
03/19/25, 87.00, 87.00, 87.00, 82.20, 1
03/10/25, 83.50, 83.50, 83.50, 82.20, 40
03/07/25, 82.20, 82.20, 82.20, 82.20, 200
03/05/25, 95.00, 95.00, 93.90, 93.90, 101
02/28/25, 85.00, 85.00, 85.00, 85.00, 200
02/25/25, 91.00, 91.00, 82.20, 82.50, 2101
02/24/25, 92.90, 92.90, 92.90, 92.90, 1
02/20/25, 84.00, 85.00, 84.00, 92.90, 28
02/19/25, 92.90, 92.90, 92.90, 92.90, 100
02/18/25, 93.00, 93.00, 93.00, 90.70, 10
02/17/25, 92.90, 92.90, 90.00, 90.70, 181
02/14/25, 93.00, 93.00, 93.00, 82.60, 11
02/13/25, 94.00, 94.00, 93.80, 82.60, 4
02/11/25, 81.30, 94.30, 81.30, 82.60, 111
02/10/25, 91.30, 91.30, 91.30, 91.30, 100
02/07/25, 81.10, 93.50, 81.10, 93.40, 651
02/05/25, 86.00, 89.50, 80.00, 89.50, 1220
02/03/25, 91.00, 91.00, 90.90, 92.80, 30
01/31/25, 93.80, 94.00, 91.00, 92.80, 279
01/30/25, 90.90, 93.00, 90.90, 92.70, 869
01/29/25, 92.80, 92.80, 82.40, 89.10, 1089
01/28/25, 88.20, 92.70, 85.10, 90.10, 385
01/24/25, 92.00, 93.90, 91.90, 92.00, 271
01/23/25, 89.30, 93.90, 87.00, 87.80, 221
01/22/25, 92.90, 95.00, 82.00, 91.00, 3084
01/21/25, 100.00, 101.00, 93.00, 93.30, 153
01/20/25, 101.00, 101.50, 93.00, 93.00, 1089
01/17/25, 95.00, 105.75, 95.00, 95.80, 3642
01/16/25, 85.00, 95.00, 85.00, 91.50, 2672
01/15/25, 83.00, 85.50, 83.00, 84.40, 916
01/10/25, 79.50, 83.50, 79.50, 83.50, 101
01/09/25, 83.90, 84.00, 83.00, 83.70, 201
01/08/25, 82.10, 84.00, 82.00, 83.40, 1861
01/07/25, 78.90, 82.80, 78.90, 81.20, 883
01/06/25, 77.10, 80.00, 77.00, 79.00, 517
01/03/25, 77.00, 78.90, 77.00, 77.10, 172
01/02/25, 77.80, 77.80, 77.10, 77.10, 580
12/31/24, 77.30, 79.00, 77.30, 77.90, 533
12/27/24, 79.00, 79.00, 79.00, 79.00, 123
12/26/24, 81.20, 81.20, 79.90, 79.90, 149
12/24/24, 80.00, 80.00, 80.00, 80.00, 250
12/23/24, 76.50, 80.50, 76.20, 80.40, 492
12/20/24, 80.90, 80.90, 79.10, 80.10, 433
12/19/24, 76.10, 76.10, 76.00, 76.00, 554
12/18/24, 76.40, 76.40, 76.00, 76.20, 1010
12/17/24, 81.50, 81.70, 81.10, 81.20, 541
12/16/24, 81.80, 81.90, 75.00, 76.50, 1517
12/13/24, 78.50, 81.80, 78.50, 80.20, 215
12/12/24, 81.80, 81.80, 81.80, 81.60, 50
12/11/24, 82.10, 82.10, 76.10, 81.60, 582
12/10/24, 85.40, 85.40, 80.00, 80.00, 2086
12/09/24, 83.00, 85.80, 80.80, 84.80, 2560
12/06/24, 85.00, 85.00, 83.00, 83.20, 248
12/05/24, 83.30, 88.70, 83.30, 84.40, 701
12/04/24, 86.30, 89.30, 81.00, 89.20, 2190
12/03/24, 93.00, 93.00, 85.50, 86.30, 381
12/02/24, 94.90, 94.90, 89.00, 90.90, 807
11/29/24, 92.70, 92.90, 80.20, 91.60, 1344
11/28/24, 96.90, 107.75, 90.00, 91.70, 3021
11/27/24, 118.00, 118.00, 91.30, 92.90, 2920
11/26/24, 121.50, 123.00, 97.00, 108.00, 6865
11/25/24, 95.00, 123.50, 95.00, 121.25, 8639
11/22/24, 80.00, 98.80, 80.00, 98.80, 9126
11/21/24, 68.00, 80.20, 68.00, 79.10, 2590
11/20/24, 51.00, 64.30, 51.00, 64.20, 7830
11/19/24, 51.10, 51.10, 51.10, 51.50, 4
11/18/24, 53.50, 53.50, 46.10, 51.50, 373
11/13/24, 50.10, 51.50, 50.10, 51.40, 130
11/12/24, 48.20, 52.00, 48.20, 51.10, 3173
11/05/24, 46.30, 46.30, 46.30, 46.30, 100
11/04/24, 47.00, 47.00, 47.00, 47.00, 100
11/01/24, 48.40, 48.40, 48.40, 47.00, 10
10/28/24, 46.80, 47.00, 46.80, 47.00, 110
10/25/24, 48.90, 48.90, 48.90, 46.10, 25
10/24/24, 46.00, 48.80, 46.00, 46.10, 260
10/22/24, 48.00, 48.20, 48.00, 48.10, 197
10/14/24, 47.90, 47.90, 47.90, 48.10, 1
10/11/24, 48.10, 48.10, 48.10, 48.10, 100
10/09/24, 44.40, 44.40, 44.40, 44.40, 200
10/08/24, 44.80, 44.80, 44.80, 44.80, 9140
10/07/24, 44.20, 48.50, 44.20, 44.60, 4073
10/04/24, 49.40, 49.40, 44.00, 49.40, 6
10/02/24, 49.40, 49.40, 49.30, 49.40, 100
10/01/24, 49.60, 49.60, 49.50, 43.20, 7
09/30/24, 43.60, 49.80, 43.10, 43.20, 201
09/27/24, 43.60, 43.60, 43.60, 43.10, 1
09/26/24, 48.50, 48.50, 48.50, 43.10, 31
09/19/24, 49.00, 49.00, 49.00, 43.10, 4
09/13/24, 43.10, 43.10, 43.10, 43.10, 1
09/12/24, 43.20, 43.20, 43.10, 43.10, 187
09/05/24, 48.80, 48.80, 48.80, 43.40, 3
09/03/24, 43.40, 43.40, 43.40, 43.40, 100
08/23/24, 49.00, 49.00, 49.00, 43.10, 20
08/21/24, 43.10, 43.10, 43.10, 43.10, 100
08/16/24, 43.10, 43.10, 43.10, 50.90, 10
08/05/24, 50.90, 50.90, 50.90, 50.90, 100
07/29/24, 49.70, 51.00, 49.70, 50.30, 442
07/25/24, 45.10, 45.10, 45.10, 51.00, 1
07/23/24, 49.90, 49.90, 49.90, 51.00, 1
07/15/24, 50.50, 50.50, 50.50, 51.00, 1
07/12/24, 49.00, 49.00, 44.10, 51.00, 2
07/11/24, 49.90, 50.40, 49.90, 51.00, 11
07/10/24, 49.90, 49.90, 49.70, 51.00, 3
07/08/24, 44.00, 44.00, 44.00, 51.00, 27
06/24/24, 50.50, 51.00, 50.50, 51.00, 100
06/07/24, 50.00, 50.00, 50.00, 50.00, 1004
06/04/24, 53.00, 53.00, 50.00, 50.00, 55
05/31/24, 49.90, 49.90, 49.90, 50.00, 1
05/29/24, 55.00, 55.00, 55.00, 50.00, 1
05/21/24, 55.00, 55.00, 50.00, 50.00, 46
05/16/24, 50.00, 50.00, 50.00, 50.00, 5
05/15/24, 44.20, 44.20, 44.20, 50.00, 18
05/03/24, 50.00, 52.00, 50.00, 50.00, 176
04/29/24, 57.90, 57.90, 46.60, 52.00, 796
04/26/24, 50.00, 50.00, 42.00, 42.70, 137
04/15/24, 49.00, 50.10, 49.00, 49.70, 3700
04/10/24, 62.50, 62.50, 62.50, 63.00, 5
04/05/24, 63.00, 63.00, 63.00, 63.00, 8
04/04/24, 60.00, 60.00, 60.00, 63.00, 1
03/25/24, 50.00, 50.00, 50.00, 63.00, 10
03/18/24, 53.00, 53.00, 53.00, 63.00, 24
03/15/24, 63.90, 63.90, 63.90, 63.00, 1
03/14/24, 65.00, 65.00, 60.00, 63.00, 2130
03/13/24, 52.00, 52.20, 51.50, 52.00, 1551
03/12/24, 52.00, 52.00, 52.00, 41.80, 1
03/07/24, 51.60, 51.60, 51.60, 41.80, 4
03/05/24, 42.00, 42.00, 41.50, 41.80, 151
03/01/24, 51.90, 51.90, 41.50, 42.60, 202
02/16/24, 41.10, 41.10, 41.10, 50.20, 3
02/15/24, 53.60, 53.60, 50.00, 50.20, 100
02/13/24, 49.00, 50.00, 49.00, 50.00, 114
02/12/24, 47.60, 54.00, 47.60, 49.90, 38
02/07/24, 42.00, 42.00, 42.00, 49.90, 1
02/06/24, 42.10, 43.00, 42.10, 49.90, 6
02/02/24, 42.10, 46.00, 41.90, 49.90, 72
02/01/24, 43.00, 49.80, 42.20, 49.90, 31
01/31/24, 45.00, 49.90, 43.00, 49.90, 77
01/30/24, 49.90, 49.90, 49.90, 49.90, 115
01/23/24, 40.00, 40.00, 40.00, 40.00, 50
12/06/22, 40.00, 40.00, 40.00, 40.00, 8
12/05/22, 40.00, 40.00, 40.00, 40.00, 50
12/02/22, 40.00, 40.00, 40.00, 40.00, 5
11/30/22, 36.10, 39.00, 36.10, 40.00, 51
11/29/22, 40.00, 40.00, 40.00, 40.00, 101
