Date, Open, High, Low, Close, Volume
04/24/25, 32.80, 33.90, 32.80, 32.80, 26
04/23/25, 34.00, 34.00, 32.50, 32.80, 3485
04/22/25, 33.00, 34.00, 33.00, 33.90, 4110
04/21/25, 34.00, 35.00, 34.00, 34.90, 1550
04/17/25, 34.00, 35.00, 33.20, 34.50, 2717
04/16/25, 32.60, 34.00, 32.60, 34.00, 975
04/11/25, 33.90, 34.00, 33.90, 34.00, 5132
04/10/25, 31.20, 34.00, 31.20, 33.90, 18568
04/09/25, 33.80, 33.80, 32.00, 33.00, 1979
04/08/25, 33.50, 34.50, 30.10, 34.00, 3956
04/07/25, 35.00, 35.00, 33.20, 34.60, 6761
04/04/25, 34.10, 36.00, 34.00, 35.60, 8401
04/03/25, 34.20, 36.50, 34.00, 36.50, 5849
04/02/25, 34.50, 37.00, 34.00, 36.90, 20987
04/01/25, 34.20, 35.90, 34.20, 34.20, 18937
03/28/25, 34.10, 34.50, 34.10, 34.50, 736
03/27/25, 34.50, 34.50, 33.00, 34.10, 1313
03/26/25, 33.00, 33.00, 33.00, 33.00, 120
03/25/25, 33.00, 33.00, 32.80, 32.80, 15755
03/24/25, 33.40, 34.70, 33.40, 33.40, 511
03/21/25, 33.40, 34.70, 33.40, 34.70, 3539
03/20/25, 33.60, 33.90, 33.40, 33.40, 1226
03/19/25, 34.00, 34.00, 33.60, 33.60, 540
03/18/25, 34.50, 34.50, 34.00, 34.00, 717
03/17/25, 34.90, 34.90, 34.10, 34.50, 60
03/14/25, 36.00, 36.00, 34.10, 34.50, 6307
03/12/25, 36.00, 36.00, 34.40, 36.00, 281
03/11/25, 34.70, 34.80, 34.70, 34.80, 145
03/10/25, 37.30, 37.30, 37.00, 37.00, 70047
03/07/25, 37.50, 37.50, 34.30, 37.20, 269
03/06/25, 35.60, 37.50, 33.50, 35.00, 3081
03/05/25, 35.10, 35.50, 35.10, 35.50, 517
03/04/25, 35.10, 36.80, 35.10, 35.20, 4514
03/03/25, 36.70, 36.70, 35.10, 36.40, 69
02/28/25, 36.60, 36.60, 35.10, 36.40, 50
02/27/25, 35.10, 36.70, 35.10, 36.40, 2760
02/25/25, 34.70, 36.70, 34.70, 35.50, 690
02/24/25, 36.00, 37.50, 33.20, 37.40, 6514
02/21/25, 37.50, 37.50, 37.50, 37.80, 1
02/20/25, 37.80, 37.80, 37.80, 37.80, 300
02/19/25, 35.80, 36.00, 35.80, 35.80, 506
02/18/25, 38.00, 38.20, 35.20, 36.20, 4421
02/17/25, 37.70, 38.50, 37.00, 38.00, 6741
02/14/25, 37.80, 37.80, 36.60, 36.90, 162
02/13/25, 36.10, 37.80, 36.10, 37.80, 1025
02/11/25, 37.50, 37.50, 36.70, 37.00, 5078
02/10/25, 36.40, 37.90, 36.40, 38.00, 12
02/07/25, 38.00, 38.00, 36.80, 38.00, 32
02/06/25, 36.30, 38.00, 36.30, 38.00, 3775
02/05/25, 37.10, 37.50, 36.60, 36.90, 4939
02/03/25, 38.00, 39.00, 37.00, 38.20, 8143
01/31/25, 37.00, 38.00, 37.00, 37.20, 425
01/30/25, 38.00, 38.50, 37.90, 37.90, 1428
01/29/25, 37.60, 38.50, 37.10, 38.50, 6712
01/28/25, 39.10, 39.50, 37.60, 37.90, 10264
01/27/25, 39.00, 39.20, 37.60, 37.80, 13200
01/24/25, 38.30, 38.40, 37.60, 37.80, 18818
01/23/25, 39.30, 39.30, 38.00, 38.70, 8086
01/22/25, 39.00, 39.40, 38.00, 39.30, 48881
01/21/25, 37.40, 38.90, 37.40, 38.00, 29767
01/20/25, 37.60, 38.40, 37.40, 38.00, 5721
01/17/25, 38.00, 38.40, 37.00, 37.10, 1594
01/16/25, 38.20, 38.40, 37.00, 38.20, 30655
01/15/25, 38.00, 38.00, 36.20, 37.20, 2230
01/10/25, 36.90, 37.40, 36.30, 36.50, 8591
01/09/25, 36.70, 37.90, 36.70, 37.70, 531
01/08/25, 37.80, 38.30, 37.80, 37.90, 2652
01/07/25, 38.30, 38.30, 35.40, 36.80, 10718
01/06/25, 37.80, 38.90, 35.90, 37.00, 18684
01/03/25, 38.70, 39.80, 37.70, 38.00, 105072
01/02/25, 38.00, 39.00, 37.40, 38.40, 50579
12/31/24, 38.50, 38.50, 37.30, 37.30, 15594
12/30/24, 38.40, 39.00, 37.90, 38.00, 67075
12/27/24, 39.00, 39.00, 37.30, 38.10, 32524
12/26/24, 37.90, 39.00, 37.90, 38.20, 80277
12/24/24, 36.40, 38.40, 36.20, 38.00, 217312
12/23/24, 36.50, 36.50, 35.90, 36.00, 26731
12/20/24, 36.60, 37.20, 35.90, 36.30, 49609
12/19/24, 36.90, 37.50, 35.90, 36.60, 104550
12/18/24, 36.00, 37.80, 35.60, 37.00, 13495
12/17/24, 36.00, 37.80, 35.50, 36.00, 42725
12/16/24, 37.40, 38.00, 36.00, 36.40, 14333
12/13/24, 38.00, 38.20, 36.90, 37.00, 15928
12/12/24, 38.00, 38.50, 37.60, 38.30, 18943
12/11/24, 38.00, 38.70, 37.40, 37.70, 3710
12/10/24, 38.00, 38.10, 37.40, 37.60, 4304
12/09/24, 37.60, 38.40, 37.60, 38.10, 2288
12/06/24, 38.00, 38.40, 37.80, 38.10, 11685
12/05/24, 41.00, 42.20, 36.90, 37.90, 551063
12/04/24, 41.30, 44.90, 41.00, 41.30, 32295
12/03/24, 37.60, 42.00, 37.60, 40.70, 98030
12/02/24, 36.00, 37.90, 35.90, 36.50, 47674
11/29/24, 36.50, 38.00, 35.90, 36.20, 66061
11/28/24, 36.10, 38.20, 36.00, 36.00, 61163
