Date, Open, High, Low, Close, Volume
04/24/25, 28.00, 28.90, 28.00, 28.90, 22528
04/23/25, 28.50, 29.00, 27.30, 27.50, 6494
04/22/25, 28.60, 28.90, 27.50, 27.70, 1839
04/21/25, 29.10, 29.10, 28.50, 29.00, 813
04/17/25, 29.00, 29.10, 29.00, 29.10, 8754
04/16/25, 28.50, 28.50, 28.50, 28.50, 289
04/11/25, 28.10, 28.80, 28.10, 28.10, 88
04/10/25, 28.90, 29.00, 28.00, 28.10, 19099
04/09/25, 28.00, 28.00, 27.10, 27.30, 2765
04/08/25, 28.00, 28.00, 27.90, 28.00, 18798
04/07/25, 28.20, 28.20, 26.60, 27.90, 9421
04/04/25, 28.10, 28.70, 28.00, 28.60, 17750
04/03/25, 30.00, 30.00, 28.20, 28.30, 11387
04/02/25, 28.50, 31.00, 28.50, 29.90, 43892
04/01/25, 28.50, 28.50, 28.10, 28.10, 3026
03/28/25, 28.50, 28.50, 28.50, 28.50, 6491
03/27/25, 28.50, 29.80, 28.50, 29.30, 2682
03/26/25, 29.50, 30.00, 28.60, 28.60, 5136
03/25/25, 29.00, 29.80, 29.00, 29.00, 3998
03/24/25, 29.90, 30.00, 28.30, 28.30, 45723
03/21/25, 29.00, 29.80, 29.00, 29.70, 3846
03/20/25, 29.40, 29.40, 29.30, 29.30, 2605
03/19/25, 28.20, 29.50, 28.00, 28.00, 14309
03/18/25, 28.10, 29.90, 28.00, 28.40, 34352
03/17/25, 28.30, 29.00, 28.30, 28.60, 1741
03/14/25, 30.00, 30.00, 28.30, 29.50, 294
03/12/25, 28.50, 30.00, 28.00, 29.10, 69723
03/11/25, 29.90, 29.90, 28.30, 28.50, 8093
03/10/25, 29.00, 29.90, 29.00, 29.00, 1928
03/07/25, 29.00, 29.70, 29.00, 29.50, 1890
03/06/25, 29.90, 29.90, 29.00, 29.00, 6461
03/05/25, 28.90, 29.90, 28.90, 29.90, 6834
03/04/25, 29.10, 29.10, 28.90, 29.00, 74052
03/03/25, 30.00, 30.00, 29.00, 29.00, 44010
02/28/25, 29.10, 29.50, 28.90, 29.10, 7473
02/27/25, 28.10, 30.20, 28.10, 29.90, 53563
02/25/25, 30.20, 30.20, 28.20, 28.90, 76208
02/24/25, 31.20, 31.20, 30.20, 30.20, 47908
02/21/25, 30.10, 33.00, 30.00, 31.00, 57920
02/20/25, 30.60, 30.60, 30.20, 30.50, 13747
02/19/25, 30.60, 30.70, 30.60, 30.60, 1691
02/18/25, 31.70, 31.70, 30.60, 30.70, 25192
02/17/25, 32.00, 32.00, 30.00, 31.70, 5714
02/14/25, 31.00, 32.00, 30.50, 32.00, 39370
02/13/25, 30.50, 32.00, 30.50, 31.60, 38682
02/11/25, 31.90, 31.90, 30.60, 30.70, 23638
02/10/25, 32.60, 32.60, 31.00, 31.50, 2031
02/07/25, 31.60, 33.00, 31.00, 32.20, 31540
02/06/25, 31.00, 32.70, 30.50, 31.50, 42469
02/05/25, 32.10, 33.40, 31.00, 31.70, 146250
02/03/25, 34.00, 34.00, 30.00, 32.80, 28445
01/31/25, 34.70, 34.70, 33.70, 33.70, 30791
01/30/25, 34.70, 34.70, 34.00, 34.00, 129762
01/29/25, 34.50, 34.80, 33.70, 34.00, 48329
01/28/25, 33.90, 36.00, 33.60, 34.00, 981220
01/27/25, 33.70, 33.90, 33.20, 33.70, 101396
01/24/25, 33.50, 34.00, 33.20, 33.40, 284983
01/23/25, 33.00, 33.90, 33.00, 33.60, 41110
01/22/25, 33.90, 33.90, 33.00, 33.80, 82299
01/21/25, 33.90, 34.00, 33.10, 33.90, 318391
01/20/25, 32.50, 34.00, 32.50, 33.90, 284714
01/17/25, 32.50, 33.90, 32.50, 33.80, 229589
01/16/25, 30.90, 32.50, 30.90, 32.30, 284203
01/15/25, 32.00, 32.00, 30.70, 31.00, 38263
01/10/25, 31.80, 31.90, 30.90, 31.10, 154874
01/09/25, 31.00, 32.90, 31.00, 32.00, 54963
01/08/25, 30.00, 33.00, 30.00, 32.90, 577767
01/07/25, 29.50, 31.50, 29.00, 30.30, 119163
01/06/25, 30.60, 32.90, 28.60, 31.10, 1121778
01/03/25, 33.10, 33.90, 30.00, 31.40, 1188898
01/02/25, 32.20, 34.00, 32.00, 33.10, 830914
12/31/24, 31.90, 32.20, 31.30, 32.00, 1447733
12/30/24, 29.00, 32.00, 29.00, 31.90, 2103493
12/27/24, 28.90, 29.00, 28.40, 29.00, 1430092
12/26/24, 28.90, 29.00, 27.30, 28.80, 913180
12/24/24, 27.60, 29.00, 27.20, 28.50, 86040
12/23/24, 27.60, 28.60, 26.50, 28.10, 2684827
12/20/24, 28.00, 28.00, 27.20, 27.50, 31464
12/19/24, 28.00, 29.00, 28.00, 28.20, 74626
12/18/24, 26.50, 28.30, 26.50, 27.90, 111942
12/17/24, 27.10, 27.10, 26.50, 26.50, 77146
12/16/24, 27.60, 27.60, 26.50, 26.50, 57044
12/13/24, 27.50, 27.90, 26.50, 27.00, 48611
12/12/24, 28.30, 28.30, 26.50, 27.90, 141422
12/11/24, 27.20, 28.90, 27.10, 28.30, 206214
12/10/24, 24.70, 27.90, 24.70, 27.80, 1426481
12/09/24, 24.60, 26.10, 24.60, 25.40, 449992
12/06/24, 24.50, 25.20, 24.50, 25.10, 175402
12/05/24, 24.50, 25.00, 24.40, 24.50, 120428
12/04/24, 25.00, 25.50, 24.30, 24.50, 37453
12/03/24, 23.50, 25.10, 23.50, 25.00, 262551
12/02/24, 22.70, 24.00, 22.60, 23.20, 85980
11/29/24, 22.10, 22.60, 21.90, 22.50, 71236
11/28/24, 22.40, 22.40, 21.90, 22.10, 37468
11/27/24, 22.50, 22.50, 21.80, 22.10, 39551
11/26/24, 22.50, 22.50, 20.40, 22.40, 94045
11/25/24, 22.70, 22.90, 22.10, 22.50, 6516
11/22/24, 22.60, 22.90, 22.10, 22.30, 61772
11/21/24, 22.90, 22.90, 22.30, 22.80, 7412
11/20/24, 22.50, 23.00, 22.50, 22.90, 15221
11/19/24, 23.00, 23.00, 22.60, 22.80, 8577
11/18/24, 22.50, 23.00, 22.40, 22.60, 66130
11/14/24, 22.70, 22.80, 22.40, 22.70, 35969
11/13/24, 22.60, 22.60, 22.00, 22.20, 9514
11/12/24, 22.20, 22.70, 22.00, 22.00, 36041
11/11/24, 22.30, 22.90, 22.20, 22.50, 20157
11/08/24, 22.90, 22.90, 22.10, 22.90, 6053
11/07/24, 22.50, 23.00, 22.50, 22.50, 3501
11/06/24, 23.10, 23.10, 22.00, 22.50, 24199
11/05/24, 23.40, 23.40, 23.00, 23.00, 9262
11/04/24, 22.80, 23.00, 22.80, 22.90, 8537
11/01/24, 23.40, 23.40, 22.70, 22.90, 61236
10/30/24, 23.40, 23.70, 23.30, 23.40, 35591
10/29/24, 22.90, 23.70, 22.90, 23.70, 132695
10/28/24, 22.50, 22.80, 22.40, 22.50, 12937
10/25/24, 23.00, 23.00, 22.40, 22.70, 13993
10/24/24, 22.40, 22.70, 22.40, 22.50, 42293
10/23/24, 22.30, 22.50, 22.30, 22.30, 48405
10/22/24, 22.50, 22.50, 22.30, 22.40, 5961
10/21/24, 23.00, 23.00, 22.30, 22.70, 8157
10/18/24, 22.70, 23.50, 22.70, 23.00, 62165
10/16/24, 22.70, 22.70, 22.40, 22.40, 10527
10/15/24, 22.70, 22.70, 22.40, 22.40, 9666
10/14/24, 23.00, 23.00, 22.70, 22.90, 1386
10/11/24, 22.80, 23.00, 22.80, 23.00, 10120
10/10/24, 22.90, 22.90, 22.30, 22.30, 774
10/09/24, 22.10, 23.00, 22.10, 22.10, 2
10/08/24, 22.10, 22.10, 22.10, 22.10, 1018
10/07/24, 23.00, 23.00, 22.10, 22.10, 3134
10/04/24, 21.90, 23.00, 21.90, 22.10, 282
10/03/24, 22.60, 23.00, 21.70, 22.90, 13893
10/02/24, 22.80, 23.00, 21.70, 22.90, 27623
10/01/24, 22.80, 22.80, 22.10, 22.80, 4255
09/30/24, 22.50, 22.90, 22.50, 22.50, 10428
09/27/24, 21.80, 22.50, 21.50, 21.80, 42551
09/26/24, 22.50, 23.00, 21.70, 21.80, 57394
09/25/24, 21.20, 22.00, 21.10, 22.00, 21923
09/24/24, 21.50, 21.50, 21.00, 21.00, 26451
09/23/24, 21.90, 21.90, 20.80, 20.80, 1021
09/20/24, 21.50, 21.50, 21.50, 21.50, 2915
09/19/24, 21.50, 21.50, 20.90, 20.90, 21075
09/18/24, 21.70, 21.70, 21.70, 21.40, 1
09/13/24, 21.00, 21.70, 21.00, 21.40, 2841
09/12/24, 21.00, 21.00, 21.00, 21.00, 100
09/11/24, 21.40, 21.40, 21.00, 21.00, 501
09/10/24, 20.70, 21.40, 20.70, 21.40, 1190
09/09/24, 21.00, 21.00, 20.70, 20.80, 1570
09/06/24, 21.00, 21.00, 20.70, 20.70, 4672
09/05/24, 21.00, 21.00, 20.50, 20.60, 9688
09/04/24, 21.00, 21.00, 21.00, 21.00, 1156
09/03/24, 21.00, 21.30, 21.00, 21.00, 3025
09/02/24, 21.20, 21.20, 20.90, 21.00, 13870
08/30/24, 20.90, 21.20, 20.90, 21.00, 2850
08/29/24, 21.30, 21.30, 21.00, 21.00, 50433
08/28/24, 21.00, 21.40, 21.00, 21.10, 33794
08/27/24, 21.10, 21.10, 21.00, 21.00, 3117
08/26/24, 21.40, 21.40, 21.10, 21.20, 3050
08/23/24, 21.40, 21.40, 21.00, 21.00, 61761
08/22/24, 21.00, 21.10, 21.00, 21.00, 9944
08/21/24, 21.00, 21.40, 21.00, 21.00, 48085
08/20/24, 21.50, 21.50, 21.00, 21.00, 33496
08/16/24, 21.50, 21.50, 21.10, 21.20, 63330
08/15/24, 21.60, 21.60, 21.00, 21.00, 27022
08/14/24, 20.80, 20.80, 20.70, 20.70, 140
08/13/24, 21.00, 21.00, 20.50, 20.70, 10862
08/12/24, 21.70, 21.70, 21.00, 21.00, 27583
08/09/24, 21.50, 21.70, 20.70, 21.50, 2110
08/08/24, 21.80, 21.80, 20.60, 21.20, 13312
08/07/24, 20.60, 21.00, 20.60, 20.60, 814
08/06/24, 20.70, 21.00, 20.60, 20.90, 6519
08/05/24, 20.90, 20.90, 20.60, 20.70, 10427
08/02/24, 21.20, 21.70, 21.00, 21.00, 1591
08/01/24, 20.90, 20.90, 20.90, 20.90, 275
07/31/24, 20.90, 21.40, 20.70, 20.90, 7816
07/30/24, 21.20, 21.30, 21.00, 21.00, 7793
07/29/24, 21.10, 21.50, 21.10, 21.50, 11123
07/26/24, 21.50, 21.50, 21.40, 21.50, 16714
07/25/24, 21.50, 21.50, 21.50, 21.50, 18020
07/24/24, 21.10, 22.00, 20.90, 21.10, 202545
07/23/24, 21.00, 21.80, 21.00, 21.10, 7898
07/22/24, 21.40, 21.40, 21.00, 21.10, 6627
07/19/24, 21.70, 22.00, 21.00, 21.30, 17522
07/18/24, 22.00, 22.00, 21.70, 21.80, 7526
07/17/24, 22.10, 22.10, 22.10, 22.10, 100
07/16/24, 22.30, 22.30, 22.10, 22.20, 940
07/15/24, 22.20, 22.20, 22.20, 22.20, 319
07/12/24, 21.60, 22.40, 21.50, 21.60, 987
07/11/24, 22.00, 22.40, 21.60, 21.60, 7220
07/10/24, 22.40, 22.40, 21.70, 21.90, 4033
07/09/24, 22.20, 22.20, 21.80, 21.80, 10666
07/08/24, 22.20, 22.30, 21.60, 21.80, 5923
07/05/24, 22.00, 22.30, 22.00, 22.30, 163732
07/04/24, 21.90, 22.30, 21.90, 22.00, 103550
07/03/24, 22.50, 22.50, 22.00, 22.00, 70672
07/02/24, 22.10, 22.20, 22.00, 22.00, 5388
07/01/24, 22.30, 22.50, 22.00, 22.10, 177139
06/28/24, 22.50, 22.50, 22.40, 22.40, 3795
06/27/24, 22.40, 22.50, 22.30, 22.50, 3407
06/26/24, 22.90, 22.90, 22.40, 22.50, 10279
06/25/24, 22.50, 22.50, 22.50, 22.50, 28346
06/24/24, 23.00, 23.00, 22.50, 22.50, 6755
06/20/24, 22.70, 22.80, 22.30, 22.60, 127712
06/19/24, 22.60, 22.60, 22.00, 22.60, 6014
06/18/24, 22.50, 22.60, 21.90, 22.00, 27553
06/14/24, 22.20, 22.50, 22.00, 22.50, 108522
06/13/24, 22.20, 22.70, 22.00, 22.70, 26448
06/12/24, 22.50, 22.80, 22.20, 22.20, 28737
06/11/24, 22.50, 22.80, 22.00, 22.50, 28006
06/10/24, 22.80, 22.80, 22.00, 22.60, 26911
06/07/24, 22.90, 22.90, 22.60, 22.80, 3867
06/06/24, 22.80, 22.90, 22.80, 22.90, 4250
06/05/24, 22.60, 22.90, 22.40, 22.90, 10110
06/04/24, 22.90, 22.90, 22.40, 22.50, 126070
06/03/24, 22.40, 22.40, 22.40, 22.40, 2384
05/31/24, 22.90, 22.90, 22.00, 22.70, 1826
05/30/24, 22.50, 23.20, 22.00, 22.20, 46946
05/29/24, 23.50, 23.50, 22.10, 22.50, 5625
05/28/24, 21.61, 22.98, 21.61, 22.59, 10946.2640333655
05/27/24, 22.30, 22.30, 21.80, 22.10, 3705.09299762043
05/22/24, 22.49, 22.49, 21.41, 22.30, 77394.5971753556
05/21/24, 22.20, 22.49, 21.71, 21.80, 31541.6531940872
05/20/24, 22.59, 22.59, 22.10, 22.59, 5128.48404204839
05/17/24, 22.49, 22.49, 22.00, 22.10, 10667.2875339569
05/16/24, 22.69, 22.69, 22.30, 22.30, 559.989323630457
05/15/24, 22.79, 22.98, 22.39, 22.49, 14131.0760412129
