Date, Open, High, Low, Close, Volume
04/24/25, 7.60, 7.60, 7.60, 7.60, 101
04/23/25, 7.30, 7.60, 7.30, 7.30, 203
04/22/25, 7.40, 7.40, 7.40, 7.50, 1
04/21/25, 7.60, 7.60, 7.50, 7.50, 51
04/17/25, 7.40, 7.60, 7.40, 7.50, 3199
04/16/25, 7.40, 7.40, 7.40, 7.40, 500
04/11/25, 7.00, 7.10, 7.00, 7.00, 2399
04/10/25, 7.00, 7.30, 7.00, 7.30, 6659
04/09/25, 7.10, 7.10, 7.00, 7.00, 23737
04/08/25, 6.90, 7.30, 6.90, 7.30, 4891
04/07/25, 7.00, 7.00, 7.00, 7.00, 30055
04/04/25, 7.10, 7.10, 7.00, 7.00, 83902
04/02/25, 7.30, 7.40, 7.20, 7.20, 2239
03/28/25, 7.10, 7.50, 7.10, 7.20, 3261
03/27/25, 7.80, 7.80, 7.50, 7.50, 671
03/25/25, 7.50, 7.50, 7.40, 7.40, 2146
03/24/25, 7.50, 7.90, 7.50, 7.50, 18402
03/21/25, 7.40, 7.40, 7.10, 7.40, 1586
03/20/25, 7.20, 7.30, 7.20, 7.30, 2000
03/19/25, 7.00, 7.30, 6.90, 7.20, 13654
03/18/25, 7.10, 7.10, 7.10, 7.00, 1
03/17/25, 7.00, 7.00, 7.00, 7.00, 1000
03/14/25, 7.20, 7.20, 6.80, 6.80, 1813
03/12/25, 7.00, 7.00, 7.00, 7.00, 6190
03/11/25, 7.00, 7.10, 6.90, 6.90, 193167
03/10/25, 7.50, 7.50, 7.00, 7.00, 5103
03/05/25, 7.40, 7.40, 7.10, 7.40, 10100
03/04/25, 7.00, 7.60, 7.00, 7.00, 183
03/03/25, 7.70, 7.70, 7.00, 7.00, 47502
02/28/25, 7.20, 7.30, 7.00, 7.00, 21796
02/27/25, 7.30, 7.60, 7.10, 7.20, 5119
02/25/25, 7.30, 7.30, 7.30, 7.20, 40
02/24/25, 7.40, 7.40, 7.20, 7.20, 34835
02/21/25, 7.50, 7.50, 7.40, 7.40, 11700
02/20/25, 7.50, 7.50, 7.50, 7.50, 7993
02/19/25, 7.60, 7.90, 7.50, 7.60, 8636
02/18/25, 7.60, 7.80, 7.60, 7.60, 23679
02/17/25, 7.80, 7.80, 7.70, 7.70, 35823
02/14/25, 7.60, 7.80, 7.60, 7.70, 4504
02/13/25, 7.60, 7.70, 7.60, 7.70, 30349
02/11/25, 7.50, 7.60, 7.50, 7.50, 1377
02/10/25, 7.70, 7.70, 7.40, 7.40, 70015
02/07/25, 7.70, 7.70, 7.50, 7.60, 29900
02/06/25, 7.70, 8.10, 7.50, 7.60, 26715
02/05/25, 8.20, 8.20, 7.50, 7.50, 92294
02/03/25, 8.30, 8.30, 8.00, 8.10, 13327
01/31/25, 8.50, 8.50, 8.20, 8.20, 50395
01/30/25, 8.00, 8.50, 8.00, 8.10, 237554
01/29/25, 8.00, 8.10, 7.40, 8.00, 58239
01/28/25, 7.70, 8.40, 7.70, 8.00, 151597
01/27/25, 7.80, 7.80, 7.40, 7.40, 6537
01/24/25, 7.50, 7.50, 7.30, 7.40, 19673
01/23/25, 7.50, 7.70, 7.40, 7.60, 12890
01/22/25, 7.70, 7.80, 7.70, 7.80, 21576
01/21/25, 7.70, 7.70, 7.50, 7.60, 18993
01/20/25, 7.50, 7.70, 7.40, 7.60, 40244
01/17/25, 7.70, 7.80, 7.60, 7.60, 7044
01/16/25, 7.50, 7.60, 7.50, 7.60, 5537
01/15/25, 7.40, 7.90, 7.40, 7.50, 17975
01/10/25, 7.70, 7.90, 7.40, 7.80, 10992
01/09/25, 7.90, 7.90, 7.50, 7.60, 50264
01/08/25, 7.50, 7.90, 7.50, 7.60, 56583
01/07/25, 7.60, 7.60, 7.10, 7.50, 102926
01/06/25, 7.70, 8.00, 7.40, 7.50, 128750
01/03/25, 7.80, 8.20, 7.70, 8.00, 878152
01/02/25, 7.80, 8.20, 7.50, 7.70, 28967
12/31/24, 8.00, 8.00, 7.80, 7.90, 15074
12/30/24, 8.00, 8.00, 7.60, 7.80, 75502
12/27/24, 8.50, 8.50, 8.00, 8.00, 308030
12/26/24, 8.20, 8.50, 8.00, 8.10, 59550
12/24/24, 7.90, 8.50, 7.90, 8.20, 285164
12/23/24, 8.00, 8.40, 7.90, 8.00, 200432
12/20/24, 7.80, 8.50, 7.60, 7.90, 485902
12/19/24, 7.90, 7.90, 7.60, 7.70, 49459
12/18/24, 7.20, 8.00, 6.90, 8.00, 682099
12/17/24, 6.90, 7.20, 6.70, 7.00, 348522
12/16/24, 6.10, 7.00, 6.10, 6.70, 71483
12/13/24, 6.30, 6.80, 6.10, 6.60, 257385
12/12/24, 6.70, 6.70, 6.00, 6.00, 113801
12/11/24, 5.90, 6.90, 5.90, 6.70, 870751
12/10/24, 5.70, 5.90, 5.40, 5.80, 337188
12/09/24, 5.60, 5.70, 5.30, 5.40, 8851
